date,open,high,low,close,volume,instrument_key
2025-03-18,34.2,34.94,34.03,34.38,5946925.0,NSE_EQ|INE0FS801015
2025-03-19,34.67,35.93,34.28,35.22,7897333.0,NSE_EQ|INE0FS801015
2025-03-20,35.38,36.09,35.0,35.3,7701116.0,NSE_EQ|INE0FS801015
2025-03-21,35.37,36.33,34.96,36.15,8621546.0,NSE_EQ|INE0FS801015
2025-03-24,36.67,38.31,36.64,37.31,8874866.0,NSE_EQ|INE0FS801015
2025-03-25,37.54,37.76,36.2,36.46,8000142.0,NSE_EQ|INE0FS801015
2025-03-26,36.74,36.8,35.54,35.7,10468205.0,NSE_EQ|INE0FS801015
2025-03-27,35.64,36.0,34.87,35.34,12770528.0,NSE_EQ|INE0FS801015
2025-03-28,35.46,35.85,34.48,34.74,9521558.0,NSE_EQ|INE0FS801015
2025-04-01,34.66,34.8,33.76,34.04,4694345.0,NSE_EQ|INE0FS801015
2025-04-02,34.41,34.41,33.53,34.06,3344383.0,NSE_EQ|INE0FS801015
2025-04-03,33.6,34.77,33.6,34.59,3598379.0,NSE_EQ|INE0FS801015
2025-04-04,34.56,34.69,33.5,34.29,4673919.0,NSE_EQ|INE0FS801015
2025-04-07,31.52,33.74,31.33,33.5,8314180.0,NSE_EQ|INE0FS801015
2025-04-08,33.54,34.4,33.42,34.31,5125820.0,NSE_EQ|INE0FS801015
2025-04-09,34.38,34.38,33.67,34.18,2204050.0,NSE_EQ|INE0FS801015
2025-04-11,34.87,35.48,34.35,35.28,5217287.0,NSE_EQ|INE0FS801015
2025-04-15,35.94,36.26,34.65,35.37,8165655.0,NSE_EQ|INE0FS801015
2025-04-16,35.53,35.96,35.04,35.35,4079531.0,NSE_EQ|INE0FS801015
2025-04-17,35.35,35.76,34.97,35.19,3393409.0,NSE_EQ|INE0FS801015
2025-04-21,34.94,36.14,34.94,36.06,3405674.0,NSE_EQ|INE0FS801015
2025-04-22,36.3,37.2,35.82,37.02,5612062.0,NSE_EQ|INE0FS801015
2025-04-23,37.43,37.8,36.22,37.52,5423048.0,NSE_EQ|INE0FS801015
2025-04-24,37.52,37.86,37.09,37.5,3337639.0,NSE_EQ|INE0FS801015
2025-04-25,37.54,37.61,36.45,37.06,13416124.0,NSE_EQ|INE0FS801015
2025-04-28,36.34,37.44,36.34,37.28,4903595.0,NSE_EQ|INE0FS801015
2025-04-29,37.53,37.67,36.8,36.98,3383139.0,NSE_EQ|INE0FS801015
2025-04-30,36.4,37.4,36.37,37.18,8270354.0,NSE_EQ|INE0FS801015
2025-05-02,37.18,37.94,36.9,37.34,5872745.0,NSE_EQ|INE0FS801015
2025-05-05,37.34,38.1,37.2,37.91,3890243.0,NSE_EQ|INE0FS801015
2025-05-06,37.87,38.3,37.28,37.42,4649526.0,NSE_EQ|INE0FS801015
2025-05-07,36.67,38.2,36.6,38.08,4795937.0,NSE_EQ|INE0FS801015
2025-05-08,38.26,38.52,37.34,37.52,5905104.0,NSE_EQ|INE0FS801015
2025-05-09,36.02,38.48,36.02,37.99,8459081.0,NSE_EQ|INE0FS801015
2025-05-12,39.8,39.8,37.89,38.4,10554243.0,NSE_EQ|INE0FS801015
2025-05-13,38.4,38.47,37.6,37.83,12863333.0,NSE_EQ|INE0FS801015
2025-05-14,37.86,38.5,37.71,37.9,4183345.0,NSE_EQ|INE0FS801015
2025-05-15,38.09,38.23,37.71,37.94,9567161.0,NSE_EQ|INE0FS801015
2025-05-16,38.07,38.84,37.71,38.69,3815544.0,NSE_EQ|INE0FS801015
2025-05-19,38.88,39.06,38.1,38.28,4873310.0,NSE_EQ|INE0FS801015
2025-05-20,38.28,38.45,37.46,37.66,6745583.0,NSE_EQ|INE0FS801015
2025-05-21,37.52,37.82,37.13,37.66,12274515.0,NSE_EQ|INE0FS801015
2025-05-22,37.8,38.42,37.54,38.17,3145404.0,NSE_EQ|INE0FS801015
2025-05-23,37.87,39.04,37.87,38.7,7062965.0,NSE_EQ|INE0FS801015
2025-05-26,38.8,39.52,38.71,39.34,4872536.0,NSE_EQ|INE0FS801015
2025-05-27,39.66,39.84,38.97,39.57,3901485.0,NSE_EQ|INE0FS801015
2025-05-28,39.8,39.81,39.16,39.25,3588940.0,NSE_EQ|INE0FS801015
2025-05-29,39.61,39.79,38.91,39.16,4467512.0,NSE_EQ|INE0FS801015
2025-05-30,39.51,39.76,38.3,38.59,11594987.0,NSE_EQ|INE0FS801015
2025-06-02,38.6,38.95,38.23,38.8,2607269.0,NSE_EQ|INE0FS801015
2025-06-03,38.95,39.34,38.14,39.0,3558281.0,NSE_EQ|INE0FS801015
2025-06-04,38.92,39.3,38.37,39.14,4597939.0,NSE_EQ|INE0FS801015
2025-06-05,39.37,39.83,39.2,39.6,4620328.0,NSE_EQ|INE0FS801015
2025-06-06,39.67,40.46,39.34,40.34,5032262.0,NSE_EQ|INE0FS801015
2025-06-09,41.62,41.62,40.67,41.44,8493219.0,NSE_EQ|INE0FS801015
2025-06-10,41.9,41.9,41.17,41.65,4929454.0,NSE_EQ|INE0FS801015
2025-06-11,41.67,41.8,41.2,41.61,7907615.0,NSE_EQ|INE0FS801015
2025-06-12,41.34,41.9,40.62,41.01,4540132.0,NSE_EQ|INE0FS801015
2025-06-13,40.0,41.07,39.82,40.87,6436216.0,NSE_EQ|INE0FS801015
2025-06-16,40.67,41.1,40.38,40.98,5945812.0,NSE_EQ|INE0FS801015
2025-06-17,40.98,41.15,40.54,40.72,5451209.0,NSE_EQ|INE0FS801015
2025-06-18,40.7,40.88,40.08,40.29,5302950.0,NSE_EQ|INE0FS801015
2025-06-19,40.28,40.49,39.35,39.46,5835790.0,NSE_EQ|INE0FS801015
2025-06-20,39.34,40.12,38.67,39.94,5228755.0,NSE_EQ|INE0FS801015
2025-06-23,39.34,39.83,38.96,39.28,8524996.0,NSE_EQ|INE0FS801015
2025-06-24,39.53,39.75,39.24,39.44,4410883.0,NSE_EQ|INE0FS801015
2025-06-25,39.44,39.99,39.27,39.84,4647570.0,NSE_EQ|INE0FS801015
2025-06-26,40.16,40.32,39.91,40.08,2093027.0,NSE_EQ|INE0FS801015
2025-06-27,40.33,40.52,40.0,40.06,4295203.0,NSE_EQ|INE0FS801015
2025-06-30,40.38,40.38,39.67,39.82,3067477.0,NSE_EQ|INE0FS801015
2025-07-01,39.82,39.99,39.46,39.72,3427503.0,NSE_EQ|INE0FS801015
2025-07-02,39.67,39.76,39.35,39.64,3422205.0,NSE_EQ|INE0FS801015
2025-07-03,39.8,41.17,39.67,40.26,12442083.0,NSE_EQ|INE0FS801015
2025-07-04,40.46,40.67,40.06,40.22,7410169.0,NSE_EQ|INE0FS801015
2025-07-07,40.22,41.67,39.89,41.38,17862713.0,NSE_EQ|INE0FS801015
2025-07-08,41.67,43.66,41.58,43.07,37632640.0,NSE_EQ|INE0FS801015
2025-07-09,43.26,43.92,43.1,43.2,13635424.0,NSE_EQ|INE0FS801015
2025-07-10,43.41,43.98,42.83,42.99,14267491.0,NSE_EQ|INE0FS801015
2025-07-11,43.2,43.5,41.94,42.28,9034978.0,NSE_EQ|INE0FS801015
2025-07-14,42.57,42.95,42.14,42.26,7480052.0,NSE_EQ|INE0FS801015
2025-07-15,42.42,43.67,42.42,43.16,15219954.0,NSE_EQ|INE0FS801015
2025-07-16,43.45,43.8,42.9,43.0,6534339.0,NSE_EQ|INE0FS801015
2025-07-17,43.34,43.5,42.66,42.98,4817354.0,NSE_EQ|INE0FS801015
2025-07-18,43.7,44.78,43.1,43.52,16342618.0,NSE_EQ|INE0FS801015
2025-07-21,43.52,44.05,43.0,43.81,3306172.0,NSE_EQ|INE0FS801015
2025-07-22,43.81,43.83,42.79,42.84,4428048.0,NSE_EQ|INE0FS801015
2025-07-23,42.84,43.08,41.45,41.57,7354994.0,NSE_EQ|INE0FS801015
2025-07-24,41.8,42.6,41.35,41.4,5491203.0,NSE_EQ|INE0FS801015
2025-07-25,41.42,41.56,40.35,40.49,5046157.0,NSE_EQ|INE0FS801015
2025-07-28,40.3,40.97,39.32,40.01,4509405.0,NSE_EQ|INE0FS801015
2025-07-29,39.9,40.41,38.69,38.98,10984590.0,NSE_EQ|INE0FS801015
2025-07-30,39.19,39.26,37.5,37.77,6995863.0,NSE_EQ|INE0FS801015
2025-07-31,37.1,37.7,36.66,37.1,4625910.0,NSE_EQ|INE0FS801015
