date,open,high,low,close,volume,instrument_key
2025-03-18,2290.2,2330.0,2289.1,2317.9,657780.0,NSE_EQ|INE414G01012
2025-03-19,2335.0,2424.0,2312.5,2416.45,1242059.0,NSE_EQ|INE414G01012
2025-03-20,2425.35,2435.4,2368.0,2374.75,1048487.0,NSE_EQ|INE414G01012
2025-03-21,2395.0,2400.0,2341.9,2356.6,917706.0,NSE_EQ|INE414G01012
2025-03-24,2375.0,2386.0,2346.6,2352.55,503852.0,NSE_EQ|INE414G01012
2025-03-25,2388.1,2388.1,2313.0,2345.45,463040.0,NSE_EQ|INE414G01012
2025-03-26,2355.4,2367.2,2299.95,2313.55,329877.0,NSE_EQ|INE414G01012
2025-03-27,2313.5,2357.9,2299.0,2337.9,1195890.0,NSE_EQ|INE414G01012
2025-03-28,2360.0,2400.95,2332.05,2382.9,972236.0,NSE_EQ|INE414G01012
2025-04-01,2382.9,2389.75,2326.45,2338.8,525365.0,NSE_EQ|INE414G01012
2025-04-02,2338.8,2356.25,2309.0,2342.8,541167.0,NSE_EQ|INE414G01012
2025-04-03,2325.0,2393.7,2310.25,2370.25,737548.0,NSE_EQ|INE414G01012
2025-04-04,2367.0,2374.25,2335.5,2348.3,308590.0,NSE_EQ|INE414G01012
2025-04-07,2150.0,2307.85,2150.0,2254.3,679275.0,NSE_EQ|INE414G01012
2025-04-08,2314.05,2323.95,2246.2,2292.65,881984.0,NSE_EQ|INE414G01012
2025-04-09,2307.55,2307.55,2011.25,2139.95,5887072.0,NSE_EQ|INE414G01012
2025-04-11,2099.15,2103.8,1965.0,2017.0,3912506.0,NSE_EQ|INE414G01012
2025-04-15,2045.0,2060.0,2005.5,2051.0,1955402.0,NSE_EQ|INE414G01012
2025-04-16,2060.0,2090.0,2042.1,2080.7,947851.0,NSE_EQ|INE414G01012
2025-04-17,2081.0,2136.0,2080.9,2111.6,1289031.0,NSE_EQ|INE414G01012
2025-04-21,2134.9,2211.0,2134.9,2203.6,1434482.0,NSE_EQ|INE414G01012
