date,close,instrument_key
2025-03-18,188.55,NSE_EQ|INE139A01034
2025-03-19,186.38,NSE_EQ|INE139A01034
2025-03-20,190.57,NSE_EQ|INE139A01034
2025-03-21,185.52,NSE_EQ|INE139A01034
2025-03-24,187.04,NSE_EQ|INE139A01034
2025-03-25,180.66,NSE_EQ|INE139A01034
2025-03-26,179.24,NSE_EQ|INE139A01034
2025-03-27,178.81,NSE_EQ|INE139A01034
2025-03-28,175.53,NSE_EQ|INE139A01034
2025-04-01,175.29,NSE_EQ|INE139A01034
2025-04-02,174.21,NSE_EQ|INE139A01034
2025-04-03,172.66,NSE_EQ|INE139A01034
2025-04-04,157.7,NSE_EQ|INE139A01034
2025-04-07,144.69,NSE_EQ|INE139A01034
2025-04-08,146.62,NSE_EQ|INE139A01034
2025-04-09,143.45,NSE_EQ|INE139A01034
2025-04-11,143.22,NSE_EQ|INE139A01034
2025-04-15,151.42,NSE_EQ|INE139A01034
2025-04-16,151.22,NSE_EQ|INE139A01034
2025-04-17,152.89,NSE_EQ|INE139A01034
2025-04-21,161.41,NSE_EQ|INE139A01034
2025-04-22,158.79,NSE_EQ|INE139A01034
2025-04-23,162.07,NSE_EQ|INE139A01034
2025-04-24,162.03,NSE_EQ|INE139A01034
2025-04-25,156.5,NSE_EQ|INE139A01034
2025-04-28,159.87,NSE_EQ|INE139A01034
2025-04-29,157.6,NSE_EQ|INE139A01034
2025-04-30,156.47,NSE_EQ|INE139A01034
2025-05-02,159.77,NSE_EQ|INE139A01034
2025-05-05,160.86,NSE_EQ|INE139A01034
2025-05-06,154.88,NSE_EQ|INE139A01034
2025-05-07,158.28,NSE_EQ|INE139A01034
2025-05-08,154.12,NSE_EQ|INE139A01034
2025-05-09,156.84,NSE_EQ|INE139A01034
2025-05-12,168.95,NSE_EQ|INE139A01034
2025-05-13,165.04,NSE_EQ|INE139A01034
2025-05-14,173.16,NSE_EQ|INE139A01034
2025-05-15,178.56,NSE_EQ|INE139A01034
2025-05-16,177.19,NSE_EQ|INE139A01034
2025-05-19,181.93,NSE_EQ|INE139A01034
2025-05-20,179.07,NSE_EQ|INE139A01034
2025-05-21,181.75,NSE_EQ|INE139A01034
2025-05-22,184.95,NSE_EQ|INE139A01034
2025-05-23,183.84,NSE_EQ|INE139A01034
2025-05-26,183.54,NSE_EQ|INE139A01034
2025-05-27,181.95,NSE_EQ|INE139A01034
2025-05-28,183.27,NSE_EQ|INE139A01034
2025-05-29,183.62,NSE_EQ|INE139A01034
2025-05-30,180.35,NSE_EQ|INE139A01034
2025-06-02,180.77,NSE_EQ|INE139A01034
2025-06-03,182.1,NSE_EQ|INE139A01034
2025-06-04,182.72,NSE_EQ|INE139A01034
2025-06-05,182.4,NSE_EQ|INE139A01034
2025-06-06,188.47,NSE_EQ|INE139A01034
2025-06-09,187.24,NSE_EQ|INE139A01034
2025-06-10,191.7,NSE_EQ|INE139A01034
2025-06-11,190.01,NSE_EQ|INE139A01034
2025-06-12,187.06,NSE_EQ|INE139A01034
2025-06-13,185.68,NSE_EQ|INE139A01034
2025-06-16,188.03,NSE_EQ|INE139A01034
2025-06-17,185.17,NSE_EQ|INE139A01034
2025-06-18,186.19,NSE_EQ|INE139A01034
2025-06-19,181.93,NSE_EQ|INE139A01034
2025-06-20,183.99,NSE_EQ|INE139A01034
2025-06-23,188.28,NSE_EQ|INE139A01034
2025-06-24,189.75,NSE_EQ|INE139A01034
2025-06-25,187.94,NSE_EQ|INE139A01034
2025-06-26,193.59,NSE_EQ|INE139A01034
2025-06-27,190.83,NSE_EQ|INE139A01034
2025-06-30,192.7,NSE_EQ|INE139A01034
2025-07-01,190.27,NSE_EQ|INE139A01034
2025-07-02,192.41,NSE_EQ|INE139A01034
2025-07-03,192.25,NSE_EQ|INE139A01034
2025-07-04,192.09,NSE_EQ|INE139A01034
2025-07-07,188.56,NSE_EQ|INE139A01034
2025-07-08,189.91,NSE_EQ|INE139A01034
2025-07-09,186.23,NSE_EQ|INE139A01034
2025-07-10,188.95,NSE_EQ|INE139A01034
2025-07-11,189.5,NSE_EQ|INE139A01034
2025-07-14,189.47,NSE_EQ|INE139A01034
2025-07-15,190.48,NSE_EQ|INE139A01034
2025-07-16,188.02,NSE_EQ|INE139A01034
2025-07-17,189.12,NSE_EQ|INE139A01034
2025-07-18,188.02,NSE_EQ|INE139A01034
2025-07-21,194.99,NSE_EQ|INE139A01034
2025-07-22,196.69,NSE_EQ|INE139A01034
2025-07-23,198.09,NSE_EQ|INE139A01034
2025-07-24,198.9,NSE_EQ|INE139A01034
2025-07-25,193.66,NSE_EQ|INE139A01034
2025-07-28,187.7,NSE_EQ|INE139A01034
2025-07-29,189.68,NSE_EQ|INE139A01034
2025-07-30,187.13,NSE_EQ|INE139A01034
2025-07-31,185.06,NSE_EQ|INE139A01034
2025-08-01,180.7,NSE_EQ|INE139A01034
2025-08-04,187.14,NSE_EQ|INE139A01034
2025-08-05,187.26,NSE_EQ|INE139A01034
2025-08-06,188.63,NSE_EQ|INE139A01034
2025-08-07,189.76,NSE_EQ|INE139A01034
2025-08-08,187.41,NSE_EQ|INE139A01034
2025-08-11,187.07,NSE_EQ|INE139A01034
2025-08-12,186.52,NSE_EQ|INE139A01034
2025-08-13,189.94,NSE_EQ|INE139A01034
2025-08-14,187.58,NSE_EQ|INE139A01034
2025-08-18,188.33,NSE_EQ|INE139A01034
2025-08-19,191.31,NSE_EQ|INE139A01034
2025-08-20,192.22,NSE_EQ|INE139A01034
2025-08-21,191.47,NSE_EQ|INE139A01034
2025-08-22,188.87,NSE_EQ|INE139A01034
2025-08-25,190.41,NSE_EQ|INE139A01034
2025-08-26,186.02,NSE_EQ|INE139A01034
2025-08-28,184.79,NSE_EQ|INE139A01034
2025-08-29,186.18,NSE_EQ|INE139A01034
2025-09-01,191.79,NSE_EQ|INE139A01034
2025-09-02,200.53,NSE_EQ|INE139A01034
2025-09-03,207.12,NSE_EQ|INE139A01034
2025-09-04,206.67,NSE_EQ|INE139A01034
2025-09-05,212.14,NSE_EQ|INE139A01034
2025-09-08,210.56,NSE_EQ|INE139A01034
2025-09-09,206.62,NSE_EQ|INE139A01034
2025-09-10,209.13,NSE_EQ|INE139A01034
2025-09-11,214.4,NSE_EQ|INE139A01034
2025-09-12,218.3,NSE_EQ|INE139A01034
2025-09-15,216.79,NSE_EQ|INE139A01034
