date,open,high,low,close,volume,instrument_key
2025-03-18,184.29,192.0,184.01,191.33,6439481.0,NSE_EQ|INE868B01028
2025-03-19,193.9,197.39,192.0,196.73,5551847.0,NSE_EQ|INE868B01028
2025-03-20,205.0,208.6,199.47,201.48,29225561.0,NSE_EQ|INE868B01028
2025-03-21,201.98,207.4,200.0,206.03,7950268.0,NSE_EQ|INE868B01028
2025-03-24,210.8,214.0,208.01,209.18,12695764.0,NSE_EQ|INE868B01028
2025-03-25,210.93,210.95,203.0,204.73,6561010.0,NSE_EQ|INE868B01028
2025-03-26,216.6,218.22,207.21,208.3,50652344.0,NSE_EQ|INE868B01028
2025-03-27,209.0,213.48,207.6,208.54,9946960.0,NSE_EQ|INE868B01028
2025-03-28,209.45,212.5,207.75,209.48,6410609.0,NSE_EQ|INE868B01028
2025-04-01,209.5,214.7,208.4,213.27,6395018.0,NSE_EQ|INE868B01028
2025-04-02,213.27,214.48,209.9,214.0,3565056.0,NSE_EQ|INE868B01028
2025-04-03,210.1,215.9,208.9,214.84,4649488.0,NSE_EQ|INE868B01028
2025-04-04,214.5,214.5,205.16,206.85,4097710.0,NSE_EQ|INE868B01028
2025-04-07,187.0,198.95,187.0,197.39,5010274.0,NSE_EQ|INE868B01028
2025-04-08,201.0,205.8,200.88,205.02,4493016.0,NSE_EQ|INE868B01028
2025-04-09,205.0,208.4,201.5,206.89,3654637.0,NSE_EQ|INE868B01028
2025-04-11,210.03,211.98,208.0,209.97,4046094.0,NSE_EQ|INE868B01028
2025-04-15,212.94,218.55,212.08,215.91,6837356.0,NSE_EQ|INE868B01028
2025-04-16,216.51,222.3,216.51,220.61,6643958.0,NSE_EQ|INE868B01028
2025-04-17,221.89,222.19,216.24,217.78,6813390.0,NSE_EQ|INE868B01028
2025-04-21,219.55,224.5,217.0,223.44,4774569.0,NSE_EQ|INE868B01028
2025-04-22,224.55,224.99,217.08,217.7,5565620.0,NSE_EQ|INE868B01028
2025-04-23,219.43,221.5,215.76,219.78,3939716.0,NSE_EQ|INE868B01028
2025-04-24,219.54,221.4,218.02,220.04,3500579.0,NSE_EQ|INE868B01028
2025-04-25,220.6,221.15,210.1,211.77,5550265.0,NSE_EQ|INE868B01028
