date,open,high,low,close,volume,instrument_key
2025-03-18,937.25,948.0,932.0,935.45,202633.0,NSE_EQ|INE619B01017
2025-03-19,937.8,939.0,915.1,918.45,313703.0,NSE_EQ|INE619B01017
2025-03-20,920.05,968.95,918.45,962.1,621925.0,NSE_EQ|INE619B01017
2025-03-21,957.05,1094.85,951.25,1034.15,1944383.0,NSE_EQ|INE619B01017
2025-03-24,1043.3,1084.0,1015.3,1022.35,319435.0,NSE_EQ|INE619B01017
2025-03-25,1037.8,1040.0,985.0,993.35,242927.0,NSE_EQ|INE619B01017
2025-03-26,993.5,1007.1,965.0,968.9,243210.0,NSE_EQ|INE619B01017
2025-03-27,975.05,1038.9,975.0,1009.9,2315862.0,NSE_EQ|INE619B01017
2025-03-28,1022.8,1032.45,985.0,996.3,275100.0,NSE_EQ|INE619B01017
2025-04-01,1010.0,1011.0,972.0,992.0,438975.0,NSE_EQ|INE619B01017
2025-04-02,989.4,1009.4,978.1,1003.75,188041.0,NSE_EQ|INE619B01017
2025-04-03,982.0,1009.0,980.0,992.25,265940.0,NSE_EQ|INE619B01017
2025-04-04,981.0,987.95,906.7,921.8,318100.0,NSE_EQ|INE619B01017
2025-04-07,758.3,855.0,758.2,842.4,620614.0,NSE_EQ|INE619B01017
2025-04-08,883.9,923.75,850.2,907.35,749078.0,NSE_EQ|INE619B01017
2025-04-09,899.0,902.65,866.2,876.25,373164.0,NSE_EQ|INE619B01017
2025-04-11,936.8,936.8,896.0,905.3,326482.0,NSE_EQ|INE619B01017
2025-04-15,924.9,949.0,913.15,941.85,226318.0,NSE_EQ|INE619B01017
2025-04-16,954.0,963.95,930.95,942.55,266529.0,NSE_EQ|INE619B01017
2025-04-17,936.0,936.0,922.7,926.1,166029.0,NSE_EQ|INE619B01017
2025-04-21,926.2,955.4,926.2,949.85,276022.0,NSE_EQ|INE619B01017
2025-04-22,948.5,961.0,936.0,941.0,198807.0,NSE_EQ|INE619B01017
2025-04-23,954.1,1003.0,952.0,993.15,1399751.0,NSE_EQ|INE619B01017
2025-04-24,995.0,1183.4,989.4,1101.4,13076873.0,NSE_EQ|INE619B01017
2025-04-25,1100.0,1100.0,1031.0,1055.65,1979295.0,NSE_EQ|INE619B01017
2025-04-28,1050.0,1056.5,987.3,1025.9,482727.0,NSE_EQ|INE619B01017
2025-04-29,1031.1,1049.8,1022.05,1035.75,377527.0,NSE_EQ|INE619B01017
2025-04-30,1035.75,1047.0,976.1,986.55,497514.0,NSE_EQ|INE619B01017
2025-05-02,988.55,1119.0,967.25,1005.75,9921112.0,NSE_EQ|INE619B01017
2025-05-05,1017.0,1053.25,1003.0,1041.7,999838.0,NSE_EQ|INE619B01017
2025-05-06,1044.8,1105.0,1008.3,1078.2,5080811.0,NSE_EQ|INE619B01017
2025-05-07,1040.0,1089.9,1031.85,1082.15,824771.0,NSE_EQ|INE619B01017
2025-05-08,1083.9,1108.0,1054.0,1069.1,575643.0,NSE_EQ|INE619B01017
2025-05-09,1033.0,1087.0,1012.35,1074.75,974402.0,NSE_EQ|INE619B01017
2025-05-12,1114.0,1132.0,1101.0,1117.9,590122.0,NSE_EQ|INE619B01017
2025-05-13,1121.5,1159.6,1121.0,1153.7,551678.0,NSE_EQ|INE619B01017
2025-05-14,1158.0,1163.55,1125.0,1130.45,355616.0,NSE_EQ|INE619B01017
2025-05-15,1139.9,1159.9,1136.1,1152.5,304276.0,NSE_EQ|INE619B01017
2025-05-16,1158.25,1177.6,1148.3,1158.95,308746.0,NSE_EQ|INE619B01017
2025-05-19,1173.0,1180.0,1140.0,1147.65,660562.0,NSE_EQ|INE619B01017
2025-05-20,1164.0,1377.15,1136.0,1334.55,11191000.0,NSE_EQ|INE619B01017
2025-05-21,1341.95,1341.95,1252.2,1266.05,1926405.0,NSE_EQ|INE619B01017
2025-05-22,1264.05,1277.2,1232.55,1248.2,379686.0,NSE_EQ|INE619B01017
2025-05-23,1250.2,1275.0,1231.45,1260.95,492005.0,NSE_EQ|INE619B01017
2025-05-26,1256.05,1281.4,1235.65,1255.55,302702.0,NSE_EQ|INE619B01017
2025-05-27,1255.55,1285.0,1246.25,1253.05,388373.0,NSE_EQ|INE619B01017
2025-05-28,1253.05,1265.0,1236.05,1246.0,202990.0,NSE_EQ|INE619B01017
2025-05-29,1246.0,1251.95,1206.1,1209.6,350982.0,NSE_EQ|INE619B01017
2025-05-30,1215.55,1271.0,1213.25,1237.1,815450.0,NSE_EQ|INE619B01017
2025-06-02,1237.1,1242.3,1215.3,1230.9,151456.0,NSE_EQ|INE619B01017
2025-06-03,1240.0,1249.9,1207.3,1221.2,227817.0,NSE_EQ|INE619B01017
2025-06-04,1228.0,1235.0,1220.0,1224.5,127293.0,NSE_EQ|INE619B01017
2025-06-05,1247.6,1336.0,1215.2,1224.4,4124131.0,NSE_EQ|INE619B01017
2025-06-06,1236.0,1245.0,1217.3,1234.2,379333.0,NSE_EQ|INE619B01017
2025-06-09,1239.9,1240.2,1222.2,1229.8,213017.0,NSE_EQ|INE619B01017
2025-06-10,1238.9,1240.7,1220.0,1225.6,207107.0,NSE_EQ|INE619B01017
2025-06-11,1227.0,1232.5,1208.0,1214.4,225917.0,NSE_EQ|INE619B01017
2025-06-12,1214.4,1219.9,1173.0,1175.9,218676.0,NSE_EQ|INE619B01017
2025-06-13,1150.0,1190.3,1143.0,1167.3,217505.0,NSE_EQ|INE619B01017
2025-06-16,1166.0,1267.8,1135.8,1233.6,4323322.0,NSE_EQ|INE619B01017
2025-06-17,1229.9,1245.0,1215.1,1222.9,475137.0,NSE_EQ|INE619B01017
2025-06-18,1220.0,1222.1,1195.0,1207.2,180756.0,NSE_EQ|INE619B01017
2025-06-19,1202.0,1207.0,1176.0,1191.8,238703.0,NSE_EQ|INE619B01017
2025-06-20,1189.5,1209.9,1141.5,1153.4,750765.0,NSE_EQ|INE619B01017
2025-06-23,1147.0,1163.1,1140.5,1154.7,217641.0,NSE_EQ|INE619B01017
2025-06-24,1166.5,1166.5,1115.0,1118.6,421295.0,NSE_EQ|INE619B01017
2025-06-25,1124.1,1155.0,1120.8,1151.6,432704.0,NSE_EQ|INE619B01017
2025-06-26,1165.0,1237.4,1160.8,1179.0,3642767.0,NSE_EQ|INE619B01017
2025-06-27,1179.0,1186.8,1143.1,1153.9,716857.0,NSE_EQ|INE619B01017
2025-06-30,1163.0,1175.0,1155.4,1171.8,227559.0,NSE_EQ|INE619B01017
2025-07-01,1172.1,1175.9,1140.0,1145.4,309864.0,NSE_EQ|INE619B01017
2025-07-02,1147.1,1163.5,1134.5,1140.9,206675.0,NSE_EQ|INE619B01017
2025-07-03,1146.0,1146.2,1129.3,1134.3,173020.0,NSE_EQ|INE619B01017
2025-07-04,1139.8,1139.9,1123.4,1134.3,175220.0,NSE_EQ|INE619B01017
2025-07-07,1132.0,1134.3,1115.1,1118.7,160569.0,NSE_EQ|INE619B01017
2025-07-08,1122.7,1147.2,1118.0,1129.8,349039.0,NSE_EQ|INE619B01017
2025-07-09,1136.5,1136.5,1120.3,1125.9,156555.0,NSE_EQ|INE619B01017
2025-07-10,1115.9,1125.9,1101.7,1105.2,251708.0,NSE_EQ|INE619B01017
2025-07-11,1106.4,1118.3,1085.3,1090.0,199479.0,NSE_EQ|INE619B01017
2025-07-14,1090.0,1095.8,1073.4,1076.5,154871.0,NSE_EQ|INE619B01017
2025-07-15,1080.6,1099.2,1074.0,1079.6,204307.0,NSE_EQ|INE619B01017
2025-07-16,1083.6,1109.9,1076.3,1091.4,321852.0,NSE_EQ|INE619B01017
