date,open,high,low,close,volume,instrument_key
2025-03-18,78.75,79.35,77.88,79.13,12151679.0,NSE_EQ|INE848E01016
2025-03-19,79.3,80.6,79.06,80.2,10758869.0,NSE_EQ|INE848E01016
2025-03-20,81.38,81.8,79.67,80.04,12443348.0,NSE_EQ|INE848E01016
2025-03-21,80.2,84.09,80.02,82.56,48089355.0,NSE_EQ|INE848E01016
2025-03-24,83.29,84.99,83.19,83.62,19869482.0,NSE_EQ|INE848E01016
2025-03-25,84.3,84.65,80.75,81.31,19826090.0,NSE_EQ|INE848E01016
2025-03-26,81.45,82.85,80.55,80.94,20090934.0,NSE_EQ|INE848E01016
2025-03-27,80.6,82.27,80.0,81.28,84926439.0,NSE_EQ|INE848E01016
2025-03-28,82.45,86.94,82.0,82.2,72367264.0,NSE_EQ|INE848E01016
2025-04-01,82.08,83.49,81.54,82.14,17413114.0,NSE_EQ|INE848E01016
2025-04-02,82.2,84.28,80.81,83.69,21706837.0,NSE_EQ|INE848E01016
2025-04-03,83.0,84.85,82.65,84.53,15226367.0,NSE_EQ|INE848E01016
2025-04-04,84.5,84.9,82.71,83.04,20959439.0,NSE_EQ|INE848E01016
2025-04-07,76.5,83.03,75.75,82.58,31781983.0,NSE_EQ|INE848E01016
2025-04-08,84.2,84.64,81.87,83.58,13816605.0,NSE_EQ|INE848E01016
2025-04-09,83.15,85.2,82.56,84.4,23154789.0,NSE_EQ|INE848E01016
2025-04-11,85.2,85.9,83.2,84.2,24699060.0,NSE_EQ|INE848E01016
2025-04-15,85.2,85.8,84.7,85.42,18819411.0,NSE_EQ|INE848E01016
2025-04-16,85.21,86.26,84.84,85.32,20794241.0,NSE_EQ|INE848E01016
2025-04-17,85.4,85.95,84.86,84.98,16634569.0,NSE_EQ|INE848E01016
2025-04-21,85.0,88.25,84.85,87.71,20930800.0,NSE_EQ|INE848E01016
2025-04-22,88.39,90.88,87.25,89.88,34347580.0,NSE_EQ|INE848E01016
2025-04-23,90.5,91.49,88.67,90.37,22917995.0,NSE_EQ|INE848E01016
2025-04-24,90.39,91.16,88.92,89.08,20697922.0,NSE_EQ|INE848E01016
2025-04-25,89.6,89.88,85.12,86.07,22579800.0,NSE_EQ|INE848E01016
2025-04-28,86.04,87.26,85.7,86.77,13092935.0,NSE_EQ|INE848E01016
2025-04-29,87.7,88.13,86.1,86.52,9534930.0,NSE_EQ|INE848E01016
2025-04-30,86.94,87.35,85.2,85.79,12429363.0,NSE_EQ|INE848E01016
2025-05-02,85.79,87.0,84.75,84.99,10085614.0,NSE_EQ|INE848E01016
2025-05-05,85.9,85.92,84.15,84.63,10850230.0,NSE_EQ|INE848E01016
