date,open,high,low,close,volume,instrument_key
2025-03-18,229.0,241.4,228.9,238.24,4001650.0,NSE_EQ|INE589A01014
2025-03-19,238.35,249.5,238.24,248.55,3245148.0,NSE_EQ|INE589A01014
2025-03-20,249.21,250.88,241.99,247.98,1952674.0,NSE_EQ|INE589A01014
2025-03-21,247.6,269.06,245.45,257.49,6989730.0,NSE_EQ|INE589A01014
2025-03-24,258.0,261.01,255.0,256.84,1512356.0,NSE_EQ|INE589A01014
2025-03-25,257.0,257.75,244.75,249.2,2371760.0,NSE_EQ|INE589A01014
2025-03-26,248.79,256.49,240.41,241.92,3066674.0,NSE_EQ|INE589A01014
2025-03-27,243.1,247.95,240.92,245.5,2352760.0,NSE_EQ|INE589A01014
2025-03-28,245.5,250.39,240.8,244.67,1793666.0,NSE_EQ|INE589A01014
2025-04-01,244.94,246.27,241.3,243.58,747608.0,NSE_EQ|INE589A01014
2025-04-02,244.14,245.7,238.61,244.83,718514.0,NSE_EQ|INE589A01014
2025-04-03,243.49,254.0,240.75,248.83,1762547.0,NSE_EQ|INE589A01014
2025-04-04,249.05,250.85,235.02,236.27,1281379.0,NSE_EQ|INE589A01014
2025-04-07,215.03,239.0,214.01,228.43,1430853.0,NSE_EQ|INE589A01014
2025-04-08,233.99,236.19,227.95,231.26,998276.0,NSE_EQ|INE589A01014
2025-04-09,230.27,231.86,223.85,224.99,1141015.0,NSE_EQ|INE589A01014
2025-04-11,229.5,231.85,227.97,229.49,1193137.0,NSE_EQ|INE589A01014
2025-04-15,233.0,241.0,232.71,238.93,930875.0,NSE_EQ|INE589A01014
2025-04-16,240.0,248.13,237.63,242.15,2087407.0,NSE_EQ|INE589A01014
2025-04-17,243.0,246.9,239.13,241.43,1580726.0,NSE_EQ|INE589A01014
2025-04-21,242.0,248.3,240.1,247.51,1601600.0,NSE_EQ|INE589A01014
2025-04-22,248.22,250.7,244.1,245.97,1013167.0,NSE_EQ|INE589A01014
2025-04-23,246.95,249.4,240.51,244.56,910431.0,NSE_EQ|INE589A01014
2025-04-24,244.48,249.25,242.2,246.03,1041381.0,NSE_EQ|INE589A01014
2025-04-25,246.3,247.61,235.6,237.62,1375819.0,NSE_EQ|INE589A01014
2025-04-28,237.75,242.37,235.61,237.76,709538.0,NSE_EQ|INE589A01014
2025-04-29,240.0,242.9,233.41,233.95,631439.0,NSE_EQ|INE589A01014
2025-04-30,235.48,235.48,225.58,227.58,1388474.0,NSE_EQ|INE589A01014
2025-05-02,227.59,231.49,224.53,225.52,805249.0,NSE_EQ|INE589A01014
2025-05-05,228.99,228.99,223.81,225.31,899019.0,NSE_EQ|INE589A01014
2025-05-06,226.5,229.16,216.36,217.73,856967.0,NSE_EQ|INE589A01014
2025-05-07,217.75,225.4,216.36,222.56,1291063.0,NSE_EQ|INE589A01014
2025-05-08,225.0,228.5,218.01,220.44,1094627.0,NSE_EQ|INE589A01014
2025-05-09,218.0,220.9,212.85,220.15,1051858.0,NSE_EQ|INE589A01014
2025-05-12,229.4,232.65,227.0,230.32,1418542.0,NSE_EQ|INE589A01014
