date,close,instrument_key
2025-03-18,66.77,NSE_EQ|INE584A01023
2025-03-19,68.78,NSE_EQ|INE584A01023
2025-03-20,68.79,NSE_EQ|INE584A01023
2025-03-21,67.51,NSE_EQ|INE584A01023
2025-03-24,69.53,NSE_EQ|INE584A01023
2025-03-25,68.19,NSE_EQ|INE584A01023
2025-03-26,67.75,NSE_EQ|INE584A01023
2025-03-27,68.55,NSE_EQ|INE584A01023
2025-03-28,68.89,NSE_EQ|INE584A01023
2025-04-01,69.77,NSE_EQ|INE584A01023
2025-04-02,70.21,NSE_EQ|INE584A01023
2025-04-03,70.43,NSE_EQ|INE584A01023
2025-04-04,65.02,NSE_EQ|INE584A01023
2025-04-07,61.3,NSE_EQ|INE584A01023
2025-04-08,61.57,NSE_EQ|INE584A01023
2025-04-09,61.31,NSE_EQ|INE584A01023
2025-04-11,62.91,NSE_EQ|INE584A01023
2025-04-15,65.14,NSE_EQ|INE584A01023
2025-04-16,65.74,NSE_EQ|INE584A01023
2025-04-17,65.87,NSE_EQ|INE584A01023
2025-04-21,67.83,NSE_EQ|INE584A01023
2025-04-22,67.96,NSE_EQ|INE584A01023
2025-04-23,68.11,NSE_EQ|INE584A01023
2025-04-24,68.02,NSE_EQ|INE584A01023
2025-04-25,64.95,NSE_EQ|INE584A01023
2025-04-28,65.71,NSE_EQ|INE584A01023
2025-04-29,65.57,NSE_EQ|INE584A01023
2025-04-30,64.79,NSE_EQ|INE584A01023
2025-05-02,65.24,NSE_EQ|INE584A01023
2025-05-05,65.95,NSE_EQ|INE584A01023
2025-05-06,64.36,NSE_EQ|INE584A01023
2025-05-07,65.74,NSE_EQ|INE584A01023
2025-05-08,63.79,NSE_EQ|INE584A01023
2025-05-09,64.29,NSE_EQ|INE584A01023
2025-05-12,68.08,NSE_EQ|INE584A01023
2025-05-13,67.21,NSE_EQ|INE584A01023
2025-05-14,70.04,NSE_EQ|INE584A01023
2025-05-15,70.06,NSE_EQ|INE584A01023
2025-05-16,70.27,NSE_EQ|INE584A01023
2025-05-19,70.26,NSE_EQ|INE584A01023
2025-05-20,69.28,NSE_EQ|INE584A01023
2025-05-21,70.15,NSE_EQ|INE584A01023
2025-05-22,71.19,NSE_EQ|INE584A01023
2025-05-23,72.49,NSE_EQ|INE584A01023
2025-05-26,73.24,NSE_EQ|INE584A01023
2025-05-27,72.74,NSE_EQ|INE584A01023
2025-05-28,70.86,NSE_EQ|INE584A01023
2025-05-29,72.29,NSE_EQ|INE584A01023
2025-05-30,71.17,NSE_EQ|INE584A01023
2025-06-02,70.77,NSE_EQ|INE584A01023
2025-06-03,70.69,NSE_EQ|INE584A01023
2025-06-04,70.35,NSE_EQ|INE584A01023
2025-06-05,70.8,NSE_EQ|INE584A01023
2025-06-06,72.49,NSE_EQ|INE584A01023
2025-06-09,74.0,NSE_EQ|INE584A01023
2025-06-10,74.33,NSE_EQ|INE584A01023
2025-06-11,73.95,NSE_EQ|INE584A01023
2025-06-12,72.42,NSE_EQ|INE584A01023
2025-06-13,70.37,NSE_EQ|INE584A01023
2025-06-16,70.51,NSE_EQ|INE584A01023
2025-06-17,68.63,NSE_EQ|INE584A01023
2025-06-18,68.5,NSE_EQ|INE584A01023
2025-06-19,67.04,NSE_EQ|INE584A01023
2025-06-20,67.94,NSE_EQ|INE584A01023
2025-06-23,68.0,NSE_EQ|INE584A01023
2025-06-24,69.47,NSE_EQ|INE584A01023
2025-06-25,69.02,NSE_EQ|INE584A01023
2025-06-26,70.55,NSE_EQ|INE584A01023
2025-06-27,69.91,NSE_EQ|INE584A01023
2025-06-30,70.0,NSE_EQ|INE584A01023
2025-07-01,67.95,NSE_EQ|INE584A01023
2025-07-02,68.02,NSE_EQ|INE584A01023
2025-07-03,69.06,NSE_EQ|INE584A01023
2025-07-04,68.78,NSE_EQ|INE584A01023
2025-07-07,68.29,NSE_EQ|INE584A01023
2025-07-08,68.29,NSE_EQ|INE584A01023
2025-07-09,67.9,NSE_EQ|INE584A01023
2025-07-10,68.69,NSE_EQ|INE584A01023
2025-07-11,69.05,NSE_EQ|INE584A01023
2025-07-14,69.07,NSE_EQ|INE584A01023
2025-07-15,67.98,NSE_EQ|INE584A01023
2025-07-16,68.64,NSE_EQ|INE584A01023
2025-07-17,69.56,NSE_EQ|INE584A01023
2025-07-18,71.44,NSE_EQ|INE584A01023
2025-07-21,71.91,NSE_EQ|INE584A01023
2025-07-22,72.14,NSE_EQ|INE584A01023
2025-07-23,72.98,NSE_EQ|INE584A01023
2025-07-24,72.75,NSE_EQ|INE584A01023
2025-07-25,71.65,NSE_EQ|INE584A01023
2025-07-28,71.02,NSE_EQ|INE584A01023
2025-07-29,71.8,NSE_EQ|INE584A01023
2025-07-30,72.06,NSE_EQ|INE584A01023
2025-07-31,70.79,NSE_EQ|INE584A01023
2025-08-01,70.46,NSE_EQ|INE584A01023
2025-08-04,71.82,NSE_EQ|INE584A01023
2025-08-05,71.92,NSE_EQ|INE584A01023
2025-08-06,71.86,NSE_EQ|INE584A01023
2025-08-07,71.5,NSE_EQ|INE584A01023
2025-08-08,71.07,NSE_EQ|INE584A01023
2025-08-11,70.65,NSE_EQ|INE584A01023
2025-08-12,70.94,NSE_EQ|INE584A01023
2025-08-13,72.58,NSE_EQ|INE584A01023
2025-08-14,69.4,NSE_EQ|INE584A01023
