date,open,high,low,close,volume,instrument_key
2025-03-18,33.6,34.17,33.43,33.56,6782054.0,NSE_EQ|INE0NNS01018
2025-03-19,34.0,36.4,33.99,35.9,23532281.0,NSE_EQ|INE0NNS01018
2025-03-20,36.2,36.44,35.33,35.68,4940652.0,NSE_EQ|INE0NNS01018
2025-03-21,35.68,36.98,35.61,36.41,6847863.0,NSE_EQ|INE0NNS01018
2025-03-24,36.6,36.97,36.1,36.27,7053972.0,NSE_EQ|INE0NNS01018
2025-03-25,36.6,36.6,35.0,35.07,6332914.0,NSE_EQ|INE0NNS01018
2025-03-26,35.3,35.35,34.0,34.05,6475052.0,NSE_EQ|INE0NNS01018
2025-03-27,34.05,34.25,33.55,33.68,8574779.0,NSE_EQ|INE0NNS01018
2025-03-28,33.81,34.88,33.3,33.36,8200823.0,NSE_EQ|INE0NNS01018
2025-04-01,33.36,34.65,33.36,34.15,4534617.0,NSE_EQ|INE0NNS01018
2025-04-02,34.4,35.5,33.68,35.03,4917649.0,NSE_EQ|INE0NNS01018
2025-04-03,34.5,36.34,34.5,36.03,6033876.0,NSE_EQ|INE0NNS01018
2025-04-04,35.91,35.97,34.34,34.67,4569714.0,NSE_EQ|INE0NNS01018
2025-04-07,33.0,33.64,32.13,33.04,5984254.0,NSE_EQ|INE0NNS01018
2025-04-08,33.95,34.38,33.31,33.87,2933407.0,NSE_EQ|INE0NNS01018
2025-04-09,33.87,33.98,33.26,33.78,1533035.0,NSE_EQ|INE0NNS01018
2025-04-11,34.2,35.3,34.2,35.04,3220375.0,NSE_EQ|INE0NNS01018
2025-04-15,35.7,35.99,34.91,35.49,5483662.0,NSE_EQ|INE0NNS01018
2025-04-16,35.5,35.98,35.39,35.76,3028220.0,NSE_EQ|INE0NNS01018
2025-04-17,35.6,36.44,35.59,35.9,2778124.0,NSE_EQ|INE0NNS01018
2025-04-21,36.0,37.06,35.61,36.64,3958366.0,NSE_EQ|INE0NNS01018
2025-04-22,37.2,37.96,36.75,37.35,5884436.0,NSE_EQ|INE0NNS01018
2025-04-23,37.45,37.73,36.42,37.22,4002095.0,NSE_EQ|INE0NNS01018
2025-04-24,37.25,38.1,35.52,37.41,4900762.0,NSE_EQ|INE0NNS01018
2025-04-25,37.59,37.59,35.1,35.35,5496704.0,NSE_EQ|INE0NNS01018
2025-04-28,35.05,35.64,34.8,35.43,2621676.0,NSE_EQ|INE0NNS01018
2025-04-29,35.5,36.24,35.33,35.5,2814219.0,NSE_EQ|INE0NNS01018
2025-04-30,35.5,36.35,35.1,35.35,5004645.0,NSE_EQ|INE0NNS01018
2025-05-02,35.5,35.94,34.94,35.21,3608583.0,NSE_EQ|INE0NNS01018
2025-05-05,35.31,35.55,34.98,35.24,3120366.0,NSE_EQ|INE0NNS01018
2025-05-06,35.35,35.62,34.01,34.13,3618542.0,NSE_EQ|INE0NNS01018
2025-05-07,34.0,34.87,33.84,34.73,4271529.0,NSE_EQ|INE0NNS01018
2025-05-08,34.77,35.21,34.0,34.1,3129951.0,NSE_EQ|INE0NNS01018
2025-05-09,33.84,34.18,32.93,33.95,3812384.0,NSE_EQ|INE0NNS01018
2025-05-12,35.2,36.45,35.02,36.12,6002472.0,NSE_EQ|INE0NNS01018
2025-05-13,36.3,36.65,35.58,36.21,3861114.0,NSE_EQ|INE0NNS01018
2025-05-14,36.3,38.29,36.09,37.97,8628574.0,NSE_EQ|INE0NNS01018
2025-05-15,38.1,38.49,37.66,37.87,4210260.0,NSE_EQ|INE0NNS01018
2025-05-16,38.03,39.0,37.78,38.5,5694902.0,NSE_EQ|INE0NNS01018
2025-05-19,38.8,39.64,38.58,39.01,4254659.0,NSE_EQ|INE0NNS01018
2025-05-20,39.32,39.87,38.75,38.94,5344629.0,NSE_EQ|INE0NNS01018
2025-05-21,38.92,39.15,38.55,38.99,2424860.0,NSE_EQ|INE0NNS01018
2025-05-22,38.71,39.31,38.6,38.9,2835439.0,NSE_EQ|INE0NNS01018
2025-05-23,39.09,39.98,38.54,39.74,3609647.0,NSE_EQ|INE0NNS01018
2025-05-26,39.89,40.6,39.4,39.51,3925347.0,NSE_EQ|INE0NNS01018
2025-05-27,39.6,39.61,38.85,39.28,2194515.0,NSE_EQ|INE0NNS01018
2025-05-28,39.5,40.4,39.3,39.79,5745985.0,NSE_EQ|INE0NNS01018
2025-05-29,39.99,40.85,39.8,39.92,3442999.0,NSE_EQ|INE0NNS01018
2025-05-30,39.99,39.99,38.0,38.09,6648380.0,NSE_EQ|INE0NNS01018
2025-06-02,38.09,38.7,37.5,38.56,2695115.0,NSE_EQ|INE0NNS01018
2025-06-03,38.57,39.07,38.2,38.35,2780128.0,NSE_EQ|INE0NNS01018
2025-06-04,38.39,39.0,37.85,38.92,2640414.0,NSE_EQ|INE0NNS01018
2025-06-05,39.08,39.6,38.5,38.62,2193799.0,NSE_EQ|INE0NNS01018
2025-06-06,38.62,39.76,38.6,39.43,3678676.0,NSE_EQ|INE0NNS01018
2025-06-09,39.6,40.09,39.55,39.81,1898794.0,NSE_EQ|INE0NNS01018
2025-06-10,40.01,40.7,39.82,39.9,3980191.0,NSE_EQ|INE0NNS01018
2025-06-11,40.05,43.48,39.97,40.92,24095979.0,NSE_EQ|INE0NNS01018
2025-06-12,41.45,41.45,39.6,39.87,4677098.0,NSE_EQ|INE0NNS01018
2025-06-13,39.15,39.42,38.61,39.05,3150428.0,NSE_EQ|INE0NNS01018
2025-06-16,39.08,39.28,38.01,38.8,2131819.0,NSE_EQ|INE0NNS01018
2025-06-17,38.99,39.18,37.82,38.17,2580443.0,NSE_EQ|INE0NNS01018
2025-06-18,38.0,38.32,37.52,37.89,2238737.0,NSE_EQ|INE0NNS01018
2025-06-19,37.95,38.1,36.73,37.08,2167552.0,NSE_EQ|INE0NNS01018
2025-06-20,37.0,37.67,36.86,37.46,1782829.0,NSE_EQ|INE0NNS01018
2025-06-23,37.0,38.08,36.95,37.82,2069585.0,NSE_EQ|INE0NNS01018
2025-06-24,38.05,39.89,38.05,38.5,4273539.0,NSE_EQ|INE0NNS01018
2025-06-25,38.8,39.62,38.76,39.47,3532468.0,NSE_EQ|INE0NNS01018
2025-06-26,39.46,41.3,39.46,41.0,6689288.0,NSE_EQ|INE0NNS01018
2025-06-27,41.27,41.94,40.88,41.23,8951285.0,NSE_EQ|INE0NNS01018
2025-06-30,41.5,41.7,40.72,40.99,3403564.0,NSE_EQ|INE0NNS01018
2025-07-01,41.19,41.38,40.29,40.6,2770608.0,NSE_EQ|INE0NNS01018
2025-07-02,40.6,40.63,39.83,40.43,3227611.0,NSE_EQ|INE0NNS01018
2025-07-03,40.59,41.49,40.38,40.98,3842108.0,NSE_EQ|INE0NNS01018
2025-07-04,41.03,41.08,40.4,40.49,1648557.0,NSE_EQ|INE0NNS01018
2025-07-07,40.35,40.79,39.66,39.92,2094406.0,NSE_EQ|INE0NNS01018
2025-07-08,39.75,40.32,39.4,39.9,1593069.0,NSE_EQ|INE0NNS01018
2025-07-09,39.9,39.97,39.25,39.57,1931198.0,NSE_EQ|INE0NNS01018
2025-07-10,39.54,40.15,39.53,40.05,1240223.0,NSE_EQ|INE0NNS01018
2025-07-11,40.01,40.54,39.6,39.81,1662535.0,NSE_EQ|INE0NNS01018
2025-07-14,39.75,39.75,39.05,39.16,1802513.0,NSE_EQ|INE0NNS01018
2025-07-15,39.45,39.8,38.97,39.09,1476271.0,NSE_EQ|INE0NNS01018
2025-07-16,39.01,39.54,38.93,39.34,1662813.0,NSE_EQ|INE0NNS01018
2025-07-17,39.42,39.77,39.21,39.37,1339436.0,NSE_EQ|INE0NNS01018
2025-07-18,39.34,39.69,39.0,39.48,2108773.0,NSE_EQ|INE0NNS01018
2025-07-21,39.5,40.35,39.5,39.83,2053603.0,NSE_EQ|INE0NNS01018
2025-07-22,39.99,40.17,39.31,39.49,1936593.0,NSE_EQ|INE0NNS01018
2025-07-23,39.52,39.65,39.11,39.28,1129374.0,NSE_EQ|INE0NNS01018
2025-07-24,39.45,39.76,39.12,39.24,1582676.0,NSE_EQ|INE0NNS01018
2025-07-25,39.24,39.28,38.22,38.32,1996333.0,NSE_EQ|INE0NNS01018
2025-07-28,38.25,38.47,37.47,37.66,1350604.0,NSE_EQ|INE0NNS01018
2025-07-29,37.55,37.8,37.06,37.62,1485824.0,NSE_EQ|INE0NNS01018
2025-07-30,37.6,38.2,37.25,37.3,965159.0,NSE_EQ|INE0NNS01018
2025-07-31,36.99,37.2,36.43,36.57,1774199.0,NSE_EQ|INE0NNS01018
2025-08-01,36.64,37.1,36.12,36.25,1435478.0,NSE_EQ|INE0NNS01018
2025-08-04,36.34,37.15,36.02,36.97,1518129.0,NSE_EQ|INE0NNS01018
2025-08-05,36.82,37.2,36.33,36.45,1270061.0,NSE_EQ|INE0NNS01018
2025-08-06,36.69,36.83,36.01,36.18,1169919.0,NSE_EQ|INE0NNS01018
2025-08-07,36.18,36.25,35.35,35.88,1559261.0,NSE_EQ|INE0NNS01018
2025-08-08,35.95,36.38,35.57,35.66,1782505.0,NSE_EQ|INE0NNS01018
2025-08-11,35.64,36.19,35.4,36.08,1144984.0,NSE_EQ|INE0NNS01018
2025-08-12,36.05,36.93,35.6,35.85,1853492.0,NSE_EQ|INE0NNS01018
2025-08-13,40.04,43.02,39.35,43.02,96740093.0,NSE_EQ|INE0NNS01018
2025-08-14,44.25,44.89,39.66,40.08,59065023.0,NSE_EQ|INE0NNS01018
2025-08-18,41.39,41.56,39.43,39.7,9600029.0,NSE_EQ|INE0NNS01018
2025-08-19,39.99,40.99,39.27,39.73,10992673.0,NSE_EQ|INE0NNS01018
2025-08-20,39.89,41.45,39.33,40.06,12268747.0,NSE_EQ|INE0NNS01018
2025-08-21,40.06,40.44,38.9,39.05,7328887.0,NSE_EQ|INE0NNS01018
2025-08-22,39.2,39.37,38.4,38.75,7144425.0,NSE_EQ|INE0NNS01018
2025-08-25,39.15,39.37,38.7,39.09,2417493.0,NSE_EQ|INE0NNS01018
2025-08-26,39.0,39.07,38.11,38.25,3122783.0,NSE_EQ|INE0NNS01018
2025-08-28,38.2,38.24,37.65,37.79,2937791.0,NSE_EQ|INE0NNS01018
2025-08-29,37.89,38.23,37.59,37.82,2869407.0,NSE_EQ|INE0NNS01018
2025-09-01,37.76,38.71,37.75,38.01,3745999.0,NSE_EQ|INE0NNS01018
2025-09-02,38.05,39.78,37.91,39.23,7249711.0,NSE_EQ|INE0NNS01018
2025-09-03,39.43,44.19,39.26,43.0,64925942.0,NSE_EQ|INE0NNS01018
2025-09-04,43.05,43.27,41.67,41.77,8103670.0,NSE_EQ|INE0NNS01018
2025-09-05,41.77,43.14,41.32,42.46,7924058.0,NSE_EQ|INE0NNS01018
2025-09-08,42.75,44.2,42.5,43.35,8753665.0,NSE_EQ|INE0NNS01018
2025-09-09,43.36,43.9,42.62,43.44,5533758.0,NSE_EQ|INE0NNS01018
2025-09-10,44.0,45.75,43.51,45.02,19695805.0,NSE_EQ|INE0NNS01018
2025-09-11,45.5,46.24,44.61,45.63,12942746.0,NSE_EQ|INE0NNS01018
2025-09-12,45.62,46.44,45.28,46.31,9260985.0,NSE_EQ|INE0NNS01018
