date,open,high,low,close,volume,instrument_key
2025-03-18,165.49,167.48,164.71,167.11,5125077.0,NSE_EQ|INE388Y01029
2025-03-19,167.4,167.49,163.51,164.84,10513847.0,NSE_EQ|INE388Y01029
2025-03-20,165.29,171.4,165.29,168.08,9732985.0,NSE_EQ|INE388Y01029
2025-03-21,168.99,174.6,167.01,172.52,8417922.0,NSE_EQ|INE388Y01029
2025-03-24,173.0,174.26,171.53,173.25,4443470.0,NSE_EQ|INE388Y01029
2025-03-25,174.9,177.2,168.76,169.51,7674906.0,NSE_EQ|INE388Y01029
2025-03-26,169.99,173.0,169.12,171.95,6813073.0,NSE_EQ|INE388Y01029
2025-03-27,170.51,176.56,169.87,174.55,5821057.0,NSE_EQ|INE388Y01029
2025-03-28,175.9,179.5,174.88,179.08,5347936.0,NSE_EQ|INE388Y01029
2025-04-01,179.0,180.9,176.58,179.83,4814245.0,NSE_EQ|INE388Y01029
2025-04-02,181.0,181.25,178.83,179.89,3031106.0,NSE_EQ|INE388Y01029
2025-04-03,179.0,180.8,178.51,179.37,1893881.0,NSE_EQ|INE388Y01029
2025-04-04,178.99,179.01,175.43,176.78,2534256.0,NSE_EQ|INE388Y01029
2025-04-07,165.98,173.89,165.97,171.3,9928608.0,NSE_EQ|INE388Y01029
2025-04-08,174.0,179.37,174.0,176.75,4126389.0,NSE_EQ|INE388Y01029
2025-04-09,176.0,177.95,172.39,177.0,4911791.0,NSE_EQ|INE388Y01029
2025-04-11,179.0,182.49,177.5,179.9,5899811.0,NSE_EQ|INE388Y01029
2025-04-15,180.0,187.63,177.8,185.86,14054630.0,NSE_EQ|INE388Y01029
2025-04-16,185.86,191.85,185.15,189.84,9223490.0,NSE_EQ|INE388Y01029
2025-04-17,189.5,191.97,187.68,189.45,6682340.0,NSE_EQ|INE388Y01029
2025-04-21,190.0,196.98,188.86,192.15,11237455.0,NSE_EQ|INE388Y01029
2025-04-22,192.05,194.25,186.84,187.94,5894496.0,NSE_EQ|INE388Y01029
2025-04-23,189.0,194.5,188.24,192.95,7698249.0,NSE_EQ|INE388Y01029
2025-04-24,192.95,195.55,190.81,194.37,6715243.0,NSE_EQ|INE388Y01029
2025-04-25,193.01,194.8,188.12,191.57,5296829.0,NSE_EQ|INE388Y01029
2025-04-28,190.99,195.0,190.75,194.07,6622460.0,NSE_EQ|INE388Y01029
2025-04-29,193.9,199.74,193.5,194.72,7143305.0,NSE_EQ|INE388Y01029
2025-04-30,194.3,194.75,191.93,194.37,5819934.0,NSE_EQ|INE388Y01029
2025-05-02,195.4,196.91,192.37,193.47,11110293.0,NSE_EQ|INE388Y01029
2025-05-05,193.49,198.89,193.2,196.27,10625515.0,NSE_EQ|INE388Y01029
2025-05-06,197.86,200.7,192.06,194.46,5621262.0,NSE_EQ|INE388Y01029
2025-05-07,190.65,196.78,190.02,195.64,5237367.0,NSE_EQ|INE388Y01029
2025-05-08,195.03,196.98,190.5,192.46,4489862.0,NSE_EQ|INE388Y01029
2025-05-09,188.5,194.39,188.5,193.03,3873715.0,NSE_EQ|INE388Y01029
2025-05-12,195.81,199.2,195.81,198.97,3248718.0,NSE_EQ|INE388Y01029
2025-05-13,199.0,201.31,195.11,197.63,5449240.0,NSE_EQ|INE388Y01029
2025-05-14,199.7,204.45,196.57,197.35,21762292.0,NSE_EQ|INE388Y01029
2025-05-15,197.5,199.9,196.56,197.32,7347903.0,NSE_EQ|INE388Y01029
2025-05-16,197.0,202.75,197.0,201.8,11944254.0,NSE_EQ|INE388Y01029
2025-05-19,203.0,205.08,195.56,196.65,15854639.0,NSE_EQ|INE388Y01029
2025-05-20,199.0,201.45,197.5,199.03,10347029.0,NSE_EQ|INE388Y01029
2025-05-21,198.6,203.38,196.5,200.48,12263249.0,NSE_EQ|INE388Y01029
2025-05-22,199.6,203.9,199.6,201.44,8537838.0,NSE_EQ|INE388Y01029
2025-05-23,201.44,204.6,200.61,203.29,6338397.0,NSE_EQ|INE388Y01029
2025-05-26,204.49,206.39,199.61,200.26,6522336.0,NSE_EQ|INE388Y01029
2025-05-27,202.0,202.9,199.23,201.13,9181108.0,NSE_EQ|INE388Y01029
2025-05-28,202.16,205.6,200.25,200.83,9159924.0,NSE_EQ|INE388Y01029
2025-05-29,201.49,205.4,199.25,204.51,8806978.0,NSE_EQ|INE388Y01029
2025-05-30,205.25,208.6,200.11,203.26,193439927.0,NSE_EQ|INE388Y01029
2025-06-02,199.0,204.4,193.41,194.55,20250116.0,NSE_EQ|INE388Y01029
2025-06-03,195.39,196.4,192.48,195.48,7676924.0,NSE_EQ|INE388Y01029
2025-06-04,196.0,196.3,193.68,195.05,6168700.0,NSE_EQ|INE388Y01029
2025-06-05,195.5,199.6,194.65,198.13,6028105.0,NSE_EQ|INE388Y01029
2025-06-06,198.8,198.8,196.55,197.2,6268363.0,NSE_EQ|INE388Y01029
2025-06-09,197.2,203.32,197.1,202.03,9955307.0,NSE_EQ|INE388Y01029
2025-06-10,203.96,203.96,198.56,199.3,2750326.0,NSE_EQ|INE388Y01029
2025-06-11,200.6,200.61,197.69,199.06,2941307.0,NSE_EQ|INE388Y01029
2025-06-12,199.9,200.1,193.95,194.49,2502702.0,NSE_EQ|INE388Y01029
2025-06-13,192.0,195.34,191.16,194.73,3108766.0,NSE_EQ|INE388Y01029
2025-06-16,194.73,196.77,192.2,195.1,4532367.0,NSE_EQ|INE388Y01029
2025-06-17,194.2,195.43,192.95,194.06,2992673.0,NSE_EQ|INE388Y01029
2025-06-18,193.6,197.9,193.15,196.21,4182314.0,NSE_EQ|INE388Y01029
2025-06-19,196.0,196.99,193.14,193.99,2186156.0,NSE_EQ|INE388Y01029
2025-06-20,193.55,198.57,193.23,197.07,19831617.0,NSE_EQ|INE388Y01029
2025-06-23,196.01,204.82,194.6,203.53,12120299.0,NSE_EQ|INE388Y01029
2025-06-24,204.1,204.99,196.27,198.36,6204984.0,NSE_EQ|INE388Y01029
2025-06-25,198.9,204.7,198.48,204.14,9021420.0,NSE_EQ|INE388Y01029
2025-06-26,204.25,207.89,202.4,206.85,5322917.0,NSE_EQ|INE388Y01029
2025-06-27,208.0,210.94,204.2,209.86,20037270.0,NSE_EQ|INE388Y01029
2025-06-30,210.0,210.38,206.66,208.39,3452461.0,NSE_EQ|INE388Y01029
2025-07-01,208.23,210.28,206.71,207.05,3847897.0,NSE_EQ|INE388Y01029
2025-07-02,207.76,212.25,204.26,211.59,8571295.0,NSE_EQ|INE388Y01029
2025-07-03,205.0,205.5,201.0,202.31,59581827.0,NSE_EQ|INE388Y01029
2025-07-04,202.5,203.16,197.62,198.23,7997284.0,NSE_EQ|INE388Y01029
2025-07-07,200.0,203.13,199.31,201.52,17509900.0,NSE_EQ|INE388Y01029
2025-07-08,201.52,202.96,200.56,202.59,4455832.0,NSE_EQ|INE388Y01029
2025-07-09,202.89,214.94,201.91,213.37,20223587.0,NSE_EQ|INE388Y01029
2025-07-10,212.0,218.43,211.11,217.14,15986720.0,NSE_EQ|INE388Y01029
2025-07-11,216.51,218.7,216.03,217.23,6967137.0,NSE_EQ|INE388Y01029
2025-07-14,220.07,220.4,216.68,220.03,5706960.0,NSE_EQ|INE388Y01029
2025-07-15,219.0,220.9,215.45,216.06,4039572.0,NSE_EQ|INE388Y01029
2025-07-16,215.97,216.95,213.44,215.7,4067075.0,NSE_EQ|INE388Y01029
2025-07-17,215.8,220.0,215.15,217.47,6695974.0,NSE_EQ|INE388Y01029
2025-07-18,217.47,218.47,212.05,212.86,2792302.0,NSE_EQ|INE388Y01029
2025-07-21,212.86,216.49,210.07,215.03,2062727.0,NSE_EQ|INE388Y01029
