date,open,high,low,close,volume,instrument_key
2025-03-18,46.37,54.37,46.37,52.77,190182333.0,NSE_EQ|INE0LXG01040
2025-03-19,52.97,55.8,52.91,53.85,125139405.0,NSE_EQ|INE0LXG01040
2025-03-20,54.11,54.43,51.4,51.71,55919357.0,NSE_EQ|INE0LXG01040
2025-03-21,51.71,56.87,51.27,56.07,189119171.0,NSE_EQ|INE0LXG01040
2025-03-24,57.56,58.43,54.86,55.73,65530181.0,NSE_EQ|INE0LXG01040
2025-03-25,57.5,57.73,53.57,54.12,57326308.0,NSE_EQ|INE0LXG01040
2025-03-26,54.0,54.98,51.35,51.74,49183198.0,NSE_EQ|INE0LXG01040
2025-03-27,51.83,55.6,51.58,55.1,83181034.0,NSE_EQ|INE0LXG01040
2025-03-28,55.1,55.7,52.62,53.05,38033501.0,NSE_EQ|INE0LXG01040
2025-04-01,52.81,54.4,52.55,52.71,33287417.0,NSE_EQ|INE0LXG01040
2025-04-02,52.75,54.22,51.83,54.07,33537616.0,NSE_EQ|INE0LXG01040
2025-04-03,53.0,54.48,53.0,54.04,22386332.0,NSE_EQ|INE0LXG01040
2025-04-04,53.5,53.81,51.56,52.48,23203664.0,NSE_EQ|INE0LXG01040
2025-04-07,45.35,51.75,45.35,50.77,37901908.0,NSE_EQ|INE0LXG01040
2025-04-08,52.49,52.87,50.02,50.88,38477761.0,NSE_EQ|INE0LXG01040
2025-04-09,51.21,51.3,49.79,50.11,18714150.0,NSE_EQ|INE0LXG01040
2025-04-11,51.59,51.7,49.9,50.2,22512064.0,NSE_EQ|INE0LXG01040
2025-04-15,51.25,51.65,50.06,50.27,33940124.0,NSE_EQ|INE0LXG01040
2025-04-16,50.5,52.78,50.0,50.21,58074672.0,NSE_EQ|INE0LXG01040
2025-04-17,50.35,50.7,50.1,50.22,20597955.0,NSE_EQ|INE0LXG01040
2025-04-21,50.57,53.57,50.45,52.88,67045731.0,NSE_EQ|INE0LXG01040
2025-04-22,52.97,53.97,52.24,53.08,30693991.0,NSE_EQ|INE0LXG01040
2025-04-23,53.46,53.59,50.86,52.55,58224552.0,NSE_EQ|INE0LXG01040
2025-04-24,52.55,54.44,52.3,52.41,42814417.0,NSE_EQ|INE0LXG01040
2025-04-25,52.5,52.69,49.56,49.86,50643672.0,NSE_EQ|INE0LXG01040
2025-04-28,49.7,50.35,48.41,49.55,30954602.0,NSE_EQ|INE0LXG01040
2025-04-29,50.1,50.79,49.26,50.19,27306195.0,NSE_EQ|INE0LXG01040
2025-04-30,50.19,50.35,48.01,48.69,18937194.0,NSE_EQ|INE0LXG01040
2025-05-02,48.69,49.32,48.11,48.57,17337608.0,NSE_EQ|INE0LXG01040
2025-05-05,48.89,49.4,48.15,49.24,14792028.0,NSE_EQ|INE0LXG01040
2025-05-06,49.24,49.84,47.9,48.04,14372971.0,NSE_EQ|INE0LXG01040
2025-05-07,47.0,48.25,46.4,47.99,22184842.0,NSE_EQ|INE0LXG01040
2025-05-08,48.49,49.18,47.15,47.6,16350394.0,NSE_EQ|INE0LXG01040
2025-05-09,46.0,46.95,45.89,46.67,15648882.0,NSE_EQ|INE0LXG01040
2025-05-12,49.0,49.9,48.5,49.65,18880419.0,NSE_EQ|INE0LXG01040
2025-05-13,49.65,50.7,48.98,50.09,19458226.0,NSE_EQ|INE0LXG01040
2025-05-14,50.2,51.97,49.86,51.63,29803887.0,NSE_EQ|INE0LXG01040
