date,open,high,low,close,volume,instrument_key
2025-11-14,242.0,284.0,234.17,250.89,97868249.0,NSE_EQ|INE15B701018
2025-11-17,252.67,262.0,238.1,240.46,28117291.0,NSE_EQ|INE15B701018
2025-11-18,240.54,250.0,235.5,240.77,11098733.0,NSE_EQ|INE15B701018
2025-11-19,240.97,244.68,237.47,241.87,6165358.0,NSE_EQ|INE15B701018
2025-11-20,238.0,241.87,235.1,239.18,4515016.0,NSE_EQ|INE15B701018
2025-11-21,236.94,242.82,235.1,236.13,2624192.0,NSE_EQ|INE15B701018
2025-11-24,233.31,236.49,230.53,233.69,2209452.0,NSE_EQ|INE15B701018
2025-11-25,232.0,248.53,232.0,245.92,5467177.0,NSE_EQ|INE15B701018
2025-11-26,245.05,245.1,239.31,240.37,1731555.0,NSE_EQ|INE15B701018
2025-11-27,240.0,243.43,239.88,242.04,1299487.0,NSE_EQ|INE15B701018
2025-11-28,242.09,252.64,239.25,249.76,3966894.0,NSE_EQ|INE15B701018
2025-12-01,249.0,249.64,241.7,245.67,1607453.0,NSE_EQ|INE15B701018
2025-12-02,245.65,254.64,242.2,250.3,2003827.0,NSE_EQ|INE15B701018
2025-12-03,251.1,254.75,245.6,247.56,2157070.0,NSE_EQ|INE15B701018
2025-12-04,249.99,254.06,235.25,242.53,9573467.0,NSE_EQ|INE15B701018
2025-12-05,242.0,251.12,241.97,247.63,4887504.0,NSE_EQ|INE15B701018
2025-12-08,243.0,248.44,237.43,240.61,1798209.0,NSE_EQ|INE15B701018
2025-12-09,240.0,243.8,236.86,242.65,1625674.0,NSE_EQ|INE15B701018
2025-12-10,244.38,246.08,240.08,242.08,3732222.0,NSE_EQ|INE15B701018
2025-12-11,241.15,242.46,237.99,240.9,1311228.0,NSE_EQ|INE15B701018
2025-12-12,239.5,242.43,235.91,237.14,2064813.0,NSE_EQ|INE15B701018
2025-12-15,236.1,237.0,230.28,231.3,1116595.0,NSE_EQ|INE15B701018
2025-12-16,230.0,233.3,225.0,227.26,870188.0,NSE_EQ|INE15B701018
2025-12-17,227.2,227.2,219.5,225.32,1698676.0,NSE_EQ|INE15B701018
2025-12-18,224.88,226.8,220.64,223.9,510187.0,NSE_EQ|INE15B701018
2025-12-19,223.99,245.9,223.99,242.94,3634827.0,NSE_EQ|INE15B701018
2025-12-22,242.0,242.01,231.1,232.53,1243254.0,NSE_EQ|INE15B701018
2025-12-23,236.0,237.9,232.0,234.11,1694475.0,NSE_EQ|INE15B701018
2025-12-24,240.0,251.8,233.58,234.83,7032433.0,NSE_EQ|INE15B701018
2025-12-26,235.0,239.64,235.0,237.54,802446.0,NSE_EQ|INE15B701018
2025-12-29,236.99,238.5,233.8,235.53,373538.0,NSE_EQ|INE15B701018
2025-12-30,235.5,236.66,234.25,235.38,451411.0,NSE_EQ|INE15B701018
2025-12-31,235.1,241.04,235.1,239.33,1023653.0,NSE_EQ|INE15B701018
2026-01-01,239.6,239.99,233.83,235.12,204739.0,NSE_EQ|INE15B701018
2026-01-02,235.12,236.97,233.7,235.39,514025.0,NSE_EQ|INE15B701018
2026-01-05,234.35,238.1,232.51,237.08,607256.0,NSE_EQ|INE15B701018
2026-01-06,237.08,243.0,235.58,240.77,1101498.0,NSE_EQ|INE15B701018
2026-01-07,240.0,240.0,235.29,235.8,209287.0,NSE_EQ|INE15B701018
2026-01-08,235.79,236.81,228.1,229.98,490682.0,NSE_EQ|INE15B701018
