date,open,high,low,close,volume,instrument_key
2025-03-18,810.0,826.25,802.0,817.5,563380.0,NSE_EQ|INE572E01012
2025-03-19,819.0,840.45,813.5,833.85,763110.0,NSE_EQ|INE572E01012
2025-03-20,841.5,847.9,820.5,826.05,716176.0,NSE_EQ|INE572E01012
2025-03-21,830.2,867.25,823.45,860.8,1153927.0,NSE_EQ|INE572E01012
2025-03-24,867.0,879.0,861.0,872.95,776046.0,NSE_EQ|INE572E01012
2025-03-25,885.0,890.1,846.0,870.65,1182877.0,NSE_EQ|INE572E01012
2025-03-26,873.5,876.3,850.0,851.95,398535.0,NSE_EQ|INE572E01012
2025-03-27,856.1,877.8,850.1,871.0,538892.0,NSE_EQ|INE572E01012
2025-03-28,882.0,902.05,870.6,881.5,1806791.0,NSE_EQ|INE572E01012
2025-04-01,880.0,882.75,854.9,872.85,648771.0,NSE_EQ|INE572E01012
2025-04-02,872.9,924.45,868.25,917.05,1485416.0,NSE_EQ|INE572E01012
2025-04-03,916.0,955.65,901.55,937.4,1946318.0,NSE_EQ|INE572E01012
2025-04-04,937.4,965.0,929.6,949.45,4290106.0,NSE_EQ|INE572E01012
2025-04-07,879.55,926.2,854.5,923.65,2569743.0,NSE_EQ|INE572E01012
2025-04-08,957.0,979.0,948.05,964.1,3280259.0,NSE_EQ|INE572E01012
2025-04-09,964.1,966.95,919.0,923.15,1358950.0,NSE_EQ|INE572E01012
2025-04-11,947.0,984.0,925.3,979.4,1882892.0,NSE_EQ|INE572E01012
2025-04-15,999.0,999.0,964.75,970.8,1110391.0,NSE_EQ|INE572E01012
2025-04-16,975.0,1006.5,972.05,1001.7,1622278.0,NSE_EQ|INE572E01012
2025-04-17,1002.0,1013.4,988.1,990.65,1217903.0,NSE_EQ|INE572E01012
2025-04-21,996.0,1010.0,989.85,1006.75,1167753.0,NSE_EQ|INE572E01012
2025-04-22,1015.0,1015.0,990.0,994.95,928624.0,NSE_EQ|INE572E01012
2025-04-23,1001.9,1010.95,987.2,999.75,1042419.0,NSE_EQ|INE572E01012
2025-04-24,1000.0,1019.0,998.05,1008.85,1240211.0,NSE_EQ|INE572E01012
2025-04-25,1009.6,1013.3,960.7,971.7,956423.0,NSE_EQ|INE572E01012
2025-04-28,972.6,998.5,972.35,986.25,778025.0,NSE_EQ|INE572E01012
2025-04-29,1060.0,1084.85,1019.95,1030.4,12946446.0,NSE_EQ|INE572E01012
2025-04-30,1031.9,1033.6,1002.8,1010.2,2482765.0,NSE_EQ|INE572E01012
2025-05-02,1071.1,1088.0,1048.3,1052.0,7207887.0,NSE_EQ|INE572E01012
2025-05-05,1050.0,1069.4,1039.1,1057.4,2556075.0,NSE_EQ|INE572E01012
2025-05-06,1056.1,1070.0,1033.1,1038.9,2116377.0,NSE_EQ|INE572E01012
2025-05-07,1035.0,1063.9,1024.5,1060.0,3123222.0,NSE_EQ|INE572E01012
2025-05-08,1063.0,1069.0,1018.1,1024.4,874788.0,NSE_EQ|INE572E01012
2025-05-09,995.0,1037.7,995.0,1031.1,1043121.0,NSE_EQ|INE572E01012
2025-05-12,1064.9,1081.5,1050.0,1070.8,1267561.0,NSE_EQ|INE572E01012
2025-05-13,1070.8,1098.0,1059.2,1092.2,2335184.0,NSE_EQ|INE572E01012
2025-05-14,1092.5,1096.6,1074.0,1082.2,975342.0,NSE_EQ|INE572E01012
2025-05-15,1082.6,1089.8,1066.2,1074.0,786353.0,NSE_EQ|INE572E01012
2025-05-16,1074.0,1089.5,1065.0,1072.1,742760.0,NSE_EQ|INE572E01012
2025-05-19,1072.8,1078.5,1050.4,1054.9,559426.0,NSE_EQ|INE572E01012
2025-05-20,1059.0,1063.9,1037.3,1041.5,499490.0,NSE_EQ|INE572E01012
2025-05-21,1045.0,1062.7,1042.1,1050.8,571421.0,NSE_EQ|INE572E01012
2025-05-22,1050.0,1057.9,1028.8,1044.3,1567959.0,NSE_EQ|INE572E01012
2025-05-23,1044.5,1052.5,1035.2,1043.2,537845.0,NSE_EQ|INE572E01012
2025-05-26,1045.1,1056.9,1037.5,1046.8,455798.0,NSE_EQ|INE572E01012
2025-05-27,1047.0,1051.4,1025.3,1040.6,911374.0,NSE_EQ|INE572E01012
2025-05-28,1043.9,1063.9,1042.6,1045.8,1000882.0,NSE_EQ|INE572E01012
2025-05-29,1052.0,1052.3,1027.2,1042.6,1320683.0,NSE_EQ|INE572E01012
2025-05-30,1045.0,1049.4,1033.0,1044.9,426712.0,NSE_EQ|INE572E01012
2025-06-02,1040.9,1078.0,1037.2,1073.3,1535238.0,NSE_EQ|INE572E01012
2025-06-03,1080.0,1080.6,1042.0,1050.7,1231454.0,NSE_EQ|INE572E01012
2025-06-04,1055.0,1062.1,1047.7,1057.0,505147.0,NSE_EQ|INE572E01012
2025-06-05,1057.0,1065.3,1051.0,1063.9,796023.0,NSE_EQ|INE572E01012
2025-06-06,1067.0,1117.2,1055.5,1104.9,6611228.0,NSE_EQ|INE572E01012
2025-06-09,1117.0,1141.9,1110.5,1126.1,2595528.0,NSE_EQ|INE572E01012
2025-06-10,1136.0,1136.2,1116.0,1126.2,977912.0,NSE_EQ|INE572E01012
2025-06-11,1127.0,1132.8,1109.3,1121.8,875077.0,NSE_EQ|INE572E01012
2025-06-12,1120.0,1121.4,1082.3,1089.2,717275.0,NSE_EQ|INE572E01012
2025-06-13,1062.0,1074.5,1045.5,1055.6,992862.0,NSE_EQ|INE572E01012
2025-06-16,1060.0,1071.6,1048.9,1063.1,756079.0,NSE_EQ|INE572E01012
2025-06-17,1064.0,1081.0,1057.8,1061.2,555861.0,NSE_EQ|INE572E01012
2025-06-18,1060.0,1071.7,1055.2,1057.5,534808.0,NSE_EQ|INE572E01012
2025-06-19,1057.0,1061.3,1026.3,1038.5,352125.0,NSE_EQ|INE572E01012
2025-06-20,1033.6,1055.0,1031.9,1049.8,606092.0,NSE_EQ|INE572E01012
2025-06-23,1041.5,1065.4,1032.0,1059.7,712354.0,NSE_EQ|INE572E01012
2025-06-24,1072.0,1080.6,1061.1,1066.0,773174.0,NSE_EQ|INE572E01012
2025-06-25,1072.3,1097.0,1055.5,1083.1,1207593.0,NSE_EQ|INE572E01012
2025-06-26,1088.0,1117.8,1080.2,1110.2,1945407.0,NSE_EQ|INE572E01012
2025-06-27,1135.0,1136.0,1103.1,1107.1,2780380.0,NSE_EQ|INE572E01012
2025-06-30,1111.1,1112.4,1097.0,1109.4,941069.0,NSE_EQ|INE572E01012
2025-07-01,1112.0,1114.6,1101.1,1104.0,808524.0,NSE_EQ|INE572E01012
2025-07-02,1105.0,1106.9,1074.3,1084.6,840777.0,NSE_EQ|INE572E01012
2025-07-03,1090.0,1091.9,1073.3,1084.4,825320.0,NSE_EQ|INE572E01012
2025-07-04,1088.1,1088.1,1073.6,1081.0,451031.0,NSE_EQ|INE572E01012
2025-07-07,1081.0,1091.5,1073.8,1088.2,506546.0,NSE_EQ|INE572E01012
2025-07-08,1085.0,1096.0,1073.9,1088.1,328299.0,NSE_EQ|INE572E01012
2025-07-09,1090.0,1106.3,1081.2,1098.7,644537.0,NSE_EQ|INE572E01012
2025-07-10,1098.7,1106.0,1070.5,1084.3,677670.0,NSE_EQ|INE572E01012
2025-07-11,1083.9,1086.0,1064.3,1076.8,454215.0,NSE_EQ|INE572E01012
2025-07-14,1079.8,1090.0,1070.7,1088.1,593704.0,NSE_EQ|INE572E01012
2025-07-15,1091.5,1107.0,1078.3,1099.6,745871.0,NSE_EQ|INE572E01012
