date,open,high,low,close,volume,instrument_key
2025-03-18,291.8,306.9,290.7,306.25,3354882.0,NSE_EQ|INE511C01022
2025-03-19,309.9,325.0,309.15,323.6,3086897.0,NSE_EQ|INE511C01022
2025-03-20,326.0,326.65,317.15,318.2,1579465.0,NSE_EQ|INE511C01022
2025-03-21,318.1,337.9,318.0,334.8,5791649.0,NSE_EQ|INE511C01022
2025-03-24,338.0,354.35,337.25,347.3,5717226.0,NSE_EQ|INE511C01022
2025-03-25,347.8,352.45,342.0,346.55,2323159.0,NSE_EQ|INE511C01022
2025-03-26,347.0,356.95,339.75,342.25,6508185.0,NSE_EQ|INE511C01022
2025-03-27,341.35,348.4,335.0,338.6,4136101.0,NSE_EQ|INE511C01022
2025-03-28,339.25,352.9,338.35,350.45,4197052.0,NSE_EQ|INE511C01022
2025-04-01,350.45,354.0,341.05,349.4,2057895.0,NSE_EQ|INE511C01022
2025-04-02,349.05,351.0,343.0,348.25,1021391.0,NSE_EQ|INE511C01022
2025-04-03,346.2,364.7,346.1,362.5,3181587.0,NSE_EQ|INE511C01022
2025-04-04,362.05,362.45,349.15,353.05,1916704.0,NSE_EQ|INE511C01022
2025-04-07,318.0,349.0,318.0,345.6,2985731.0,NSE_EQ|INE511C01022
2025-04-08,354.9,356.75,346.3,354.5,1475422.0,NSE_EQ|INE511C01022
2025-04-09,353.0,354.45,346.75,352.25,1114918.0,NSE_EQ|INE511C01022
2025-04-11,356.0,367.9,356.0,366.3,1813078.0,NSE_EQ|INE511C01022
2025-04-15,374.5,384.9,369.65,382.25,2721886.0,NSE_EQ|INE511C01022
2025-04-16,386.0,386.8,379.4,383.8,1807101.0,NSE_EQ|INE511C01022
2025-04-17,385.7,391.0,383.25,384.65,1642443.0,NSE_EQ|INE511C01022
2025-04-21,386.55,399.6,384.1,396.65,1931086.0,NSE_EQ|INE511C01022
2025-04-22,396.65,408.4,393.25,407.65,2802135.0,NSE_EQ|INE511C01022
2025-04-23,408.8,416.75,397.6,402.7,2622945.0,NSE_EQ|INE511C01022
2025-04-24,403.0,405.7,394.05,396.35,2720935.0,NSE_EQ|INE511C01022
2025-04-25,397.9,398.9,378.0,380.4,2847797.0,NSE_EQ|INE511C01022
2025-04-28,369.0,387.0,363.5,385.65,4331799.0,NSE_EQ|INE511C01022
2025-04-29,385.6,391.0,381.2,383.8,2550064.0,NSE_EQ|INE511C01022
2025-04-30,385.0,388.45,372.35,375.25,1284119.0,NSE_EQ|INE511C01022
2025-05-02,375.25,384.0,374.45,378.15,1122249.0,NSE_EQ|INE511C01022
2025-05-05,379.0,395.55,379.0,387.9,1707299.0,NSE_EQ|INE511C01022
2025-05-06,387.0,388.2,368.0,369.55,1173717.0,NSE_EQ|INE511C01022
2025-05-07,373.45,387.7,371.0,383.25,3153446.0,NSE_EQ|INE511C01022
2025-05-08,384.6,388.2,368.1,371.2,716648.0,NSE_EQ|INE511C01022
2025-05-09,362.15,373.5,362.15,372.0,1604197.0,NSE_EQ|INE511C01022
2025-05-12,377.1,389.4,377.05,385.55,1626182.0,NSE_EQ|INE511C01022
2025-05-13,386.1,390.0,379.05,383.3,1205463.0,NSE_EQ|INE511C01022
2025-05-14,385.0,393.6,383.3,390.35,1504573.0,NSE_EQ|INE511C01022
2025-05-15,392.0,395.9,389.1,389.9,1007934.0,NSE_EQ|INE511C01022
2025-05-16,391.0,397.1,388.8,395.15,1189194.0,NSE_EQ|INE511C01022
2025-05-19,395.15,398.8,391.6,395.25,920982.0,NSE_EQ|INE511C01022
2025-05-20,395.3,397.7,388.0,392.05,1531198.0,NSE_EQ|INE511C01022
2025-05-21,394.5,398.0,388.9,397.2,845767.0,NSE_EQ|INE511C01022
2025-05-22,395.9,397.9,389.1,395.55,1036720.0,NSE_EQ|INE511C01022
2025-05-23,394.5,400.95,391.65,397.0,987526.0,NSE_EQ|INE511C01022
2025-05-26,397.0,404.55,395.0,396.3,1018903.0,NSE_EQ|INE511C01022
2025-05-27,395.15,401.8,392.75,400.25,816786.0,NSE_EQ|INE511C01022
2025-05-28,402.6,402.7,395.25,401.1,975467.0,NSE_EQ|INE511C01022
2025-05-29,403.0,407.3,401.1,403.65,1469015.0,NSE_EQ|INE511C01022
2025-05-30,404.0,406.0,397.0,403.75,788870.0,NSE_EQ|INE511C01022
2025-06-02,404.35,411.8,402.0,407.3,1125342.0,NSE_EQ|INE511C01022
2025-06-03,409.0,413.8,401.35,402.45,1054216.0,NSE_EQ|INE511C01022
2025-06-04,403.0,404.25,396.7,401.65,549955.0,NSE_EQ|INE511C01022
2025-06-05,401.75,406.9,399.5,405.0,773750.0,NSE_EQ|INE511C01022
2025-06-06,404.9,423.75,402.85,421.1,3648823.0,NSE_EQ|INE511C01022
2025-06-09,426.9,433.7,424.35,431.25,3375077.0,NSE_EQ|INE511C01022
2025-06-10,432.0,434.05,425.0,426.75,1283872.0,NSE_EQ|INE511C01022
2025-06-11,426.9,431.5,421.8,426.4,1045875.0,NSE_EQ|INE511C01022
2025-06-12,424.0,429.4,419.95,422.8,1422843.0,NSE_EQ|INE511C01022
2025-06-13,409.2,420.05,407.95,416.6,882218.0,NSE_EQ|INE511C01022
2025-06-16,414.05,421.9,409.2,420.15,547751.0,NSE_EQ|INE511C01022
2025-06-17,420.0,424.15,418.0,420.9,700477.0,NSE_EQ|INE511C01022
2025-06-18,420.85,425.95,417.1,419.0,492064.0,NSE_EQ|INE511C01022
2025-06-19,419.0,421.9,410.55,411.7,1102359.0,NSE_EQ|INE511C01022
2025-06-20,411.75,420.8,407.7,414.9,1990017.0,NSE_EQ|INE511C01022
2025-06-23,409.1,439.5,409.1,437.55,4847503.0,NSE_EQ|INE511C01022
2025-06-24,437.5,454.35,434.35,444.05,6949587.0,NSE_EQ|INE511C01022
2025-06-25,444.5,447.5,433.2,438.7,2615905.0,NSE_EQ|INE511C01022
2025-06-26,442.9,451.5,436.1,449.65,2485005.0,NSE_EQ|INE511C01022
2025-06-27,449.2,458.05,446.8,455.75,2082063.0,NSE_EQ|INE511C01022
2025-06-30,451.65,467.55,451.65,466.05,2589703.0,NSE_EQ|INE511C01022
2025-07-01,464.1,469.0,460.35,464.05,1960276.0,NSE_EQ|INE511C01022
2025-07-02,464.1,467.4,458.35,464.55,950547.0,NSE_EQ|INE511C01022
2025-07-03,462.0,468.65,462.0,466.4,811777.0,NSE_EQ|INE511C01022
2025-07-04,468.0,483.4,467.0,472.55,4180934.0,NSE_EQ|INE511C01022
2025-07-07,472.4,472.4,462.7,468.3,1016015.0,NSE_EQ|INE511C01022
2025-07-08,466.1,472.75,466.1,470.15,1912376.0,NSE_EQ|INE511C01022
2025-07-09,471.9,473.2,466.2,468.75,1294233.0,NSE_EQ|INE511C01022
2025-07-10,469.1,471.9,466.1,467.3,538504.0,NSE_EQ|INE511C01022
2025-07-11,464.05,467.8,450.05,454.8,807991.0,NSE_EQ|INE511C01022
2025-07-14,453.25,456.8,445.4,454.55,1201028.0,NSE_EQ|INE511C01022
2025-07-15,455.8,457.7,451.3,454.1,509586.0,NSE_EQ|INE511C01022
2025-07-16,454.1,456.9,448.3,453.4,455356.0,NSE_EQ|INE511C01022
2025-07-17,456.0,456.0,445.65,447.8,460208.0,NSE_EQ|INE511C01022
2025-07-18,449.2,457.3,446.45,452.2,1464478.0,NSE_EQ|INE511C01022
2025-07-21,453.5,465.9,453.5,458.85,2683674.0,NSE_EQ|INE511C01022
2025-07-22,461.5,465.3,451.0,452.4,813900.0,NSE_EQ|INE511C01022
2025-07-23,454.9,456.15,442.5,446.45,763033.0,NSE_EQ|INE511C01022
2025-07-24,446.45,446.45,430.2,432.45,1609705.0,NSE_EQ|INE511C01022
2025-07-25,431.0,431.0,406.8,413.3,3003450.0,NSE_EQ|INE511C01022
2025-07-28,421.65,444.9,417.1,420.65,13211757.0,NSE_EQ|INE511C01022
2025-07-29,421.7,421.7,401.1,415.65,3715939.0,NSE_EQ|INE511C01022
2025-07-30,413.9,426.4,411.9,414.0,1349554.0,NSE_EQ|INE511C01022
2025-07-31,409.6,430.6,409.25,422.25,2267648.0,NSE_EQ|INE511C01022
2025-08-01,424.3,424.85,411.0,419.35,1833701.0,NSE_EQ|INE511C01022
2025-08-04,418.65,432.5,414.05,431.1,1392947.0,NSE_EQ|INE511C01022
2025-08-05,430.0,440.5,424.2,438.4,1309339.0,NSE_EQ|INE511C01022
2025-08-06,438.0,443.55,432.45,440.4,1112061.0,NSE_EQ|INE511C01022
2025-08-07,440.0,446.0,436.5,444.5,977142.0,NSE_EQ|INE511C01022
2025-08-08,444.5,445.0,432.6,434.3,587328.0,NSE_EQ|INE511C01022
2025-08-11,434.3,443.4,432.6,442.45,570685.0,NSE_EQ|INE511C01022
2025-08-12,442.75,450.9,440.65,446.75,841062.0,NSE_EQ|INE511C01022
2025-08-13,448.05,457.25,448.05,451.75,1117629.0,NSE_EQ|INE511C01022
2025-08-14,452.05,461.0,452.05,455.75,841917.0,NSE_EQ|INE511C01022
2025-08-18,458.0,474.25,458.0,467.9,1666630.0,NSE_EQ|INE511C01022
2025-08-19,469.0,470.4,461.7,469.75,727061.0,NSE_EQ|INE511C01022
2025-08-20,469.2,469.2,461.75,462.8,459875.0,NSE_EQ|INE511C01022
2025-08-21,463.0,466.3,449.45,450.75,756245.0,NSE_EQ|INE511C01022
2025-08-22,451.0,467.0,449.55,465.5,1707005.0,NSE_EQ|INE511C01022
2025-08-25,465.9,470.95,462.9,467.7,1338551.0,NSE_EQ|INE511C01022
2025-08-26,466.95,469.9,450.65,452.7,1161972.0,NSE_EQ|INE511C01022
2025-08-28,452.95,455.2,421.4,429.6,3079415.0,NSE_EQ|INE511C01022
2025-08-29,428.45,433.5,423.05,431.55,989138.0,NSE_EQ|INE511C01022
2025-09-01,431.65,433.2,426.1,428.7,758691.0,NSE_EQ|INE511C01022
2025-09-02,431.0,433.05,424.4,425.75,957757.0,NSE_EQ|INE511C01022
2025-09-03,425.95,445.0,424.0,442.95,974022.0,NSE_EQ|INE511C01022
2025-09-04,444.05,452.8,430.6,432.75,1042845.0,NSE_EQ|INE511C01022
2025-09-05,436.3,438.25,430.6,431.6,378565.0,NSE_EQ|INE511C01022
2025-09-08,432.85,435.0,427.05,428.9,269428.0,NSE_EQ|INE511C01022
2025-09-09,430.0,435.0,426.6,430.9,424106.0,NSE_EQ|INE511C01022
2025-09-10,430.4,453.0,430.4,450.45,1900526.0,NSE_EQ|INE511C01022
2025-09-11,449.0,452.45,436.9,438.4,620172.0,NSE_EQ|INE511C01022
2025-09-12,441.9,444.35,437.4,439.45,575155.0,NSE_EQ|INE511C01022
2025-09-15,437.5,447.5,435.7,439.15,792558.0,NSE_EQ|INE511C01022
2025-09-16,439.2,447.7,438.5,441.85,3223407.0,NSE_EQ|INE511C01022
2025-09-17,443.55,456.75,442.8,447.1,1850309.0,NSE_EQ|INE511C01022
2025-09-18,453.0,513.35,451.0,502.1,66654495.0,NSE_EQ|INE511C01022
2025-09-19,502.1,509.0,493.45,500.25,9163262.0,NSE_EQ|INE511C01022
2025-09-22,498.0,501.35,482.3,484.45,3312490.0,NSE_EQ|INE511C01022
2025-09-23,485.95,489.4,478.45,482.95,1123046.0,NSE_EQ|INE511C01022
2025-09-24,482.95,493.9,480.0,485.5,2014592.0,NSE_EQ|INE511C01022
2025-09-25,484.9,501.0,481.0,493.45,2930030.0,NSE_EQ|INE511C01022
2025-09-26,488.65,492.5,481.55,485.25,870181.0,NSE_EQ|INE511C01022
2025-09-29,490.25,506.2,487.25,501.5,4087102.0,NSE_EQ|INE511C01022
2025-09-30,502.0,503.7,487.25,497.6,1562738.0,NSE_EQ|INE511C01022
2025-10-01,501.1,506.0,489.35,502.25,1534963.0,NSE_EQ|INE511C01022
2025-10-03,505.0,528.8,499.35,524.4,5528559.0,NSE_EQ|INE511C01022
2025-10-06,530.0,570.4,511.5,531.45,23134466.0,NSE_EQ|INE511C01022
2025-10-07,531.5,545.0,526.75,537.0,4003402.0,NSE_EQ|INE511C01022
2025-10-08,534.9,535.95,516.9,526.55,2234852.0,NSE_EQ|INE511C01022
2025-10-09,526.55,533.9,524.2,530.85,1023794.0,NSE_EQ|INE511C01022
2025-10-10,530.85,533.35,527.1,529.15,614025.0,NSE_EQ|INE511C01022
2025-10-13,526.55,532.7,523.25,528.35,954531.0,NSE_EQ|INE511C01022
2025-10-14,531.4,535.5,514.1,517.2,1168976.0,NSE_EQ|INE511C01022
2025-10-15,514.05,544.1,514.05,542.5,2424636.0,NSE_EQ|INE511C01022
2025-10-16,544.8,544.8,534.5,539.4,958609.0,NSE_EQ|INE511C01022
2025-10-17,539.4,539.4,524.25,526.4,1198367.0,NSE_EQ|INE511C01022
2025-10-20,530.0,531.7,503.25,511.9,3060397.0,NSE_EQ|INE511C01022
2025-10-21,516.0,518.9,512.0,514.9,275387.0,NSE_EQ|INE511C01022
2025-10-23,516.0,517.9,487.0,489.65,1719301.0,NSE_EQ|INE511C01022
2025-10-24,492.05,493.0,483.15,484.55,958487.0,NSE_EQ|INE511C01022
2025-10-27,486.0,512.5,481.5,490.4,6105370.0,NSE_EQ|INE511C01022
2025-10-28,491.05,503.6,489.15,493.45,1727764.0,NSE_EQ|INE511C01022
2025-10-29,493.45,493.9,480.0,487.8,1654852.0,NSE_EQ|INE511C01022
2025-10-30,487.8,488.35,480.4,483.05,681219.0,NSE_EQ|INE511C01022
2025-10-31,484.4,492.85,478.8,481.85,1169566.0,NSE_EQ|INE511C01022
2025-11-03,479.0,487.9,472.85,474.6,1429196.0,NSE_EQ|INE511C01022
2025-11-04,475.0,487.8,470.0,472.65,1481997.0,NSE_EQ|INE511C01022
2025-11-06,472.65,474.0,460.0,462.9,932409.0,NSE_EQ|INE511C01022
2025-11-07,463.4,466.05,457.6,463.6,786396.0,NSE_EQ|INE511C01022
2025-11-10,463.6,467.8,456.7,458.55,718497.0,NSE_EQ|INE511C01022
2025-11-11,459.9,471.7,453.55,468.45,1210511.0,NSE_EQ|INE511C01022
2025-11-12,470.8,491.0,462.8,489.3,2241542.0,NSE_EQ|INE511C01022
2025-11-13,490.05,494.4,477.6,478.95,1048846.0,NSE_EQ|INE511C01022
2025-11-14,475.0,475.2,465.2,469.2,1154143.0,NSE_EQ|INE511C01022
2025-11-17,467.0,470.3,465.4,469.0,595412.0,NSE_EQ|INE511C01022
2025-11-18,469.0,469.0,463.5,465.5,436502.0,NSE_EQ|INE511C01022
2025-11-19,465.0,473.5,462.2,468.6,856101.0,NSE_EQ|INE511C01022
2025-11-20,468.6,470.1,464.55,468.45,442595.0,NSE_EQ|INE511C01022
2025-11-21,466.1,474.9,462.85,470.2,760343.0,NSE_EQ|INE511C01022
2025-11-24,470.2,470.4,451.5,456.4,825778.0,NSE_EQ|INE511C01022
2025-11-25,459.75,464.0,457.25,459.75,737865.0,NSE_EQ|INE511C01022
2025-11-26,459.0,473.0,459.0,469.35,584519.0,NSE_EQ|INE511C01022
2025-11-27,473.0,473.0,464.5,465.6,348992.0,NSE_EQ|INE511C01022
2025-11-28,469.1,489.0,466.95,480.3,6019124.0,NSE_EQ|INE511C01022
2025-12-01,481.5,503.8,479.15,484.75,4059184.0,NSE_EQ|INE511C01022
2025-12-02,485.0,485.65,473.5,475.35,763578.0,NSE_EQ|INE511C01022
2025-12-03,476.0,476.0,459.45,462.5,636625.0,NSE_EQ|INE511C01022
2025-12-04,461.25,469.0,458.7,463.95,590000.0,NSE_EQ|INE511C01022
2025-12-05,464.05,473.1,457.0,470.65,962629.0,NSE_EQ|INE511C01022
2025-12-08,469.0,469.8,441.55,446.65,1484364.0,NSE_EQ|INE511C01022
2025-12-09,447.0,459.0,441.3,455.3,1095234.0,NSE_EQ|INE511C01022
2025-12-10,455.3,459.9,446.0,449.2,560763.0,NSE_EQ|INE511C01022
2025-12-11,449.5,454.9,446.9,449.25,373581.0,NSE_EQ|INE511C01022
2025-12-12,453.0,457.5,449.15,451.45,676642.0,NSE_EQ|INE511C01022
2025-12-15,446.05,450.55,441.65,443.1,796345.0,NSE_EQ|INE511C01022
2025-12-16,443.0,445.25,438.05,442.1,517393.0,NSE_EQ|INE511C01022
2025-12-17,442.1,445.0,436.35,441.85,424407.0,NSE_EQ|INE511C01022
2025-12-18,443.95,445.4,433.15,444.0,820421.0,NSE_EQ|INE511C01022
2025-12-19,443.2,452.2,440.2,448.8,658856.0,NSE_EQ|INE511C01022
2025-12-22,452.9,473.0,450.35,470.35,1613422.0,NSE_EQ|INE511C01022
2025-12-23,471.0,474.75,466.75,470.9,488054.0,NSE_EQ|INE511C01022
2025-12-24,470.3,482.5,468.0,469.15,850172.0,NSE_EQ|INE511C01022
2025-12-26,469.95,477.3,466.0,473.0,881629.0,NSE_EQ|INE511C01022
2025-12-29,473.0,479.45,468.95,476.2,622367.0,NSE_EQ|INE511C01022
2025-12-30,476.2,486.9,471.0,483.8,1458174.0,NSE_EQ|INE511C01022
2025-12-31,484.9,486.9,479.3,482.95,615029.0,NSE_EQ|INE511C01022
2026-01-01,485.85,490.0,481.0,483.2,740840.0,NSE_EQ|INE511C01022
2026-01-02,484.7,489.0,478.3,480.55,704071.0,NSE_EQ|INE511C01022
2026-01-05,484.0,497.4,476.4,485.1,2435095.0,NSE_EQ|INE511C01022
2026-01-06,485.9,490.5,477.5,479.25,755474.0,NSE_EQ|INE511C01022
2026-01-07,478.0,481.95,466.65,470.4,844875.0,NSE_EQ|INE511C01022
2026-01-08,471.0,471.0,456.3,460.5,612870.0,NSE_EQ|INE511C01022
2026-01-09,460.55,467.55,457.5,462.4,1202762.0,NSE_EQ|INE511C01022
2026-01-12,459.0,460.1,446.35,450.5,661597.0,NSE_EQ|INE511C01022
2026-01-13,453.5,463.35,449.3,461.15,569642.0,NSE_EQ|INE511C01022
2026-01-14,459.0,474.0,456.35,471.25,715687.0,NSE_EQ|INE511C01022
2026-01-16,474.6,482.0,460.3,463.95,1375896.0,NSE_EQ|INE511C01022
2026-01-19,476.5,492.6,462.1,473.0,5874846.0,NSE_EQ|INE511C01022
2026-01-20,473.7,474.0,443.0,448.0,1445050.0,NSE_EQ|INE511C01022
2026-01-21,448.0,448.2,430.7,439.6,1202626.0,NSE_EQ|INE511C01022
2026-01-22,444.0,449.0,437.0,447.7,1168503.0,NSE_EQ|INE511C01022
2026-01-23,448.65,448.65,410.5,414.4,2494967.0,NSE_EQ|INE511C01022
2026-01-27,416.0,416.0,393.05,404.4,2164966.0,NSE_EQ|INE511C01022
2026-01-28,409.15,411.75,393.85,406.3,1380940.0,NSE_EQ|INE511C01022
2026-01-29,406.3,407.0,396.9,399.9,1029766.0,NSE_EQ|INE511C01022
2026-01-30,394.85,401.95,390.25,399.0,847134.0,NSE_EQ|INE511C01022
2026-02-01,400.7,402.0,373.05,389.9,937330.0,NSE_EQ|INE511C01022
2026-02-02,386.3,396.0,373.8,394.25,1513670.0,NSE_EQ|INE511C01022
2026-02-03,409.05,415.0,400.0,409.4,1428970.0,NSE_EQ|INE511C01022
2026-02-04,411.0,422.5,403.75,420.2,1191232.0,NSE_EQ|INE511C01022
2026-02-05,418.1,418.2,396.0,410.05,1950285.0,NSE_EQ|INE511C01022
2026-02-06,410.3,442.4,402.75,431.5,2140087.0,NSE_EQ|INE511C01022
2026-02-09,430.7,471.75,427.2,465.85,7288269.0,NSE_EQ|INE511C01022
2026-02-10,460.0,494.0,457.15,485.9,4126476.0,NSE_EQ|INE511C01022
2026-02-11,484.0,503.0,478.7,489.3,4915353.0,NSE_EQ|INE511C01022
2026-02-12,484.45,489.8,470.0,472.65,1410022.0,NSE_EQ|INE511C01022
2026-02-13,471.95,472.8,460.0,464.15,769227.0,NSE_EQ|INE511C01022
2026-02-16,462.0,479.6,458.6,460.7,1446943.0,NSE_EQ|INE511C01022
