date,open,high,low,close,volume,instrument_key
2025-03-18,1105.9,1136.8,1094.9,1132.5,725039.0,NSE_EQ|INE811K01011
2025-03-19,1135.0,1209.0,1133.0,1200.75,1269783.0,NSE_EQ|INE811K01011
2025-03-20,1210.45,1234.75,1197.75,1208.25,710546.0,NSE_EQ|INE811K01011
2025-03-21,1209.65,1258.9,1209.0,1226.15,1131917.0,NSE_EQ|INE811K01011
2025-03-24,1231.3,1260.55,1215.15,1220.3,727782.0,NSE_EQ|INE811K01011
2025-03-25,1225.15,1272.0,1212.0,1222.9,1163563.0,NSE_EQ|INE811K01011
2025-03-26,1230.0,1257.5,1191.0,1196.6,1119059.0,NSE_EQ|INE811K01011
2025-03-27,1196.5,1218.1,1186.9,1206.05,794090.0,NSE_EQ|INE811K01011
2025-03-28,1217.9,1222.0,1169.2,1184.4,736620.0,NSE_EQ|INE811K01011
2025-04-01,1184.4,1199.9,1128.15,1137.35,752560.0,NSE_EQ|INE811K01011
2025-04-02,1141.4,1188.0,1141.4,1177.6,851071.0,NSE_EQ|INE811K01011
2025-04-03,1160.05,1192.95,1158.0,1188.5,497898.0,NSE_EQ|INE811K01011
2025-04-04,1176.05,1182.1,1111.0,1127.05,567401.0,NSE_EQ|INE811K01011
2025-04-07,1060.0,1084.7,1048.05,1060.3,818992.0,NSE_EQ|INE811K01011
2025-04-08,1108.0,1108.0,1065.0,1087.05,436959.0,NSE_EQ|INE811K01011
2025-04-09,1094.1,1094.1,1063.0,1079.45,499026.0,NSE_EQ|INE811K01011
2025-04-11,1115.5,1126.9,1086.65,1122.85,683548.0,NSE_EQ|INE811K01011
2025-04-15,1135.0,1203.0,1126.0,1198.5,822076.0,NSE_EQ|INE811K01011
2025-04-16,1209.4,1218.4,1188.0,1207.4,842256.0,NSE_EQ|INE811K01011
2025-04-17,1205.0,1232.0,1185.0,1215.2,631616.0,NSE_EQ|INE811K01011
2025-04-21,1223.3,1274.5,1207.4,1268.6,944564.0,NSE_EQ|INE811K01011
2025-04-22,1274.8,1313.1,1249.6,1303.9,851596.0,NSE_EQ|INE811K01011
2025-04-23,1320.2,1354.8,1307.9,1323.8,1397018.0,NSE_EQ|INE811K01011
2025-04-24,1318.7,1321.9,1285.0,1294.0,780145.0,NSE_EQ|INE811K01011
2025-04-25,1306.2,1318.0,1238.6,1261.8,478778.0,NSE_EQ|INE811K01011
2025-04-28,1264.6,1323.7,1249.6,1315.8,949907.0,NSE_EQ|INE811K01011
2025-04-29,1328.0,1385.0,1325.3,1380.0,2142910.0,NSE_EQ|INE811K01011
2025-04-30,1386.0,1444.9,1366.0,1375.1,2758228.0,NSE_EQ|INE811K01011
2025-05-02,1375.0,1399.3,1351.0,1363.0,539529.0,NSE_EQ|INE811K01011
2025-05-05,1364.6,1398.9,1358.0,1385.5,285524.0,NSE_EQ|INE811K01011
2025-05-06,1383.0,1394.4,1322.0,1332.0,535916.0,NSE_EQ|INE811K01011
2025-05-07,1332.0,1346.2,1304.3,1337.0,666927.0,NSE_EQ|INE811K01011
2025-05-08,1351.0,1356.0,1292.0,1315.5,1039522.0,NSE_EQ|INE811K01011
2025-05-09,1270.0,1308.1,1255.0,1281.6,400071.0,NSE_EQ|INE811K01011
2025-05-12,1339.9,1380.0,1325.0,1366.1,610547.0,NSE_EQ|INE811K01011
2025-05-13,1377.0,1378.8,1339.2,1347.3,638202.0,NSE_EQ|INE811K01011
2025-05-14,1355.0,1400.0,1352.0,1395.3,499664.0,NSE_EQ|INE811K01011
2025-05-15,1402.0,1436.0,1375.1,1418.9,730577.0,NSE_EQ|INE811K01011
2025-05-16,1418.0,1453.0,1398.9,1433.2,620091.0,NSE_EQ|INE811K01011
2025-05-19,1433.0,1453.7,1416.1,1439.8,518182.0,NSE_EQ|INE811K01011
2025-05-20,1455.8,1455.8,1412.1,1419.6,592929.0,NSE_EQ|INE811K01011
2025-05-21,1428.0,1449.9,1424.1,1432.6,333379.0,NSE_EQ|INE811K01011
2025-05-22,1432.0,1446.2,1402.5,1419.7,430430.0,NSE_EQ|INE811K01011
2025-05-23,1424.3,1458.4,1420.6,1436.2,519719.0,NSE_EQ|INE811K01011
2025-05-26,1444.0,1451.0,1410.0,1438.7,317500.0,NSE_EQ|INE811K01011
2025-05-27,1438.7,1447.9,1411.0,1444.5,340700.0,NSE_EQ|INE811K01011
2025-05-28,1440.7,1477.8,1433.4,1451.8,574187.0,NSE_EQ|INE811K01011
2025-05-29,1476.0,1521.9,1472.0,1500.9,2677382.0,NSE_EQ|INE811K01011
2025-05-30,1505.0,1534.8,1458.7,1466.6,1214112.0,NSE_EQ|INE811K01011
