date,open,high,low,close,volume,instrument_key
2025-11-18,145.0,161.99,137.35,155.24,273389694.0,NSE_EQ|INE0LP301011
2025-11-19,156.5,161.0,138.54,143.28,160504001.0,NSE_EQ|INE0LP301011
2025-11-20,140.76,151.75,121.22,141.93,212737569.0,NSE_EQ|INE0LP301011
2025-11-21,143.0,149.59,128.55,134.31,162327758.0,NSE_EQ|INE0LP301011
2025-11-24,133.0,135.64,127.05,129.52,56559525.0,NSE_EQ|INE0LP301011
2025-11-25,130.0,138.19,129.5,135.59,90283295.0,NSE_EQ|INE0LP301011
2025-11-26,136.5,137.7,130.6,131.89,25053449.0,NSE_EQ|INE0LP301011
2025-11-27,132.0,133.39,125.0,126.99,18617289.0,NSE_EQ|INE0LP301011
2025-11-28,126.99,127.78,123.25,124.89,22042292.0,NSE_EQ|INE0LP301011
2025-12-01,125.97,144.2,123.3,134.69,188839751.0,NSE_EQ|INE0LP301011
2025-12-02,134.75,138.44,132.6,136.76,56375555.0,NSE_EQ|INE0LP301011
2025-12-03,136.21,139.0,130.51,134.94,29666762.0,NSE_EQ|INE0LP301011
2025-12-04,136.29,138.88,133.91,135.86,20817682.0,NSE_EQ|INE0LP301011
2025-12-05,135.85,137.0,134.52,135.9,10162538.0,NSE_EQ|INE0LP301011
2025-12-08,135.39,141.33,134.51,138.44,30171732.0,NSE_EQ|INE0LP301011
2025-12-09,142.75,145.6,135.0,137.89,82074266.0,NSE_EQ|INE0LP301011
2025-12-10,137.0,137.84,129.37,131.83,17891019.0,NSE_EQ|INE0LP301011
2025-12-11,130.11,131.25,128.0,129.92,13329935.0,NSE_EQ|INE0LP301011
2025-12-12,130.5,137.16,129.5,135.99,19793538.0,NSE_EQ|INE0LP301011
2025-12-15,134.59,137.47,129.5,132.06,17390346.0,NSE_EQ|INE0LP301011
2025-12-16,132.2,139.08,132.01,137.4,20588728.0,NSE_EQ|INE0LP301011
2025-12-17,135.09,138.5,132.5,133.81,8706574.0,NSE_EQ|INE0LP301011
2025-12-18,134.6,135.2,129.47,130.88,7255942.0,NSE_EQ|INE0LP301011
2025-12-19,132.23,134.81,130.05,132.29,10017807.0,NSE_EQ|INE0LP301011
2025-12-22,133.9,139.99,132.83,137.17,15555748.0,NSE_EQ|INE0LP301011
2025-12-23,136.49,136.74,133.63,134.51,4638684.0,NSE_EQ|INE0LP301011
2025-12-24,134.5,134.5,131.92,132.45,4903602.0,NSE_EQ|INE0LP301011
2025-12-26,133.1,133.75,130.74,131.78,4296717.0,NSE_EQ|INE0LP301011
2025-12-29,132.0,132.79,129.2,130.79,3904582.0,NSE_EQ|INE0LP301011
2025-12-30,131.39,131.82,127.88,129.39,4311502.0,NSE_EQ|INE0LP301011
2025-12-31,129.01,133.5,128.1,132.81,6734740.0,NSE_EQ|INE0LP301011
2026-01-01,132.1,134.3,131.7,132.63,2300067.0,NSE_EQ|INE0LP301011
2026-01-02,132.5,136.08,130.51,131.12,4678330.0,NSE_EQ|INE0LP301011
2026-01-05,131.12,131.67,128.0,129.39,2796481.0,NSE_EQ|INE0LP301011
2026-01-06,129.97,130.55,127.85,129.03,3207818.0,NSE_EQ|INE0LP301011
2026-01-07,129.69,130.2,127.5,128.47,3668336.0,NSE_EQ|INE0LP301011
2026-01-08,128.55,129.6,126.3,128.48,3818873.0,NSE_EQ|INE0LP301011
2026-01-09,128.48,132.48,127.16,129.25,7242665.0,NSE_EQ|INE0LP301011
2026-01-12,128.0,129.0,126.62,128.64,2280880.0,NSE_EQ|INE0LP301011
2026-01-13,128.0,130.68,128.0,128.4,1438224.0,NSE_EQ|INE0LP301011
2026-01-14,129.06,131.76,128.41,131.2,2927924.0,NSE_EQ|INE0LP301011
2026-01-16,131.0,131.0,126.5,127.24,2845140.0,NSE_EQ|INE0LP301011
2026-01-19,127.37,127.48,118.6,121.3,3474352.0,NSE_EQ|INE0LP301011
2026-01-20,121.64,121.64,112.0,118.5,12398348.0,NSE_EQ|INE0LP301011
2026-01-21,119.0,119.26,113.07,113.82,3587978.0,NSE_EQ|INE0LP301011
2026-01-22,115.0,136.5,114.71,132.55,55541695.0,NSE_EQ|INE0LP301011
2026-01-23,130.0,130.77,125.0,126.5,18584561.0,NSE_EQ|INE0LP301011
2026-01-27,126.45,126.45,119.25,121.22,5238991.0,NSE_EQ|INE0LP301011
2026-01-28,121.3,126.99,121.23,124.92,4518521.0,NSE_EQ|INE0LP301011
2026-01-29,124.9,126.0,120.55,121.71,2634666.0,NSE_EQ|INE0LP301011
2026-01-30,121.01,121.11,119.0,119.45,1974674.0,NSE_EQ|INE0LP301011
2026-02-01,120.11,125.49,115.83,119.47,3139846.0,NSE_EQ|INE0LP301011
2026-02-02,120.5,120.56,115.8,117.87,1995890.0,NSE_EQ|INE0LP301011
2026-02-03,121.98,121.98,118.06,119.41,4042689.0,NSE_EQ|INE0LP301011
2026-02-04,119.41,124.21,117.36,121.89,4126189.0,NSE_EQ|INE0LP301011
