date,open,high,low,close,volume,instrument_key
2025-03-18,416.75,422.0,414.85,421.55,6319233.0,NSE_EQ|INE020B01018
2025-03-19,425.0,430.8,421.5,429.5,8219861.0,NSE_EQ|INE020B01018
2025-03-20,433.8,436.8,424.5,429.05,5413493.0,NSE_EQ|INE020B01018
2025-03-21,429.5,435.85,424.6,428.95,9605751.0,NSE_EQ|INE020B01018
2025-03-24,433.0,447.25,432.1,444.45,10013355.0,NSE_EQ|INE020B01018
2025-03-25,449.0,450.0,440.0,442.75,15383870.0,NSE_EQ|INE020B01018
2025-03-26,439.25,443.25,424.1,425.6,10098135.0,NSE_EQ|INE020B01018
2025-03-27,425.6,439.9,423.7,433.4,8843621.0,NSE_EQ|INE020B01018
2025-03-28,433.9,440.0,427.0,429.2,4744923.0,NSE_EQ|INE020B01018
2025-04-01,425.85,432.35,415.05,416.9,5586002.0,NSE_EQ|INE020B01018
2025-04-02,419.95,425.6,409.5,424.55,7091444.0,NSE_EQ|INE020B01018
2025-04-03,419.0,431.55,417.0,425.45,7494342.0,NSE_EQ|INE020B01018
2025-04-04,424.95,425.0,401.1,403.4,9757931.0,NSE_EQ|INE020B01018
2025-04-07,367.95,387.0,366.55,384.35,20170600.0,NSE_EQ|INE020B01018
2025-04-08,390.0,402.35,389.75,395.85,8299658.0,NSE_EQ|INE020B01018
2025-04-09,395.7,397.0,384.5,389.45,6447517.0,NSE_EQ|INE020B01018
2025-04-11,404.95,405.7,396.45,402.25,9084693.0,NSE_EQ|INE020B01018
2025-04-15,411.0,424.75,407.45,423.3,7317427.0,NSE_EQ|INE020B01018
2025-04-16,423.6,426.5,420.15,424.8,5841975.0,NSE_EQ|INE020B01018
2025-04-17,424.0,431.4,421.2,428.6,6325350.0,NSE_EQ|INE020B01018
2025-04-21,432.0,444.35,427.6,442.6,8148218.0,NSE_EQ|INE020B01018
2025-04-22,444.4,446.0,436.7,440.4,4790660.0,NSE_EQ|INE020B01018
2025-04-23,440.15,448.0,429.45,440.8,6888145.0,NSE_EQ|INE020B01018
2025-04-24,438.5,444.9,437.0,439.95,6904893.0,NSE_EQ|INE020B01018
2025-04-25,440.0,443.2,419.15,422.2,8944833.0,NSE_EQ|INE020B01018
2025-04-28,424.5,434.2,421.9,433.05,4586239.0,NSE_EQ|INE020B01018
2025-04-29,433.8,441.3,428.1,430.4,4863017.0,NSE_EQ|INE020B01018
