date,open,high,low,close,volume,instrument_key
2025-03-18,33.45,34.99,33.45,34.8,23354794.0,NSE_EQ|INE614G01033
2025-03-19,35.11,38.35,35.11,37.72,43889294.0,NSE_EQ|INE614G01033
2025-03-20,38.11,38.29,36.3,36.45,25546028.0,NSE_EQ|INE614G01033
2025-03-21,36.46,38.1,36.45,37.82,29345685.0,NSE_EQ|INE614G01033
2025-03-24,38.2,38.86,37.8,38.21,24370111.0,NSE_EQ|INE614G01033
2025-03-25,38.58,38.6,36.73,37.25,23119832.0,NSE_EQ|INE614G01033
2025-03-26,37.12,41.4,36.89,39.47,101785458.0,NSE_EQ|INE614G01033
2025-03-27,39.39,43.6,38.72,42.97,84101250.0,NSE_EQ|INE614G01033
2025-03-28,43.17,44.76,42.4,42.98,84943588.0,NSE_EQ|INE614G01033
2025-04-01,41.95,43.34,41.61,41.99,34628938.0,NSE_EQ|INE614G01033
2025-04-02,41.93,42.76,41.05,42.31,31200326.0,NSE_EQ|INE614G01033
2025-04-03,41.96,44.48,41.91,43.16,57383571.0,NSE_EQ|INE614G01033
2025-04-04,43.1,43.4,41.06,41.35,35279693.0,NSE_EQ|INE614G01033
2025-04-07,35.64,39.44,35.11,39.02,47790336.0,NSE_EQ|INE614G01033
2025-04-08,40.8,41.07,39.35,39.83,24440587.0,NSE_EQ|INE614G01033
2025-04-09,39.8,40.45,38.61,39.0,25018021.0,NSE_EQ|INE614G01033
2025-04-11,40.5,40.65,39.2,40.03,27790938.0,NSE_EQ|INE614G01033
2025-04-15,40.25,42.62,40.15,41.63,37743170.0,NSE_EQ|INE614G01033
2025-04-16,41.85,42.58,41.53,41.83,28572869.0,NSE_EQ|INE614G01033
2025-04-17,41.95,42.97,41.66,42.13,34311985.0,NSE_EQ|INE614G01033
2025-04-21,42.35,44.67,42.05,44.22,65646083.0,NSE_EQ|INE614G01033
2025-04-22,44.35,44.89,43.32,43.57,38248474.0,NSE_EQ|INE614G01033
2025-04-23,43.82,44.13,42.36,43.53,36761938.0,NSE_EQ|INE614G01033
2025-04-24,43.5,46.85,43.19,44.37,108970603.0,NSE_EQ|INE614G01033
2025-04-25,44.56,44.9,40.91,41.36,76761733.0,NSE_EQ|INE614G01033
2025-04-28,41.36,42.04,40.72,41.36,37007673.0,NSE_EQ|INE614G01033
2025-04-29,41.8,42.62,40.82,41.01,42948903.0,NSE_EQ|INE614G01033
2025-04-30,41.21,41.64,39.6,39.99,38773258.0,NSE_EQ|INE614G01033
2025-05-02,40.75,41.55,40.06,40.13,46502009.0,NSE_EQ|INE614G01033
2025-05-05,40.79,41.2,39.89,40.74,34447842.0,NSE_EQ|INE614G01033
2025-05-06,40.89,41.14,38.12,38.25,43929196.0,NSE_EQ|INE614G01033
2025-05-07,37.5,39.66,37.41,39.11,42652974.0,NSE_EQ|INE614G01033
2025-05-08,39.7,40.1,37.85,38.26,35496065.0,NSE_EQ|INE614G01033
2025-05-09,37.35,38.89,37.0,38.65,46574438.0,NSE_EQ|INE614G01033
2025-05-12,42.4,43.92,41.26,42.77,164808188.0,NSE_EQ|INE614G01033
2025-05-13,43.0,44.2,42.56,43.51,72440273.0,NSE_EQ|INE614G01033
2025-05-14,43.71,44.6,43.51,44.31,51939999.0,NSE_EQ|INE614G01033
2025-05-15,44.5,45.1,44.0,44.3,42282467.0,NSE_EQ|INE614G01033
