date,open,high,low,close,volume,instrument_key
2025-03-18,698.9,703.95,685.75,698.6,548614.0,NSE_EQ|INE570L01029
2025-03-19,697.05,724.0,695.0,706.95,613129.0,NSE_EQ|INE570L01029
2025-03-20,711.7,728.0,703.25,722.15,464135.0,NSE_EQ|INE570L01029
2025-03-21,726.5,736.0,718.65,726.45,292050.0,NSE_EQ|INE570L01029
2025-03-24,726.4,742.0,725.0,738.55,237576.0,NSE_EQ|INE570L01029
2025-03-25,743.0,745.0,720.55,734.6,234542.0,NSE_EQ|INE570L01029
2025-03-26,731.0,755.0,723.0,739.45,366035.0,NSE_EQ|INE570L01029
2025-03-27,730.0,760.0,726.9,755.55,607957.0,NSE_EQ|INE570L01029
2025-03-28,755.55,783.0,750.7,760.85,614236.0,NSE_EQ|INE570L01029
2025-04-01,749.45,764.2,740.65,756.75,230529.0,NSE_EQ|INE570L01029
2025-04-02,759.9,761.2,741.55,745.25,247171.0,NSE_EQ|INE570L01029
2025-04-03,734.95,775.0,731.65,759.75,432057.0,NSE_EQ|INE570L01029
2025-04-04,764.6,764.6,710.1,716.95,504661.0,NSE_EQ|INE570L01029
2025-04-07,679.5,688.95,657.0,664.2,464790.0,NSE_EQ|INE570L01029
2025-04-08,678.95,688.0,671.0,681.3,686611.0,NSE_EQ|INE570L01029
2025-04-09,676.0,680.95,636.1,640.25,253434.0,NSE_EQ|INE570L01029
2025-04-11,670.0,675.0,652.7,669.5,187208.0,NSE_EQ|INE570L01029
2025-04-15,672.95,792.0,672.95,771.05,7886213.0,NSE_EQ|INE570L01029
2025-04-16,753.65,759.45,725.0,731.75,892306.0,NSE_EQ|INE570L01029
2025-04-17,727.6,734.8,716.6,721.5,491030.0,NSE_EQ|INE570L01029
2025-04-21,723.95,731.55,716.3,722.0,252598.0,NSE_EQ|INE570L01029
2025-04-22,725.5,734.0,702.55,707.0,468962.0,NSE_EQ|INE570L01029
2025-04-23,714.6,721.0,705.2,712.05,353679.0,NSE_EQ|INE570L01029
2025-04-24,712.0,718.2,705.0,707.9,450363.0,NSE_EQ|INE570L01029
