date,close,instrument_key
2025-03-18,108.91,NSE_EQ|INE114A01011
2025-03-19,113.23,NSE_EQ|INE114A01011
2025-03-20,113.96,NSE_EQ|INE114A01011
2025-03-21,115.3,NSE_EQ|INE114A01011
2025-03-24,117.24,NSE_EQ|INE114A01011
2025-03-25,114.7,NSE_EQ|INE114A01011
2025-03-26,113.29,NSE_EQ|INE114A01011
2025-03-27,113.88,NSE_EQ|INE114A01011
2025-03-28,115.18,NSE_EQ|INE114A01011
2025-04-01,116.88,NSE_EQ|INE114A01011
2025-04-02,118.7,NSE_EQ|INE114A01011
2025-04-03,118.54,NSE_EQ|INE114A01011
2025-04-04,112.6,NSE_EQ|INE114A01011
2025-04-07,104.63,NSE_EQ|INE114A01011
2025-04-08,104.83,NSE_EQ|INE114A01011
2025-04-09,104.97,NSE_EQ|INE114A01011
2025-04-11,108.34,NSE_EQ|INE114A01011
2025-04-15,113.25,NSE_EQ|INE114A01011
2025-04-16,115.3,NSE_EQ|INE114A01011
2025-04-17,113.96,NSE_EQ|INE114A01011
2025-04-21,115.99,NSE_EQ|INE114A01011
2025-04-22,115.98,NSE_EQ|INE114A01011
2025-04-23,116.76,NSE_EQ|INE114A01011
2025-04-24,118.03,NSE_EQ|INE114A01011
2025-04-25,114.81,NSE_EQ|INE114A01011
2025-04-28,116.77,NSE_EQ|INE114A01011
2025-04-29,115.28,NSE_EQ|INE114A01011
2025-04-30,113.71,NSE_EQ|INE114A01011
2025-05-02,113.22,NSE_EQ|INE114A01011
2025-05-05,114.79,NSE_EQ|INE114A01011
2025-05-06,111.57,NSE_EQ|INE114A01011
2025-05-07,113.68,NSE_EQ|INE114A01011
2025-05-08,109.24,NSE_EQ|INE114A01011
2025-05-09,109.01,NSE_EQ|INE114A01011
2025-05-12,118.24,NSE_EQ|INE114A01011
2025-05-13,116.0,NSE_EQ|INE114A01011
2025-05-14,122.68,NSE_EQ|INE114A01011
2025-05-15,122.7,NSE_EQ|INE114A01011
2025-05-16,122.48,NSE_EQ|INE114A01011
2025-05-19,122.11,NSE_EQ|INE114A01011
2025-05-20,122.52,NSE_EQ|INE114A01011
2025-05-21,124.88,NSE_EQ|INE114A01011
2025-05-22,125.74,NSE_EQ|INE114A01011
2025-05-23,125.92,NSE_EQ|INE114A01011
2025-05-26,127.79,NSE_EQ|INE114A01011
2025-05-27,128.58,NSE_EQ|INE114A01011
2025-05-28,128.96,NSE_EQ|INE114A01011
2025-05-29,129.96,NSE_EQ|INE114A01011
2025-05-30,129.18,NSE_EQ|INE114A01011
2025-06-02,130.69,NSE_EQ|INE114A01011
2025-06-03,130.21,NSE_EQ|INE114A01011
2025-06-04,131.83,NSE_EQ|INE114A01011
2025-06-05,133.11,NSE_EQ|INE114A01011
2025-06-06,135.04,NSE_EQ|INE114A01011
2025-06-09,133.83,NSE_EQ|INE114A01011
2025-06-10,132.93,NSE_EQ|INE114A01011
2025-06-11,133.15,NSE_EQ|INE114A01011
2025-06-12,129.97,NSE_EQ|INE114A01011
2025-06-13,129.35,NSE_EQ|INE114A01011
2025-06-16,128.92,NSE_EQ|INE114A01011
2025-06-17,126.91,NSE_EQ|INE114A01011
2025-06-18,127.03,NSE_EQ|INE114A01011
2025-06-19,125.15,NSE_EQ|INE114A01011
2025-06-20,127.48,NSE_EQ|INE114A01011
2025-06-23,126.6,NSE_EQ|INE114A01011
2025-06-24,130.74,NSE_EQ|INE114A01011
2025-06-25,128.26,NSE_EQ|INE114A01011
2025-06-26,133.62,NSE_EQ|INE114A01011
2025-06-27,131.7,NSE_EQ|INE114A01011
2025-06-30,131.99,NSE_EQ|INE114A01011
2025-07-01,133.34,NSE_EQ|INE114A01011
2025-07-02,137.48,NSE_EQ|INE114A01011
2025-07-03,136.5,NSE_EQ|INE114A01011
2025-07-04,134.72,NSE_EQ|INE114A01011
2025-07-07,133.47,NSE_EQ|INE114A01011
2025-07-08,135.05,NSE_EQ|INE114A01011
2025-07-09,133.88,NSE_EQ|INE114A01011
2025-07-10,134.78,NSE_EQ|INE114A01011
2025-07-11,134.33,NSE_EQ|INE114A01011
2025-07-14,134.19,NSE_EQ|INE114A01011
2025-07-15,134.88,NSE_EQ|INE114A01011
2025-07-16,133.58,NSE_EQ|INE114A01011
2025-07-17,133.6,NSE_EQ|INE114A01011
2025-07-18,136.45,NSE_EQ|INE114A01011
2025-07-21,136.94,NSE_EQ|INE114A01011
2025-07-22,135.99,NSE_EQ|INE114A01011
2025-07-23,134.79,NSE_EQ|INE114A01011
2025-07-24,136.17,NSE_EQ|INE114A01011
2025-07-25,130.67,NSE_EQ|INE114A01011
2025-07-28,125.59,NSE_EQ|INE114A01011
2025-07-29,126.01,NSE_EQ|INE114A01011
2025-07-30,124.16,NSE_EQ|INE114A01011
2025-07-31,124.2,NSE_EQ|INE114A01011
2025-08-01,120.12,NSE_EQ|INE114A01011
2025-08-04,125.48,NSE_EQ|INE114A01011
2025-08-05,125.16,NSE_EQ|INE114A01011
2025-08-06,123.45,NSE_EQ|INE114A01011
2025-08-07,123.36,NSE_EQ|INE114A01011
2025-08-08,121.07,NSE_EQ|INE114A01011
2025-08-11,121.67,NSE_EQ|INE114A01011
2025-08-12,122.19,NSE_EQ|INE114A01011
2025-08-13,124.05,NSE_EQ|INE114A01011
2025-08-14,120.37,NSE_EQ|INE114A01011
2025-08-18,122.44,NSE_EQ|INE114A01011
2025-08-19,122.98,NSE_EQ|INE114A01011
2025-08-20,124.09,NSE_EQ|INE114A01011
2025-08-21,123.25,NSE_EQ|INE114A01011
2025-08-22,121.93,NSE_EQ|INE114A01011
2025-08-25,122.84,NSE_EQ|INE114A01011
2025-08-26,119.94,NSE_EQ|INE114A01011
2025-08-28,119.25,NSE_EQ|INE114A01011
2025-08-29,118.66,NSE_EQ|INE114A01011
2025-09-01,121.09,NSE_EQ|INE114A01011
2025-09-02,123.09,NSE_EQ|INE114A01011
2025-09-03,129.68,NSE_EQ|INE114A01011
2025-09-04,127.57,NSE_EQ|INE114A01011
2025-09-05,129.26,NSE_EQ|INE114A01011
2025-09-08,131.45,NSE_EQ|INE114A01011
2025-09-09,129.45,NSE_EQ|INE114A01011
2025-09-10,129.72,NSE_EQ|INE114A01011
2025-09-11,131.82,NSE_EQ|INE114A01011
2025-09-12,132.26,NSE_EQ|INE114A01011
2025-09-15,132.79,NSE_EQ|INE114A01011
2025-09-16,132.94,NSE_EQ|INE114A01011
2025-09-17,132.75,NSE_EQ|INE114A01011
2025-09-18,133.18,NSE_EQ|INE114A01011
2025-09-19,136.2,NSE_EQ|INE114A01011
2025-09-22,135.49,NSE_EQ|INE114A01011
2025-09-23,137.3,NSE_EQ|INE114A01011
2025-09-24,136.34,NSE_EQ|INE114A01011
2025-09-25,136.52,NSE_EQ|INE114A01011
2025-09-26,131.02,NSE_EQ|INE114A01011
2025-09-29,131.71,NSE_EQ|INE114A01011
2025-09-30,134.48,NSE_EQ|INE114A01011
2025-10-01,134.92,NSE_EQ|INE114A01011
2025-10-03,134.96,NSE_EQ|INE114A01011
2025-10-06,132.62,NSE_EQ|INE114A01011
2025-10-07,132.88,NSE_EQ|INE114A01011
2025-10-08,131.72,NSE_EQ|INE114A01011
2025-10-09,136.46,NSE_EQ|INE114A01011
2025-10-10,132.17,NSE_EQ|INE114A01011
2025-10-13,132.51,NSE_EQ|INE114A01011
2025-10-14,128.77,NSE_EQ|INE114A01011
2025-10-15,130.29,NSE_EQ|INE114A01011
2025-10-16,131.38,NSE_EQ|INE114A01011
2025-10-17,128.68,NSE_EQ|INE114A01011
2025-10-20,129.84,NSE_EQ|INE114A01011
2025-10-21,129.95,NSE_EQ|INE114A01011
2025-10-23,129.34,NSE_EQ|INE114A01011
2025-10-24,129.46,NSE_EQ|INE114A01011
2025-10-27,129.9,NSE_EQ|INE114A01011
2025-10-28,132.16,NSE_EQ|INE114A01011
2025-10-29,140.55,NSE_EQ|INE114A01011
2025-10-30,137.05,NSE_EQ|INE114A01011
2025-10-31,136.85,NSE_EQ|INE114A01011
2025-11-03,137.97,NSE_EQ|INE114A01011
2025-11-04,138.18,NSE_EQ|INE114A01011
2025-11-06,137.91,NSE_EQ|INE114A01011
2025-11-07,141.0,NSE_EQ|INE114A01011
2025-11-10,144.34,NSE_EQ|INE114A01011
2025-11-11,144.4,NSE_EQ|INE114A01011
2025-11-12,143.49,NSE_EQ|INE114A01011
2025-11-13,144.72,NSE_EQ|INE114A01011
2025-11-14,141.99,NSE_EQ|INE114A01011
2025-11-17,141.33,NSE_EQ|INE114A01011
2025-11-18,138.9,NSE_EQ|INE114A01011
2025-11-19,139.99,NSE_EQ|INE114A01011
2025-11-20,138.19,NSE_EQ|INE114A01011
2025-11-21,134.08,NSE_EQ|INE114A01011
2025-11-24,132.08,NSE_EQ|INE114A01011
2025-11-25,132.25,NSE_EQ|INE114A01011
2025-11-26,136.92,NSE_EQ|INE114A01011
2025-11-27,136.21,NSE_EQ|INE114A01011
2025-11-28,134.91,NSE_EQ|INE114A01011
2025-12-01,135.05,NSE_EQ|INE114A01011
2025-12-02,132.46,NSE_EQ|INE114A01011
2025-12-03,131.92,NSE_EQ|INE114A01011
2025-12-04,132.14,NSE_EQ|INE114A01011
2025-12-05,132.54,NSE_EQ|INE114A01011
2025-12-08,129.75,NSE_EQ|INE114A01011
2025-12-09,129.15,NSE_EQ|INE114A01011
2025-12-10,128.52,NSE_EQ|INE114A01011
2025-12-11,129.54,NSE_EQ|INE114A01011
2025-12-12,131.9,NSE_EQ|INE114A01011
2025-12-15,132.31,NSE_EQ|INE114A01011
2025-12-16,129.68,NSE_EQ|INE114A01011
2025-12-17,130.2,NSE_EQ|INE114A01011
2025-12-18,127.27,NSE_EQ|INE114A01011
2025-12-19,125.91,NSE_EQ|INE114A01011
2025-12-22,130.06,NSE_EQ|INE114A01011
2025-12-23,132.71,NSE_EQ|INE114A01011
2025-12-24,131.85,NSE_EQ|INE114A01011
2025-12-26,132.32,NSE_EQ|INE114A01011
2025-12-29,134.09,NSE_EQ|INE114A01011
2025-12-30,141.02,NSE_EQ|INE114A01011
2025-12-31,146.99,NSE_EQ|INE114A01011
2026-01-01,148.45,NSE_EQ|INE114A01011
2026-01-02,147.47,NSE_EQ|INE114A01011
2026-01-05,150.85,NSE_EQ|INE114A01011
2026-01-06,146.44,NSE_EQ|INE114A01011
2026-01-07,150.37,NSE_EQ|INE114A01011
2026-01-08,146.46,NSE_EQ|INE114A01011
2026-01-09,145.67,NSE_EQ|INE114A01011
2026-01-12,149.22,NSE_EQ|INE114A01011
2026-01-13,147.76,NSE_EQ|INE114A01011
2026-01-14,152.44,NSE_EQ|INE114A01011
2026-01-16,149.37,NSE_EQ|INE114A01011
2026-01-19,149.7,NSE_EQ|INE114A01011
2026-01-20,145.4,NSE_EQ|INE114A01011
2026-01-21,146.45,NSE_EQ|INE114A01011
2026-01-22,151.65,NSE_EQ|INE114A01011
2026-01-23,149.03,NSE_EQ|INE114A01011
2026-01-27,155.56,NSE_EQ|INE114A01011
2026-01-28,155.74,NSE_EQ|INE114A01011
2026-01-29,157.18,NSE_EQ|INE114A01011
2026-01-30,151.13,NSE_EQ|INE114A01011
2026-02-01,148.63,NSE_EQ|INE114A01011
2026-02-02,148.67,NSE_EQ|INE114A01011
2026-02-03,154.36,NSE_EQ|INE114A01011
2026-02-04,157.29,NSE_EQ|INE114A01011
2026-02-05,158.5,NSE_EQ|INE114A01011
2026-02-06,160.52,NSE_EQ|INE114A01011
2026-02-09,158.38,NSE_EQ|INE114A01011
2026-02-10,160.99,NSE_EQ|INE114A01011
2026-02-11,162.12,NSE_EQ|INE114A01011
2026-02-12,160.35,NSE_EQ|INE114A01011
2026-02-13,159.28,NSE_EQ|INE114A01011
2026-02-16,159.58,NSE_EQ|INE114A01011
2026-02-17,157.27,NSE_EQ|INE114A01011
2026-02-18,159.21,NSE_EQ|INE114A01011
2026-02-19,155.8,NSE_EQ|INE114A01011
2026-02-20,158.75,NSE_EQ|INE114A01011
2026-02-23,156.68,NSE_EQ|INE114A01011
2026-02-24,160.18,NSE_EQ|INE114A01011
2026-02-25,164.93,NSE_EQ|INE114A01011
2026-02-26,165.51,NSE_EQ|INE114A01011
2026-02-27,165.71,NSE_EQ|INE114A01011
2026-03-02,165.59,NSE_EQ|INE114A01011
2026-03-04,155.62,NSE_EQ|INE114A01011
2026-03-05,156.15,NSE_EQ|INE114A01011
2026-03-06,154.94,NSE_EQ|INE114A01011
2026-03-09,149.52,NSE_EQ|INE114A01011
2026-03-10,149.84,NSE_EQ|INE114A01011
2026-03-11,153.88,NSE_EQ|INE114A01011
2026-03-12,153.65,NSE_EQ|INE114A01011
2026-03-13,149.89,NSE_EQ|INE114A01011
2026-03-16,144.69,NSE_EQ|INE114A01011
2026-03-17,153.53,NSE_EQ|INE114A01011
2026-03-18,154.42,NSE_EQ|INE114A01011
