date,open,high,low,close,volume,instrument_key
2025-03-18,106.71,110.3,106.62,109.94,9675157.0,NSE_EQ|INE148I01020
2025-03-19,110.5,114.2,110.36,112.82,9918244.0,NSE_EQ|INE148I01020
2025-03-20,114.9,115.6,110.2,110.51,8126669.0,NSE_EQ|INE148I01020
2025-03-21,110.51,119.0,110.51,117.95,19688471.0,NSE_EQ|INE148I01020
2025-03-24,119.0,120.9,118.08,119.0,10511437.0,NSE_EQ|INE148I01020
2025-03-25,119.25,119.85,112.51,112.89,9893144.0,NSE_EQ|INE148I01020
2025-03-26,112.96,113.69,110.0,110.22,9765855.0,NSE_EQ|INE148I01020
2025-03-27,110.0,111.3,108.74,109.98,17074121.0,NSE_EQ|INE148I01020
2025-03-28,110.6,113.13,106.26,107.1,13476376.0,NSE_EQ|INE148I01020
2025-04-01,107.1,112.64,107.1,111.93,7140203.0,NSE_EQ|INE148I01020
2025-04-02,111.0,112.26,108.7,111.84,4809290.0,NSE_EQ|INE148I01020
2025-04-03,110.0,117.67,110.0,116.35,7953855.0,NSE_EQ|INE148I01020
2025-04-04,115.0,115.96,109.1,110.59,8972230.0,NSE_EQ|INE148I01020
2025-04-07,98.0,103.29,97.61,102.67,9329907.0,NSE_EQ|INE148I01020
2025-04-08,105.9,107.23,103.79,106.29,5091030.0,NSE_EQ|INE148I01020
2025-04-09,105.1,106.39,103.5,105.96,4274314.0,NSE_EQ|INE148I01020
2025-04-11,108.9,108.96,105.84,107.8,4683792.0,NSE_EQ|INE148I01020
2025-04-15,110.0,117.57,109.38,114.63,8909949.0,NSE_EQ|INE148I01020
2025-04-16,115.09,119.79,114.69,115.58,9874822.0,NSE_EQ|INE148I01020
2025-04-17,115.6,122.78,115.28,120.24,13295635.0,NSE_EQ|INE148I01020
2025-04-21,120.9,125.59,119.2,124.99,13507399.0,NSE_EQ|INE148I01020
2025-04-22,125.1,126.99,123.28,124.16,7345037.0,NSE_EQ|INE148I01020
2025-04-23,125.0,125.87,122.2,124.97,6577453.0,NSE_EQ|INE148I01020
2025-04-24,124.95,132.32,124.41,129.85,14630212.0,NSE_EQ|INE148I01020
2025-04-25,129.85,131.2,122.93,123.82,9253075.0,NSE_EQ|INE148I01020
2025-04-28,123.3,126.95,121.55,124.63,8018718.0,NSE_EQ|INE148I01020
2025-04-29,125.55,128.55,123.0,123.22,6118058.0,NSE_EQ|INE148I01020
2025-04-30,122.2,125.27,119.33,120.55,6762627.0,NSE_EQ|INE148I01020
2025-05-02,121.0,122.95,118.53,119.2,4659629.0,NSE_EQ|INE148I01020
2025-05-05,119.4,121.23,118.58,120.35,3083886.0,NSE_EQ|INE148I01020
2025-05-06,120.45,121.74,113.46,113.86,4243248.0,NSE_EQ|INE148I01020
2025-05-07,113.0,116.5,112.32,115.87,4155598.0,NSE_EQ|INE148I01020
2025-05-08,116.4,119.65,112.69,113.19,6643081.0,NSE_EQ|INE148I01020
2025-05-09,111.3,115.0,110.58,113.72,4001153.0,NSE_EQ|INE148I01020
2025-05-12,118.0,121.32,118.0,120.01,5536279.0,NSE_EQ|INE148I01020
2025-05-13,120.97,125.29,120.29,123.0,5141839.0,NSE_EQ|INE148I01020
2025-05-14,123.5,124.99,122.31,124.52,3723766.0,NSE_EQ|INE148I01020
2025-05-15,125.29,127.2,124.73,125.82,4121200.0,NSE_EQ|INE148I01020
2025-05-16,127.09,127.6,123.95,125.2,5344856.0,NSE_EQ|INE148I01020
2025-05-19,124.51,131.33,124.05,126.3,17622938.0,NSE_EQ|INE148I01020
2025-05-20,127.99,128.28,121.76,122.18,10264557.0,NSE_EQ|INE148I01020
2025-05-21,122.5,123.2,119.5,120.99,4190235.0,NSE_EQ|INE148I01020
2025-05-22,120.99,126.59,120.82,126.07,9248754.0,NSE_EQ|INE148I01020
2025-05-23,126.5,129.7,124.66,126.99,12542275.0,NSE_EQ|INE148I01020
2025-05-26,127.2,128.68,121.97,123.22,6054145.0,NSE_EQ|INE148I01020
2025-05-27,122.7,123.65,120.5,121.01,5718385.0,NSE_EQ|INE148I01020
2025-05-28,121.2,123.55,121.2,122.38,2990255.0,NSE_EQ|INE148I01020
2025-05-29,122.94,123.29,121.11,122.22,3169563.0,NSE_EQ|INE148I01020
2025-05-30,122.05,125.25,120.85,124.12,7514951.0,NSE_EQ|INE148I01020
2025-06-02,124.1,125.73,122.51,123.84,5927728.0,NSE_EQ|INE148I01020
2025-06-03,124.26,127.09,123.0,123.7,6539860.0,NSE_EQ|INE148I01020
2025-06-04,123.8,124.59,121.4,123.5,3749195.0,NSE_EQ|INE148I01020
2025-06-05,124.0,125.4,121.84,122.5,2900293.0,NSE_EQ|INE148I01020
2025-06-06,123.4,128.4,122.5,126.54,8840235.0,NSE_EQ|INE148I01020
2025-06-09,127.15,129.99,126.59,126.98,8536835.0,NSE_EQ|INE148I01020
2025-06-10,127.7,129.99,125.65,126.0,7961192.0,NSE_EQ|INE148I01020
2025-06-11,126.7,135.39,125.65,130.14,24365569.0,NSE_EQ|INE148I01020
2025-06-12,130.5,132.0,127.03,129.55,12497540.0,NSE_EQ|INE148I01020
2025-06-13,125.1,128.9,124.65,127.91,7764924.0,NSE_EQ|INE148I01020
2025-06-16,128.45,130.25,125.37,127.73,6186076.0,NSE_EQ|INE148I01020
2025-06-17,128.23,130.96,125.0,125.77,4881905.0,NSE_EQ|INE148I01020
2025-06-18,125.74,126.39,122.9,123.45,3981948.0,NSE_EQ|INE148I01020
2025-06-19,123.49,124.1,118.3,119.51,5507924.0,NSE_EQ|INE148I01020
2025-06-20,119.2,121.28,118.41,118.88,5452822.0,NSE_EQ|INE148I01020
2025-06-23,118.01,123.95,118.01,123.41,6946752.0,NSE_EQ|INE148I01020
2025-06-24,125.1,126.1,123.82,124.68,4893035.0,NSE_EQ|INE148I01020
2025-06-25,125.6,146.82,124.75,143.5,74500502.0,NSE_EQ|INE148I01020
2025-06-26,143.0,144.56,139.7,143.37,14499150.0,NSE_EQ|INE148I01020
2025-06-27,144.0,145.4,140.21,140.69,7652914.0,NSE_EQ|INE148I01020
2025-06-30,141.96,146.21,141.1,142.37,10217702.0,NSE_EQ|INE148I01020
2025-07-01,143.8,144.2,139.36,140.41,6329096.0,NSE_EQ|INE148I01020
2025-07-02,141.2,141.4,135.17,136.0,5936343.0,NSE_EQ|INE148I01020
2025-07-03,136.36,136.81,134.05,135.73,4874265.0,NSE_EQ|INE148I01020
2025-07-04,135.6,135.6,122.15,123.19,37310249.0,NSE_EQ|INE148I01020
2025-07-07,124.0,125.25,122.63,123.89,6330837.0,NSE_EQ|INE148I01020
2025-07-08,124.4,126.9,121.71,125.08,12409965.0,NSE_EQ|INE148I01020
2025-07-09,125.5,129.75,122.5,127.9,83648883.0,NSE_EQ|INE148I01020
2025-07-10,127.89,133.62,126.56,132.0,33255394.0,NSE_EQ|INE148I01020
2025-07-11,131.5,132.9,126.4,127.21,16751547.0,NSE_EQ|INE148I01020
2025-07-14,127.21,127.49,124.0,124.2,7660251.0,NSE_EQ|INE148I01020
2025-07-15,124.9,126.17,123.83,124.3,8325700.0,NSE_EQ|INE148I01020
2025-07-16,124.85,129.99,124.67,129.65,16609032.0,NSE_EQ|INE148I01020
2025-07-17,130.39,133.68,129.93,130.93,19475633.0,NSE_EQ|INE148I01020
2025-07-18,132.03,136.9,130.24,136.12,27618941.0,NSE_EQ|INE148I01020
2025-07-21,136.0,138.8,134.21,136.98,17127208.0,NSE_EQ|INE148I01020
2025-07-22,137.66,139.54,134.7,135.19,13754416.0,NSE_EQ|INE148I01020
2025-07-23,135.57,135.74,133.1,134.28,5362238.0,NSE_EQ|INE148I01020
2025-07-24,134.51,137.69,130.27,130.85,8860612.0,NSE_EQ|INE148I01020
2025-07-25,130.16,130.66,126.0,126.68,7676134.0,NSE_EQ|INE148I01020
2025-07-28,126.3,129.69,123.48,124.46,8329360.0,NSE_EQ|INE148I01020
2025-07-29,124.5,126.2,122.01,125.26,8870907.0,NSE_EQ|INE148I01020
2025-07-30,125.74,127.4,123.16,123.88,7052607.0,NSE_EQ|INE148I01020
2025-07-31,122.0,129.9,121.68,126.88,16447235.0,NSE_EQ|INE148I01020
2025-08-01,127.0,130.6,125.11,125.76,9585152.0,NSE_EQ|INE148I01020
2025-08-04,126.1,127.15,122.41,126.53,8037432.0,NSE_EQ|INE148I01020
