date,open,high,low,close,volume,instrument_key
2025-03-18,538.0,557.95,536.95,556.4,1521949.0,NSE_EQ|INE385C01021
2025-03-19,560.95,563.45,533.3,539.45,1162134.0,NSE_EQ|INE385C01021
2025-03-20,541.45,549.7,528.25,541.75,838503.0,NSE_EQ|INE385C01021
2025-03-21,542.6,552.85,527.15,545.55,4636524.0,NSE_EQ|INE385C01021
2025-03-24,549.8,555.9,532.0,534.9,832492.0,NSE_EQ|INE385C01021
2025-03-25,535.3,537.65,475.2,484.15,1875010.0,NSE_EQ|INE385C01021
2025-03-26,479.0,489.85,463.9,484.55,1399722.0,NSE_EQ|INE385C01021
2025-03-27,486.0,510.8,482.25,506.55,1835751.0,NSE_EQ|INE385C01021
2025-03-28,510.0,533.0,510.0,513.9,1177876.0,NSE_EQ|INE385C01021
2025-04-01,516.0,539.95,515.05,528.05,974282.0,NSE_EQ|INE385C01021
2025-04-02,527.15,544.15,518.45,536.7,1043430.0,NSE_EQ|INE385C01021
2025-04-03,529.0,539.5,522.35,528.9,461307.0,NSE_EQ|INE385C01021
2025-04-04,526.8,527.35,487.55,495.75,864244.0,NSE_EQ|INE385C01021
2025-04-07,396.6,460.0,396.6,455.85,2040016.0,NSE_EQ|INE385C01021
2025-04-08,476.9,476.9,436.65,439.0,1206153.0,NSE_EQ|INE385C01021
2025-04-09,441.0,442.0,414.4,418.6,1047409.0,NSE_EQ|INE385C01021
2025-04-11,433.05,484.0,425.55,467.65,17316130.0,NSE_EQ|INE385C01021
2025-04-15,477.5,504.5,473.9,485.6,6847178.0,NSE_EQ|INE385C01021
2025-04-16,486.9,491.3,478.15,486.1,1113872.0,NSE_EQ|INE385C01021
2025-04-17,484.85,486.5,472.0,479.1,691021.0,NSE_EQ|INE385C01021
2025-04-21,480.0,492.9,479.7,488.75,732775.0,NSE_EQ|INE385C01021
2025-04-22,492.0,522.0,487.6,506.0,1941656.0,NSE_EQ|INE385C01021
2025-04-23,510.0,524.25,496.45,499.85,1030381.0,NSE_EQ|INE385C01021
2025-04-24,500.0,507.0,491.35,493.95,610402.0,NSE_EQ|INE385C01021
2025-04-25,498.35,499.0,466.2,477.25,1050479.0,NSE_EQ|INE385C01021
2025-04-28,471.0,496.6,471.0,473.8,854843.0,NSE_EQ|INE385C01021
2025-04-29,477.65,485.55,459.9,462.8,716882.0,NSE_EQ|INE385C01021
2025-04-30,465.85,469.75,450.1,452.0,824230.0,NSE_EQ|INE385C01021
2025-05-02,449.0,459.35,437.55,442.2,676703.0,NSE_EQ|INE385C01021
2025-05-05,433.6,447.85,421.15,445.35,1833928.0,NSE_EQ|INE385C01021
2025-05-06,446.0,450.4,437.0,441.35,717303.0,NSE_EQ|INE385C01021
2025-05-07,428.5,444.0,428.5,433.3,556677.0,NSE_EQ|INE385C01021
2025-05-08,434.95,439.7,412.15,418.05,610389.0,NSE_EQ|INE385C01021
2025-05-09,401.5,425.0,401.5,421.4,894069.0,NSE_EQ|INE385C01021
2025-05-12,439.4,444.65,431.5,442.9,763234.0,NSE_EQ|INE385C01021
2025-05-13,444.65,451.65,436.1,447.45,781338.0,NSE_EQ|INE385C01021
2025-05-14,448.1,455.15,444.25,451.95,722650.0,NSE_EQ|INE385C01021
2025-05-15,454.1,459.0,448.2,454.8,644424.0,NSE_EQ|INE385C01021
2025-05-16,454.1,459.0,451.05,454.75,427823.0,NSE_EQ|INE385C01021
2025-05-19,454.75,472.0,454.45,470.0,884682.0,NSE_EQ|INE385C01021
2025-05-20,473.0,478.8,465.0,466.45,453565.0,NSE_EQ|INE385C01021
2025-05-21,464.4,483.0,459.05,473.95,570964.0,NSE_EQ|INE385C01021
2025-05-22,475.0,478.35,465.9,468.85,346844.0,NSE_EQ|INE385C01021
2025-05-23,468.9,476.0,467.1,469.4,347353.0,NSE_EQ|INE385C01021
2025-05-26,450.0,451.45,434.6,444.35,2197223.0,NSE_EQ|INE385C01021
2025-05-27,443.0,448.55,428.1,430.1,1477870.0,NSE_EQ|INE385C01021
2025-05-28,432.0,446.45,432.0,435.4,834680.0,NSE_EQ|INE385C01021
2025-05-29,436.95,442.85,432.05,437.2,673962.0,NSE_EQ|INE385C01021
2025-05-30,441.1,441.1,434.05,437.1,370759.0,NSE_EQ|INE385C01021
2025-06-02,433.0,436.6,431.1,433.95,278139.0,NSE_EQ|INE385C01021
2025-06-03,439.85,443.45,434.0,435.45,284561.0,NSE_EQ|INE385C01021
2025-06-04,435.0,441.55,433.85,438.55,218142.0,NSE_EQ|INE385C01021
2025-06-05,440.0,454.0,439.05,442.35,555850.0,NSE_EQ|INE385C01021
2025-06-06,444.2,447.4,434.0,435.95,236114.0,NSE_EQ|INE385C01021
2025-06-09,438.75,451.2,436.25,449.5,469178.0,NSE_EQ|INE385C01021
2025-06-10,455.0,456.6,447.35,453.65,581404.0,NSE_EQ|INE385C01021
2025-06-11,455.7,460.0,447.25,451.9,523324.0,NSE_EQ|INE385C01021
2025-06-12,451.9,457.5,446.25,448.7,403097.0,NSE_EQ|INE385C01021
2025-06-13,440.6,453.7,440.0,448.95,280580.0,NSE_EQ|INE385C01021
2025-06-16,448.1,451.65,441.45,449.25,244653.0,NSE_EQ|INE385C01021
2025-06-17,448.8,456.85,447.05,450.05,355335.0,NSE_EQ|INE385C01021
2025-06-18,450.05,453.25,446.1,449.9,172066.0,NSE_EQ|INE385C01021
2025-06-19,450.5,459.5,437.35,440.15,442954.0,NSE_EQ|INE385C01021
2025-06-20,440.0,447.5,427.95,431.35,435909.0,NSE_EQ|INE385C01021
2025-06-23,430.0,434.4,420.75,430.25,408042.0,NSE_EQ|INE385C01021
2025-06-24,434.25,447.0,434.0,440.3,397234.0,NSE_EQ|INE385C01021
2025-06-25,444.35,450.8,437.25,438.85,251237.0,NSE_EQ|INE385C01021
2025-06-26,440.1,450.0,437.05,445.15,479795.0,NSE_EQ|INE385C01021
2025-06-27,448.5,452.0,444.85,450.6,408723.0,NSE_EQ|INE385C01021
2025-06-30,450.25,453.6,441.5,443.35,240697.0,NSE_EQ|INE385C01021
2025-07-01,445.0,445.55,435.05,437.2,214546.0,NSE_EQ|INE385C01021
2025-07-02,436.6,441.85,428.75,431.5,267769.0,NSE_EQ|INE385C01021
2025-07-03,432.7,436.95,430.4,434.05,163381.0,NSE_EQ|INE385C01021
2025-07-04,435.8,437.95,428.95,432.5,131563.0,NSE_EQ|INE385C01021
