date,open,high,low,close,volume,instrument_key
2025-03-18,489.9,502.95,486.7,499.7,254640.0,NSE_EQ|INE979A01025
2025-03-19,498.05,506.6,492.8,502.3,322685.0,NSE_EQ|INE979A01025
2025-03-20,503.1,525.0,503.1,516.95,762037.0,NSE_EQ|INE979A01025
2025-03-21,515.15,533.0,505.1,508.25,612446.0,NSE_EQ|INE979A01025
2025-03-24,517.4,520.95,508.05,514.55,561347.0,NSE_EQ|INE979A01025
2025-03-25,518.35,524.3,502.5,520.65,591235.0,NSE_EQ|INE979A01025
2025-03-26,517.25,540.0,503.45,507.55,430472.0,NSE_EQ|INE979A01025
2025-03-27,507.0,522.0,496.25,512.45,353822.0,NSE_EQ|INE979A01025
2025-03-28,514.5,522.0,508.05,511.65,225454.0,NSE_EQ|INE979A01025
2025-04-01,512.5,520.0,509.55,516.25,107531.0,NSE_EQ|INE979A01025
2025-04-02,513.7,537.0,510.0,514.85,461760.0,NSE_EQ|INE979A01025
2025-04-03,512.3,518.35,501.5,506.3,279926.0,NSE_EQ|INE979A01025
2025-04-04,510.1,510.1,487.25,499.65,273435.0,NSE_EQ|INE979A01025
2025-04-07,440.5,505.0,440.5,490.2,269777.0,NSE_EQ|INE979A01025
2025-04-08,499.65,502.7,493.15,499.0,293533.0,NSE_EQ|INE979A01025
2025-04-09,499.95,519.7,498.1,512.35,604654.0,NSE_EQ|INE979A01025
2025-04-11,520.0,532.8,519.1,524.05,355245.0,NSE_EQ|INE979A01025
2025-04-15,522.45,540.45,515.75,535.95,432276.0,NSE_EQ|INE979A01025
2025-04-16,537.25,550.0,530.85,548.05,414452.0,NSE_EQ|INE979A01025
2025-04-17,545.0,558.0,545.0,554.0,318877.0,NSE_EQ|INE979A01025
2025-04-21,554.0,561.95,546.0,555.45,409250.0,NSE_EQ|INE979A01025
2025-04-22,556.0,567.1,555.6,562.2,282965.0,NSE_EQ|INE979A01025
2025-04-23,570.0,570.0,559.0,565.55,272391.0,NSE_EQ|INE979A01025
2025-04-24,565.0,569.95,542.05,544.55,235912.0,NSE_EQ|INE979A01025
2025-04-25,550.7,565.0,530.55,546.0,724848.0,NSE_EQ|INE979A01025
2025-04-28,540.0,560.5,537.6,556.1,283832.0,NSE_EQ|INE979A01025
2025-04-29,564.0,564.5,546.8,560.35,224837.0,NSE_EQ|INE979A01025
2025-04-30,560.35,561.0,520.3,524.05,392183.0,NSE_EQ|INE979A01025
2025-05-02,524.05,536.25,517.1,532.8,197872.0,NSE_EQ|INE979A01025
2025-05-05,534.5,542.9,524.2,540.9,267021.0,NSE_EQ|INE979A01025
2025-05-06,540.0,540.0,519.8,533.1,267293.0,NSE_EQ|INE979A01025
2025-05-07,520.0,538.75,519.95,534.6,182633.0,NSE_EQ|INE979A01025
2025-05-08,538.8,552.0,528.05,547.05,436638.0,NSE_EQ|INE979A01025
2025-05-09,540.0,540.0,526.5,535.25,148969.0,NSE_EQ|INE979A01025
2025-05-12,543.0,550.5,539.85,543.0,126004.0,NSE_EQ|INE979A01025
2025-05-13,543.5,545.95,534.3,544.2,163778.0,NSE_EQ|INE979A01025
2025-05-14,548.0,555.0,540.1,548.15,158573.0,NSE_EQ|INE979A01025
2025-05-15,543.15,565.0,543.15,555.4,791291.0,NSE_EQ|INE979A01025
2025-05-16,558.0,558.15,528.45,540.15,841782.0,NSE_EQ|INE979A01025
2025-05-19,540.25,546.35,530.0,530.9,454935.0,NSE_EQ|INE979A01025
2025-05-20,533.45,540.0,530.0,537.6,279533.0,NSE_EQ|INE979A01025
2025-05-21,537.6,538.9,530.0,536.15,169595.0,NSE_EQ|INE979A01025
2025-05-22,536.1,541.55,530.25,537.65,141360.0,NSE_EQ|INE979A01025
2025-05-23,536.0,547.55,532.8,543.05,174380.0,NSE_EQ|INE979A01025
2025-05-26,546.65,558.1,536.85,554.9,336147.0,NSE_EQ|INE979A01025
2025-05-27,554.05,560.0,541.2,559.15,308372.0,NSE_EQ|INE979A01025
2025-05-28,560.0,560.0,552.7,554.8,136739.0,NSE_EQ|INE979A01025
2025-05-29,558.5,558.5,542.45,548.25,159348.0,NSE_EQ|INE979A01025
2025-05-30,546.8,546.8,537.0,542.55,214308.0,NSE_EQ|INE979A01025
