date,open,high,low,close,volume,instrument_key
2025-03-18,82.65,84.6,82.65,84.16,2066863.0,NSE_EQ|INE423Y01016
2025-03-19,84.96,88.55,82.0,84.52,21259452.0,NSE_EQ|INE423Y01016
2025-03-20,85.0,85.81,83.51,83.64,1988281.0,NSE_EQ|INE423Y01016
2025-03-21,84.9,89.3,83.83,87.98,20890434.0,NSE_EQ|INE423Y01016
2025-03-24,89.25,90.44,87.32,89.31,2333256.0,NSE_EQ|INE423Y01016
2025-03-25,89.74,90.45,87.72,90.08,2614181.0,NSE_EQ|INE423Y01016
2025-03-26,90.04,91.0,88.13,88.47,1855737.0,NSE_EQ|INE423Y01016
2025-03-27,88.01,90.0,88.01,89.25,1108752.0,NSE_EQ|INE423Y01016
2025-03-28,89.9,89.94,87.9,88.24,776633.0,NSE_EQ|INE423Y01016
2025-04-01,87.46,90.05,87.24,89.83,834990.0,NSE_EQ|INE423Y01016
2025-04-02,91.0,94.27,89.26,92.76,4675739.0,NSE_EQ|INE423Y01016
2025-04-03,92.69,95.19,92.16,92.86,3349319.0,NSE_EQ|INE423Y01016
2025-04-04,92.85,94.24,91.02,92.95,1659191.0,NSE_EQ|INE423Y01016
2025-04-07,82.0,90.0,82.0,88.85,1873478.0,NSE_EQ|INE423Y01016
2025-04-08,90.0,92.32,88.52,88.89,1324364.0,NSE_EQ|INE423Y01016
2025-04-09,88.89,90.42,86.1,86.91,3208082.0,NSE_EQ|INE423Y01016
2025-04-11,87.8,90.4,87.15,89.67,1310219.0,NSE_EQ|INE423Y01016
2025-04-15,89.7,94.25,89.7,93.91,1852981.0,NSE_EQ|INE423Y01016
2025-04-16,94.36,98.95,92.84,98.33,7563134.0,NSE_EQ|INE423Y01016
2025-04-17,98.39,99.45,96.63,97.67,2684744.0,NSE_EQ|INE423Y01016
2025-04-21,99.2,102.4,98.7,101.54,7136244.0,NSE_EQ|INE423Y01016
2025-04-22,102.0,104.95,100.0,104.28,4972735.0,NSE_EQ|INE423Y01016
2025-04-23,104.9,109.53,102.15,108.26,10004622.0,NSE_EQ|INE423Y01016
2025-04-24,108.0,109.25,106.02,107.41,3833234.0,NSE_EQ|INE423Y01016
2025-04-25,107.5,109.9,104.28,106.15,5852594.0,NSE_EQ|INE423Y01016
2025-04-28,106.0,108.0,103.2,105.79,3945700.0,NSE_EQ|INE423Y01016
2025-04-29,106.0,106.89,101.5,102.12,3360050.0,NSE_EQ|INE423Y01016
2025-04-30,101.0,104.1,99.45,102.25,3978770.0,NSE_EQ|INE423Y01016
2025-05-02,101.0,103.35,99.65,100.09,1763487.0,NSE_EQ|INE423Y01016
2025-05-05,100.42,101.84,98.65,99.17,1632568.0,NSE_EQ|INE423Y01016
2025-05-06,99.95,100.89,95.4,96.04,2533979.0,NSE_EQ|INE423Y01016
2025-05-07,93.5,98.31,93.0,97.22,1891557.0,NSE_EQ|INE423Y01016
2025-05-08,97.7,102.75,97.45,99.37,4616028.0,NSE_EQ|INE423Y01016
2025-05-09,97.5,99.35,95.4,98.53,2159506.0,NSE_EQ|INE423Y01016
2025-05-12,103.96,103.96,100.05,100.72,2619245.0,NSE_EQ|INE423Y01016
2025-05-13,100.2,100.95,99.3,100.21,1075828.0,NSE_EQ|INE423Y01016
2025-05-14,99.9,111.26,99.8,109.49,10562957.0,NSE_EQ|INE423Y01016
2025-05-15,109.69,109.89,106.3,108.7,3025295.0,NSE_EQ|INE423Y01016
2025-05-16,110.0,110.0,106.0,107.87,2282691.0,NSE_EQ|INE423Y01016
2025-05-19,108.39,112.41,105.12,106.05,5382090.0,NSE_EQ|INE423Y01016
2025-05-20,106.59,108.08,103.55,103.93,3234631.0,NSE_EQ|INE423Y01016
2025-05-21,104.3,105.8,103.07,105.05,1816945.0,NSE_EQ|INE423Y01016
2025-05-22,105.5,107.39,103.69,105.74,1947068.0,NSE_EQ|INE423Y01016
2025-05-23,105.74,107.6,103.56,106.98,2603036.0,NSE_EQ|INE423Y01016
2025-05-26,108.0,108.4,105.48,105.8,1701891.0,NSE_EQ|INE423Y01016
2025-05-27,105.8,107.73,105.43,106.78,1164891.0,NSE_EQ|INE423Y01016
2025-05-28,107.0,111.5,106.78,108.74,8261587.0,NSE_EQ|INE423Y01016
2025-05-29,108.98,112.0,106.85,110.87,3469642.0,NSE_EQ|INE423Y01016
2025-05-30,111.7,115.0,110.67,112.92,6659562.0,NSE_EQ|INE423Y01016
2025-06-02,112.37,116.2,110.21,114.48,4933856.0,NSE_EQ|INE423Y01016
2025-06-03,115.0,115.28,111.71,112.57,2159375.0,NSE_EQ|INE423Y01016
2025-06-04,112.5,114.18,111.41,113.66,1580451.0,NSE_EQ|INE423Y01016
2025-06-05,113.02,113.74,112.29,112.78,1257865.0,NSE_EQ|INE423Y01016
2025-06-06,112.78,115.64,111.26,114.5,2917535.0,NSE_EQ|INE423Y01016
2025-06-09,116.89,117.0,113.05,113.5,3245185.0,NSE_EQ|INE423Y01016
2025-06-10,113.5,115.0,112.8,114.61,1626068.0,NSE_EQ|INE423Y01016
2025-06-11,115.0,115.26,111.31,112.45,1548184.0,NSE_EQ|INE423Y01016
2025-06-12,112.4,113.55,110.43,111.58,1468964.0,NSE_EQ|INE423Y01016
2025-06-13,110.0,111.14,107.86,110.44,3467385.0,NSE_EQ|INE423Y01016
2025-06-16,109.89,110.0,105.7,108.56,3435508.0,NSE_EQ|INE423Y01016
2025-06-17,108.0,109.1,106.8,108.34,1805093.0,NSE_EQ|INE423Y01016
2025-06-18,108.9,108.9,106.74,107.35,994930.0,NSE_EQ|INE423Y01016
2025-06-19,107.3,108.35,103.5,104.41,1743760.0,NSE_EQ|INE423Y01016
2025-06-20,104.55,105.77,102.09,103.05,2485501.0,NSE_EQ|INE423Y01016
2025-06-23,102.0,105.35,102.0,103.42,1887497.0,NSE_EQ|INE423Y01016
2025-06-24,104.95,108.58,104.01,107.57,3288909.0,NSE_EQ|INE423Y01016
2025-06-25,109.8,110.95,106.2,106.59,2750936.0,NSE_EQ|INE423Y01016
2025-06-26,106.99,107.66,103.51,104.24,2219809.0,NSE_EQ|INE423Y01016
2025-06-27,105.0,107.62,104.66,106.59,3560519.0,NSE_EQ|INE423Y01016
2025-06-30,111.0,114.0,105.62,112.13,15950773.0,NSE_EQ|INE423Y01016
2025-07-01,113.69,113.7,107.39,107.92,7420227.0,NSE_EQ|INE423Y01016
2025-07-02,108.6,109.1,106.14,107.32,2369009.0,NSE_EQ|INE423Y01016
2025-07-03,107.6,111.5,106.69,110.94,4679413.0,NSE_EQ|INE423Y01016
2025-07-04,110.94,112.41,109.59,110.89,1751872.0,NSE_EQ|INE423Y01016
2025-07-07,110.65,113.73,109.62,112.74,2318287.0,NSE_EQ|INE423Y01016
2025-07-08,112.0,113.0,110.15,110.79,2201998.0,NSE_EQ|INE423Y01016
2025-07-09,111.0,113.97,110.65,113.41,1859182.0,NSE_EQ|INE423Y01016
2025-07-10,114.0,115.95,113.55,115.48,3102409.0,NSE_EQ|INE423Y01016
2025-07-11,116.0,120.5,113.96,119.02,7112805.0,NSE_EQ|INE423Y01016
2025-07-14,118.5,118.65,116.4,117.38,2441388.0,NSE_EQ|INE423Y01016
2025-07-15,117.1,120.0,117.1,117.84,1999330.0,NSE_EQ|INE423Y01016
2025-07-16,118.0,118.88,117.41,118.04,1133903.0,NSE_EQ|INE423Y01016
2025-07-17,118.39,119.75,116.6,117.59,1169776.0,NSE_EQ|INE423Y01016
2025-07-18,117.5,117.74,114.67,115.59,1419396.0,NSE_EQ|INE423Y01016
2025-07-21,115.75,115.99,113.8,114.59,2078688.0,NSE_EQ|INE423Y01016
2025-07-22,114.59,118.59,114.57,118.06,2726170.0,NSE_EQ|INE423Y01016
2025-07-23,118.9,119.0,117.5,118.57,1471638.0,NSE_EQ|INE423Y01016
2025-07-24,119.0,119.16,113.59,114.49,2860015.0,NSE_EQ|INE423Y01016
