date,open,high,low,close,volume,instrument_key
2025-03-18,849.0,851.65,836.4,839.3,877170.0,NSE_EQ|INE018E01016
2025-03-19,849.0,853.15,839.7,846.5,1070986.0,NSE_EQ|INE018E01016
2025-03-20,849.0,859.85,838.95,856.85,923504.0,NSE_EQ|INE018E01016
2025-03-21,860.4,866.0,851.3,857.5,1928222.0,NSE_EQ|INE018E01016
2025-03-24,857.5,863.1,848.7,854.5,989594.0,NSE_EQ|INE018E01016
2025-03-25,857.95,875.5,852.05,859.2,2843733.0,NSE_EQ|INE018E01016
2025-03-26,865.0,878.8,863.1,868.6,1945536.0,NSE_EQ|INE018E01016
2025-03-27,868.65,875.0,863.7,870.5,774116.0,NSE_EQ|INE018E01016
2025-03-28,830.0,884.5,830.0,881.1,2095957.0,NSE_EQ|INE018E01016
2025-04-01,881.0,881.0,848.85,862.1,984809.0,NSE_EQ|INE018E01016
2025-04-02,861.0,865.0,853.8,857.0,871819.0,NSE_EQ|INE018E01016
2025-04-03,850.85,856.75,845.95,850.3,433635.0,NSE_EQ|INE018E01016
2025-04-04,850.3,852.9,835.65,848.0,1631537.0,NSE_EQ|INE018E01016
2025-04-07,763.5,828.9,763.5,812.05,1178513.0,NSE_EQ|INE018E01016
2025-04-08,817.0,850.95,817.0,846.5,1492773.0,NSE_EQ|INE018E01016
2025-04-09,840.2,851.8,823.65,846.55,555697.0,NSE_EQ|INE018E01016
2025-04-11,850.0,856.55,847.65,852.0,454015.0,NSE_EQ|INE018E01016
2025-04-15,861.3,884.0,857.8,882.4,1014687.0,NSE_EQ|INE018E01016
2025-04-16,882.3,890.55,877.0,888.65,916012.0,NSE_EQ|INE018E01016
2025-04-17,888.0,908.0,882.25,906.35,1615410.0,NSE_EQ|INE018E01016
2025-04-21,906.3,926.0,904.5,909.65,1435497.0,NSE_EQ|INE018E01016
2025-04-22,910.0,922.9,896.4,915.8,1623415.0,NSE_EQ|INE018E01016
2025-04-23,914.8,921.55,901.3,915.9,1063725.0,NSE_EQ|INE018E01016
2025-04-24,911.0,930.65,907.5,926.55,1450145.0,NSE_EQ|INE018E01016
2025-04-25,875.0,898.95,860.0,867.55,5917555.0,NSE_EQ|INE018E01016
2025-04-28,866.05,871.7,853.7,863.9,2120720.0,NSE_EQ|INE018E01016
2025-04-29,863.5,886.6,861.2,878.4,1627262.0,NSE_EQ|INE018E01016
2025-04-30,876.45,883.0,865.8,873.55,1227691.0,NSE_EQ|INE018E01016
2025-05-02,877.0,893.0,876.85,878.2,1113244.0,NSE_EQ|INE018E01016
2025-05-05,877.65,906.6,877.0,904.35,1774867.0,NSE_EQ|INE018E01016
2025-05-06,905.6,910.75,887.05,889.7,917982.0,NSE_EQ|INE018E01016
2025-05-07,862.2,915.85,862.2,914.65,1590048.0,NSE_EQ|INE018E01016
2025-05-08,909.2,914.4,881.15,890.5,1237725.0,NSE_EQ|INE018E01016
2025-05-09,862.0,882.7,862.0,874.2,1416421.0,NSE_EQ|INE018E01016
2025-05-12,911.0,911.0,894.1,898.15,408398.0,NSE_EQ|INE018E01016
2025-05-13,896.65,901.75,881.95,887.1,1032828.0,NSE_EQ|INE018E01016
2025-05-14,889.2,903.45,886.1,901.2,464729.0,NSE_EQ|INE018E01016
2025-05-15,900.0,915.0,895.4,911.35,790094.0,NSE_EQ|INE018E01016
2025-05-16,910.0,919.8,908.9,912.0,769945.0,NSE_EQ|INE018E01016
2025-05-19,910.0,917.7,906.2,914.6,491750.0,NSE_EQ|INE018E01016
2025-05-20,914.65,915.0,897.0,898.85,703296.0,NSE_EQ|INE018E01016
2025-05-21,897.35,906.7,892.85,903.15,296004.0,NSE_EQ|INE018E01016
2025-05-22,900.0,901.05,876.7,885.25,665551.0,NSE_EQ|INE018E01016
2025-05-23,893.0,901.0,888.35,897.7,358859.0,NSE_EQ|INE018E01016
2025-05-26,895.0,914.8,894.15,906.5,864342.0,NSE_EQ|INE018E01016
2025-05-27,908.95,918.05,898.0,915.95,808909.0,NSE_EQ|INE018E01016
2025-05-28,917.0,921.4,905.05,908.25,856572.0,NSE_EQ|INE018E01016
2025-05-29,907.0,916.0,901.5,914.25,404212.0,NSE_EQ|INE018E01016
2025-05-30,914.8,929.0,909.05,921.05,2349296.0,NSE_EQ|INE018E01016
2025-06-02,921.05,924.7,914.3,923.65,860691.0,NSE_EQ|INE018E01016
2025-06-03,924.0,929.15,910.45,916.3,684114.0,NSE_EQ|INE018E01016
2025-06-04,912.65,946.5,912.65,942.05,2649593.0,NSE_EQ|INE018E01016
2025-06-05,942.05,945.85,937.3,944.35,572580.0,NSE_EQ|INE018E01016
2025-06-06,943.0,999.45,938.05,993.1,3755601.0,NSE_EQ|INE018E01016
2025-06-09,995.1,1018.75,994.05,1017.0,1836252.0,NSE_EQ|INE018E01016
2025-06-10,1021.0,1027.25,999.3,1002.25,802686.0,NSE_EQ|INE018E01016
2025-06-11,1002.0,1004.0,991.1,991.95,531871.0,NSE_EQ|INE018E01016
2025-06-12,992.0,1011.0,992.0,1002.15,954119.0,NSE_EQ|INE018E01016
2025-06-13,977.05,1008.7,977.05,1007.0,1253322.0,NSE_EQ|INE018E01016
2025-06-16,1001.1,1014.4,998.8,1008.7,436784.0,NSE_EQ|INE018E01016
2025-06-17,1008.7,1009.75,989.5,991.0,919708.0,NSE_EQ|INE018E01016
2025-06-18,984.0,993.0,967.25,972.6,925037.0,NSE_EQ|INE018E01016
2025-06-19,968.5,975.9,933.2,939.7,1496522.0,NSE_EQ|INE018E01016
2025-06-20,944.4,950.1,934.1,945.6,1168359.0,NSE_EQ|INE018E01016
2025-06-23,946.95,959.4,942.6,955.9,909345.0,NSE_EQ|INE018E01016
2025-06-24,970.0,985.95,964.2,982.1,1179089.0,NSE_EQ|INE018E01016
2025-06-25,991.0,992.0,957.5,969.8,858081.0,NSE_EQ|INE018E01016
2025-06-26,968.65,982.95,953.0,975.3,1435893.0,NSE_EQ|INE018E01016
2025-06-27,978.0,1015.0,949.5,991.35,9956566.0,NSE_EQ|INE018E01016
2025-06-30,976.95,983.9,945.5,953.1,2183255.0,NSE_EQ|INE018E01016
2025-07-01,953.1,953.5,921.05,931.8,2693691.0,NSE_EQ|INE018E01016
2025-07-02,921.95,927.75,906.8,913.1,2464474.0,NSE_EQ|INE018E01016
2025-07-03,913.05,917.0,901.3,911.4,1653406.0,NSE_EQ|INE018E01016
2025-07-04,915.0,919.45,906.55,909.6,809693.0,NSE_EQ|INE018E01016
2025-07-07,909.6,919.85,906.7,908.95,925809.0,NSE_EQ|INE018E01016
2025-07-08,908.95,921.0,902.65,918.75,866016.0,NSE_EQ|INE018E01016
2025-07-09,924.5,938.5,920.05,934.5,967120.0,NSE_EQ|INE018E01016
2025-07-10,934.5,939.0,929.75,935.5,392432.0,NSE_EQ|INE018E01016
2025-07-11,929.05,929.05,910.0,913.45,544006.0,NSE_EQ|INE018E01016
2025-07-14,1004.75,1004.75,886.35,903.5,3790595.0,NSE_EQ|INE018E01016
2025-07-15,900.0,906.7,888.3,893.75,1585513.0,NSE_EQ|INE018E01016
2025-07-16,893.4,899.95,885.0,897.35,789465.0,NSE_EQ|INE018E01016
2025-07-17,899.9,910.5,896.05,908.8,717366.0,NSE_EQ|INE018E01016
2025-07-18,908.1,908.15,893.0,894.6,739076.0,NSE_EQ|INE018E01016
2025-07-21,892.0,903.0,887.55,898.65,723028.0,NSE_EQ|INE018E01016
2025-07-22,898.65,902.4,890.2,896.65,748118.0,NSE_EQ|INE018E01016
2025-07-23,896.65,898.8,886.55,895.55,507765.0,NSE_EQ|INE018E01016
2025-07-24,894.65,895.9,878.55,885.8,1175233.0,NSE_EQ|INE018E01016
2025-07-25,885.0,894.0,878.35,888.5,642266.0,NSE_EQ|INE018E01016
2025-07-28,832.1,864.8,830.0,837.1,3524339.0,NSE_EQ|INE018E01016
2025-07-29,834.1,837.1,819.05,821.4,1133505.0,NSE_EQ|INE018E01016
2025-07-30,822.05,825.4,812.35,814.7,740562.0,NSE_EQ|INE018E01016
2025-07-31,810.0,812.0,803.05,807.4,1750487.0,NSE_EQ|INE018E01016
