date,open,high,low,close,volume,instrument_key
2025-03-18,147.0,149.27,146.58,147.5,1836570.0,NSE_EQ|INE109A01011
2025-03-19,148.5,159.19,148.5,157.69,5796450.0,NSE_EQ|INE109A01011
2025-03-20,160.0,184.35,160.0,176.49,58461870.0,NSE_EQ|INE109A01011
2025-03-21,172.0,174.8,168.81,169.26,7538671.0,NSE_EQ|INE109A01011
2025-03-24,171.0,184.79,170.95,177.25,14590375.0,NSE_EQ|INE109A01011
2025-03-25,180.99,180.99,174.02,175.11,5744286.0,NSE_EQ|INE109A01011
2025-03-26,175.5,176.2,166.0,166.96,3611612.0,NSE_EQ|INE109A01011
2025-03-27,166.42,175.3,164.3,167.0,8185139.0,NSE_EQ|INE109A01011
2025-03-28,167.62,174.0,164.2,165.28,5574161.0,NSE_EQ|INE109A01011
2025-04-01,164.86,171.8,164.26,170.2,4243393.0,NSE_EQ|INE109A01011
2025-04-02,171.0,171.1,166.51,169.98,1739294.0,NSE_EQ|INE109A01011
2025-04-03,167.42,174.35,167.42,171.63,4717807.0,NSE_EQ|INE109A01011
2025-04-04,169.9,171.03,163.75,165.66,2762732.0,NSE_EQ|INE109A01011
2025-04-07,147.0,160.66,147.0,157.14,6300896.0,NSE_EQ|INE109A01011
2025-04-08,162.98,170.35,158.62,169.1,4030809.0,NSE_EQ|INE109A01011
2025-04-09,167.0,168.0,164.3,165.91,1947155.0,NSE_EQ|INE109A01011
2025-04-11,169.9,173.95,168.0,171.75,2885696.0,NSE_EQ|INE109A01011
2025-04-15,173.0,176.8,172.3,173.64,2768594.0,NSE_EQ|INE109A01011
2025-04-16,174.0,178.77,173.1,175.24,3012571.0,NSE_EQ|INE109A01011
2025-04-17,175.5,178.16,174.73,175.7,1755614.0,NSE_EQ|INE109A01011
2025-04-21,177.0,179.6,174.6,177.35,2133122.0,NSE_EQ|INE109A01011
2025-04-22,178.5,179.31,175.65,176.46,1448318.0,NSE_EQ|INE109A01011
2025-04-23,176.8,179.25,173.51,176.64,1839646.0,NSE_EQ|INE109A01011
2025-04-24,177.4,186.22,177.0,181.02,8485905.0,NSE_EQ|INE109A01011
2025-04-25,181.9,181.9,172.48,173.82,3321328.0,NSE_EQ|INE109A01011
2025-04-28,173.25,180.0,168.55,176.76,5716106.0,NSE_EQ|INE109A01011
2025-04-29,178.0,188.99,176.71,182.67,15219570.0,NSE_EQ|INE109A01011
2025-04-30,184.0,184.37,176.5,178.01,3569095.0,NSE_EQ|INE109A01011
2025-05-02,176.7,179.52,173.2,173.87,2562810.0,NSE_EQ|INE109A01011
2025-05-05,175.26,177.8,172.71,176.3,2452478.0,NSE_EQ|INE109A01011
2025-05-06,176.35,178.49,168.7,170.09,1863361.0,NSE_EQ|INE109A01011
2025-05-07,168.03,173.05,165.2,168.63,3008060.0,NSE_EQ|INE109A01011
2025-05-08,169.61,172.48,160.33,163.25,1899299.0,NSE_EQ|INE109A01011
2025-05-09,159.65,163.79,158.06,161.91,2241265.0,NSE_EQ|INE109A01011
2025-05-12,171.0,173.8,168.28,173.26,1997605.0,NSE_EQ|INE109A01011
2025-05-13,173.26,176.49,171.74,173.8,1668446.0,NSE_EQ|INE109A01011
2025-05-14,176.0,182.9,174.56,175.53,7903882.0,NSE_EQ|INE109A01011
2025-05-15,176.85,179.97,172.0,172.74,4722727.0,NSE_EQ|INE109A01011
2025-05-16,174.55,193.5,174.01,188.77,24580674.0,NSE_EQ|INE109A01011
2025-05-19,189.5,195.62,186.3,187.26,8394831.0,NSE_EQ|INE109A01011
2025-05-20,187.26,188.69,179.6,179.92,3352956.0,NSE_EQ|INE109A01011
2025-05-21,180.45,183.95,178.6,181.8,2694586.0,NSE_EQ|INE109A01011
