date,open,high,low,close,volume,instrument_key
2025-03-18,817.05,852.2,813.8,845.45,728479.0,NSE_EQ|INE810G01011
2025-03-19,860.0,865.3,839.3,859.6,482052.0,NSE_EQ|INE810G01011
2025-03-20,863.0,871.8,844.7,852.35,363580.0,NSE_EQ|INE810G01011
2025-03-21,855.0,874.8,844.5,869.3,598456.0,NSE_EQ|INE810G01011
2025-03-24,905.0,905.0,858.5,863.6,921746.0,NSE_EQ|INE810G01011
2025-03-25,872.0,872.0,843.05,854.4,361088.0,NSE_EQ|INE810G01011
2025-03-26,855.05,865.25,849.15,855.45,201601.0,NSE_EQ|INE810G01011
2025-03-27,852.7,858.8,838.85,853.95,312527.0,NSE_EQ|INE810G01011
2025-03-28,853.95,873.05,845.05,853.3,675770.0,NSE_EQ|INE810G01011
2025-04-01,844.95,877.0,840.05,860.5,408769.0,NSE_EQ|INE810G01011
2025-04-02,876.7,920.0,861.55,914.4,2339645.0,NSE_EQ|INE810G01011
2025-04-03,908.8,924.0,900.0,908.7,471707.0,NSE_EQ|INE810G01011
2025-04-04,901.0,904.05,841.0,858.3,553710.0,NSE_EQ|INE810G01011
2025-04-07,755.3,824.0,745.0,812.2,385896.0,NSE_EQ|INE810G01011
2025-04-08,815.2,845.0,812.4,835.95,344469.0,NSE_EQ|INE810G01011
2025-04-09,839.0,848.0,806.5,834.8,283443.0,NSE_EQ|INE810G01011
2025-04-11,844.0,852.0,832.2,843.85,210032.0,NSE_EQ|INE810G01011
2025-04-15,849.9,879.3,847.05,875.5,156925.0,NSE_EQ|INE810G01011
2025-04-16,875.05,901.0,870.35,898.95,430253.0,NSE_EQ|INE810G01011
2025-04-17,898.1,904.5,880.7,900.05,236626.0,NSE_EQ|INE810G01011
2025-04-21,896.05,917.9,888.5,910.8,259893.0,NSE_EQ|INE810G01011
2025-04-22,910.8,919.9,903.1,910.1,348354.0,NSE_EQ|INE810G01011
2025-04-23,911.0,915.9,886.9,899.2,197567.0,NSE_EQ|INE810G01011
2025-04-24,901.0,909.4,895.35,902.8,144454.0,NSE_EQ|INE810G01011
2025-04-25,910.0,914.75,865.0,886.1,216186.0,NSE_EQ|INE810G01011
2025-04-28,886.5,891.4,862.7,871.3,266150.0,NSE_EQ|INE810G01011
2025-04-29,872.0,882.5,863.5,875.1,176387.0,NSE_EQ|INE810G01011
2025-04-30,880.85,880.85,855.9,860.85,280689.0,NSE_EQ|INE810G01011
2025-05-02,860.0,867.5,848.0,859.3,160102.0,NSE_EQ|INE810G01011
2025-05-05,856.0,887.1,856.0,880.95,230729.0,NSE_EQ|INE810G01011
2025-05-06,880.95,886.75,871.55,880.0,220773.0,NSE_EQ|INE810G01011
2025-05-07,874.0,883.05,852.0,876.55,330106.0,NSE_EQ|INE810G01011
2025-05-08,872.8,909.0,872.35,879.9,477343.0,NSE_EQ|INE810G01011
2025-05-09,864.95,872.8,843.15,865.8,561240.0,NSE_EQ|INE810G01011
2025-05-12,901.8,901.8,867.0,892.2,457705.0,NSE_EQ|INE810G01011
2025-05-13,899.35,918.0,887.7,913.75,596816.0,NSE_EQ|INE810G01011
2025-05-14,920.0,922.8,891.4,907.95,717640.0,NSE_EQ|INE810G01011
2025-05-15,905.0,945.0,903.0,936.85,1169387.0,NSE_EQ|INE810G01011
2025-05-16,944.45,950.0,925.5,937.75,807105.0,NSE_EQ|INE810G01011
2025-05-19,937.9,941.85,889.7,906.95,862467.0,NSE_EQ|INE810G01011
2025-05-20,915.0,920.0,899.25,911.15,673979.0,NSE_EQ|INE810G01011
2025-05-21,918.0,918.0,891.15,908.4,557998.0,NSE_EQ|INE810G01011
2025-05-22,912.8,912.8,892.0,903.85,220070.0,NSE_EQ|INE810G01011
2025-05-23,905.0,909.45,891.4,903.55,223430.0,NSE_EQ|INE810G01011
2025-05-26,900.0,900.05,862.05,871.6,695935.0,NSE_EQ|INE810G01011
2025-05-27,865.0,875.75,856.25,873.15,629703.0,NSE_EQ|INE810G01011
2025-05-28,873.15,875.0,865.0,870.5,283137.0,NSE_EQ|INE810G01011
2025-05-29,875.0,876.45,859.0,870.35,534982.0,NSE_EQ|INE810G01011
2025-05-30,865.25,873.65,818.5,843.1,2613873.0,NSE_EQ|INE810G01011
2025-06-02,840.0,878.0,840.0,870.5,715062.0,NSE_EQ|INE810G01011
2025-06-03,877.85,879.45,851.25,856.65,226499.0,NSE_EQ|INE810G01011
2025-06-04,860.0,860.0,847.0,852.35,147437.0,NSE_EQ|INE810G01011
2025-06-05,856.0,871.25,848.95,865.55,315777.0,NSE_EQ|INE810G01011
2025-06-06,865.55,875.55,864.7,870.0,306041.0,NSE_EQ|INE810G01011
2025-06-09,870.0,881.9,867.15,879.6,266754.0,NSE_EQ|INE810G01011
2025-06-10,883.75,894.55,875.0,878.75,388799.0,NSE_EQ|INE810G01011
2025-06-11,878.4,880.35,854.55,858.1,369537.0,NSE_EQ|INE810G01011
2025-06-12,858.0,863.8,840.2,847.35,333695.0,NSE_EQ|INE810G01011
2025-06-13,835.0,844.4,830.0,836.4,156206.0,NSE_EQ|INE810G01011
2025-06-16,829.1,848.05,821.5,838.8,211741.0,NSE_EQ|INE810G01011
2025-06-17,833.0,851.65,832.2,835.45,181880.0,NSE_EQ|INE810G01011
2025-06-18,831.0,841.75,824.6,827.7,129615.0,NSE_EQ|INE810G01011
2025-06-19,829.0,834.4,805.6,818.55,388287.0,NSE_EQ|INE810G01011
