date,open,high,low,close,volume,instrument_key
2025-03-18,1063.35,1090.9,1063.35,1085.9,508944.0,NSE_EQ|INE903U01023
2025-03-19,1085.95,1113.45,1080.85,1104.55,495212.0,NSE_EQ|INE903U01023
2025-03-20,1100.0,1121.25,1090.1,1116.2,500375.0,NSE_EQ|INE903U01023
2025-03-21,1119.9,1203.85,1118.0,1157.95,1111734.0,NSE_EQ|INE903U01023
2025-03-24,1161.0,1184.0,1150.4,1157.7,543760.0,NSE_EQ|INE903U01023
2025-03-25,1155.0,1161.0,1140.5,1148.95,539243.0,NSE_EQ|INE903U01023
2025-03-26,1150.0,1158.0,1135.1,1141.25,467389.0,NSE_EQ|INE903U01023
2025-03-27,1141.0,1143.45,1121.35,1136.25,483564.0,NSE_EQ|INE903U01023
2025-03-28,1140.0,1150.0,1088.0,1093.7,569286.0,NSE_EQ|INE903U01023
2025-04-01,1080.0,1098.65,1072.2,1076.15,255788.0,NSE_EQ|INE903U01023
2025-04-02,1075.0,1120.0,1071.45,1105.25,356636.0,NSE_EQ|INE903U01023
2025-04-03,1105.0,1158.9,1105.0,1118.35,375716.0,NSE_EQ|INE903U01023
2025-04-04,1120.0,1167.6,1091.0,1117.05,1738814.0,NSE_EQ|INE903U01023
2025-04-07,1060.0,1079.45,1045.0,1053.75,327357.0,NSE_EQ|INE903U01023
2025-04-08,1063.5,1093.6,1056.05,1069.05,478508.0,NSE_EQ|INE903U01023
2025-04-09,1070.0,1081.25,1054.9,1069.5,356472.0,NSE_EQ|INE903U01023
2025-04-11,1072.0,1091.75,1068.0,1088.4,266459.0,NSE_EQ|INE903U01023
2025-04-15,1091.0,1134.0,1091.0,1130.7,289774.0,NSE_EQ|INE903U01023
2025-04-16,1141.1,1158.4,1121.0,1126.4,284655.0,NSE_EQ|INE903U01023
2025-04-17,1127.0,1141.4,1119.0,1127.1,241193.0,NSE_EQ|INE903U01023
2025-04-21,1127.5,1147.0,1120.1,1140.4,240512.0,NSE_EQ|INE903U01023
2025-04-22,1140.5,1167.5,1140.5,1156.8,246524.0,NSE_EQ|INE903U01023
2025-04-23,1165.0,1188.7,1155.5,1182.4,291377.0,NSE_EQ|INE903U01023
2025-04-24,1188.0,1192.3,1166.0,1172.1,235542.0,NSE_EQ|INE903U01023
2025-04-25,1172.0,1180.7,1131.5,1136.9,315494.0,NSE_EQ|INE903U01023
2025-04-28,1139.0,1158.0,1122.5,1144.6,255035.0,NSE_EQ|INE903U01023
2025-04-29,1144.6,1158.0,1137.8,1153.6,224162.0,NSE_EQ|INE903U01023
2025-04-30,1160.0,1172.1,1134.1,1148.1,331823.0,NSE_EQ|INE903U01023
2025-05-02,1148.0,1160.9,1128.0,1133.9,270852.0,NSE_EQ|INE903U01023
2025-05-05,1134.9,1146.3,1128.6,1139.2,230609.0,NSE_EQ|INE903U01023
2025-05-06,1140.0,1148.7,1126.0,1133.6,227435.0,NSE_EQ|INE903U01023
2025-05-07,1133.6,1142.5,1110.6,1140.2,262042.0,NSE_EQ|INE903U01023
2025-05-08,1141.0,1178.6,1131.0,1133.4,297667.0,NSE_EQ|INE903U01023
2025-05-09,1133.4,1158.0,1115.6,1150.4,301974.0,NSE_EQ|INE903U01023
2025-05-12,1179.3,1204.0,1170.3,1195.8,307966.0,NSE_EQ|INE903U01023
2025-05-13,1195.8,1196.6,1161.0,1164.4,256824.0,NSE_EQ|INE903U01023
2025-05-14,1173.7,1186.4,1165.5,1172.7,349228.0,NSE_EQ|INE903U01023
2025-05-15,1173.1,1180.9,1162.9,1175.2,272271.0,NSE_EQ|INE903U01023
2025-05-16,1181.0,1243.0,1173.2,1236.1,671895.0,NSE_EQ|INE903U01023
2025-05-19,1247.0,1256.8,1221.0,1249.9,437914.0,NSE_EQ|INE903U01023
2025-05-20,1249.9,1268.0,1233.0,1258.3,440001.0,NSE_EQ|INE903U01023
2025-05-21,1260.0,1260.0,1201.0,1203.8,440637.0,NSE_EQ|INE903U01023
2025-05-22,1209.6,1212.4,1191.0,1206.4,302358.0,NSE_EQ|INE903U01023
2025-05-23,1205.0,1209.0,1191.0,1195.2,266961.0,NSE_EQ|INE903U01023
