date,open,high,low,close,volume,instrument_key
2025-03-18,86.75,87.99,86.4,87.86,5216148.0,NSE_EQ|INE002L01015
2025-03-19,88.29,91.95,87.95,91.71,9211611.0,NSE_EQ|INE002L01015
2025-03-20,92.43,92.75,90.45,91.07,5538285.0,NSE_EQ|INE002L01015
2025-03-21,91.0,96.85,90.58,95.23,21495051.0,NSE_EQ|INE002L01015
2025-03-24,96.0,97.85,95.9,96.93,9209244.0,NSE_EQ|INE002L01015
2025-03-25,97.4,97.4,93.05,93.5,8796395.0,NSE_EQ|INE002L01015
2025-03-26,93.9,94.81,91.3,91.53,7445890.0,NSE_EQ|INE002L01015
2025-03-27,91.2,92.85,90.8,92.38,9560355.0,NSE_EQ|INE002L01015
2025-03-28,92.9,96.17,91.21,91.59,11724143.0,NSE_EQ|INE002L01015
2025-04-01,91.5,92.95,90.56,91.29,6079541.0,NSE_EQ|INE002L01015
2025-04-02,91.95,93.6,89.7,93.32,6696982.0,NSE_EQ|INE002L01015
2025-04-03,92.84,96.0,92.5,95.77,8044837.0,NSE_EQ|INE002L01015
2025-04-04,95.95,96.12,91.73,92.42,6542740.0,NSE_EQ|INE002L01015
2025-04-07,83.17,90.0,83.17,88.91,6304022.0,NSE_EQ|INE002L01015
2025-04-08,91.08,92.06,89.53,90.6,4027939.0,NSE_EQ|INE002L01015
2025-04-09,90.59,90.75,89.03,90.03,2524732.0,NSE_EQ|INE002L01015
2025-04-11,92.01,92.5,90.5,91.43,3123108.0,NSE_EQ|INE002L01015
2025-04-15,92.52,94.45,92.34,94.11,4722031.0,NSE_EQ|INE002L01015
2025-04-16,94.12,95.55,93.85,95.03,5980819.0,NSE_EQ|INE002L01015
2025-04-17,94.99,95.69,93.41,94.18,4951325.0,NSE_EQ|INE002L01015
2025-04-21,94.65,96.4,93.81,95.87,6038998.0,NSE_EQ|INE002L01015
2025-04-22,96.3,100.9,95.16,99.1,23034145.0,NSE_EQ|INE002L01015
2025-04-23,100.0,100.87,97.5,100.01,10896395.0,NSE_EQ|INE002L01015
2025-04-24,99.85,101.78,98.51,98.77,11489970.0,NSE_EQ|INE002L01015
2025-04-25,99.46,99.8,93.52,96.64,11624755.0,NSE_EQ|INE002L01015
2025-04-28,96.0,98.1,95.2,98.01,5850616.0,NSE_EQ|INE002L01015
2025-04-29,98.05,99.48,96.48,96.77,5139780.0,NSE_EQ|INE002L01015
2025-04-30,96.77,96.82,93.27,94.03,4504690.0,NSE_EQ|INE002L01015
2025-05-02,93.25,96.1,93.0,93.37,4734571.0,NSE_EQ|INE002L01015
2025-05-05,94.9,94.9,92.69,94.13,3897468.0,NSE_EQ|INE002L01015
2025-05-06,94.4,94.69,90.0,90.22,4991228.0,NSE_EQ|INE002L01015
