date,open,high,low,close,volume,instrument_key
2025-03-18,591.45,603.0,583.3,599.15,54294.0,NSE_EQ|INE663A01033
2025-03-19,602.3,616.6,598.05,610.7,50020.0,NSE_EQ|INE663A01033
2025-03-20,617.85,629.9,616.0,620.85,50420.0,NSE_EQ|INE663A01033
2025-03-21,624.1,638.4,621.2,633.5,79700.0,NSE_EQ|INE663A01033
2025-03-24,636.8,642.9,620.5,638.7,49088.0,NSE_EQ|INE663A01033
2025-03-25,650.0,665.0,639.15,661.35,134889.0,NSE_EQ|INE663A01033
2025-03-26,662.15,663.75,642.85,645.8,60022.0,NSE_EQ|INE663A01033
2025-03-27,647.1,650.35,601.5,617.25,396704.0,NSE_EQ|INE663A01033
2025-03-28,620.5,639.95,619.6,628.8,32462.0,NSE_EQ|INE663A01033
2025-04-01,629.95,630.45,611.0,616.15,22304.0,NSE_EQ|INE663A01033
2025-04-02,619.4,630.65,605.0,620.1,57080.0,NSE_EQ|INE663A01033
2025-04-03,620.1,627.0,615.5,625.7,14477.0,NSE_EQ|INE663A01033
2025-04-04,620.05,624.6,590.0,597.95,30576.0,NSE_EQ|INE663A01033
2025-04-07,577.95,585.0,537.95,581.65,113809.0,NSE_EQ|INE663A01033
2025-04-08,584.85,595.4,570.15,590.35,102401.0,NSE_EQ|INE663A01033
2025-04-09,585.0,596.8,581.85,592.4,15675.0,NSE_EQ|INE663A01033
2025-04-11,598.6,625.0,591.6,617.7,300715.0,NSE_EQ|INE663A01033
2025-04-15,623.25,642.35,623.25,626.55,39806.0,NSE_EQ|INE663A01033
2025-04-16,629.7,638.3,623.7,631.9,19725.0,NSE_EQ|INE663A01033
2025-04-17,632.0,650.0,627.05,636.15,28620.0,NSE_EQ|INE663A01033
2025-04-21,630.5,642.0,625.0,626.85,43923.0,NSE_EQ|INE663A01033
2025-04-22,627.0,627.0,605.35,606.55,84826.0,NSE_EQ|INE663A01033
2025-04-23,607.0,652.15,596.65,633.45,587606.0,NSE_EQ|INE663A01033
2025-04-24,632.0,663.7,616.65,647.05,193530.0,NSE_EQ|INE663A01033
2025-04-25,646.95,663.0,624.65,653.05,172460.0,NSE_EQ|INE663A01033
2025-04-28,649.95,653.85,636.0,643.9,50542.0,NSE_EQ|INE663A01033
2025-04-29,647.3,648.0,634.05,640.3,27388.0,NSE_EQ|INE663A01033
2025-04-30,643.7,653.1,625.55,650.05,131306.0,NSE_EQ|INE663A01033
2025-05-02,664.0,664.0,631.9,648.2,66169.0,NSE_EQ|INE663A01033
2025-05-05,638.85,661.7,638.85,652.45,56118.0,NSE_EQ|INE663A01033
2025-05-06,647.0,656.7,645.6,653.05,120687.0,NSE_EQ|INE663A01033
2025-05-07,638.0,657.5,632.2,655.0,90182.0,NSE_EQ|INE663A01033
2025-05-08,655.0,663.0,647.05,654.75,87439.0,NSE_EQ|INE663A01033
2025-05-09,648.8,714.2,645.95,702.6,338686.0,NSE_EQ|INE663A01033
2025-05-12,724.9,724.9,681.15,690.85,156865.0,NSE_EQ|INE663A01033
2025-05-13,690.85,697.85,685.0,686.15,28761.0,NSE_EQ|INE663A01033
2025-05-14,691.3,711.7,685.2,708.95,59376.0,NSE_EQ|INE663A01033
2025-05-15,708.9,710.2,696.5,698.4,21942.0,NSE_EQ|INE663A01033
2025-05-16,702.1,706.65,688.0,695.75,61032.0,NSE_EQ|INE663A01033
2025-05-19,695.0,705.35,694.55,700.4,65992.0,NSE_EQ|INE663A01033
2025-05-20,696.3,744.5,696.3,711.4,163535.0,NSE_EQ|INE663A01033
2025-05-21,714.15,723.95,708.0,717.45,51056.0,NSE_EQ|INE663A01033
2025-05-22,710.9,720.0,703.45,710.5,25182.0,NSE_EQ|INE663A01033
2025-05-23,714.2,714.2,698.45,705.1,27332.0,NSE_EQ|INE663A01033
2025-05-26,711.15,728.75,705.0,710.85,35974.0,NSE_EQ|INE663A01033
2025-05-27,714.6,722.0,707.25,716.7,26379.0,NSE_EQ|INE663A01033
2025-05-28,722.7,725.45,706.0,710.2,18664.0,NSE_EQ|INE663A01033
2025-05-29,711.0,714.05,702.9,704.4,28393.0,NSE_EQ|INE663A01033
2025-05-30,708.8,718.0,699.5,714.55,72508.0,NSE_EQ|INE663A01033
2025-06-02,714.55,734.0,708.0,729.25,37839.0,NSE_EQ|INE663A01033
2025-06-03,737.95,737.95,707.4,712.3,25939.0,NSE_EQ|INE663A01033
2025-06-04,716.0,725.85,707.7,715.9,24527.0,NSE_EQ|INE663A01033
2025-06-05,711.0,729.7,711.0,720.5,13726.0,NSE_EQ|INE663A01033
2025-06-06,720.9,739.4,716.9,734.95,39598.0,NSE_EQ|INE663A01033
2025-06-09,738.0,738.8,725.0,726.3,19536.0,NSE_EQ|INE663A01033
2025-06-10,727.05,745.8,724.6,742.75,42899.0,NSE_EQ|INE663A01033
2025-06-11,739.0,764.9,738.0,760.55,83345.0,NSE_EQ|INE663A01033
2025-06-12,768.15,780.0,749.5,756.15,39554.0,NSE_EQ|INE663A01033
2025-06-13,752.0,774.9,732.05,761.6,54812.0,NSE_EQ|INE663A01033
2025-06-16,761.55,776.6,749.0,760.05,30557.0,NSE_EQ|INE663A01033
2025-06-17,760.05,810.0,755.75,799.05,182791.0,NSE_EQ|INE663A01033
2025-06-18,810.05,820.9,787.2,804.15,145274.0,NSE_EQ|INE663A01033
2025-06-19,798.0,805.55,775.15,784.05,46980.0,NSE_EQ|INE663A01033
2025-06-20,776.2,798.0,772.2,794.85,39530.0,NSE_EQ|INE663A01033
2025-06-23,788.0,908.0,775.2,887.45,535402.0,NSE_EQ|INE663A01033
2025-06-24,877.45,890.0,851.25,874.9,257306.0,NSE_EQ|INE663A01033
2025-06-25,865.0,885.0,854.1,880.75,109576.0,NSE_EQ|INE663A01033
2025-06-26,889.0,889.9,863.4,872.7,28064.0,NSE_EQ|INE663A01033
2025-06-27,870.0,887.45,867.15,878.15,47329.0,NSE_EQ|INE663A01033
2025-06-30,882.8,899.05,861.0,865.45,118581.0,NSE_EQ|INE663A01033
2025-07-01,874.95,875.95,838.0,842.1,61901.0,NSE_EQ|INE663A01033
2025-07-02,842.0,856.5,831.75,837.75,21562.0,NSE_EQ|INE663A01033
2025-07-03,831.75,853.4,831.75,837.25,29905.0,NSE_EQ|INE663A01033
2025-07-04,828.9,837.85,810.0,817.4,35850.0,NSE_EQ|INE663A01033
2025-07-07,817.4,826.9,811.0,817.9,22063.0,NSE_EQ|INE663A01033
2025-07-08,820.0,820.0,805.0,806.2,16281.0,NSE_EQ|INE663A01033
2025-07-09,810.4,810.45,800.0,804.75,16367.0,NSE_EQ|INE663A01033
2025-07-10,804.0,831.0,804.0,827.6,35249.0,NSE_EQ|INE663A01033
2025-07-11,827.6,835.0,810.0,812.45,19913.0,NSE_EQ|INE663A01033
2025-07-14,816.9,819.15,801.0,807.3,13058.0,NSE_EQ|INE663A01033
2025-07-15,812.1,821.8,806.0,818.2,12935.0,NSE_EQ|INE663A01033
2025-07-16,824.5,827.05,813.0,818.7,12840.0,NSE_EQ|INE663A01033
2025-07-17,817.0,829.95,813.35,827.85,19068.0,NSE_EQ|INE663A01033
2025-07-18,834.1,834.2,811.8,817.75,12167.0,NSE_EQ|INE663A01033
2025-07-21,822.1,822.1,801.0,807.3,15082.0,NSE_EQ|INE663A01033
2025-07-22,799.25,813.0,799.25,809.7,8280.0,NSE_EQ|INE663A01033
2025-07-23,814.0,826.3,801.05,817.8,33571.0,NSE_EQ|INE663A01033
2025-07-24,796.65,814.5,785.8,809.6,146034.0,NSE_EQ|INE663A01033
2025-07-25,809.0,809.0,792.55,800.05,52279.0,NSE_EQ|INE663A01033
2025-07-28,792.8,806.0,787.1,802.95,39011.0,NSE_EQ|INE663A01033
2025-07-29,795.7,807.0,792.0,794.5,27787.0,NSE_EQ|INE663A01033
2025-07-30,798.7,806.2,789.65,798.6,11215.0,NSE_EQ|INE663A01033
2025-07-31,798.0,813.95,781.0,786.2,100422.0,NSE_EQ|INE663A01033
2025-08-01,784.05,835.4,784.05,830.0,215049.0,NSE_EQ|INE663A01033
2025-08-04,845.0,857.95,803.0,815.45,135118.0,NSE_EQ|INE663A01033
2025-08-05,808.05,828.0,808.05,819.2,24641.0,NSE_EQ|INE663A01033
2025-08-06,823.25,823.25,793.95,799.7,26667.0,NSE_EQ|INE663A01033
2025-08-07,799.7,799.7,756.1,764.7,46182.0,NSE_EQ|INE663A01033
2025-08-08,765.0,765.95,742.3,747.5,42588.0,NSE_EQ|INE663A01033
2025-08-11,748.0,757.0,727.0,733.0,31138.0,NSE_EQ|INE663A01033
2025-08-12,735.0,744.4,726.15,728.75,7385.0,NSE_EQ|INE663A01033
2025-08-13,732.6,759.95,721.3,753.35,26509.0,NSE_EQ|INE663A01033
2025-08-14,753.0,766.8,726.2,731.6,19088.0,NSE_EQ|INE663A01033
2025-08-18,732.0,848.0,732.0,805.15,1917843.0,NSE_EQ|INE663A01033
2025-08-19,810.0,841.65,802.85,829.4,467147.0,NSE_EQ|INE663A01033
2025-08-20,833.5,842.0,821.9,826.85,68433.0,NSE_EQ|INE663A01033
2025-08-21,834.5,838.0,821.0,824.6,30337.0,NSE_EQ|INE663A01033
2025-08-22,827.0,827.1,786.95,795.05,41600.0,NSE_EQ|INE663A01033
2025-08-25,797.9,797.9,781.1,785.0,20759.0,NSE_EQ|INE663A01033
2025-08-26,781.05,785.85,763.0,768.1,44307.0,NSE_EQ|INE663A01033
2025-08-28,760.05,775.3,748.0,751.3,26766.0,NSE_EQ|INE663A01033
2025-08-29,746.55,770.0,742.65,764.15,18350.0,NSE_EQ|INE663A01033
2025-09-01,764.15,780.4,763.95,778.7,21175.0,NSE_EQ|INE663A01033
2025-09-02,771.6,788.5,771.6,774.95,13545.0,NSE_EQ|INE663A01033
2025-09-03,779.0,780.4,769.85,775.8,6330.0,NSE_EQ|INE663A01033
2025-09-04,777.05,790.0,771.0,775.4,19759.0,NSE_EQ|INE663A01033
2025-09-05,779.5,784.95,768.45,780.15,13474.0,NSE_EQ|INE663A01033
2025-09-08,784.3,801.0,773.15,788.55,271677.0,NSE_EQ|INE663A01033
2025-09-09,798.0,798.0,768.15,774.2,31153.0,NSE_EQ|INE663A01033
2025-09-10,772.85,787.2,772.85,780.65,49300.0,NSE_EQ|INE663A01033
2025-09-11,781.1,797.0,776.0,792.4,19357.0,NSE_EQ|INE663A01033
2025-09-12,785.2,801.0,784.55,788.4,22029.0,NSE_EQ|INE663A01033
2025-09-15,788.3,798.0,784.5,793.25,13715.0,NSE_EQ|INE663A01033
2025-09-16,788.1,807.0,788.1,804.4,16494.0,NSE_EQ|INE663A01033
2025-09-17,797.1,813.0,797.1,805.45,13922.0,NSE_EQ|INE663A01033
2025-09-18,806.1,825.0,797.15,822.8,43379.0,NSE_EQ|INE663A01033
2025-09-19,818.0,844.2,814.4,841.25,70754.0,NSE_EQ|INE663A01033
