date,open,high,low,close,volume,instrument_key
2025-03-18,490.0,495.85,481.95,488.95,321586.0,NSE_EQ|INE258G01013
2025-03-19,490.0,513.2,490.0,510.2,267784.0,NSE_EQ|INE258G01013
2025-03-20,512.7,527.55,510.2,524.4,355522.0,NSE_EQ|INE258G01013
2025-03-21,524.4,537.9,517.5,535.05,359984.0,NSE_EQ|INE258G01013
2025-03-24,529.25,543.25,529.1,535.3,250721.0,NSE_EQ|INE258G01013
2025-03-25,536.0,540.0,520.3,526.65,350408.0,NSE_EQ|INE258G01013
2025-03-26,527.0,537.0,522.3,534.1,151728.0,NSE_EQ|INE258G01013
2025-03-27,533.05,535.0,526.9,530.35,170599.0,NSE_EQ|INE258G01013
2025-03-28,530.0,568.95,528.45,559.35,1273067.0,NSE_EQ|INE258G01013
2025-04-01,550.05,578.15,549.15,552.75,955840.0,NSE_EQ|INE258G01013
2025-04-02,553.7,575.8,548.35,571.05,727416.0,NSE_EQ|INE258G01013
2025-04-03,565.0,579.45,560.05,572.9,381275.0,NSE_EQ|INE258G01013
2025-04-04,573.95,577.8,550.55,560.15,389557.0,NSE_EQ|INE258G01013
2025-04-07,502.0,542.4,502.0,538.2,310637.0,NSE_EQ|INE258G01013
2025-04-08,545.1,567.75,545.1,559.75,434463.0,NSE_EQ|INE258G01013
2025-04-09,563.4,570.4,554.75,558.6,312756.0,NSE_EQ|INE258G01013
2025-04-11,570.0,574.0,549.05,565.25,389230.0,NSE_EQ|INE258G01013
2025-04-15,576.85,576.85,550.25,555.25,698173.0,NSE_EQ|INE258G01013
2025-04-16,555.0,562.15,548.75,556.8,389637.0,NSE_EQ|INE258G01013
2025-04-17,560.0,565.9,550.55,552.85,251739.0,NSE_EQ|INE258G01013
2025-04-21,552.85,561.8,551.0,552.95,237459.0,NSE_EQ|INE258G01013
2025-04-22,555.5,572.0,549.2,554.45,838543.0,NSE_EQ|INE258G01013
2025-04-23,561.9,563.05,549.3,551.15,299002.0,NSE_EQ|INE258G01013
2025-04-24,548.0,548.55,529.35,533.35,571100.0,NSE_EQ|INE258G01013
2025-04-25,533.35,536.2,510.8,512.8,470170.0,NSE_EQ|INE258G01013
2025-04-28,506.5,524.75,506.5,510.05,377330.0,NSE_EQ|INE258G01013
2025-04-29,513.7,520.3,502.2,504.8,412020.0,NSE_EQ|INE258G01013
2025-04-30,503.0,514.6,496.35,508.6,566005.0,NSE_EQ|INE258G01013
2025-05-02,510.0,529.45,509.5,524.45,359894.0,NSE_EQ|INE258G01013
2025-05-05,527.2,528.85,513.0,514.2,148564.0,NSE_EQ|INE258G01013
2025-05-06,509.5,524.65,499.1,501.45,308119.0,NSE_EQ|INE258G01013
2025-05-07,495.05,519.95,495.05,517.55,249683.0,NSE_EQ|INE258G01013
2025-05-08,517.55,522.2,503.1,507.55,169378.0,NSE_EQ|INE258G01013
2025-05-09,495.05,507.25,495.05,501.2,146870.0,NSE_EQ|INE258G01013
2025-05-12,516.0,522.4,516.0,519.2,181748.0,NSE_EQ|INE258G01013
2025-05-13,523.85,524.9,515.05,523.3,141426.0,NSE_EQ|INE258G01013
2025-05-14,524.0,531.8,521.1,526.05,137488.0,NSE_EQ|INE258G01013
2025-05-15,526.05,530.2,518.1,521.4,125862.0,NSE_EQ|INE258G01013
2025-05-16,522.0,542.8,520.2,538.45,415150.0,NSE_EQ|INE258G01013
2025-05-19,541.45,542.0,526.7,532.15,180816.0,NSE_EQ|INE258G01013
2025-05-20,532.15,549.3,529.95,539.15,471924.0,NSE_EQ|INE258G01013
2025-05-21,539.2,544.0,531.25,534.7,218842.0,NSE_EQ|INE258G01013
2025-05-22,533.0,538.35,528.8,531.55,119275.0,NSE_EQ|INE258G01013
2025-05-23,533.0,536.15,528.2,531.4,124987.0,NSE_EQ|INE258G01013
2025-05-26,530.1,537.8,523.45,534.05,276845.0,NSE_EQ|INE258G01013
2025-05-27,523.0,528.45,501.1,503.2,1172246.0,NSE_EQ|INE258G01013
2025-05-28,504.0,520.95,501.05,510.0,799978.0,NSE_EQ|INE258G01013
2025-05-29,510.05,512.4,498.0,502.85,773465.0,NSE_EQ|INE258G01013
2025-05-30,502.8,513.05,501.0,506.75,256323.0,NSE_EQ|INE258G01013
2025-06-02,508.0,513.65,503.3,505.2,155195.0,NSE_EQ|INE258G01013
2025-06-03,506.0,512.0,501.55,503.0,172985.0,NSE_EQ|INE258G01013
2025-06-04,503.0,506.75,498.5,501.2,167619.0,NSE_EQ|INE258G01013
2025-06-05,504.0,520.0,501.55,517.4,426326.0,NSE_EQ|INE258G01013
2025-06-06,521.45,521.45,513.0,518.85,293629.0,NSE_EQ|INE258G01013
2025-06-09,522.0,523.45,512.2,518.35,180713.0,NSE_EQ|INE258G01013
2025-06-10,522.1,522.35,507.9,511.05,265569.0,NSE_EQ|INE258G01013
2025-06-11,517.2,518.45,504.2,504.95,335489.0,NSE_EQ|INE258G01013
2025-06-12,507.0,509.4,495.35,496.9,317290.0,NSE_EQ|INE258G01013
2025-06-13,490.0,495.7,486.35,494.7,408911.0,NSE_EQ|INE258G01013
2025-06-16,494.6,501.35,492.55,494.9,162415.0,NSE_EQ|INE258G01013
2025-06-17,497.4,506.5,493.55,497.4,193397.0,NSE_EQ|INE258G01013
2025-06-18,499.9,502.45,494.05,499.5,247943.0,NSE_EQ|INE258G01013
2025-06-19,499.9,505.8,498.1,502.25,191397.0,NSE_EQ|INE258G01013
2025-06-20,504.4,504.45,489.0,491.95,397418.0,NSE_EQ|INE258G01013
