date,open,high,low,close,volume,instrument_key
2025-03-18,4780.0,4816.9,4700.0,4762.7,78703.0,NSE_EQ|INE660A01013
2025-03-19,4800.0,4840.0,4705.55,4728.95,87909.0,NSE_EQ|INE660A01013
2025-03-20,4799.0,4875.5,4735.75,4850.5,88569.0,NSE_EQ|INE660A01013
2025-03-21,4818.0,5072.9,4762.75,4921.65,279633.0,NSE_EQ|INE660A01013
2025-03-24,4965.0,4998.4,4717.0,4781.5,109622.0,NSE_EQ|INE660A01013
2025-03-25,4825.0,4854.75,4723.8,4770.5,70591.0,NSE_EQ|INE660A01013
2025-03-26,4793.5,4885.0,4753.05,4832.95,116397.0,NSE_EQ|INE660A01013
2025-03-27,4824.5,4851.6,4470.2,4507.2,312938.0,NSE_EQ|INE660A01013
2025-03-28,4572.1,4640.0,4522.35,4574.45,90357.0,NSE_EQ|INE660A01013
2025-04-01,4612.0,4612.0,4470.05,4513.8,47233.0,NSE_EQ|INE660A01013
2025-04-02,4493.5,4555.0,4420.0,4481.6,84435.0,NSE_EQ|INE660A01013
2025-04-03,4450.0,4535.0,4449.0,4506.3,53311.0,NSE_EQ|INE660A01013
2025-04-04,4525.0,4599.5,4462.25,4578.75,75497.0,NSE_EQ|INE660A01013
2025-04-07,4350.0,4538.15,4325.0,4514.05,55281.0,NSE_EQ|INE660A01013
2025-04-08,4529.85,4725.0,4506.0,4689.9,81196.0,NSE_EQ|INE660A01013
2025-04-09,4638.6,4773.8,4636.1,4753.35,99747.0,NSE_EQ|INE660A01013
2025-04-11,4800.0,4811.5,4601.1,4645.75,88884.0,NSE_EQ|INE660A01013
2025-04-15,4860.0,4984.3,4760.1,4948.8,133024.0,NSE_EQ|INE660A01013
2025-04-16,4965.0,5224.9,4953.6,5179.3,205385.0,NSE_EQ|INE660A01013
2025-04-17,5177.0,5313.6,5130.6,5243.5,124432.0,NSE_EQ|INE660A01013
2025-04-21,5251.0,5325.0,5173.9,5211.5,58906.0,NSE_EQ|INE660A01013
2025-04-22,5206.1,5383.2,5205.2,5340.4,81135.0,NSE_EQ|INE660A01013
2025-04-23,5330.1,5350.0,5084.5,5296.4,63924.0,NSE_EQ|INE660A01013
2025-04-24,5201.0,5350.0,5167.5,5277.6,77518.0,NSE_EQ|INE660A01013
2025-04-25,5300.0,5375.0,5218.3,5277.0,70501.0,NSE_EQ|INE660A01013
2025-04-28,5277.0,5363.9,5205.0,5263.1,62398.0,NSE_EQ|INE660A01013
2025-04-29,5300.0,5300.0,5125.0,5214.8,84947.0,NSE_EQ|INE660A01013
2025-04-30,5230.0,5330.0,5125.0,5256.6,104895.0,NSE_EQ|INE660A01013
2025-05-02,5250.0,5260.0,5159.0,5199.0,67595.0,NSE_EQ|INE660A01013
2025-05-05,5188.5,5195.5,5066.5,5099.5,56288.0,NSE_EQ|INE660A01013
2025-05-06,5075.0,5197.5,5037.0,5115.0,47575.0,NSE_EQ|INE660A01013
2025-05-07,5028.0,5344.5,4999.5,5268.0,135405.0,NSE_EQ|INE660A01013
