date,open,high,low,close,volume,instrument_key
2025-03-18,399.1,412.8,399.0,411.15,2373302.0,NSE_EQ|INE665A01038
2025-03-19,412.75,432.35,412.75,422.45,2767654.0,NSE_EQ|INE665A01038
2025-03-20,425.25,435.8,414.8,420.4,2496401.0,NSE_EQ|INE665A01038
2025-03-21,422.9,447.2,420.4,443.65,3721593.0,NSE_EQ|INE665A01038
2025-03-24,447.1,487.9,440.95,472.85,10319512.0,NSE_EQ|INE665A01038
2025-03-25,477.0,478.95,440.1,444.25,4934650.0,NSE_EQ|INE665A01038
2025-03-26,445.5,453.9,426.4,429.45,3238193.0,NSE_EQ|INE665A01038
2025-03-27,429.0,445.0,421.0,442.45,4683521.0,NSE_EQ|INE665A01038
2025-03-28,447.05,452.9,426.35,430.2,2120457.0,NSE_EQ|INE665A01038
2025-04-01,426.1,437.4,425.0,432.3,1285889.0,NSE_EQ|INE665A01038
2025-04-02,434.0,444.0,423.25,437.3,1742993.0,NSE_EQ|INE665A01038
2025-04-03,430.1,449.6,430.1,442.45,1885065.0,NSE_EQ|INE665A01038
2025-04-04,440.95,442.25,413.45,418.6,2091947.0,NSE_EQ|INE665A01038
2025-04-07,362.2,392.8,362.2,383.15,3489044.0,NSE_EQ|INE665A01038
2025-04-08,394.5,402.55,389.3,396.85,1982645.0,NSE_EQ|INE665A01038
2025-04-09,395.0,398.3,384.0,395.0,1704430.0,NSE_EQ|INE665A01038
2025-04-11,406.0,408.95,395.85,396.95,1655827.0,NSE_EQ|INE665A01038
2025-04-15,405.0,418.4,400.5,413.95,2406129.0,NSE_EQ|INE665A01038
2025-04-16,416.5,441.4,415.3,432.1,4788056.0,NSE_EQ|INE665A01038
2025-04-17,430.85,441.75,425.25,429.3,2076035.0,NSE_EQ|INE665A01038
2025-04-21,430.8,453.0,426.05,449.2,3445942.0,NSE_EQ|INE665A01038
2025-04-22,448.55,454.25,441.25,443.25,1756084.0,NSE_EQ|INE665A01038
2025-04-23,446.7,447.3,431.3,435.35,1545087.0,NSE_EQ|INE665A01038
2025-04-24,436.0,444.5,433.9,435.05,1179672.0,NSE_EQ|INE665A01038
2025-04-25,434.5,436.0,405.4,415.1,2412150.0,NSE_EQ|INE665A01038
2025-04-28,407.0,423.85,403.65,420.15,1369394.0,NSE_EQ|INE665A01038
2025-04-29,420.0,428.8,411.6,414.0,1258950.0,NSE_EQ|INE665A01038
2025-04-30,416.7,416.7,400.0,401.8,1111262.0,NSE_EQ|INE665A01038
2025-05-02,403.0,425.0,399.15,410.8,2697233.0,NSE_EQ|INE665A01038
2025-05-05,412.25,423.8,410.3,419.2,1196204.0,NSE_EQ|INE665A01038
2025-05-06,419.0,421.15,394.1,397.0,1531230.0,NSE_EQ|INE665A01038
2025-05-07,391.0,407.8,391.0,403.3,1652235.0,NSE_EQ|INE665A01038
2025-05-08,406.0,416.85,394.2,397.55,1230403.0,NSE_EQ|INE665A01038
2025-05-09,389.0,398.35,388.75,391.1,1110359.0,NSE_EQ|INE665A01038
2025-05-12,408.0,426.9,408.0,420.4,2140396.0,NSE_EQ|INE665A01038
2025-05-13,420.0,439.0,418.45,437.05,2114271.0,NSE_EQ|INE665A01038
2025-05-14,439.0,442.6,431.0,433.85,1139071.0,NSE_EQ|INE665A01038
2025-05-15,436.0,449.3,433.0,438.45,2221761.0,NSE_EQ|INE665A01038
2025-05-16,440.9,461.35,436.55,455.55,4049334.0,NSE_EQ|INE665A01038
2025-05-19,458.5,465.8,448.3,450.65,2398009.0,NSE_EQ|INE665A01038
2025-05-20,451.05,453.35,428.15,430.05,1464351.0,NSE_EQ|INE665A01038
2025-05-21,429.95,436.95,425.0,431.5,1268922.0,NSE_EQ|INE665A01038
2025-05-22,431.0,437.0,422.0,424.5,1125344.0,NSE_EQ|INE665A01038
2025-05-23,426.05,435.0,424.6,431.85,953920.0,NSE_EQ|INE665A01038
2025-05-26,434.7,443.3,432.2,439.75,1476600.0,NSE_EQ|INE665A01038
2025-05-27,440.25,449.15,434.0,442.15,1464565.0,NSE_EQ|INE665A01038
2025-05-28,443.5,451.4,439.1,441.3,1714406.0,NSE_EQ|INE665A01038
2025-05-29,443.0,444.0,434.0,435.8,1005464.0,NSE_EQ|INE665A01038
2025-05-30,433.95,446.4,430.0,433.85,1570292.0,NSE_EQ|INE665A01038
