date,open,high,low,close,volume,instrument_key
2025-03-18,675.5,690.9,675.5,682.8,333095.0,NSE_EQ|INE398R01022
2025-03-19,685.0,708.9,684.95,706.05,583638.0,NSE_EQ|INE398R01022
2025-03-20,708.15,713.0,699.9,704.45,429189.0,NSE_EQ|INE398R01022
2025-03-21,705.0,718.95,700.55,716.0,619087.0,NSE_EQ|INE398R01022
2025-03-24,715.1,723.8,712.05,720.1,362198.0,NSE_EQ|INE398R01022
2025-03-25,738.0,744.55,708.15,714.25,1360109.0,NSE_EQ|INE398R01022
2025-03-26,714.35,730.4,710.15,720.2,706656.0,NSE_EQ|INE398R01022
2025-03-27,715.0,725.35,710.0,719.55,272579.0,NSE_EQ|INE398R01022
2025-03-28,724.0,731.8,716.3,726.2,547825.0,NSE_EQ|INE398R01022
2025-04-01,723.2,728.35,714.5,718.15,280977.0,NSE_EQ|INE398R01022
2025-04-02,718.15,727.4,700.95,724.15,156487.0,NSE_EQ|INE398R01022
2025-04-03,738.85,760.0,736.0,747.15,3075327.0,NSE_EQ|INE398R01022
2025-04-04,750.0,750.0,709.55,724.65,804600.0,NSE_EQ|INE398R01022
2025-04-07,663.05,707.7,652.2,697.1,608205.0,NSE_EQ|INE398R01022
2025-04-08,713.0,713.6,692.05,695.1,667369.0,NSE_EQ|INE398R01022
2025-04-09,694.5,694.5,682.25,691.7,173688.0,NSE_EQ|INE398R01022
2025-04-11,711.95,712.0,695.35,701.8,709621.0,NSE_EQ|INE398R01022
2025-04-15,712.0,727.0,703.1,721.4,798449.0,NSE_EQ|INE398R01022
2025-04-16,721.4,735.0,720.2,729.15,291439.0,NSE_EQ|INE398R01022
2025-04-17,734.0,738.95,721.55,727.0,291049.0,NSE_EQ|INE398R01022
2025-04-21,731.9,736.95,720.8,724.6,310085.0,NSE_EQ|INE398R01022
2025-04-22,727.8,741.25,720.4,735.7,398842.0,NSE_EQ|INE398R01022
2025-04-23,744.0,754.85,733.3,749.15,634656.0,NSE_EQ|INE398R01022
2025-04-24,691.0,695.0,650.0,653.4,20252494.0,NSE_EQ|INE398R01022
2025-04-25,655.0,657.0,628.0,630.1,4415736.0,NSE_EQ|INE398R01022
2025-04-28,630.1,631.6,614.0,616.95,6094214.0,NSE_EQ|INE398R01022
2025-04-29,618.0,631.7,612.25,628.9,3466969.0,NSE_EQ|INE398R01022
2025-04-30,630.0,640.5,626.0,634.05,2090137.0,NSE_EQ|INE398R01022
2025-05-02,634.0,636.0,622.3,627.95,1055973.0,NSE_EQ|INE398R01022
2025-05-05,630.0,633.4,625.4,629.2,900005.0,NSE_EQ|INE398R01022
2025-05-06,631.9,634.8,616.0,618.75,2008886.0,NSE_EQ|INE398R01022
2025-05-07,610.3,623.75,610.3,621.2,664293.0,NSE_EQ|INE398R01022
2025-05-08,621.2,624.3,606.2,610.7,928444.0,NSE_EQ|INE398R01022
2025-05-09,601.3,615.0,599.55,614.1,1216346.0,NSE_EQ|INE398R01022
2025-05-12,616.1,627.45,612.4,625.6,1180938.0,NSE_EQ|INE398R01022
2025-05-13,628.0,638.4,625.95,629.45,1102961.0,NSE_EQ|INE398R01022
2025-05-14,629.45,642.0,627.35,640.85,988915.0,NSE_EQ|INE398R01022
2025-05-15,641.0,642.45,635.3,638.35,411227.0,NSE_EQ|INE398R01022
2025-05-16,639.1,649.7,633.3,645.4,1427711.0,NSE_EQ|INE398R01022
2025-05-19,645.4,649.0,641.0,642.0,432925.0,NSE_EQ|INE398R01022
2025-05-20,645.0,645.0,627.3,628.5,495165.0,NSE_EQ|INE398R01022
2025-05-21,632.4,642.85,630.4,639.35,593428.0,NSE_EQ|INE398R01022
2025-05-22,639.25,640.5,632.25,635.1,310479.0,NSE_EQ|INE398R01022
2025-05-23,635.15,639.9,631.55,637.25,668320.0,NSE_EQ|INE398R01022
2025-05-26,637.3,652.0,636.5,650.15,699428.0,NSE_EQ|INE398R01022
2025-05-27,653.5,657.3,648.15,654.15,2925458.0,NSE_EQ|INE398R01022
2025-05-28,655.0,655.0,647.0,650.25,1196761.0,NSE_EQ|INE398R01022
2025-05-29,650.05,652.45,643.55,647.75,511603.0,NSE_EQ|INE398R01022
2025-05-30,650.0,651.9,642.8,646.55,253744.0,NSE_EQ|INE398R01022
2025-06-02,642.05,651.45,642.0,649.0,576994.0,NSE_EQ|INE398R01022
2025-06-03,650.25,654.4,638.5,641.05,356232.0,NSE_EQ|INE398R01022
2025-06-04,641.05,648.65,639.9,647.4,236310.0,NSE_EQ|INE398R01022
2025-06-05,651.0,651.95,645.85,646.7,220608.0,NSE_EQ|INE398R01022
2025-06-06,646.7,649.55,641.95,646.05,261249.0,NSE_EQ|INE398R01022
2025-06-09,646.05,659.0,646.05,656.45,803201.0,NSE_EQ|INE398R01022
2025-06-10,660.0,667.0,655.0,658.2,1043999.0,NSE_EQ|INE398R01022
2025-06-11,659.9,667.6,657.3,662.55,895617.0,NSE_EQ|INE398R01022
2025-06-12,667.6,671.0,659.6,663.15,1665702.0,NSE_EQ|INE398R01022
