date,open,high,low,close,volume,instrument_key
2025-10-13,330.0,333.0,326.25,330.5,117611923.0,NSE_EQ|INE976I01016
2025-10-14,330.5,331.9,319.05,319.8,28551748.0,NSE_EQ|INE976I01016
2025-10-15,320.0,330.8,320.0,329.7,15881677.0,NSE_EQ|INE976I01016
2025-10-16,330.0,336.0,329.7,335.1,19938421.0,NSE_EQ|INE976I01016
2025-10-17,335.1,336.65,329.4,330.7,7576158.0,NSE_EQ|INE976I01016
2025-10-20,330.75,331.65,323.95,325.35,5691141.0,NSE_EQ|INE976I01016
2025-10-21,326.0,331.35,326.0,329.95,3052727.0,NSE_EQ|INE976I01016
2025-10-23,329.55,330.0,324.45,325.05,9542377.0,NSE_EQ|INE976I01016
2025-10-24,324.5,327.7,323.4,324.15,4136601.0,NSE_EQ|INE976I01016
2025-10-27,325.0,330.45,324.9,328.9,5948900.0,NSE_EQ|INE976I01016
2025-10-28,328.9,333.7,327.6,331.1,6925054.0,NSE_EQ|INE976I01016
2025-10-29,331.9,331.9,325.8,326.4,6776721.0,NSE_EQ|INE976I01016
2025-10-30,325.4,327.8,324.85,326.95,2482953.0,NSE_EQ|INE976I01016
2025-10-31,330.0,330.0,325.3,327.3,3745921.0,NSE_EQ|INE976I01016
2025-11-03,325.6,331.5,325.25,328.8,4791323.0,NSE_EQ|INE976I01016
2025-11-04,326.4,330.7,326.4,329.3,6353144.0,NSE_EQ|INE976I01016
2025-11-06,327.65,328.15,325.0,326.45,3528292.0,NSE_EQ|INE976I01016
2025-11-07,325.1,326.0,320.3,322.85,5369467.0,NSE_EQ|INE976I01016
2025-11-10,322.0,325.95,318.35,324.75,3851564.0,NSE_EQ|INE976I01016
2025-11-11,324.0,326.25,321.2,325.65,3341820.0,NSE_EQ|INE976I01016
2025-11-12,325.75,326.25,323.6,325.2,2278725.0,NSE_EQ|INE976I01016
2025-11-13,325.0,327.5,322.95,323.8,3583700.0,NSE_EQ|INE976I01016
2025-11-14,324.0,325.95,322.45,325.5,2102955.0,NSE_EQ|INE976I01016
2025-11-17,325.0,325.7,324.45,325.0,2148716.0,NSE_EQ|INE976I01016
2025-11-18,324.0,324.9,320.05,320.95,1522492.0,NSE_EQ|INE976I01016
2025-11-19,322.4,323.35,317.95,320.25,4399133.0,NSE_EQ|INE976I01016
2025-11-20,320.95,321.45,317.8,318.6,2060273.0,NSE_EQ|INE976I01016
2025-11-21,318.6,319.4,315.1,316.9,1648418.0,NSE_EQ|INE976I01016
2025-11-24,316.8,323.75,316.5,319.05,3567815.0,NSE_EQ|INE976I01016
2025-11-25,319.65,326.5,319.65,325.0,2021744.0,NSE_EQ|INE976I01016
2025-11-26,325.95,327.9,323.6,324.55,2150276.0,NSE_EQ|INE976I01016
2025-11-27,324.95,326.95,323.6,324.8,875769.0,NSE_EQ|INE976I01016
2025-11-28,324.0,330.9,324.0,327.9,6654492.0,NSE_EQ|INE976I01016
2025-12-01,327.0,327.7,322.1,323.0,1231244.0,NSE_EQ|INE976I01016
2025-12-02,322.95,324.4,320.7,321.9,1073653.0,NSE_EQ|INE976I01016
2025-12-03,321.05,323.35,319.9,322.5,1395851.0,NSE_EQ|INE976I01016
2025-12-04,321.05,323.0,321.05,322.05,976548.0,NSE_EQ|INE976I01016
2025-12-05,322.05,328.0,322.05,325.45,2089846.0,NSE_EQ|INE976I01016
2025-12-08,326.4,327.8,321.5,323.0,1449370.0,NSE_EQ|INE976I01016
2025-12-09,323.05,327.05,320.15,326.6,1778391.0,NSE_EQ|INE976I01016
2025-12-10,326.85,328.8,323.85,324.95,2158014.0,NSE_EQ|INE976I01016
2025-12-11,323.4,326.75,323.4,326.05,864045.0,NSE_EQ|INE976I01016
2025-12-12,325.6,327.5,323.65,324.55,906335.0,NSE_EQ|INE976I01016
2025-12-15,322.95,324.0,321.3,322.75,657989.0,NSE_EQ|INE976I01016
2025-12-16,322.05,329.3,322.0,326.2,2148243.0,NSE_EQ|INE976I01016
2025-12-17,325.0,329.0,325.0,326.25,1310814.0,NSE_EQ|INE976I01016
2025-12-18,325.0,325.95,322.55,324.45,653844.0,NSE_EQ|INE976I01016
2025-12-19,324.0,325.1,322.15,324.0,836210.0,NSE_EQ|INE976I01016
2025-12-22,324.05,332.0,324.05,330.0,4956599.0,NSE_EQ|INE976I01016
2025-12-23,330.0,348.3,329.15,344.0,12132606.0,NSE_EQ|INE976I01016
2025-12-24,345.95,355.0,341.6,343.3,11070026.0,NSE_EQ|INE976I01016
2025-12-26,343.3,348.0,337.5,338.55,3034410.0,NSE_EQ|INE976I01016
2025-12-29,338.5,339.5,332.1,337.6,5947294.0,NSE_EQ|INE976I01016
2025-12-30,337.3,339.4,334.2,336.65,1680093.0,NSE_EQ|INE976I01016
2025-12-31,335.15,345.0,335.0,341.85,4313176.0,NSE_EQ|INE976I01016
2026-01-01,343.85,344.45,339.3,340.45,1314541.0,NSE_EQ|INE976I01016
2026-01-02,340.05,361.8,340.05,359.1,10963849.0,NSE_EQ|INE976I01016
2026-01-05,360.0,363.15,353.0,359.6,4930911.0,NSE_EQ|INE976I01016
2026-01-06,359.6,363.0,356.0,361.55,4214770.0,NSE_EQ|INE976I01016
2026-01-07,358.05,363.0,354.4,360.6,11493921.0,NSE_EQ|INE976I01016
2026-01-08,359.0,364.5,353.0,354.5,5301211.0,NSE_EQ|INE976I01016
2026-01-09,353.0,363.9,351.65,360.0,4344338.0,NSE_EQ|INE976I01016
2026-01-12,359.9,359.9,346.05,349.05,5979515.0,NSE_EQ|INE976I01016
2026-01-13,352.1,356.9,347.6,348.65,2272648.0,NSE_EQ|INE976I01016
2026-01-14,348.7,358.0,348.65,354.9,2607337.0,NSE_EQ|INE976I01016
2026-01-16,354.85,361.65,354.0,359.35,3244454.0,NSE_EQ|INE976I01016
2026-01-19,359.0,365.1,357.15,360.25,2890545.0,NSE_EQ|INE976I01016
2026-01-20,365.0,367.3,353.05,358.45,9019198.0,NSE_EQ|INE976I01016
2026-01-21,354.0,360.5,348.0,358.4,4215734.0,NSE_EQ|INE976I01016
2026-01-22,359.0,361.9,355.5,358.2,4272878.0,NSE_EQ|INE976I01016
2026-01-23,360.0,360.0,350.0,351.75,2791829.0,NSE_EQ|INE976I01016
2026-01-27,351.5,353.9,336.25,338.6,3398617.0,NSE_EQ|INE976I01016
2026-01-28,339.0,342.2,334.25,338.45,2459261.0,NSE_EQ|INE976I01016
2026-01-29,338.45,341.75,330.0,331.05,2198689.0,NSE_EQ|INE976I01016
2026-01-30,330.0,344.3,327.85,342.1,3524568.0,NSE_EQ|INE976I01016
2026-02-01,341.0,341.0,333.55,337.9,1027531.0,NSE_EQ|INE976I01016
2026-02-02,333.6,335.5,327.8,330.9,2541479.0,NSE_EQ|INE976I01016
2026-02-03,339.0,347.15,336.0,346.3,2677029.0,NSE_EQ|INE976I01016
2026-02-04,346.0,349.6,342.4,348.8,1308910.0,NSE_EQ|INE976I01016
2026-02-05,348.0,348.75,342.15,346.1,854324.0,NSE_EQ|INE976I01016
2026-02-06,343.0,347.8,340.7,346.3,987442.0,NSE_EQ|INE976I01016
2026-02-09,346.3,353.2,344.25,351.15,1812312.0,NSE_EQ|INE976I01016
2026-02-10,351.15,358.25,350.3,354.95,2242653.0,NSE_EQ|INE976I01016
2026-02-11,355.0,358.9,353.6,357.6,3710205.0,NSE_EQ|INE976I01016
2026-02-12,355.85,358.55,351.0,356.9,2369562.0,NSE_EQ|INE976I01016
2026-02-13,355.9,357.0,350.1,353.3,1402451.0,NSE_EQ|INE976I01016
2026-02-16,351.9,357.4,347.6,356.65,1843335.0,NSE_EQ|INE976I01016
2026-02-17,356.7,358.0,353.85,355.25,1688522.0,NSE_EQ|INE976I01016
2026-02-18,352.35,357.75,352.35,355.5,707387.0,NSE_EQ|INE976I01016
2026-02-19,355.5,357.5,347.0,348.3,881802.0,NSE_EQ|INE976I01016
2026-02-20,348.0,349.4,344.15,345.0,943494.0,NSE_EQ|INE976I01016
