date,open,high,low,close,volume,instrument_key
2025-03-18,806.55,820.8,804.9,817.6,399847.0,NSE_EQ|INE092A01019
2025-03-19,822.45,835.05,819.3,833.1,550187.0,NSE_EQ|INE092A01019
2025-03-20,840.0,843.85,831.0,837.45,561486.0,NSE_EQ|INE092A01019
2025-03-21,839.8,854.2,834.45,847.25,933659.0,NSE_EQ|INE092A01019
2025-03-24,849.95,860.0,845.5,852.65,477959.0,NSE_EQ|INE092A01019
2025-03-25,852.7,862.55,846.7,855.95,841053.0,NSE_EQ|INE092A01019
2025-03-26,857.0,861.0,847.75,850.9,647911.0,NSE_EQ|INE092A01019
2025-03-27,849.9,858.85,844.2,847.8,2839769.0,NSE_EQ|INE092A01019
2025-03-28,850.0,872.15,849.5,864.9,1643302.0,NSE_EQ|INE092A01019
2025-04-01,860.1,864.85,835.3,839.75,635894.0,NSE_EQ|INE092A01019
2025-04-02,841.0,853.9,827.2,851.5,416659.0,NSE_EQ|INE092A01019
2025-04-03,843.3,854.45,841.0,849.9,208804.0,NSE_EQ|INE092A01019
2025-04-04,849.9,855.05,810.0,812.4,586343.0,NSE_EQ|INE092A01019
2025-04-07,770.0,809.2,765.0,800.5,1145265.0,NSE_EQ|INE092A01019
2025-04-08,805.0,816.45,801.9,809.25,322203.0,NSE_EQ|INE092A01019
2025-04-09,809.0,814.45,797.6,811.5,249489.0,NSE_EQ|INE092A01019
2025-04-11,837.35,837.35,815.0,832.25,831867.0,NSE_EQ|INE092A01019
2025-04-15,837.05,847.95,836.4,846.9,504370.0,NSE_EQ|INE092A01019
2025-04-16,854.0,855.0,844.5,847.5,478419.0,NSE_EQ|INE092A01019
2025-04-17,848.0,859.65,843.1,848.75,613179.0,NSE_EQ|INE092A01019
2025-04-21,857.45,858.85,847.3,853.65,565994.0,NSE_EQ|INE092A01019
2025-04-22,855.1,861.9,846.35,851.85,716475.0,NSE_EQ|INE092A01019
2025-04-23,855.8,867.6,851.0,857.6,786517.0,NSE_EQ|INE092A01019
2025-04-24,857.6,875.4,855.85,864.1,937615.0,NSE_EQ|INE092A01019
2025-04-25,865.0,870.25,822.15,826.45,1669531.0,NSE_EQ|INE092A01019
2025-04-28,826.45,841.75,824.05,838.65,846965.0,NSE_EQ|INE092A01019
2025-04-29,844.0,859.4,840.0,857.2,1169792.0,NSE_EQ|INE092A01019
2025-04-30,857.0,859.6,833.3,837.3,444697.0,NSE_EQ|INE092A01019
2025-05-02,839.95,847.65,832.0,835.1,340851.0,NSE_EQ|INE092A01019
2025-05-05,836.0,847.25,830.5,845.45,404397.0,NSE_EQ|INE092A01019
2025-05-06,850.0,850.0,812.0,816.6,987019.0,NSE_EQ|INE092A01019
2025-05-07,805.0,828.25,805.0,826.2,711923.0,NSE_EQ|INE092A01019
2025-05-08,821.0,844.65,801.0,808.7,2471427.0,NSE_EQ|INE092A01019
2025-05-09,787.6,819.5,787.6,817.3,1210695.0,NSE_EQ|INE092A01019
2025-05-12,830.0,849.9,829.45,848.75,804624.0,NSE_EQ|INE092A01019
2025-05-13,848.0,849.95,831.85,836.8,575585.0,NSE_EQ|INE092A01019
2025-05-14,842.0,842.85,834.55,838.6,401692.0,NSE_EQ|INE092A01019
2025-05-15,841.05,854.45,838.15,852.4,736612.0,NSE_EQ|INE092A01019
2025-05-16,854.4,860.95,850.25,859.5,549605.0,NSE_EQ|INE092A01019
2025-05-19,860.0,874.0,856.5,868.15,1242269.0,NSE_EQ|INE092A01019
2025-05-20,875.0,885.0,861.0,863.1,1214133.0,NSE_EQ|INE092A01019
2025-05-21,867.4,867.5,855.0,859.1,329073.0,NSE_EQ|INE092A01019
2025-05-22,858.05,863.9,851.5,859.3,401001.0,NSE_EQ|INE092A01019
2025-05-23,858.15,887.55,856.2,873.95,1091945.0,NSE_EQ|INE092A01019
2025-05-26,879.9,886.7,871.05,881.85,857812.0,NSE_EQ|INE092A01019
2025-05-27,881.9,903.75,878.6,900.4,1753607.0,NSE_EQ|INE092A01019
2025-05-28,908.0,908.4,891.0,895.75,719939.0,NSE_EQ|INE092A01019
2025-05-29,898.75,898.75,886.5,891.2,396258.0,NSE_EQ|INE092A01019
2025-05-30,891.95,895.0,879.45,887.15,463076.0,NSE_EQ|INE092A01019
2025-06-02,883.0,898.5,880.85,896.6,501195.0,NSE_EQ|INE092A01019
2025-06-03,896.95,914.0,894.65,905.4,1162515.0,NSE_EQ|INE092A01019
2025-06-04,905.4,917.7,895.55,915.15,763349.0,NSE_EQ|INE092A01019
2025-06-05,916.0,936.5,911.4,930.4,1531901.0,NSE_EQ|INE092A01019
2025-06-06,934.0,946.0,921.5,934.1,1530328.0,NSE_EQ|INE092A01019
2025-06-09,936.0,962.85,935.5,960.45,1056942.0,NSE_EQ|INE092A01019
2025-06-10,965.0,976.55,959.3,962.4,730811.0,NSE_EQ|INE092A01019
2025-06-11,964.0,972.0,951.35,960.35,1078694.0,NSE_EQ|INE092A01019
2025-06-12,951.8,951.8,930.5,932.75,733082.0,NSE_EQ|INE092A01019
2025-06-13,918.0,930.65,918.0,925.45,384589.0,NSE_EQ|INE092A01019
2025-06-16,921.3,939.9,911.5,936.35,539395.0,NSE_EQ|INE092A01019
2025-06-17,934.05,945.45,931.0,935.2,372538.0,NSE_EQ|INE092A01019
2025-06-18,936.6,941.1,924.45,928.25,302779.0,NSE_EQ|INE092A01019
2025-06-19,927.0,929.1,905.05,909.05,399670.0,NSE_EQ|INE092A01019
2025-06-20,906.5,919.6,905.3,913.85,1015043.0,NSE_EQ|INE092A01019
2025-06-23,913.85,915.4,900.2,905.5,644664.0,NSE_EQ|INE092A01019
2025-06-24,914.85,924.65,907.8,912.6,660305.0,NSE_EQ|INE092A01019
2025-06-25,919.0,942.0,910.15,939.95,1663007.0,NSE_EQ|INE092A01019
2025-06-26,947.0,947.0,924.0,935.25,986131.0,NSE_EQ|INE092A01019
2025-06-27,937.1,942.6,931.6,933.7,458429.0,NSE_EQ|INE092A01019
2025-06-30,935.0,943.9,932.55,936.65,449007.0,NSE_EQ|INE092A01019
2025-07-01,937.95,942.0,925.6,930.55,297613.0,NSE_EQ|INE092A01019
2025-07-02,931.9,943.0,924.1,934.15,606838.0,NSE_EQ|INE092A01019
2025-07-03,940.6,950.4,933.15,945.0,1202113.0,NSE_EQ|INE092A01019
2025-07-04,949.5,956.15,936.4,939.0,1018714.0,NSE_EQ|INE092A01019
2025-07-07,939.35,941.9,927.2,929.2,365580.0,NSE_EQ|INE092A01019
2025-07-08,930.95,934.5,919.0,925.85,319306.0,NSE_EQ|INE092A01019
2025-07-09,927.0,930.0,920.2,922.35,282307.0,NSE_EQ|INE092A01019
2025-07-10,925.0,927.4,917.55,925.25,465789.0,NSE_EQ|INE092A01019
2025-07-11,922.0,924.4,900.7,906.3,531790.0,NSE_EQ|INE092A01019
2025-07-14,910.8,925.65,903.2,923.95,460697.0,NSE_EQ|INE092A01019
2025-07-15,927.0,938.25,921.2,931.4,431633.0,NSE_EQ|INE092A01019
2025-07-16,931.4,944.1,922.3,940.2,521056.0,NSE_EQ|INE092A01019
2025-07-17,940.1,948.5,934.6,938.45,412325.0,NSE_EQ|INE092A01019
2025-07-18,938.45,939.9,925.65,931.95,397257.0,NSE_EQ|INE092A01019
2025-07-21,925.15,947.0,925.15,940.4,384455.0,NSE_EQ|INE092A01019
2025-07-22,945.0,966.0,935.0,962.65,1169600.0,NSE_EQ|INE092A01019
2025-07-23,965.0,977.0,952.05,972.1,2048020.0,NSE_EQ|INE092A01019
2025-07-24,975.85,977.95,944.0,946.4,847052.0,NSE_EQ|INE092A01019
2025-07-25,947.0,954.55,920.8,941.4,959684.0,NSE_EQ|INE092A01019
2025-07-28,943.95,958.0,922.8,934.35,1175385.0,NSE_EQ|INE092A01019
2025-07-29,950.55,1004.9,949.0,1000.0,9619563.0,NSE_EQ|INE092A01019
2025-07-30,1000.0,1018.8,992.35,1001.35,2173962.0,NSE_EQ|INE092A01019
2025-07-31,978.85,998.5,978.85,982.55,772958.0,NSE_EQ|INE092A01019
2025-08-01,982.55,989.0,954.8,956.5,523628.0,NSE_EQ|INE092A01019
2025-08-04,962.45,975.65,954.8,973.4,741473.0,NSE_EQ|INE092A01019
2025-08-05,976.0,983.0,956.65,964.25,631578.0,NSE_EQ|INE092A01019
2025-08-06,960.0,965.4,943.75,949.55,499815.0,NSE_EQ|INE092A01019
2025-08-07,941.0,962.95,936.45,959.0,586894.0,NSE_EQ|INE092A01019
2025-08-08,959.0,963.85,941.6,946.3,244860.0,NSE_EQ|INE092A01019
2025-08-11,945.5,956.35,941.05,952.4,226258.0,NSE_EQ|INE092A01019
2025-08-12,952.4,954.9,940.85,945.2,278362.0,NSE_EQ|INE092A01019
2025-08-13,950.0,950.35,937.05,941.4,356973.0,NSE_EQ|INE092A01019
2025-08-14,944.4,946.05,931.05,933.5,278540.0,NSE_EQ|INE092A01019
2025-08-18,941.4,953.8,939.55,945.85,352478.0,NSE_EQ|INE092A01019
2025-08-19,946.9,950.3,941.65,947.6,334463.0,NSE_EQ|INE092A01019
2025-08-20,948.6,952.45,938.5,944.65,423832.0,NSE_EQ|INE092A01019
2025-08-21,945.0,946.2,935.15,940.2,463994.0,NSE_EQ|INE092A01019
2025-08-22,940.2,945.0,935.45,938.05,200904.0,NSE_EQ|INE092A01019
2025-08-25,938.0,953.65,936.95,950.25,428532.0,NSE_EQ|INE092A01019
2025-08-26,950.75,950.8,930.0,935.3,427451.0,NSE_EQ|INE092A01019
2025-08-28,937.0,937.85,915.05,917.8,338180.0,NSE_EQ|INE092A01019
2025-08-29,917.9,933.95,917.05,920.7,429660.0,NSE_EQ|INE092A01019
2025-09-01,921.45,941.9,920.35,939.85,194469.0,NSE_EQ|INE092A01019
2025-09-02,939.9,944.95,928.9,931.45,467774.0,NSE_EQ|INE092A01019
2025-09-03,936.9,942.35,931.1,939.2,443022.0,NSE_EQ|INE092A01019
2025-09-04,951.0,951.0,933.7,938.75,386735.0,NSE_EQ|INE092A01019
2025-09-05,938.75,945.45,925.6,933.45,307265.0,NSE_EQ|INE092A01019
2025-09-08,935.0,952.95,934.5,943.3,295157.0,NSE_EQ|INE092A01019
2025-09-09,944.0,949.05,938.6,945.55,211408.0,NSE_EQ|INE092A01019
2025-09-10,950.0,955.9,942.3,945.0,264777.0,NSE_EQ|INE092A01019
2025-09-11,945.0,976.0,945.0,968.25,754101.0,NSE_EQ|INE092A01019
2025-09-12,973.0,978.85,958.0,961.25,609158.0,NSE_EQ|INE092A01019
2025-09-15,961.9,985.2,961.55,975.4,537683.0,NSE_EQ|INE092A01019
2025-09-16,975.5,1004.65,974.15,982.55,871132.0,NSE_EQ|INE092A01019
2025-09-17,982.95,1026.65,982.95,1005.15,1843644.0,NSE_EQ|INE092A01019
2025-09-18,1007.2,1008.15,986.65,989.25,606064.0,NSE_EQ|INE092A01019
2025-09-19,985.5,1001.8,983.05,993.6,482023.0,NSE_EQ|INE092A01019
2025-09-22,1000.0,1001.6,970.1,973.95,917110.0,NSE_EQ|INE092A01019
2025-09-23,974.0,982.75,956.9,959.9,528618.0,NSE_EQ|INE092A01019
2025-09-24,960.0,971.3,955.5,964.15,375553.0,NSE_EQ|INE092A01019
2025-09-25,968.0,968.0,947.0,952.25,500669.0,NSE_EQ|INE092A01019
2025-09-26,951.0,951.2,928.95,930.8,465621.0,NSE_EQ|INE092A01019
2025-09-29,935.0,944.0,922.25,925.4,909596.0,NSE_EQ|INE092A01019
2025-09-30,930.5,935.0,905.35,919.85,3622603.0,NSE_EQ|INE092A01019
2025-10-01,922.0,933.3,913.6,917.55,552294.0,NSE_EQ|INE092A01019
2025-10-03,921.5,928.35,910.3,925.5,490645.0,NSE_EQ|INE092A01019
2025-10-06,930.0,943.1,922.1,926.75,657072.0,NSE_EQ|INE092A01019
2025-10-07,930.0,935.4,920.0,922.0,312793.0,NSE_EQ|INE092A01019
2025-10-08,920.5,923.2,905.25,907.9,276199.0,NSE_EQ|INE092A01019
2025-10-09,907.9,912.1,902.8,906.05,233606.0,NSE_EQ|INE092A01019
2025-10-10,906.1,909.95,902.0,903.05,288333.0,NSE_EQ|INE092A01019
2025-10-13,920.0,932.45,908.0,910.55,1031896.0,NSE_EQ|INE092A01019
2025-10-14,912.0,944.5,910.0,913.75,1204101.0,NSE_EQ|INE092A01019
2025-10-15,915.0,916.4,896.9,903.55,769698.0,NSE_EQ|INE092A01019
2025-10-16,905.55,934.0,905.55,920.95,720955.0,NSE_EQ|INE092A01019
2025-10-17,920.15,920.35,894.8,902.7,577202.0,NSE_EQ|INE092A01019
2025-10-20,909.7,909.7,898.8,903.15,387502.0,NSE_EQ|INE092A01019
2025-10-21,905.95,917.2,905.95,912.9,90015.0,NSE_EQ|INE092A01019
2025-10-23,918.8,918.85,902.0,904.7,297380.0,NSE_EQ|INE092A01019
2025-10-24,909.25,909.45,895.0,899.85,391247.0,NSE_EQ|INE092A01019
2025-10-27,901.0,902.6,891.1,893.55,314412.0,NSE_EQ|INE092A01019
2025-10-28,901.0,912.1,901.0,903.85,453366.0,NSE_EQ|INE092A01019
2025-10-29,907.55,914.75,902.1,912.5,480055.0,NSE_EQ|INE092A01019
2025-10-30,912.5,915.15,897.1,900.75,292070.0,NSE_EQ|INE092A01019
2025-10-31,902.85,909.0,890.0,890.65,350018.0,NSE_EQ|INE092A01019
2025-11-03,867.0,877.0,858.1,875.35,950452.0,NSE_EQ|INE092A01019
2025-11-04,876.95,894.95,876.9,892.35,643129.0,NSE_EQ|INE092A01019
2025-11-06,893.95,894.0,870.35,872.85,247626.0,NSE_EQ|INE092A01019
2025-11-07,876.4,876.4,854.95,858.1,416512.0,NSE_EQ|INE092A01019
2025-11-10,861.7,864.6,839.1,840.45,469283.0,NSE_EQ|INE092A01019
2025-11-11,841.35,848.85,833.4,842.3,352898.0,NSE_EQ|INE092A01019
2025-11-12,842.45,858.95,842.45,852.35,369400.0,NSE_EQ|INE092A01019
2025-11-13,852.35,858.6,818.95,841.5,466428.0,NSE_EQ|INE092A01019
2025-11-14,842.05,847.35,830.1,832.75,344387.0,NSE_EQ|INE092A01019
2025-11-17,832.95,843.05,831.0,834.45,264669.0,NSE_EQ|INE092A01019
2025-11-18,836.0,837.85,824.7,826.7,262160.0,NSE_EQ|INE092A01019
2025-11-19,826.0,829.0,817.0,819.4,259722.0,NSE_EQ|INE092A01019
2025-11-20,824.95,826.2,817.15,818.9,241226.0,NSE_EQ|INE092A01019
2025-11-21,817.7,818.9,808.0,810.0,274808.0,NSE_EQ|INE092A01019
2025-11-24,815.05,823.35,800.05,804.1,404649.0,NSE_EQ|INE092A01019
2025-11-25,807.7,809.7,797.0,803.9,310868.0,NSE_EQ|INE092A01019
2025-11-26,808.75,820.0,798.7,815.0,508429.0,NSE_EQ|INE092A01019
2025-11-27,812.95,820.0,804.65,808.25,260321.0,NSE_EQ|INE092A01019
2025-11-28,808.2,808.25,799.0,800.4,296918.0,NSE_EQ|INE092A01019
2025-12-01,800.95,804.9,794.0,795.4,245235.0,NSE_EQ|INE092A01019
2025-12-02,796.0,798.7,786.05,789.8,304008.0,NSE_EQ|INE092A01019
2025-12-03,790.0,790.4,776.7,783.1,323179.0,NSE_EQ|INE092A01019
2025-12-04,783.1,788.4,780.2,782.1,152764.0,NSE_EQ|INE092A01019
2025-12-05,784.95,784.95,771.0,774.05,262657.0,NSE_EQ|INE092A01019
2025-12-08,774.05,779.0,754.8,762.95,450436.0,NSE_EQ|INE092A01019
2025-12-09,762.4,763.2,747.0,749.4,636614.0,NSE_EQ|INE092A01019
2025-12-10,755.0,768.0,751.0,752.6,428932.0,NSE_EQ|INE092A01019
2025-12-11,757.2,759.45,748.6,753.8,323029.0,NSE_EQ|INE092A01019
2025-12-12,758.4,762.9,755.0,758.85,198265.0,NSE_EQ|INE092A01019
2025-12-15,760.05,767.8,757.0,765.9,258826.0,NSE_EQ|INE092A01019
2025-12-16,765.0,770.4,754.0,755.9,290849.0,NSE_EQ|INE092A01019
2025-12-17,755.9,759.8,750.0,751.65,200303.0,NSE_EQ|INE092A01019
2025-12-18,751.15,754.65,745.1,748.9,211228.0,NSE_EQ|INE092A01019
2025-12-19,748.9,763.75,748.9,761.3,220661.0,NSE_EQ|INE092A01019
2025-12-22,769.95,776.9,765.0,768.5,398928.0,NSE_EQ|INE092A01019
2025-12-23,773.95,780.05,767.55,776.65,278342.0,NSE_EQ|INE092A01019
2025-12-24,776.9,780.4,764.2,765.45,349878.0,NSE_EQ|INE092A01019
2025-12-26,768.9,772.7,758.0,763.0,344460.0,NSE_EQ|INE092A01019
2025-12-29,763.0,768.75,758.6,761.1,223566.0,NSE_EQ|INE092A01019
2025-12-30,760.0,763.95,745.0,748.4,391003.0,NSE_EQ|INE092A01019
2025-12-31,748.4,770.85,748.4,765.55,366539.0,NSE_EQ|INE092A01019
2026-01-01,768.05,771.95,750.0,751.15,382360.0,NSE_EQ|INE092A01019
2026-01-02,755.95,756.95,749.0,755.25,298532.0,NSE_EQ|INE092A01019
2026-01-05,755.25,755.4,745.0,746.45,442421.0,NSE_EQ|INE092A01019
2026-01-06,748.55,757.0,742.25,754.9,473633.0,NSE_EQ|INE092A01019
2026-01-07,757.0,786.0,752.25,783.95,954648.0,NSE_EQ|INE092A01019
2026-01-08,786.0,788.6,760.95,763.95,539653.0,NSE_EQ|INE092A01019
2026-01-09,763.95,766.85,745.0,746.95,350649.0,NSE_EQ|INE092A01019
2026-01-12,749.7,755.65,742.5,750.5,344620.0,NSE_EQ|INE092A01019
2026-01-13,752.75,764.5,751.6,762.8,281800.0,NSE_EQ|INE092A01019
2026-01-14,762.8,775.0,758.95,770.35,360851.0,NSE_EQ|INE092A01019
2026-01-16,770.35,773.15,752.7,755.05,281881.0,NSE_EQ|INE092A01019
2026-01-19,754.0,754.85,744.3,746.2,226913.0,NSE_EQ|INE092A01019
2026-01-20,746.2,746.3,724.15,730.95,402314.0,NSE_EQ|INE092A01019
2026-01-21,728.0,729.5,692.0,693.8,988483.0,NSE_EQ|INE092A01019
2026-01-22,706.95,734.45,702.0,729.65,1029825.0,NSE_EQ|INE092A01019
2026-01-23,738.75,738.75,712.0,713.5,274401.0,NSE_EQ|INE092A01019
2026-01-27,712.0,718.1,703.1,710.65,290418.0,NSE_EQ|INE092A01019
2026-01-28,713.95,729.0,712.85,727.3,217857.0,NSE_EQ|INE092A01019
2026-01-29,730.0,736.2,715.6,722.8,211987.0,NSE_EQ|INE092A01019
2026-01-30,721.05,751.2,715.25,745.65,453484.0,NSE_EQ|INE092A01019
2026-02-01,745.0,752.0,721.65,742.9,247822.0,NSE_EQ|INE092A01019
2026-02-02,740.25,740.25,717.5,726.6,331098.0,NSE_EQ|INE092A01019
2026-02-03,757.0,764.9,721.5,725.4,734434.0,NSE_EQ|INE092A01019
