date,close,instrument_key
2025-03-18,362.7,NSE_EQ|INE245A01021
2025-03-19,371.45,NSE_EQ|INE245A01021
2025-03-20,370.35,NSE_EQ|INE245A01021
2025-03-21,379.5,NSE_EQ|INE245A01021
2025-03-24,383.3,NSE_EQ|INE245A01021
2025-03-25,377.1,NSE_EQ|INE245A01021
2025-03-26,376.0,NSE_EQ|INE245A01021
2025-03-27,383.4,NSE_EQ|INE245A01021
2025-03-28,375.4,NSE_EQ|INE245A01021
2025-04-01,374.75,NSE_EQ|INE245A01021
2025-04-02,378.25,NSE_EQ|INE245A01021
2025-04-03,385.65,NSE_EQ|INE245A01021
2025-04-04,368.95,NSE_EQ|INE245A01021
2025-04-07,354.85,NSE_EQ|INE245A01021
2025-04-08,359.7,NSE_EQ|INE245A01021
2025-04-09,358.25,NSE_EQ|INE245A01021
2025-04-11,364.45,NSE_EQ|INE245A01021
2025-04-15,378.5,NSE_EQ|INE245A01021
2025-04-16,381.25,NSE_EQ|INE245A01021
2025-04-17,381.7,NSE_EQ|INE245A01021
2025-04-21,390.85,NSE_EQ|INE245A01021
2025-04-22,388.6,NSE_EQ|INE245A01021
2025-04-23,394.45,NSE_EQ|INE245A01021
2025-04-24,395.85,NSE_EQ|INE245A01021
2025-04-25,387.6,NSE_EQ|INE245A01021
2025-04-28,395.1,NSE_EQ|INE245A01021
2025-04-29,393.35,NSE_EQ|INE245A01021
2025-04-30,384.4,NSE_EQ|INE245A01021
2025-05-02,381.75,NSE_EQ|INE245A01021
2025-05-05,389.1,NSE_EQ|INE245A01021
2025-05-06,374.9,NSE_EQ|INE245A01021
2025-05-07,377.35,NSE_EQ|INE245A01021
2025-05-08,370.15,NSE_EQ|INE245A01021
2025-05-09,371.0,NSE_EQ|INE245A01021
2025-05-12,391.4,NSE_EQ|INE245A01021
2025-05-13,389.3,NSE_EQ|INE245A01021
2025-05-14,396.95,NSE_EQ|INE245A01021
2025-05-15,397.95,NSE_EQ|INE245A01021
2025-05-16,405.8,NSE_EQ|INE245A01021
2025-05-19,408.1,NSE_EQ|INE245A01021
2025-05-20,398.95,NSE_EQ|INE245A01021
2025-05-21,401.85,NSE_EQ|INE245A01021
2025-05-22,395.6,NSE_EQ|INE245A01021
2025-05-23,402.05,NSE_EQ|INE245A01021
2025-05-26,402.6,NSE_EQ|INE245A01021
2025-05-27,402.2,NSE_EQ|INE245A01021
2025-05-28,396.35,NSE_EQ|INE245A01021
2025-05-29,397.3,NSE_EQ|INE245A01021
2025-05-30,392.8,NSE_EQ|INE245A01021
2025-06-02,396.85,NSE_EQ|INE245A01021
2025-06-03,391.5,NSE_EQ|INE245A01021
2025-06-04,393.65,NSE_EQ|INE245A01021
2025-06-05,393.55,NSE_EQ|INE245A01021
2025-06-06,399.55,NSE_EQ|INE245A01021
2025-06-09,406.2,NSE_EQ|INE245A01021
2025-06-10,413.2,NSE_EQ|INE245A01021
2025-06-11,412.05,NSE_EQ|INE245A01021
2025-06-12,401.65,NSE_EQ|INE245A01021
2025-06-13,397.2,NSE_EQ|INE245A01021
2025-06-16,399.4,NSE_EQ|INE245A01021
2025-06-17,396.05,NSE_EQ|INE245A01021
2025-06-18,393.4,NSE_EQ|INE245A01021
2025-06-19,384.55,NSE_EQ|INE245A01021
2025-06-20,390.1,NSE_EQ|INE245A01021
2025-06-23,393.0,NSE_EQ|INE245A01021
2025-06-24,398.45,NSE_EQ|INE245A01021
2025-06-25,403.05,NSE_EQ|INE245A01021
2025-06-26,405.65,NSE_EQ|INE245A01021
2025-06-27,408.85,NSE_EQ|INE245A01021
2025-06-30,405.45,NSE_EQ|INE245A01021
2025-07-01,406.55,NSE_EQ|INE245A01021
2025-07-02,406.65,NSE_EQ|INE245A01021
2025-07-03,399.9,NSE_EQ|INE245A01021
2025-07-04,401.0,NSE_EQ|INE245A01021
2025-07-07,401.2,NSE_EQ|INE245A01021
2025-07-08,400.85,NSE_EQ|INE245A01021
2025-07-09,400.65,NSE_EQ|INE245A01021
2025-07-10,399.9,NSE_EQ|INE245A01021
2025-07-11,396.85,NSE_EQ|INE245A01021
2025-07-14,402.55,NSE_EQ|INE245A01021
2025-07-15,403.9,NSE_EQ|INE245A01021
2025-07-16,414.7,NSE_EQ|INE245A01021
2025-07-17,413.45,NSE_EQ|INE245A01021
2025-07-18,407.9,NSE_EQ|INE245A01021
2025-07-21,401.85,NSE_EQ|INE245A01021
2025-07-22,399.15,NSE_EQ|INE245A01021
2025-07-23,402.5,NSE_EQ|INE245A01021
2025-07-24,400.7,NSE_EQ|INE245A01021
2025-07-25,395.35,NSE_EQ|INE245A01021
2025-07-28,399.2,NSE_EQ|INE245A01021
2025-07-29,399.85,NSE_EQ|INE245A01021
2025-07-30,401.35,NSE_EQ|INE245A01021
2025-07-31,397.75,NSE_EQ|INE245A01021
2025-08-01,389.3,NSE_EQ|INE245A01021
2025-08-04,387.1,NSE_EQ|INE245A01021
2025-08-05,385.55,NSE_EQ|INE245A01021
2025-08-06,385.55,NSE_EQ|INE245A01021
2025-08-07,385.55,NSE_EQ|INE245A01021
2025-08-08,378.8,NSE_EQ|INE245A01021
2025-08-11,384.3,NSE_EQ|INE245A01021
2025-08-12,384.45,NSE_EQ|INE245A01021
2025-08-13,387.2,NSE_EQ|INE245A01021
2025-08-14,385.3,NSE_EQ|INE245A01021
2025-08-18,387.3,NSE_EQ|INE245A01021
2025-08-19,389.15,NSE_EQ|INE245A01021
2025-08-20,390.55,NSE_EQ|INE245A01021
2025-08-21,388.05,NSE_EQ|INE245A01021
2025-08-22,385.6,NSE_EQ|INE245A01021
2025-08-25,383.25,NSE_EQ|INE245A01021
2025-08-26,377.75,NSE_EQ|INE245A01021
2025-08-28,371.1,NSE_EQ|INE245A01021
2025-08-29,374.15,NSE_EQ|INE245A01021
2025-09-01,380.55,NSE_EQ|INE245A01021
2025-09-02,386.05,NSE_EQ|INE245A01021
2025-09-03,389.15,NSE_EQ|INE245A01021
2025-09-04,382.6,NSE_EQ|INE245A01021
2025-09-05,385.8,NSE_EQ|INE245A01021
2025-09-08,383.25,NSE_EQ|INE245A01021
2025-09-09,384.65,NSE_EQ|INE245A01021
2025-09-10,386.5,NSE_EQ|INE245A01021
2025-09-11,388.1,NSE_EQ|INE245A01021
2025-09-12,386.25,NSE_EQ|INE245A01021
2025-09-15,388.0,NSE_EQ|INE245A01021
2025-09-16,396.05,NSE_EQ|INE245A01021
2025-09-17,394.65,NSE_EQ|INE245A01021
2025-09-18,393.1,NSE_EQ|INE245A01021
2025-09-19,396.3,NSE_EQ|INE245A01021
2025-09-22,395.3,NSE_EQ|INE245A01021
2025-09-23,395.5,NSE_EQ|INE245A01021
2025-09-24,390.3,NSE_EQ|INE245A01021
2025-09-25,386.0,NSE_EQ|INE245A01021
2025-09-26,383.8,NSE_EQ|INE245A01021
2025-09-29,388.05,NSE_EQ|INE245A01021
2025-09-30,388.65,NSE_EQ|INE245A01021
2025-10-01,391.15,NSE_EQ|INE245A01021
2025-10-03,394.9,NSE_EQ|INE245A01021
2025-10-06,395.55,NSE_EQ|INE245A01021
2025-10-07,392.5,NSE_EQ|INE245A01021
2025-10-08,385.45,NSE_EQ|INE245A01021
2025-10-09,388.2,NSE_EQ|INE245A01021
2025-10-10,390.1,NSE_EQ|INE245A01021
2025-10-13,391.15,NSE_EQ|INE245A01021
2025-10-14,391.55,NSE_EQ|INE245A01021
2025-10-15,396.5,NSE_EQ|INE245A01021
2025-10-16,399.0,NSE_EQ|INE245A01021
2025-10-17,397.8,NSE_EQ|INE245A01021
2025-10-20,399.8,NSE_EQ|INE245A01021
