date,open,high,low,close,volume,instrument_key
2025-03-18,926.0,955.0,920.0,930.75,303769.0,NSE_EQ|INE285K01026
2025-03-19,944.95,1087.45,944.95,1032.35,2034257.0,NSE_EQ|INE285K01026
2025-03-20,1020.0,1032.3,983.1,1004.75,449111.0,NSE_EQ|INE285K01026
2025-03-21,1018.25,1048.0,1004.0,1034.5,356305.0,NSE_EQ|INE285K01026
2025-03-24,1052.95,1096.0,1042.15,1052.55,598647.0,NSE_EQ|INE285K01026
2025-03-25,1066.95,1072.6,1001.15,1010.5,300881.0,NSE_EQ|INE285K01026
2025-03-26,1040.0,1049.9,993.4,1005.9,342705.0,NSE_EQ|INE285K01026
2025-03-27,1009.0,1033.0,991.1,1015.95,242136.0,NSE_EQ|INE285K01026
2025-03-28,1020.0,1048.1,1000.0,1003.2,202816.0,NSE_EQ|INE285K01026
2025-04-01,1003.2,1042.45,999.0,1024.25,225173.0,NSE_EQ|INE285K01026
2025-04-02,1020.0,1028.65,999.0,1025.05,152041.0,NSE_EQ|INE285K01026
2025-04-03,1015.0,1035.9,1009.95,1015.95,124410.0,NSE_EQ|INE285K01026
2025-04-04,1001.2,1018.65,967.15,981.4,297051.0,NSE_EQ|INE285K01026
2025-04-07,785.15,939.0,785.15,930.4,307006.0,NSE_EQ|INE285K01026
2025-04-08,957.0,976.0,929.05,932.75,152250.0,NSE_EQ|INE285K01026
2025-04-09,933.0,934.4,912.4,918.55,159898.0,NSE_EQ|INE285K01026
2025-04-11,954.9,992.8,942.75,987.95,585746.0,NSE_EQ|INE285K01026
2025-04-15,1029.9,1037.5,1012.7,1024.2,221647.0,NSE_EQ|INE285K01026
2025-04-16,1021.0,1036.9,1018.0,1033.3,116513.0,NSE_EQ|INE285K01026
2025-04-17,1030.0,1096.0,1029.0,1057.8,511917.0,NSE_EQ|INE285K01026
2025-04-21,1080.0,1167.9,1050.9,1155.7,1221658.0,NSE_EQ|INE285K01026
2025-04-22,1147.1,1150.1,1094.1,1119.9,463456.0,NSE_EQ|INE285K01026
2025-04-23,1124.0,1142.2,1088.0,1135.7,298651.0,NSE_EQ|INE285K01026
2025-04-24,1143.5,1143.5,1096.0,1100.2,157601.0,NSE_EQ|INE285K01026
2025-04-25,1102.0,1110.8,1058.1,1101.4,312973.0,NSE_EQ|INE285K01026
2025-04-28,1101.0,1101.0,1071.0,1091.5,221494.0,NSE_EQ|INE285K01026
2025-04-29,1090.9,1122.2,1087.8,1096.9,140557.0,NSE_EQ|INE285K01026
2025-04-30,1090.1,1102.4,1052.1,1063.5,179928.0,NSE_EQ|INE285K01026
2025-05-02,1063.0,1075.8,1043.7,1065.6,111238.0,NSE_EQ|INE285K01026
2025-05-05,1069.6,1085.5,1064.0,1080.0,235735.0,NSE_EQ|INE285K01026
2025-05-06,1080.5,1089.9,1025.3,1044.5,275357.0,NSE_EQ|INE285K01026
2025-05-07,1010.5,1084.7,1010.5,1078.4,152615.0,NSE_EQ|INE285K01026
2025-05-08,1094.8,1139.9,1063.0,1070.5,205711.0,NSE_EQ|INE285K01026
2025-05-09,1030.0,1086.0,1023.0,1082.6,101587.0,NSE_EQ|INE285K01026
2025-05-12,1122.0,1135.2,1104.0,1124.5,150988.0,NSE_EQ|INE285K01026
2025-05-13,1135.0,1136.2,1110.6,1117.4,100118.0,NSE_EQ|INE285K01026
2025-05-14,1117.5,1198.0,1115.8,1193.7,587837.0,NSE_EQ|INE285K01026
2025-05-15,1198.0,1225.9,1172.2,1220.9,436302.0,NSE_EQ|INE285K01026
2025-05-16,1225.0,1287.6,1202.5,1280.1,270301.0,NSE_EQ|INE285K01026
2025-05-19,1288.6,1305.0,1259.7,1274.9,170060.0,NSE_EQ|INE285K01026
2025-05-20,1281.3,1285.1,1226.0,1230.8,141438.0,NSE_EQ|INE285K01026
2025-05-21,1225.1,1255.0,1222.8,1238.4,131709.0,NSE_EQ|INE285K01026
2025-05-22,1229.8,1255.9,1212.3,1228.5,111196.0,NSE_EQ|INE285K01026
