date,open,high,low,close,volume,instrument_key
2025-03-18,696.0,713.9,693.35,710.5,1476926.0,NSE_EQ|INE615H01020
2025-03-19,712.0,763.3,711.6,752.6,3343948.0,NSE_EQ|INE615H01020
2025-03-20,755.95,777.0,735.5,742.7,2954039.0,NSE_EQ|INE615H01020
2025-03-21,745.95,802.0,744.5,784.5,5536352.0,NSE_EQ|INE615H01020
2025-03-24,799.0,831.9,795.15,820.9,4399836.0,NSE_EQ|INE615H01020
2025-03-25,824.9,836.95,800.2,812.5,3032387.0,NSE_EQ|INE615H01020
2025-03-26,808.8,820.75,800.05,803.0,1566445.0,NSE_EQ|INE615H01020
2025-03-27,799.95,820.0,789.25,815.2,1994444.0,NSE_EQ|INE615H01020
2025-03-28,820.0,831.0,791.6,796.25,1764410.0,NSE_EQ|INE615H01020
2025-04-01,793.9,814.5,786.05,798.5,1151199.0,NSE_EQ|INE615H01020
2025-04-02,805.0,812.55,780.85,809.9,1134887.0,NSE_EQ|INE615H01020
2025-04-03,793.05,828.8,792.5,825.7,1570033.0,NSE_EQ|INE615H01020
2025-04-04,825.7,826.8,782.85,790.4,1816108.0,NSE_EQ|INE615H01020
2025-04-07,715.0,762.45,711.4,748.7,1915801.0,NSE_EQ|INE615H01020
2025-04-08,767.85,784.2,752.4,758.7,1272225.0,NSE_EQ|INE615H01020
2025-04-09,750.0,754.95,731.35,736.35,1061046.0,NSE_EQ|INE615H01020
2025-04-11,764.95,770.0,742.0,746.95,993364.0,NSE_EQ|INE615H01020
2025-04-15,761.95,794.0,757.05,790.15,1547806.0,NSE_EQ|INE615H01020
2025-04-16,792.0,799.8,780.0,789.2,1111509.0,NSE_EQ|INE615H01020
2025-04-17,789.0,802.85,783.05,787.75,920916.0,NSE_EQ|INE615H01020
2025-04-21,792.0,807.4,787.25,790.65,1367826.0,NSE_EQ|INE615H01020
2025-04-22,794.6,809.9,787.3,795.3,1475730.0,NSE_EQ|INE615H01020
2025-04-23,802.0,810.5,783.0,799.35,1586610.0,NSE_EQ|INE615H01020
2025-04-24,800.1,830.15,798.4,811.45,3979847.0,NSE_EQ|INE615H01020
2025-04-25,823.65,829.5,767.5,778.55,2842955.0,NSE_EQ|INE615H01020
2025-04-28,778.0,784.0,768.0,776.65,1923894.0,NSE_EQ|INE615H01020
2025-04-29,784.0,794.4,764.6,767.65,1545032.0,NSE_EQ|INE615H01020
2025-04-30,768.0,769.55,741.95,747.1,958002.0,NSE_EQ|INE615H01020
2025-05-02,745.3,761.9,739.0,741.25,1660727.0,NSE_EQ|INE615H01020
2025-05-05,746.0,748.7,729.0,733.2,1858849.0,NSE_EQ|INE615H01020
