date,open,high,low,close,volume,instrument_key
2025-03-18,665.0,681.7,663.9,680.05,11236084.0,NSE_EQ|INE155A01022
2025-03-19,685.4,685.75,678.55,682.25,9338414.0,NSE_EQ|INE155A01022
2025-03-20,685.0,692.7,679.0,690.05,9712600.0,NSE_EQ|INE155A01022
2025-03-21,693.0,705.0,688.55,702.95,14823483.0,NSE_EQ|INE155A01022
2025-03-24,710.0,717.5,702.05,713.5,11671359.0,NSE_EQ|INE155A01022
2025-03-25,719.0,723.05,706.35,710.3,13617465.0,NSE_EQ|INE155A01022
2025-03-26,710.3,717.85,707.0,708.25,9363180.0,NSE_EQ|INE155A01022
2025-03-27,668.0,676.6,661.1,668.55,34238666.0,NSE_EQ|INE155A01022
2025-03-28,671.85,684.95,669.3,674.45,16013687.0,NSE_EQ|INE155A01022
2025-04-01,670.55,681.85,665.75,671.85,9594669.0,NSE_EQ|INE155A01022
2025-04-02,674.95,675.35,662.1,671.9,8025225.0,NSE_EQ|INE155A01022
2025-04-03,660.0,669.0,652.5,653.95,13473832.0,NSE_EQ|INE155A01022
2025-04-04,650.0,650.0,610.0,613.85,26621179.0,NSE_EQ|INE155A01022
2025-04-07,560.5,582.0,535.75,579.75,49463598.0,NSE_EQ|INE155A01022
2025-04-08,591.2,606.6,584.2,588.85,20987855.0,NSE_EQ|INE155A01022
2025-04-09,588.0,594.9,581.05,582.9,17483412.0,NSE_EQ|INE155A01022
2025-04-11,610.0,612.8,591.0,595.05,21055814.0,NSE_EQ|INE155A01022
2025-04-15,614.0,628.3,612.65,622.2,19722072.0,NSE_EQ|INE155A01022
2025-04-16,625.0,625.0,613.6,616.05,12318376.0,NSE_EQ|INE155A01022
2025-04-17,616.05,627.0,608.25,621.55,14342652.0,NSE_EQ|INE155A01022
2025-04-21,624.6,635.75,620.2,630.05,12785568.0,NSE_EQ|INE155A01022
2025-04-22,630.25,633.95,626.2,630.85,10292748.0,NSE_EQ|INE155A01022
2025-04-23,635.95,661.5,633.35,659.9,23390570.0,NSE_EQ|INE155A01022
2025-04-24,660.1,671.0,660.1,668.35,15172229.0,NSE_EQ|INE155A01022
2025-04-25,668.35,673.0,651.5,655.25,13207043.0,NSE_EQ|INE155A01022
2025-04-28,654.3,669.6,652.55,668.15,10243493.0,NSE_EQ|INE155A01022
2025-04-29,671.45,682.9,661.6,665.6,13754685.0,NSE_EQ|INE155A01022
2025-04-30,667.0,667.0,641.1,644.25,19485917.0,NSE_EQ|INE155A01022
2025-05-02,641.0,661.35,635.55,652.0,13141726.0,NSE_EQ|INE155A01022
2025-05-05,662.95,666.65,655.85,661.55,8868484.0,NSE_EQ|INE155A01022
2025-05-06,661.55,663.2,645.5,648.2,12718175.0,NSE_EQ|INE155A01022
2025-05-07,642.0,682.5,641.15,680.3,30390515.0,NSE_EQ|INE155A01022
2025-05-08,700.0,704.5,677.2,682.85,29315465.0,NSE_EQ|INE155A01022
2025-05-09,667.5,711.0,666.0,708.5,40183276.0,NSE_EQ|INE155A01022
2025-05-12,728.0,732.0,711.2,720.8,20133616.0,NSE_EQ|INE155A01022
2025-05-13,720.8,726.0,703.25,707.7,16125700.0,NSE_EQ|INE155A01022
2025-05-14,690.0,708.0,686.0,698.95,31505402.0,NSE_EQ|INE155A01022
2025-05-15,698.75,729.8,696.15,728.1,28634074.0,NSE_EQ|INE155A01022
2025-05-16,730.0,742.0,725.55,730.7,20631512.0,NSE_EQ|INE155A01022
2025-05-19,732.0,738.1,728.0,729.5,10460217.0,NSE_EQ|INE155A01022
2025-05-20,730.0,737.75,717.0,718.9,14472506.0,NSE_EQ|INE155A01022
2025-05-21,719.0,729.5,718.0,726.8,8998596.0,NSE_EQ|INE155A01022
2025-05-22,725.0,725.0,710.65,717.45,10046820.0,NSE_EQ|INE155A01022
2025-05-23,718.75,721.8,715.0,718.25,7915166.0,NSE_EQ|INE155A01022
2025-05-26,722.0,738.0,721.2,729.0,13017400.0,NSE_EQ|INE155A01022
2025-05-27,729.0,729.35,715.2,716.45,12223125.0,NSE_EQ|INE155A01022
2025-05-28,720.0,722.0,716.2,717.95,7568961.0,NSE_EQ|INE155A01022
2025-05-29,724.5,728.7,720.0,724.45,8838921.0,NSE_EQ|INE155A01022
2025-05-30,724.45,728.55,712.5,719.5,14533919.0,NSE_EQ|INE155A01022
2025-06-02,717.0,719.0,707.4,711.6,9712446.0,NSE_EQ|INE155A01022
2025-06-03,715.0,718.35,702.3,703.85,9161608.0,NSE_EQ|INE155A01022
2025-06-04,701.8,715.45,698.4,709.15,11287991.0,NSE_EQ|INE155A01022
2025-06-05,712.8,714.45,704.0,710.15,10203331.0,NSE_EQ|INE155A01022
2025-06-06,710.0,715.9,701.2,711.0,11975812.0,NSE_EQ|INE155A01022
2025-06-09,715.0,726.0,713.1,717.8,9900412.0,NSE_EQ|INE155A01022
2025-06-10,721.0,734.75,715.35,732.25,19151889.0,NSE_EQ|INE155A01022
2025-06-11,734.95,744.0,730.15,736.4,12626754.0,NSE_EQ|INE155A01022
2025-06-12,737.0,737.7,711.25,715.35,12585149.0,NSE_EQ|INE155A01022
2025-06-13,700.0,714.95,698.3,712.05,10516625.0,NSE_EQ|INE155A01022
2025-06-16,711.0,714.0,672.95,686.65,31246328.0,NSE_EQ|INE155A01022
2025-06-17,686.1,686.15,672.0,674.75,17112867.0,NSE_EQ|INE155A01022
2025-06-18,671.85,679.35,668.0,670.25,12556088.0,NSE_EQ|INE155A01022
2025-06-19,670.25,676.3,666.65,672.3,10895470.0,NSE_EQ|INE155A01022
2025-06-20,673.4,678.8,670.1,676.2,11393470.0,NSE_EQ|INE155A01022
2025-06-23,670.0,676.0,666.1,671.25,10265601.0,NSE_EQ|INE155A01022
2025-06-24,678.0,686.5,672.0,673.65,15359947.0,NSE_EQ|INE155A01022
2025-06-25,676.0,679.0,673.45,674.5,10456015.0,NSE_EQ|INE155A01022
2025-06-26,677.0,683.7,674.45,682.75,10104914.0,NSE_EQ|INE155A01022
2025-06-27,685.0,691.45,683.0,686.9,7198028.0,NSE_EQ|INE155A01022
2025-06-30,688.9,691.9,685.0,688.0,6960104.0,NSE_EQ|INE155A01022
2025-07-01,691.1,693.85,680.4,683.8,6866073.0,NSE_EQ|INE155A01022
2025-07-02,683.8,692.45,680.65,688.55,8034013.0,NSE_EQ|INE155A01022
2025-07-03,693.85,696.95,688.5,690.4,9668110.0,NSE_EQ|INE155A01022
2025-07-04,691.0,692.85,686.35,689.05,4942900.0,NSE_EQ|INE155A01022
2025-07-07,689.05,691.95,683.35,688.85,5428220.0,NSE_EQ|INE155A01022
2025-07-08,693.0,696.95,687.5,693.2,7615926.0,NSE_EQ|INE155A01022
2025-07-09,688.95,695.5,688.5,692.8,5478813.0,NSE_EQ|INE155A01022
2025-07-10,692.0,696.75,685.0,695.6,7733963.0,NSE_EQ|INE155A01022
2025-07-11,692.95,698.4,677.05,681.8,8280654.0,NSE_EQ|INE155A01022
2025-07-14,681.0,681.0,672.0,674.5,7748550.0,NSE_EQ|INE155A01022
2025-07-15,676.0,685.95,674.3,684.4,7041706.0,NSE_EQ|INE155A01022
2025-07-16,684.4,684.4,676.35,679.0,6244205.0,NSE_EQ|INE155A01022
2025-07-17,679.0,686.9,678.15,681.7,6598144.0,NSE_EQ|INE155A01022
2025-07-18,683.2,686.0,678.0,680.25,5558670.0,NSE_EQ|INE155A01022
2025-07-21,680.5,688.5,671.25,687.45,6731863.0,NSE_EQ|INE155A01022
2025-07-22,688.0,688.85,672.35,673.4,7749518.0,NSE_EQ|INE155A01022
2025-07-23,676.7,693.1,676.25,690.1,14460727.0,NSE_EQ|INE155A01022
2025-07-24,692.7,706.5,692.3,700.5,15197664.0,NSE_EQ|INE155A01022
2025-07-25,701.0,702.45,684.7,687.4,7271718.0,NSE_EQ|INE155A01022
2025-07-28,690.7,700.5,681.4,682.9,7788718.0,NSE_EQ|INE155A01022
2025-07-29,681.9,694.0,680.6,692.35,6239871.0,NSE_EQ|INE155A01022
2025-07-30,690.0,690.0,665.25,668.45,18923129.0,NSE_EQ|INE155A01022
2025-07-31,659.85,673.4,652.35,665.95,18723710.0,NSE_EQ|INE155A01022
2025-08-01,667.95,667.95,647.0,648.85,12546169.0,NSE_EQ|INE155A01022
2025-08-04,650.05,656.8,646.0,653.6,8033881.0,NSE_EQ|INE155A01022
2025-08-05,655.95,658.9,650.55,654.6,6714804.0,NSE_EQ|INE155A01022
2025-08-06,655.0,658.0,650.4,652.85,6410830.0,NSE_EQ|INE155A01022
2025-08-07,650.0,651.7,635.5,646.5,13609913.0,NSE_EQ|INE155A01022
2025-08-08,647.95,652.95,630.0,633.7,10144452.0,NSE_EQ|INE155A01022
2025-08-11,636.2,655.0,627.1,653.75,17275390.0,NSE_EQ|INE155A01022
2025-08-12,651.1,660.95,650.8,654.1,11212223.0,NSE_EQ|INE155A01022
2025-08-13,657.2,667.0,656.65,663.75,7557556.0,NSE_EQ|INE155A01022
2025-08-14,666.0,666.55,657.7,664.6,6250494.0,NSE_EQ|INE155A01022
2025-08-18,677.0,685.0,672.9,676.0,14226172.0,NSE_EQ|INE155A01022
2025-08-19,676.75,703.35,673.1,700.25,19440384.0,NSE_EQ|INE155A01022
2025-08-20,700.25,700.8,689.0,689.6,10050137.0,NSE_EQ|INE155A01022
2025-08-21,694.0,694.95,685.0,685.4,8432614.0,NSE_EQ|INE155A01022
2025-08-22,685.9,691.5,678.6,680.3,6429718.0,NSE_EQ|INE155A01022
2025-08-25,683.75,688.9,680.3,686.8,6429311.0,NSE_EQ|INE155A01022
2025-08-26,686.8,686.95,678.3,681.65,7496633.0,NSE_EQ|INE155A01022
2025-08-28,679.9,680.9,667.8,675.45,9466045.0,NSE_EQ|INE155A01022
2025-08-29,675.45,681.15,668.0,669.0,8201917.0,NSE_EQ|INE155A01022
2025-09-01,671.3,691.5,670.55,690.15,7644947.0,NSE_EQ|INE155A01022
2025-09-02,690.15,694.65,681.65,684.4,7854694.0,NSE_EQ|INE155A01022
2025-09-03,688.0,693.45,685.0,692.05,6094892.0,NSE_EQ|INE155A01022
2025-09-04,705.9,706.35,685.7,687.5,13439418.0,NSE_EQ|INE155A01022
2025-09-05,690.9,697.35,683.1,691.7,6692975.0,NSE_EQ|INE155A01022
2025-09-08,695.0,722.0,694.05,719.5,20531027.0,NSE_EQ|INE155A01022
2025-09-09,721.15,722.25,713.5,715.55,9409853.0,NSE_EQ|INE155A01022
2025-09-10,717.65,720.0,702.7,709.1,10363493.0,NSE_EQ|INE155A01022
2025-09-11,710.2,712.0,704.55,705.85,5530633.0,NSE_EQ|INE155A01022
2025-09-12,708.0,718.9,707.35,715.25,8252416.0,NSE_EQ|INE155A01022
2025-09-15,715.3,721.95,711.55,712.9,6007524.0,NSE_EQ|INE155A01022
2025-09-16,715.0,719.7,705.0,713.25,9765743.0,NSE_EQ|INE155A01022
2025-09-17,715.0,722.95,714.3,719.15,11872451.0,NSE_EQ|INE155A01022
2025-09-18,722.0,725.25,707.6,711.2,12199357.0,NSE_EQ|INE155A01022
2025-09-19,713.5,713.5,704.95,707.45,12127319.0,NSE_EQ|INE155A01022
2025-09-22,709.0,712.0,694.85,696.25,9688597.0,NSE_EQ|INE155A01022
2025-09-23,701.8,707.8,697.0,701.35,11904667.0,NSE_EQ|INE155A01022
2025-09-24,700.5,703.3,681.3,682.95,13252215.0,NSE_EQ|INE155A01022
2025-09-25,669.9,675.0,655.3,664.3,24687611.0,NSE_EQ|INE155A01022
2025-09-26,666.0,680.35,662.35,672.9,15780434.0,NSE_EQ|INE155A01022
2025-09-29,684.0,685.0,670.0,672.5,13014474.0,NSE_EQ|INE155A01022
2025-09-30,672.0,683.5,666.65,680.2,15001606.0,NSE_EQ|INE155A01022
