date,open,high,low,close,volume,instrument_key
2025-03-18,1322.25,1381.95,1307.95,1375.95,836945.0,NSE_EQ|INE813H01021
2025-03-19,1391.0,1449.9,1381.95,1440.5,714540.0,NSE_EQ|INE813H01021
2025-03-20,1440.5,1473.2,1428.05,1468.6,685073.0,NSE_EQ|INE813H01021
2025-03-21,1464.0,1504.3,1455.05,1498.55,1024148.0,NSE_EQ|INE813H01021
2025-03-24,1509.0,1547.0,1509.0,1530.1,644359.0,NSE_EQ|INE813H01021
2025-03-25,1539.0,1542.9,1478.4,1492.1,696251.0,NSE_EQ|INE813H01021
2025-03-26,1493.95,1518.9,1489.05,1499.9,472531.0,NSE_EQ|INE813H01021
2025-03-27,1495.4,1508.15,1471.45,1501.95,511336.0,NSE_EQ|INE813H01021
2025-03-28,1501.95,1534.5,1483.05,1486.85,461042.0,NSE_EQ|INE813H01021
2025-04-01,1482.45,1508.0,1473.0,1500.3,252185.0,NSE_EQ|INE813H01021
2025-04-02,1516.0,1519.9,1492.0,1509.7,403452.0,NSE_EQ|INE813H01021
2025-04-03,1499.6,1561.3,1499.35,1552.0,571040.0,NSE_EQ|INE813H01021
2025-04-04,1552.0,1567.75,1504.75,1537.05,555099.0,NSE_EQ|INE813H01021
2025-04-07,1383.35,1511.7,1383.35,1496.7,294552.0,NSE_EQ|INE813H01021
2025-04-08,1534.6,1535.0,1482.0,1509.75,255617.0,NSE_EQ|INE813H01021
2025-04-09,1504.55,1535.35,1484.45,1530.9,383342.0,NSE_EQ|INE813H01021
2025-04-11,1551.6,1568.55,1530.5,1562.15,708281.0,NSE_EQ|INE813H01021
2025-04-15,1599.9,1628.0,1570.8,1623.6,487077.0,NSE_EQ|INE813H01021
2025-04-16,1625.0,1640.0,1587.0,1605.2,351590.0,NSE_EQ|INE813H01021
2025-04-17,1591.5,1609.9,1580.2,1591.0,243465.0,NSE_EQ|INE813H01021
2025-04-21,1600.0,1622.2,1588.0,1592.5,328035.0,NSE_EQ|INE813H01021
2025-04-22,1599.6,1622.0,1586.1,1589.5,334510.0,NSE_EQ|INE813H01021
2025-04-23,1594.8,1614.8,1571.9,1609.6,278065.0,NSE_EQ|INE813H01021
2025-04-24,1609.9,1616.7,1596.0,1600.7,273185.0,NSE_EQ|INE813H01021
2025-04-25,1600.6,1609.0,1521.9,1538.6,294520.0,NSE_EQ|INE813H01021
2025-04-28,1538.5,1586.2,1538.4,1557.0,231208.0,NSE_EQ|INE813H01021
2025-04-29,1567.0,1586.0,1546.1,1554.6,301597.0,NSE_EQ|INE813H01021
2025-04-30,1546.2,1578.7,1525.0,1539.1,575987.0,NSE_EQ|INE813H01021
2025-05-02,1540.0,1555.0,1481.7,1490.4,329302.0,NSE_EQ|INE813H01021
2025-05-05,1490.4,1492.6,1455.4,1477.9,682821.0,NSE_EQ|INE813H01021
2025-05-06,1485.2,1509.9,1451.0,1462.3,285336.0,NSE_EQ|INE813H01021
2025-05-07,1409.3,1504.8,1409.3,1501.9,511125.0,NSE_EQ|INE813H01021
2025-05-08,1493.6,1510.2,1411.1,1420.0,528111.0,NSE_EQ|INE813H01021
2025-05-09,1390.0,1412.3,1367.4,1371.7,711136.0,NSE_EQ|INE813H01021
2025-05-12,1430.0,1472.0,1413.1,1465.2,678744.0,NSE_EQ|INE813H01021
2025-05-13,1465.0,1468.9,1423.0,1426.8,699179.0,NSE_EQ|INE813H01021
2025-05-14,1430.0,1469.0,1420.2,1449.9,706479.0,NSE_EQ|INE813H01021
2025-05-15,1469.9,1472.5,1405.5,1432.7,1234033.0,NSE_EQ|INE813H01021
2025-05-16,1443.0,1460.0,1432.5,1442.8,513476.0,NSE_EQ|INE813H01021
2025-05-19,1449.9,1469.8,1421.3,1424.3,568203.0,NSE_EQ|INE813H01021
2025-05-20,1440.0,1471.7,1382.1,1390.4,1043014.0,NSE_EQ|INE813H01021
2025-05-21,1395.0,1418.2,1389.1,1398.7,960328.0,NSE_EQ|INE813H01021
2025-05-22,1398.8,1405.9,1380.0,1394.6,496523.0,NSE_EQ|INE813H01021
2025-05-23,1402.0,1415.5,1387.3,1401.9,834234.0,NSE_EQ|INE813H01021
2025-05-26,1418.0,1439.0,1408.1,1426.1,520002.0,NSE_EQ|INE813H01021
2025-05-27,1426.0,1429.9,1414.0,1425.4,293467.0,NSE_EQ|INE813H01021
2025-05-28,1425.4,1425.9,1393.1,1396.2,324782.0,NSE_EQ|INE813H01021
2025-05-29,1399.9,1409.8,1380.0,1400.4,373352.0,NSE_EQ|INE813H01021
2025-05-30,1407.0,1410.0,1361.0,1374.0,1370742.0,NSE_EQ|INE813H01021
2025-06-02,1370.1,1399.7,1365.3,1396.5,392420.0,NSE_EQ|INE813H01021
2025-06-03,1423.5,1423.5,1398.7,1403.3,723802.0,NSE_EQ|INE813H01021
2025-06-04,1415.0,1453.8,1405.0,1419.1,1148156.0,NSE_EQ|INE813H01021
2025-06-05,1428.9,1434.4,1407.5,1410.5,285426.0,NSE_EQ|INE813H01021
2025-06-06,1416.9,1424.6,1401.4,1408.0,257246.0,NSE_EQ|INE813H01021
2025-06-09,1420.0,1423.0,1401.5,1407.2,883603.0,NSE_EQ|INE813H01021
2025-06-10,1415.0,1455.0,1410.4,1451.6,870071.0,NSE_EQ|INE813H01021
2025-06-11,1466.0,1468.7,1422.5,1432.4,1051804.0,NSE_EQ|INE813H01021
2025-06-12,1432.4,1445.0,1393.3,1398.9,427130.0,NSE_EQ|INE813H01021
2025-06-13,1400.0,1419.7,1389.9,1414.0,779438.0,NSE_EQ|INE813H01021
2025-06-16,1420.0,1424.7,1392.3,1421.0,314047.0,NSE_EQ|INE813H01021
2025-06-17,1419.0,1440.0,1402.8,1406.8,430219.0,NSE_EQ|INE813H01021
2025-06-18,1409.9,1414.3,1383.1,1387.4,283090.0,NSE_EQ|INE813H01021
2025-06-19,1388.0,1395.5,1358.2,1366.8,215247.0,NSE_EQ|INE813H01021
2025-06-20,1366.0,1394.0,1360.6,1390.1,576579.0,NSE_EQ|INE813H01021
2025-06-23,1380.8,1419.0,1377.7,1416.7,242297.0,NSE_EQ|INE813H01021
2025-06-24,1426.0,1454.0,1419.4,1451.1,590558.0,NSE_EQ|INE813H01021
2025-06-25,1455.0,1482.0,1449.6,1461.9,649892.0,NSE_EQ|INE813H01021
2025-06-26,1464.4,1483.9,1456.8,1460.7,389029.0,NSE_EQ|INE813H01021
2025-06-27,1468.1,1492.0,1459.1,1473.2,1038044.0,NSE_EQ|INE813H01021
2025-06-30,1473.2,1480.5,1438.0,1467.6,769672.0,NSE_EQ|INE813H01021
2025-07-01,1467.6,1478.0,1443.7,1456.7,396855.0,NSE_EQ|INE813H01021
2025-07-02,1456.7,1472.7,1446.0,1469.4,189187.0,NSE_EQ|INE813H01021
2025-07-03,1473.0,1478.9,1440.0,1442.4,220214.0,NSE_EQ|INE813H01021
2025-07-04,1445.0,1453.5,1428.1,1439.8,175116.0,NSE_EQ|INE813H01021
2025-07-07,1436.1,1448.7,1430.0,1440.8,160058.0,NSE_EQ|INE813H01021
2025-07-08,1436.0,1455.0,1420.1,1424.1,296906.0,NSE_EQ|INE813H01021
2025-07-09,1430.0,1432.3,1407.2,1427.0,485973.0,NSE_EQ|INE813H01021
2025-07-10,1427.0,1449.6,1420.1,1426.7,322583.0,NSE_EQ|INE813H01021
2025-07-11,1427.0,1438.5,1399.0,1408.1,290383.0,NSE_EQ|INE813H01021
2025-07-14,1402.1,1421.1,1393.5,1403.5,317645.0,NSE_EQ|INE813H01021
2025-07-15,1402.9,1411.0,1385.7,1391.6,251325.0,NSE_EQ|INE813H01021
2025-07-16,1395.0,1408.0,1386.2,1394.1,292996.0,NSE_EQ|INE813H01021
2025-07-17,1394.1,1404.9,1384.0,1385.8,281247.0,NSE_EQ|INE813H01021
2025-07-18,1386.9,1386.9,1361.6,1368.6,321547.0,NSE_EQ|INE813H01021
2025-07-21,1367.0,1375.0,1357.4,1367.6,268362.0,NSE_EQ|INE813H01021
2025-07-22,1368.0,1372.7,1339.1,1342.8,349201.0,NSE_EQ|INE813H01021
2025-07-23,1343.6,1360.4,1340.5,1357.0,657001.0,NSE_EQ|INE813H01021
2025-07-24,1360.7,1369.3,1345.0,1356.4,253564.0,NSE_EQ|INE813H01021
2025-07-25,1354.8,1354.8,1321.2,1325.5,200310.0,NSE_EQ|INE813H01021
2025-07-28,1324.9,1344.3,1316.0,1338.4,216922.0,NSE_EQ|INE813H01021
2025-07-29,1328.1,1344.0,1318.5,1324.9,265829.0,NSE_EQ|INE813H01021
2025-07-30,1326.0,1364.3,1316.8,1336.5,439272.0,NSE_EQ|INE813H01021
2025-07-31,1320.0,1326.7,1301.9,1310.0,356942.0,NSE_EQ|INE813H01021
2025-08-01,1307.0,1314.7,1285.0,1288.2,228446.0,NSE_EQ|INE813H01021
2025-08-04,1291.4,1316.6,1277.0,1312.1,244606.0,NSE_EQ|INE813H01021
2025-08-05,1313.0,1325.3,1280.1,1313.6,687764.0,NSE_EQ|INE813H01021
2025-08-06,1290.0,1338.0,1272.0,1319.9,944308.0,NSE_EQ|INE813H01021
2025-08-07,1309.9,1360.0,1309.1,1357.5,575035.0,NSE_EQ|INE813H01021
2025-08-08,1357.5,1368.9,1330.1,1335.8,428142.0,NSE_EQ|INE813H01021
2025-08-11,1335.0,1354.0,1327.1,1345.0,304004.0,NSE_EQ|INE813H01021
2025-08-12,1346.3,1360.6,1345.2,1358.1,207267.0,NSE_EQ|INE813H01021
2025-08-13,1360.0,1376.0,1350.0,1362.1,211541.0,NSE_EQ|INE813H01021
2025-08-14,1366.9,1366.9,1327.3,1329.6,772075.0,NSE_EQ|INE813H01021
2025-08-18,1340.2,1344.0,1295.2,1301.6,373981.0,NSE_EQ|INE813H01021
2025-08-19,1302.0,1309.9,1288.5,1297.4,917897.0,NSE_EQ|INE813H01021
2025-08-20,1298.0,1301.9,1282.7,1285.3,799579.0,NSE_EQ|INE813H01021
2025-08-21,1290.2,1311.8,1287.0,1291.8,1323556.0,NSE_EQ|INE813H01021
2025-08-22,1291.8,1294.5,1270.0,1282.0,327330.0,NSE_EQ|INE813H01021
2025-08-25,1269.3,1290.0,1264.8,1282.5,362874.0,NSE_EQ|INE813H01021
2025-08-26,1282.0,1284.9,1261.1,1270.2,711255.0,NSE_EQ|INE813H01021
2025-08-28,1270.2,1271.8,1240.0,1248.3,590424.0,NSE_EQ|INE813H01021
2025-08-29,1241.0,1251.4,1225.0,1227.3,430488.0,NSE_EQ|INE813H01021
2025-09-01,1304.9,1311.9,1237.1,1262.0,3371553.0,NSE_EQ|INE813H01021
2025-09-02,1262.0,1306.9,1261.2,1304.6,723218.0,NSE_EQ|INE813H01021
2025-09-03,1305.0,1316.0,1294.9,1314.2,350814.0,NSE_EQ|INE813H01021
2025-09-04,1314.2,1330.1,1291.0,1294.9,200798.0,NSE_EQ|INE813H01021
2025-09-05,1296.7,1298.9,1258.0,1262.9,309076.0,NSE_EQ|INE813H01021
2025-09-08,1273.9,1276.7,1257.0,1259.8,177992.0,NSE_EQ|INE813H01021
2025-09-09,1261.0,1266.0,1239.6,1243.9,558968.0,NSE_EQ|INE813H01021
2025-09-10,1255.6,1276.3,1246.2,1262.9,417026.0,NSE_EQ|INE813H01021
2025-09-11,1267.0,1278.9,1261.2,1268.3,387142.0,NSE_EQ|INE813H01021
2025-09-12,1268.3,1277.1,1262.2,1267.8,195591.0,NSE_EQ|INE813H01021
2025-09-15,1268.0,1278.5,1262.1,1267.3,285602.0,NSE_EQ|INE813H01021
2025-09-16,1267.3,1277.0,1259.2,1261.9,374352.0,NSE_EQ|INE813H01021
