date,open,high,low,close,volume,instrument_key
2025-03-18,24.02,24.59,23.98,24.49,6167446.0,NSE_EQ|INE064C01022
2025-03-19,24.61,26.19,24.6,25.92,18177488.0,NSE_EQ|INE064C01022
2025-03-20,26.55,26.55,25.35,25.46,9507902.0,NSE_EQ|INE064C01022
2025-03-21,25.5,25.9,25.35,25.61,9301298.0,NSE_EQ|INE064C01022
2025-03-24,26.0,26.3,25.59,25.65,9134956.0,NSE_EQ|INE064C01022
2025-03-25,26.0,26.24,24.8,25.11,9297886.0,NSE_EQ|INE064C01022
2025-03-26,25.55,25.8,24.5,24.62,8838660.0,NSE_EQ|INE064C01022
2025-03-27,24.62,25.2,24.39,24.93,11558576.0,NSE_EQ|INE064C01022
2025-03-28,25.15,25.38,24.15,24.27,9012633.0,NSE_EQ|INE064C01022
2025-04-01,24.47,25.45,24.3,25.31,9360190.0,NSE_EQ|INE064C01022
2025-04-02,25.49,25.49,24.7,25.25,4843912.0,NSE_EQ|INE064C01022
2025-04-03,25.2,27.75,25.05,27.19,99027411.0,NSE_EQ|INE064C01022
2025-04-04,27.19,27.7,26.11,26.53,25847212.0,NSE_EQ|INE064C01022
2025-04-07,23.46,26.05,23.11,25.43,18539900.0,NSE_EQ|INE064C01022
2025-04-08,26.67,26.67,25.5,25.7,9802029.0,NSE_EQ|INE064C01022
2025-04-09,25.7,25.74,25.22,25.43,4429024.0,NSE_EQ|INE064C01022
2025-04-11,26.3,26.45,25.65,26.08,8063504.0,NSE_EQ|INE064C01022
2025-04-15,26.74,26.8,26.27,26.53,5812086.0,NSE_EQ|INE064C01022
2025-04-16,26.6,27.25,26.5,27.04,8564838.0,NSE_EQ|INE064C01022
2025-04-17,27.06,27.38,26.73,27.28,8805005.0,NSE_EQ|INE064C01022
2025-04-21,27.48,27.54,27.11,27.41,7215626.0,NSE_EQ|INE064C01022
2025-04-22,27.52,29.68,27.37,29.28,65200610.0,NSE_EQ|INE064C01022
2025-04-23,29.46,29.74,28.44,29.43,24392533.0,NSE_EQ|INE064C01022
2025-04-24,29.11,29.37,28.75,29.2,11790043.0,NSE_EQ|INE064C01022
2025-04-25,29.06,29.17,27.6,27.89,15861650.0,NSE_EQ|INE064C01022
2025-04-28,27.71,28.3,27.52,28.13,10589817.0,NSE_EQ|INE064C01022
2025-04-29,28.13,28.59,27.34,27.52,8135455.0,NSE_EQ|INE064C01022
2025-04-30,27.68,27.96,26.36,26.5,9596885.0,NSE_EQ|INE064C01022
2025-05-02,26.76,27.12,26.43,26.61,6644811.0,NSE_EQ|INE064C01022
2025-05-05,26.7,27.5,26.3,27.37,8205298.0,NSE_EQ|INE064C01022
2025-05-06,27.6,27.6,26.52,27.01,7962624.0,NSE_EQ|INE064C01022
2025-05-07,26.25,27.85,26.25,27.48,17040872.0,NSE_EQ|INE064C01022
2025-05-08,27.67,28.53,27.41,27.82,16494110.0,NSE_EQ|INE064C01022
2025-05-09,26.5,27.3,26.45,26.74,9489195.0,NSE_EQ|INE064C01022
2025-05-12,27.81,28.49,27.56,28.4,11566818.0,NSE_EQ|INE064C01022
2025-05-13,28.41,28.72,28.07,28.32,7606661.0,NSE_EQ|INE064C01022
2025-05-14,28.46,28.9,28.32,28.52,6104138.0,NSE_EQ|INE064C01022
2025-05-15,28.55,29.0,28.55,28.92,6334767.0,NSE_EQ|INE064C01022
2025-05-16,28.93,29.47,28.79,29.38,7913675.0,NSE_EQ|INE064C01022
2025-05-19,29.55,30.39,29.53,29.81,12056096.0,NSE_EQ|INE064C01022
2025-05-20,30.21,30.21,29.18,29.47,7384924.0,NSE_EQ|INE064C01022
2025-05-21,29.6,34.62,28.87,33.48,65929273.0,NSE_EQ|INE064C01022
2025-05-22,33.4,33.4,32.4,32.87,21860828.0,NSE_EQ|INE064C01022
2025-05-23,32.66,32.79,32.05,32.27,12007033.0,NSE_EQ|INE064C01022
2025-05-26,32.35,34.11,32.31,33.13,31102342.0,NSE_EQ|INE064C01022
2025-05-27,32.99,32.99,32.47,32.71,10267829.0,NSE_EQ|INE064C01022
2025-05-28,32.72,33.39,32.35,32.54,11780762.0,NSE_EQ|INE064C01022
2025-05-29,32.58,32.65,31.77,32.0,7899388.0,NSE_EQ|INE064C01022
2025-05-30,32.16,32.3,31.5,31.79,6817512.0,NSE_EQ|INE064C01022
2025-06-02,31.79,31.92,30.75,30.83,14952480.0,NSE_EQ|INE064C01022
2025-06-03,31.39,33.24,30.37,30.85,54449711.0,NSE_EQ|INE064C01022
2025-06-04,31.12,31.23,30.45,31.02,8785829.0,NSE_EQ|INE064C01022
2025-06-05,31.11,31.43,30.83,31.03,7463599.0,NSE_EQ|INE064C01022
2025-06-06,31.09,31.19,30.78,30.88,6533657.0,NSE_EQ|INE064C01022
2025-06-09,31.02,31.33,30.8,30.9,8037730.0,NSE_EQ|INE064C01022
2025-06-10,31.0,31.75,30.92,31.36,15617534.0,NSE_EQ|INE064C01022
2025-06-11,31.64,33.14,31.47,31.99,49580494.0,NSE_EQ|INE064C01022
2025-06-12,32.24,32.24,31.04,31.37,12192033.0,NSE_EQ|INE064C01022
2025-06-13,31.0,31.0,30.36,30.71,10301346.0,NSE_EQ|INE064C01022
2025-06-16,30.71,30.89,30.02,30.42,6950390.0,NSE_EQ|INE064C01022
2025-06-17,30.64,31.18,30.43,30.56,10730702.0,NSE_EQ|INE064C01022
2025-06-18,30.74,30.74,29.98,30.05,7332703.0,NSE_EQ|INE064C01022
2025-06-19,30.05,30.28,29.05,29.21,7307014.0,NSE_EQ|INE064C01022
2025-06-20,29.18,29.7,28.91,29.58,5874966.0,NSE_EQ|INE064C01022
2025-06-23,29.23,29.98,29.02,29.83,5909573.0,NSE_EQ|INE064C01022
2025-06-24,30.1,30.54,30.03,30.15,4978963.0,NSE_EQ|INE064C01022
2025-06-25,30.3,30.88,30.22,30.59,5536058.0,NSE_EQ|INE064C01022
2025-06-26,31.05,32.12,31.05,31.59,38518912.0,NSE_EQ|INE064C01022
2025-06-27,31.7,31.89,31.4,31.54,7978670.0,NSE_EQ|INE064C01022
2025-06-30,31.61,31.69,31.23,31.32,5811232.0,NSE_EQ|INE064C01022
2025-07-01,31.5,31.64,31.02,31.12,5581983.0,NSE_EQ|INE064C01022
2025-07-02,31.09,31.14,30.6,30.73,6087889.0,NSE_EQ|INE064C01022
2025-07-03,30.79,31.0,30.54,30.83,4521622.0,NSE_EQ|INE064C01022
2025-07-04,30.99,31.48,30.76,31.24,8126451.0,NSE_EQ|INE064C01022
2025-07-07,31.25,31.68,31.03,31.12,5265762.0,NSE_EQ|INE064C01022
2025-07-08,31.39,33.1,31.33,32.29,88984934.0,NSE_EQ|INE064C01022
2025-07-09,32.29,32.52,31.92,32.3,11441938.0,NSE_EQ|INE064C01022
2025-07-10,32.38,32.46,31.96,32.09,6574674.0,NSE_EQ|INE064C01022
2025-07-11,32.04,32.18,31.55,31.7,5513146.0,NSE_EQ|INE064C01022
2025-07-14,31.7,31.75,31.1,31.19,5178910.0,NSE_EQ|INE064C01022
2025-07-15,31.4,31.68,31.23,31.31,3695375.0,NSE_EQ|INE064C01022
2025-07-16,31.36,31.82,31.3,31.37,3643015.0,NSE_EQ|INE064C01022
2025-07-17,31.49,32.24,31.44,31.84,11929389.0,NSE_EQ|INE064C01022
2025-07-18,31.99,32.13,31.36,31.48,5076950.0,NSE_EQ|INE064C01022
2025-07-21,31.73,31.8,31.44,31.54,5031058.0,NSE_EQ|INE064C01022
2025-07-22,31.69,31.76,29.77,30.37,11405437.0,NSE_EQ|INE064C01022
2025-07-23,30.52,31.1,30.42,31.0,6999187.0,NSE_EQ|INE064C01022
2025-07-24,31.19,31.9,31.01,31.53,12389268.0,NSE_EQ|INE064C01022
