date,open,high,low,close,volume,instrument_key
2025-03-18,59.5,60.54,59.5,60.25,3490903.0,NSE_EQ|INE517B01013
2025-03-19,60.5,61.79,60.44,61.24,3669980.0,NSE_EQ|INE517B01013
2025-03-20,61.96,62.7,60.51,61.1,3796690.0,NSE_EQ|INE517B01013
2025-03-21,61.0,62.45,60.55,61.56,5016025.0,NSE_EQ|INE517B01013
2025-03-24,62.16,63.05,61.5,61.72,4222887.0,NSE_EQ|INE517B01013
2025-03-25,62.1,62.3,59.14,59.59,3845734.0,NSE_EQ|INE517B01013
2025-03-26,59.59,60.17,57.15,57.57,4692519.0,NSE_EQ|INE517B01013
2025-03-27,55.65,59.44,55.65,58.42,8384357.0,NSE_EQ|INE517B01013
2025-03-28,59.0,60.0,54.6,56.29,5448960.0,NSE_EQ|INE517B01013
2025-04-01,55.99,61.49,55.91,59.63,29738115.0,NSE_EQ|INE517B01013
2025-04-02,59.6,59.9,58.16,58.95,3683839.0,NSE_EQ|INE517B01013
2025-04-03,58.29,60.24,58.22,59.94,3339493.0,NSE_EQ|INE517B01013
2025-04-04,59.98,60.17,57.18,57.84,3774074.0,NSE_EQ|INE517B01013
2025-04-07,50.2,56.2,50.1,54.47,5388062.0,NSE_EQ|INE517B01013
2025-04-08,57.05,57.05,55.4,56.27,3846449.0,NSE_EQ|INE517B01013
2025-04-09,56.26,56.65,54.72,55.1,1841486.0,NSE_EQ|INE517B01013
2025-04-11,57.9,57.92,55.71,56.63,2831709.0,NSE_EQ|INE517B01013
2025-04-15,57.25,58.9,57.1,58.46,2662550.0,NSE_EQ|INE517B01013
2025-04-16,58.72,60.55,58.37,60.24,3929252.0,NSE_EQ|INE517B01013
2025-04-17,59.9,60.14,59.15,59.58,2147044.0,NSE_EQ|INE517B01013
2025-04-21,60.0,60.97,59.0,60.7,3143939.0,NSE_EQ|INE517B01013
2025-04-22,61.02,62.09,60.5,61.3,3318980.0,NSE_EQ|INE517B01013
2025-04-23,61.95,62.1,59.89,61.18,2644389.0,NSE_EQ|INE517B01013
2025-04-24,61.17,62.1,60.25,61.14,4013419.0,NSE_EQ|INE517B01013
2025-04-25,60.81,61.2,58.3,58.83,3257002.0,NSE_EQ|INE517B01013
2025-04-28,58.3,58.84,57.75,58.31,2151736.0,NSE_EQ|INE517B01013
2025-04-29,58.0,59.7,58.0,58.37,1699611.0,NSE_EQ|INE517B01013
2025-04-30,58.4,58.72,56.5,56.82,2126880.0,NSE_EQ|INE517B01013
2025-05-02,56.5,57.42,55.25,55.68,2567039.0,NSE_EQ|INE517B01013
2025-05-05,55.68,58.41,55.29,57.8,5118876.0,NSE_EQ|INE517B01013
2025-05-06,57.5,57.77,55.5,56.0,1820554.0,NSE_EQ|INE517B01013
2025-05-07,54.88,55.89,54.55,55.61,2206583.0,NSE_EQ|INE517B01013
2025-05-08,55.61,56.84,54.5,54.91,1556758.0,NSE_EQ|INE517B01013
2025-05-09,54.0,54.9,52.0,53.92,2597959.0,NSE_EQ|INE517B01013
2025-05-12,56.0,57.5,55.76,57.3,2388713.0,NSE_EQ|INE517B01013
2025-05-13,57.56,57.8,56.8,57.5,1795137.0,NSE_EQ|INE517B01013
2025-05-14,57.9,59.95,57.32,58.65,4007493.0,NSE_EQ|INE517B01013
2025-05-15,59.1,59.65,58.86,59.31,2156540.0,NSE_EQ|INE517B01013
2025-05-16,59.4,61.3,59.02,60.62,5420147.0,NSE_EQ|INE517B01013
2025-05-19,61.01,61.69,59.88,60.27,3671049.0,NSE_EQ|INE517B01013
2025-05-20,60.38,60.59,58.01,58.23,2788754.0,NSE_EQ|INE517B01013
2025-05-21,58.22,69.87,57.96,69.09,105905634.0,NSE_EQ|INE517B01013
2025-05-22,69.09,79.49,68.8,76.68,272689572.0,NSE_EQ|INE517B01013
2025-05-23,75.75,80.5,73.35,76.72,119145009.0,NSE_EQ|INE517B01013
2025-05-26,76.19,78.5,74.0,74.87,32073876.0,NSE_EQ|INE517B01013
2025-05-27,74.5,76.9,74.28,75.01,24849963.0,NSE_EQ|INE517B01013
2025-05-28,75.1,76.48,74.01,74.36,12579941.0,NSE_EQ|INE517B01013
2025-05-29,75.08,75.26,73.01,74.2,10964204.0,NSE_EQ|INE517B01013
2025-05-30,74.75,75.25,72.22,72.91,8019197.0,NSE_EQ|INE517B01013
2025-06-02,72.01,76.4,71.76,73.51,16061184.0,NSE_EQ|INE517B01013
2025-06-03,73.88,74.19,72.0,72.48,6024238.0,NSE_EQ|INE517B01013
2025-06-04,72.79,73.8,70.8,72.41,9567996.0,NSE_EQ|INE517B01013
2025-06-05,72.8,74.75,71.85,72.33,7633396.0,NSE_EQ|INE517B01013
2025-06-06,71.9,72.42,70.83,71.12,3550113.0,NSE_EQ|INE517B01013
2025-06-09,71.4,72.37,71.08,71.84,3267175.0,NSE_EQ|INE517B01013
2025-06-10,71.86,72.75,71.25,71.49,4308041.0,NSE_EQ|INE517B01013
2025-06-11,72.0,81.12,71.49,75.85,141151495.0,NSE_EQ|INE517B01013
2025-06-12,75.85,79.69,75.52,76.9,50050397.0,NSE_EQ|INE517B01013
2025-06-13,74.55,74.75,69.0,71.6,21143722.0,NSE_EQ|INE517B01013
2025-06-16,72.4,72.45,66.94,71.81,25865331.0,NSE_EQ|INE517B01013
2025-06-17,71.1,72.2,68.4,68.77,1797512.0,NSE_EQ|INE517B01013
2025-06-18,68.77,69.4,65.6,66.52,1841032.0,NSE_EQ|INE517B01013
2025-06-19,66.0,67.89,63.65,63.96,1881724.0,NSE_EQ|INE517B01013
2025-06-20,63.0,65.08,62.0,63.62,1676744.0,NSE_EQ|INE517B01013
2025-06-23,63.3,64.9,62.3,63.53,1437224.0,NSE_EQ|INE517B01013
2025-06-24,64.2,64.9,63.5,63.62,1360574.0,NSE_EQ|INE517B01013
2025-06-25,63.93,66.8,63.93,66.8,1583307.0,NSE_EQ|INE517B01013
2025-06-26,67.91,69.75,66.1,67.3,2446484.0,NSE_EQ|INE517B01013
2025-06-27,68.01,68.49,66.11,67.02,1196096.0,NSE_EQ|INE517B01013
2025-06-30,67.0,67.02,65.0,66.09,1468538.0,NSE_EQ|INE517B01013
2025-07-01,66.5,66.98,65.55,66.09,790841.0,NSE_EQ|INE517B01013
2025-07-02,66.6,66.69,65.42,65.9,898303.0,NSE_EQ|INE517B01013
2025-07-03,65.65,66.46,65.5,66.09,852219.0,NSE_EQ|INE517B01013
2025-07-04,66.15,66.5,65.56,65.79,829878.0,NSE_EQ|INE517B01013
2025-07-07,65.2,66.0,65.02,65.12,647766.0,NSE_EQ|INE517B01013
2025-07-08,65.25,65.5,64.51,65.33,635517.0,NSE_EQ|INE517B01013
2025-07-09,65.33,65.5,64.6,64.72,657110.0,NSE_EQ|INE517B01013
2025-07-10,64.9,65.45,64.5,65.14,533690.0,NSE_EQ|INE517B01013
2025-07-11,64.9,65.0,64.0,64.22,569559.0,NSE_EQ|INE517B01013
2025-07-14,64.4,64.84,63.58,64.51,551719.0,NSE_EQ|INE517B01013
2025-07-15,64.9,65.48,64.02,64.46,573904.0,NSE_EQ|INE517B01013
2025-07-16,64.78,64.88,64.0,64.24,435839.0,NSE_EQ|INE517B01013
2025-07-17,64.3,64.9,64.0,64.05,459134.0,NSE_EQ|INE517B01013
2025-07-18,64.05,64.4,62.4,62.57,1064471.0,NSE_EQ|INE517B01013
2025-07-21,63.35,63.49,62.61,62.78,495161.0,NSE_EQ|INE517B01013
2025-07-22,63.38,63.38,62.55,62.64,419171.0,NSE_EQ|INE517B01013
2025-07-23,63.0,65.55,62.9,63.59,1855121.0,NSE_EQ|INE517B01013
2025-07-24,64.39,64.6,62.9,62.96,610403.0,NSE_EQ|INE517B01013
2025-07-25,62.9,62.96,61.1,61.55,904643.0,NSE_EQ|INE517B01013
2025-07-28,61.98,61.98,60.1,60.42,496560.0,NSE_EQ|INE517B01013
2025-07-29,60.42,61.0,59.6,60.53,513917.0,NSE_EQ|INE517B01013
2025-07-30,60.3,60.98,59.5,59.64,517341.0,NSE_EQ|INE517B01013
2025-07-31,59.35,60.91,57.65,59.15,491862.0,NSE_EQ|INE517B01013
2025-08-01,58.86,60.0,58.3,58.76,509161.0,NSE_EQ|INE517B01013
2025-08-04,58.75,59.4,57.31,58.47,640085.0,NSE_EQ|INE517B01013
2025-08-05,58.46,59.5,57.62,57.81,426418.0,NSE_EQ|INE517B01013
2025-08-06,57.85,58.4,56.25,57.1,396068.0,NSE_EQ|INE517B01013
2025-08-07,57.2,58.0,55.9,57.13,560486.0,NSE_EQ|INE517B01013
2025-08-08,58.1,59.0,57.16,57.56,538375.0,NSE_EQ|INE517B01013
2025-08-11,57.5,58.0,57.3,57.7,455226.0,NSE_EQ|INE517B01013
2025-08-12,57.71,59.99,57.5,59.14,603252.0,NSE_EQ|INE517B01013
2025-08-13,59.14,59.5,58.26,58.82,406747.0,NSE_EQ|INE517B01013
2025-08-14,59.0,59.0,57.4,58.16,398183.0,NSE_EQ|INE517B01013
2025-08-18,58.16,59.2,58.16,58.7,577336.0,NSE_EQ|INE517B01013
2025-08-19,59.0,60.0,58.5,59.2,540873.0,NSE_EQ|INE517B01013
2025-08-20,59.0,60.89,58.5,58.89,763513.0,NSE_EQ|INE517B01013
2025-08-21,59.8,59.95,58.5,58.54,511017.0,NSE_EQ|INE517B01013
2025-08-22,58.45,59.74,57.81,59.04,486478.0,NSE_EQ|INE517B01013
2025-08-25,59.04,59.04,58.0,58.14,401915.0,NSE_EQ|INE517B01013
2025-08-26,58.14,58.59,57.0,57.14,642492.0,NSE_EQ|INE517B01013
2025-08-28,56.15,57.8,56.0,56.22,503472.0,NSE_EQ|INE517B01013
2025-08-29,56.25,57.0,55.94,56.1,437094.0,NSE_EQ|INE517B01013
2025-09-01,56.1,56.64,55.75,55.96,500300.0,NSE_EQ|INE517B01013
2025-09-02,56.4,58.75,56.0,58.75,739861.0,NSE_EQ|INE517B01013
2025-09-03,58.05,58.75,57.65,57.95,717681.0,NSE_EQ|INE517B01013
2025-09-04,58.05,58.3,57.0,57.06,445544.0,NSE_EQ|INE517B01013
2025-09-05,57.35,57.86,56.0,57.49,652339.0,NSE_EQ|INE517B01013
2025-09-08,57.0,58.05,56.6,57.12,415786.0,NSE_EQ|INE517B01013
2025-09-09,57.7,57.95,56.6,56.99,857317.0,NSE_EQ|INE517B01013
2025-09-10,57.06,57.55,57.0,57.08,704953.0,NSE_EQ|INE517B01013
2025-09-11,57.09,58.18,57.0,57.18,887290.0,NSE_EQ|INE517B01013
2025-09-12,57.5,57.8,56.9,57.08,779981.0,NSE_EQ|INE517B01013
2025-09-15,57.25,58.95,57.17,57.74,1126884.0,NSE_EQ|INE517B01013
2025-09-16,57.8,60.62,57.59,58.79,5915412.0,NSE_EQ|INE517B01013
2025-09-17,59.0,59.39,58.16,58.33,1277859.0,NSE_EQ|INE517B01013
2025-09-18,58.59,58.75,57.59,57.8,1338806.0,NSE_EQ|INE517B01013
2025-09-19,57.69,58.82,57.5,57.7,1616635.0,NSE_EQ|INE517B01013
2025-09-22,57.7,58.3,57.1,57.24,924390.0,NSE_EQ|INE517B01013
2025-09-23,57.18,57.19,56.8,56.89,794054.0,NSE_EQ|INE517B01013
2025-09-24,56.95,57.99,56.21,56.52,912646.0,NSE_EQ|INE517B01013
2025-09-25,56.75,56.86,55.75,55.82,695656.0,NSE_EQ|INE517B01013
2025-09-26,55.81,57.5,55.3,55.57,2120915.0,NSE_EQ|INE517B01013
2025-09-29,55.7,56.29,54.8,54.95,782203.0,NSE_EQ|INE517B01013
2025-09-30,55.14,55.51,54.85,55.02,433964.0,NSE_EQ|INE517B01013
2025-10-01,55.04,55.5,54.61,55.14,831656.0,NSE_EQ|INE517B01013
2025-10-03,55.18,57.0,55.12,56.53,858543.0,NSE_EQ|INE517B01013
2025-10-06,57.0,57.98,56.61,57.22,1436314.0,NSE_EQ|INE517B01013
2025-10-07,57.22,60.08,56.3,58.68,5961046.0,NSE_EQ|INE517B01013
2025-10-08,58.8,59.64,57.1,57.48,1916051.0,NSE_EQ|INE517B01013
2025-10-09,57.4,57.47,56.12,56.47,1047523.0,NSE_EQ|INE517B01013
2025-10-10,56.69,59.59,56.41,57.7,3499421.0,NSE_EQ|INE517B01013
2025-10-13,57.2,57.41,56.5,57.12,1030144.0,NSE_EQ|INE517B01013
2025-10-14,57.12,57.15,55.5,55.86,1147103.0,NSE_EQ|INE517B01013
2025-10-15,56.01,56.5,55.88,56.19,543288.0,NSE_EQ|INE517B01013
2025-10-16,56.05,56.85,55.71,56.1,678344.0,NSE_EQ|INE517B01013
2025-10-17,55.85,56.2,55.01,55.47,787254.0,NSE_EQ|INE517B01013
2025-10-20,55.54,55.88,55.0,55.08,1046520.0,NSE_EQ|INE517B01013
2025-10-21,55.08,56.25,55.08,56.01,374464.0,NSE_EQ|INE517B01013
2025-10-23,56.01,56.25,54.6,55.03,1952406.0,NSE_EQ|INE517B01013
2025-10-24,55.15,55.5,54.48,54.75,987520.0,NSE_EQ|INE517B01013
2025-10-27,54.83,56.94,54.5,55.36,3069675.0,NSE_EQ|INE517B01013
2025-10-28,55.79,55.95,55.11,55.22,690189.0,NSE_EQ|INE517B01013
2025-10-29,55.49,55.92,55.01,55.32,892868.0,NSE_EQ|INE517B01013
2025-10-30,55.15,55.32,54.61,54.84,940623.0,NSE_EQ|INE517B01013
2025-10-31,54.84,55.08,54.5,54.58,778131.0,NSE_EQ|INE517B01013
2025-11-03,54.59,58.25,54.53,56.01,3595100.0,NSE_EQ|INE517B01013
2025-11-04,56.58,56.8,55.15,55.5,1237990.0,NSE_EQ|INE517B01013
2025-11-06,55.0,55.38,54.3,54.55,959722.0,NSE_EQ|INE517B01013
