date,open,high,low,close,volume,instrument_key
2025-03-18,113.7,118.17,113.22,117.7,8340695.0,NSE_EQ|INE692A01016
2025-03-19,118.0,120.1,117.72,119.68,8683377.0,NSE_EQ|INE692A01016
2025-03-20,120.0,120.88,118.35,119.19,5536428.0,NSE_EQ|INE692A01016
2025-03-21,119.4,123.0,119.26,122.52,14086531.0,NSE_EQ|INE692A01016
2025-03-24,124.0,127.96,123.52,127.46,13638740.0,NSE_EQ|INE692A01016
2025-03-25,128.35,128.59,122.34,123.36,15698193.0,NSE_EQ|INE692A01016
2025-03-26,123.37,124.5,119.85,120.21,9343771.0,NSE_EQ|INE692A01016
2025-03-27,120.3,125.54,119.66,124.21,53997400.0,NSE_EQ|INE692A01016
2025-03-28,124.59,128.15,124.59,126.18,14157702.0,NSE_EQ|INE692A01016
2025-04-01,124.25,125.84,123.15,124.78,13543667.0,NSE_EQ|INE692A01016
2025-04-02,124.84,127.89,122.29,127.31,12062536.0,NSE_EQ|INE692A01016
2025-04-03,126.16,132.89,126.0,131.29,24054870.0,NSE_EQ|INE692A01016
2025-04-04,131.5,132.72,120.65,122.11,29824780.0,NSE_EQ|INE692A01016
2025-04-07,113.8,119.28,112.52,117.93,13443609.0,NSE_EQ|INE692A01016
2025-04-08,122.49,122.56,117.96,120.84,12048353.0,NSE_EQ|INE692A01016
2025-04-09,120.75,121.44,115.5,116.75,10608142.0,NSE_EQ|INE692A01016
2025-04-11,118.6,120.55,117.35,117.83,9947989.0,NSE_EQ|INE692A01016
2025-04-15,120.12,122.68,119.5,122.4,8748156.0,NSE_EQ|INE692A01016
2025-04-16,122.6,127.65,122.25,127.26,13803591.0,NSE_EQ|INE692A01016
2025-04-17,127.1,127.85,125.15,126.59,8986202.0,NSE_EQ|INE692A01016
2025-04-21,126.59,129.9,126.4,128.64,11910446.0,NSE_EQ|INE692A01016
2025-04-22,130.1,130.8,126.85,127.93,23475105.0,NSE_EQ|INE692A01016
2025-04-23,128.51,129.5,125.1,129.3,22310801.0,NSE_EQ|INE692A01016
2025-04-24,129.29,130.19,127.6,128.52,9411382.0,NSE_EQ|INE692A01016
2025-04-25,128.52,129.45,122.78,124.94,13496266.0,NSE_EQ|INE692A01016
2025-04-28,125.12,129.45,124.56,128.55,8705644.0,NSE_EQ|INE692A01016
2025-04-29,129.75,131.5,127.43,128.37,12465070.0,NSE_EQ|INE692A01016
2025-04-30,128.1,128.1,125.11,125.78,8664857.0,NSE_EQ|INE692A01016
2025-05-02,125.78,127.8,125.1,126.22,5482068.0,NSE_EQ|INE692A01016
2025-05-05,125.05,126.99,125.01,126.21,4539265.0,NSE_EQ|INE692A01016
2025-05-06,126.06,126.24,117.7,118.22,12230597.0,NSE_EQ|INE692A01016
2025-05-07,117.0,122.0,116.85,118.47,12872742.0,NSE_EQ|INE692A01016
2025-05-08,120.0,120.3,114.5,115.58,14324015.0,NSE_EQ|INE692A01016
2025-05-09,115.0,123.48,114.51,122.9,62927788.0,NSE_EQ|INE692A01016
2025-05-12,126.0,128.6,125.9,128.11,19027370.0,NSE_EQ|INE692A01016
2025-05-13,128.11,131.85,127.36,130.77,25555763.0,NSE_EQ|INE692A01016
2025-05-14,131.11,135.16,131.11,134.93,23675242.0,NSE_EQ|INE692A01016
2025-05-15,134.8,134.8,131.78,132.17,14066035.0,NSE_EQ|INE692A01016
2025-05-16,132.9,134.08,132.12,133.02,7500019.0,NSE_EQ|INE692A01016
2025-05-19,134.35,139.3,132.4,136.97,23666872.0,NSE_EQ|INE692A01016
2025-05-20,138.29,140.0,137.53,138.44,27060156.0,NSE_EQ|INE692A01016
2025-05-21,138.3,140.65,137.34,139.46,14748770.0,NSE_EQ|INE692A01016
2025-05-22,137.5,140.5,137.5,139.94,11038050.0,NSE_EQ|INE692A01016
2025-05-23,139.5,141.6,139.5,140.43,13812756.0,NSE_EQ|INE692A01016
2025-05-26,140.5,141.55,139.25,140.41,9018108.0,NSE_EQ|INE692A01016
2025-05-27,140.0,141.3,138.9,141.09,8673950.0,NSE_EQ|INE692A01016
2025-05-28,140.11,143.39,140.11,143.02,11359310.0,NSE_EQ|INE692A01016
2025-05-29,143.9,143.99,140.15,141.11,5582187.0,NSE_EQ|INE692A01016
2025-05-30,141.25,147.9,140.47,146.79,31496993.0,NSE_EQ|INE692A01016
2025-06-02,149.0,154.39,148.0,153.17,36376375.0,NSE_EQ|INE692A01016
2025-06-03,153.5,158.65,151.0,151.64,38496702.0,NSE_EQ|INE692A01016
2025-06-04,152.0,154.12,149.12,153.15,17580356.0,NSE_EQ|INE692A01016
2025-06-05,153.78,154.35,151.38,152.55,8518868.0,NSE_EQ|INE692A01016
2025-06-06,153.7,155.39,149.48,153.28,22446550.0,NSE_EQ|INE692A01016
2025-06-09,153.94,158.07,153.55,155.39,11992732.0,NSE_EQ|INE692A01016
2025-06-10,155.44,155.87,153.0,154.31,7508565.0,NSE_EQ|INE692A01016
2025-06-11,155.0,155.1,151.4,152.82,8389032.0,NSE_EQ|INE692A01016
2025-06-12,153.47,153.5,150.0,150.5,8903203.0,NSE_EQ|INE692A01016
2025-06-13,145.0,148.61,145.0,146.24,8319533.0,NSE_EQ|INE692A01016
2025-06-16,146.24,147.21,143.32,146.97,7916581.0,NSE_EQ|INE692A01016
2025-06-17,147.11,148.42,144.5,144.96,6045765.0,NSE_EQ|INE692A01016
2025-06-18,144.96,145.95,143.33,144.12,6855826.0,NSE_EQ|INE692A01016
2025-06-19,143.2,143.89,138.32,139.68,11149993.0,NSE_EQ|INE692A01016
2025-06-20,139.55,145.3,139.55,143.48,14071542.0,NSE_EQ|INE692A01016
2025-06-23,141.5,144.36,141.5,142.84,5731153.0,NSE_EQ|INE692A01016
2025-06-24,145.0,148.78,144.94,147.09,13483665.0,NSE_EQ|INE692A01016
2025-06-25,146.5,147.3,143.92,144.3,10013520.0,NSE_EQ|INE692A01016
2025-06-26,145.8,148.5,144.26,148.12,10113786.0,NSE_EQ|INE692A01016
2025-06-27,148.5,151.9,147.64,149.06,14926048.0,NSE_EQ|INE692A01016
2025-06-30,149.94,155.0,149.51,153.6,21423582.0,NSE_EQ|INE692A01016
2025-07-01,153.41,155.4,150.65,154.64,16061426.0,NSE_EQ|INE692A01016
2025-07-02,154.64,155.9,152.05,153.39,8256586.0,NSE_EQ|INE692A01016
2025-07-03,153.4,154.4,150.36,151.59,7183438.0,NSE_EQ|INE692A01016
2025-07-04,151.97,153.7,151.36,153.09,9090399.0,NSE_EQ|INE692A01016
2025-07-07,152.53,154.59,151.45,152.17,7350311.0,NSE_EQ|INE692A01016
2025-07-08,151.65,153.43,148.91,150.25,9262309.0,NSE_EQ|INE692A01016
2025-07-09,147.85,147.85,141.54,144.59,30348078.0,NSE_EQ|INE692A01016
2025-07-10,145.0,145.59,143.28,143.86,7844092.0,NSE_EQ|INE692A01016
2025-07-11,143.86,145.86,142.9,143.74,9203997.0,NSE_EQ|INE692A01016
2025-07-14,143.82,147.43,143.82,147.01,16965783.0,NSE_EQ|INE692A01016
2025-07-15,147.01,147.98,145.72,146.23,9051503.0,NSE_EQ|INE692A01016
2025-07-16,146.95,149.6,146.12,148.34,13996500.0,NSE_EQ|INE692A01016
2025-07-17,148.7,148.89,144.85,146.31,15581196.0,NSE_EQ|INE692A01016
2025-07-18,146.8,148.6,145.32,146.46,12337028.0,NSE_EQ|INE692A01016
2025-07-21,145.5,145.73,141.0,142.64,21670211.0,NSE_EQ|INE692A01016
2025-07-22,144.45,145.45,142.6,142.93,12875505.0,NSE_EQ|INE692A01016
2025-07-23,143.65,144.1,141.6,143.38,10270092.0,NSE_EQ|INE692A01016
2025-07-24,144.75,145.45,142.63,144.97,12270864.0,NSE_EQ|INE692A01016
2025-07-25,139.8,141.85,135.95,136.22,15840295.0,NSE_EQ|INE692A01016
2025-07-28,136.0,137.05,133.1,133.44,13546810.0,NSE_EQ|INE692A01016
2025-07-29,132.34,133.69,130.93,132.73,15736006.0,NSE_EQ|INE692A01016
2025-07-30,132.82,133.89,130.55,130.76,10561917.0,NSE_EQ|INE692A01016
2025-07-31,129.0,132.6,128.0,130.96,13135375.0,NSE_EQ|INE692A01016
2025-08-01,130.96,131.45,127.8,128.1,9784214.0,NSE_EQ|INE692A01016
2025-08-04,128.62,129.43,127.14,129.04,12083279.0,NSE_EQ|INE692A01016
2025-08-05,128.9,129.87,127.18,127.98,14449850.0,NSE_EQ|INE692A01016
2025-08-06,128.15,131.63,127.81,131.02,11985730.0,NSE_EQ|INE692A01016
2025-08-07,130.0,132.8,129.64,132.45,12184697.0,NSE_EQ|INE692A01016
2025-08-08,132.0,132.55,130.5,130.98,6249295.0,NSE_EQ|INE692A01016
2025-08-11,131.0,134.96,130.98,134.78,10231895.0,NSE_EQ|INE692A01016
2025-08-12,135.45,137.0,134.96,135.54,8579446.0,NSE_EQ|INE692A01016
2025-08-13,136.0,136.94,134.81,135.69,6376913.0,NSE_EQ|INE692A01016
2025-08-14,136.0,136.48,134.12,134.84,5981897.0,NSE_EQ|INE692A01016
2025-08-18,136.86,137.63,134.9,135.79,10435748.0,NSE_EQ|INE692A01016
2025-08-19,135.8,137.75,133.71,137.53,8218045.0,NSE_EQ|INE692A01016
2025-08-20,137.02,138.29,136.41,136.91,7029534.0,NSE_EQ|INE692A01016
2025-08-21,137.0,138.55,136.3,136.53,6917659.0,NSE_EQ|INE692A01016
2025-08-22,136.58,138.22,134.6,134.76,7284576.0,NSE_EQ|INE692A01016
2025-08-25,134.77,136.0,132.83,133.04,6493537.0,NSE_EQ|INE692A01016
2025-08-26,133.0,133.0,128.94,129.67,13481767.0,NSE_EQ|INE692A01016
2025-08-28,129.58,129.58,126.8,127.08,7294298.0,NSE_EQ|INE692A01016
2025-08-29,127.45,128.2,124.64,124.82,13165024.0,NSE_EQ|INE692A01016
2025-09-01,125.5,128.4,125.5,128.16,5838935.0,NSE_EQ|INE692A01016
2025-09-02,128.51,129.41,127.23,127.66,4004275.0,NSE_EQ|INE692A01016
2025-09-03,128.0,128.9,127.58,128.46,6926587.0,NSE_EQ|INE692A01016
2025-09-04,129.75,130.59,126.63,126.83,7510587.0,NSE_EQ|INE692A01016
2025-09-05,126.98,128.16,125.45,127.34,8063176.0,NSE_EQ|INE692A01016
2025-09-08,127.74,129.05,127.1,128.05,2609891.0,NSE_EQ|INE692A01016
2025-09-09,128.09,128.49,126.61,127.24,6435657.0,NSE_EQ|INE692A01016
2025-09-10,127.9,132.9,127.87,132.51,17944307.0,NSE_EQ|INE692A01016
2025-09-11,132.95,136.48,132.55,133.72,10910360.0,NSE_EQ|INE692A01016
2025-09-12,134.3,134.3,132.82,133.88,5580149.0,NSE_EQ|INE692A01016
2025-09-15,133.88,135.11,132.5,134.64,8200837.0,NSE_EQ|INE692A01016
2025-09-16,134.95,135.07,133.0,134.29,6948055.0,NSE_EQ|INE692A01016
