date,open,high,low,close,volume,instrument_key
2025-03-18,630.0,636.75,623.15,635.2,2132031.0,NSE_EQ|INE628A01036
2025-03-19,641.0,648.0,636.9,646.3,1533871.0,NSE_EQ|INE628A01036
2025-03-20,648.95,651.45,644.1,646.85,1272076.0,NSE_EQ|INE628A01036
2025-03-21,649.0,671.3,645.65,658.85,5231169.0,NSE_EQ|INE628A01036
2025-03-24,667.95,668.8,657.4,658.45,1878198.0,NSE_EQ|INE628A01036
2025-03-25,663.9,663.9,648.1,653.0,988124.0,NSE_EQ|INE628A01036
2025-03-26,652.0,656.85,644.0,652.4,1570129.0,NSE_EQ|INE628A01036
2025-03-27,650.0,663.75,649.95,656.4,3398420.0,NSE_EQ|INE628A01036
2025-03-28,656.65,660.4,624.0,636.25,4421109.0,NSE_EQ|INE628A01036
2025-04-01,621.3,641.8,621.3,634.75,1451347.0,NSE_EQ|INE628A01036
2025-04-02,631.9,656.1,630.85,654.45,1932828.0,NSE_EQ|INE628A01036
2025-04-03,642.8,653.7,636.05,651.25,2635192.0,NSE_EQ|INE628A01036
2025-04-04,649.5,655.4,631.15,637.7,2529542.0,NSE_EQ|INE628A01036
2025-04-07,595.0,624.1,588.85,614.45,2010970.0,NSE_EQ|INE628A01036
2025-04-08,619.0,628.1,610.1,614.5,1696619.0,NSE_EQ|INE628A01036
2025-04-09,614.0,615.8,601.2,614.25,1911793.0,NSE_EQ|INE628A01036
2025-04-11,622.0,645.55,620.1,638.85,2007695.0,NSE_EQ|INE628A01036
2025-04-15,649.0,661.9,638.85,658.0,2242497.0,NSE_EQ|INE628A01036
2025-04-16,660.0,665.4,654.55,659.65,2228299.0,NSE_EQ|INE628A01036
2025-04-17,659.65,664.95,650.75,656.2,1595004.0,NSE_EQ|INE628A01036
2025-04-21,656.25,672.9,653.7,671.15,3468794.0,NSE_EQ|INE628A01036
2025-04-22,673.45,681.15,666.1,672.7,3727936.0,NSE_EQ|INE628A01036
2025-04-23,672.0,682.0,662.05,679.9,2856974.0,NSE_EQ|INE628A01036
2025-04-24,679.55,687.0,675.45,684.2,2692652.0,NSE_EQ|INE628A01036
2025-04-25,683.75,692.2,656.55,661.85,3157081.0,NSE_EQ|INE628A01036
2025-04-28,662.0,679.4,661.35,678.3,1423133.0,NSE_EQ|INE628A01036
2025-04-29,680.0,686.9,666.7,669.6,1676069.0,NSE_EQ|INE628A01036
