date,open,high,low,close,volume,instrument_key
2025-03-18,364.45,381.0,364.45,379.65,155194.0,NSE_EQ|INE825A01020
2025-03-19,385.0,390.0,382.8,386.8,153254.0,NSE_EQ|INE825A01020
2025-03-20,391.0,399.6,387.5,396.05,331974.0,NSE_EQ|INE825A01020
2025-03-21,394.9,402.25,392.55,396.05,149072.0,NSE_EQ|INE825A01020
2025-03-24,401.95,403.9,397.5,399.85,203406.0,NSE_EQ|INE825A01020
2025-03-25,400.0,405.7,394.0,402.2,176699.0,NSE_EQ|INE825A01020
2025-03-26,402.0,407.45,398.0,403.8,182755.0,NSE_EQ|INE825A01020
2025-03-27,400.1,407.9,392.5,394.75,209883.0,NSE_EQ|INE825A01020
2025-03-28,394.8,400.0,387.05,395.15,255639.0,NSE_EQ|INE825A01020
2025-04-01,393.0,401.2,389.1,398.25,155300.0,NSE_EQ|INE825A01020
2025-04-02,401.0,407.9,391.55,402.0,92649.0,NSE_EQ|INE825A01020
2025-04-03,398.0,482.4,396.55,476.0,14617675.0,NSE_EQ|INE825A01020
2025-04-04,476.15,481.0,443.0,470.75,5092512.0,NSE_EQ|INE825A01020
2025-04-07,430.05,462.85,429.0,453.35,1296043.0,NSE_EQ|INE825A01020
2025-04-08,462.45,473.65,441.25,445.6,732805.0,NSE_EQ|INE825A01020
2025-04-09,445.1,454.3,434.0,436.55,443798.0,NSE_EQ|INE825A01020
2025-04-11,460.0,468.75,439.75,461.1,541362.0,NSE_EQ|INE825A01020
2025-04-15,465.0,487.45,461.5,485.35,478771.0,NSE_EQ|INE825A01020
2025-04-16,484.4,504.5,475.55,496.4,727517.0,NSE_EQ|INE825A01020
2025-04-17,496.0,504.05,489.8,502.65,343261.0,NSE_EQ|INE825A01020
2025-04-21,509.6,509.6,494.05,497.75,347121.0,NSE_EQ|INE825A01020
2025-04-22,495.0,502.0,484.9,488.85,214295.0,NSE_EQ|INE825A01020
2025-04-23,493.8,501.4,484.15,497.65,249514.0,NSE_EQ|INE825A01020
2025-04-24,493.0,499.1,485.85,487.4,129810.0,NSE_EQ|INE825A01020
2025-04-25,489.0,492.15,461.25,464.7,340756.0,NSE_EQ|INE825A01020
2025-04-28,458.0,470.0,458.0,466.5,130762.0,NSE_EQ|INE825A01020
2025-04-29,468.95,472.2,464.0,464.7,90859.0,NSE_EQ|INE825A01020
2025-04-30,463.0,469.2,450.3,454.2,165021.0,NSE_EQ|INE825A01020
2025-05-02,448.2,466.85,447.35,464.9,144387.0,NSE_EQ|INE825A01020
2025-05-05,469.0,469.0,456.85,464.35,168767.0,NSE_EQ|INE825A01020
2025-05-06,461.1,468.8,450.0,451.45,145547.0,NSE_EQ|INE825A01020
2025-05-07,459.95,488.0,454.8,472.8,2210458.0,NSE_EQ|INE825A01020
2025-05-08,479.95,491.1,466.9,472.75,579285.0,NSE_EQ|INE825A01020
2025-05-09,458.05,487.0,458.05,481.05,452538.0,NSE_EQ|INE825A01020
2025-05-12,493.0,495.45,481.0,481.9,262247.0,NSE_EQ|INE825A01020
2025-05-13,481.85,485.75,473.0,476.55,186300.0,NSE_EQ|INE825A01020
2025-05-14,479.9,484.9,472.6,476.55,153695.0,NSE_EQ|INE825A01020
2025-05-15,480.5,486.0,477.25,482.0,173148.0,NSE_EQ|INE825A01020
2025-05-16,481.0,503.0,481.0,499.8,581567.0,NSE_EQ|INE825A01020
2025-05-19,506.0,530.0,504.05,515.5,1289496.0,NSE_EQ|INE825A01020
2025-05-20,519.9,523.75,508.45,511.9,339770.0,NSE_EQ|INE825A01020
2025-05-21,512.0,517.8,504.05,512.95,197127.0,NSE_EQ|INE825A01020
2025-05-22,512.45,517.0,495.0,505.1,163411.0,NSE_EQ|INE825A01020
2025-05-23,505.0,515.0,494.2,502.0,152488.0,NSE_EQ|INE825A01020
2025-05-26,501.55,504.85,494.0,494.65,152161.0,NSE_EQ|INE825A01020
2025-05-27,498.45,498.45,487.1,488.85,137242.0,NSE_EQ|INE825A01020
2025-05-28,487.0,501.0,487.0,498.75,135144.0,NSE_EQ|INE825A01020
2025-05-29,504.8,504.8,495.45,499.6,132677.0,NSE_EQ|INE825A01020
2025-05-30,506.0,510.95,490.0,491.75,215262.0,NSE_EQ|INE825A01020
2025-06-02,491.0,497.0,489.15,493.2,73577.0,NSE_EQ|INE825A01020
2025-06-03,491.05,497.3,483.35,490.95,128387.0,NSE_EQ|INE825A01020
2025-06-04,492.4,494.65,486.15,489.0,80058.0,NSE_EQ|INE825A01020
2025-06-05,489.0,492.0,483.3,488.05,54129.0,NSE_EQ|INE825A01020
2025-06-06,488.05,488.8,482.7,485.4,62417.0,NSE_EQ|INE825A01020
2025-06-09,485.4,490.0,483.05,486.8,69947.0,NSE_EQ|INE825A01020
2025-06-10,489.5,499.0,487.1,489.45,138677.0,NSE_EQ|INE825A01020
2025-06-11,490.2,498.75,482.85,492.2,140315.0,NSE_EQ|INE825A01020
2025-06-12,494.1,497.3,487.2,490.55,90603.0,NSE_EQ|INE825A01020
2025-06-13,480.1,486.3,476.0,482.15,72172.0,NSE_EQ|INE825A01020
2025-06-16,482.15,483.15,471.0,472.7,84408.0,NSE_EQ|INE825A01020
2025-06-17,472.7,484.7,472.7,477.55,99633.0,NSE_EQ|INE825A01020
2025-06-18,477.9,478.1,465.0,468.15,56274.0,NSE_EQ|INE825A01020
2025-06-19,464.6,469.05,453.3,455.25,77157.0,NSE_EQ|INE825A01020
2025-06-20,455.0,462.8,452.9,457.95,164509.0,NSE_EQ|INE825A01020
2025-06-23,458.0,470.15,454.4,467.9,104662.0,NSE_EQ|INE825A01020
2025-06-24,472.9,482.0,465.55,478.3,196893.0,NSE_EQ|INE825A01020
2025-06-25,479.0,495.0,478.7,488.0,223393.0,NSE_EQ|INE825A01020
2025-06-26,492.5,492.5,482.35,486.0,82071.0,NSE_EQ|INE825A01020
2025-06-27,486.3,495.0,486.1,493.05,584822.0,NSE_EQ|INE825A01020
2025-06-30,494.0,501.0,492.75,500.55,199154.0,NSE_EQ|INE825A01020
2025-07-01,504.95,506.2,497.0,502.85,128586.0,NSE_EQ|INE825A01020
2025-07-02,502.85,503.5,494.2,497.9,94220.0,NSE_EQ|INE825A01020
2025-07-03,497.65,509.3,493.0,498.9,146350.0,NSE_EQ|INE825A01020
2025-07-04,498.9,503.75,495.05,500.35,96670.0,NSE_EQ|INE825A01020
2025-07-07,500.35,506.6,493.15,498.7,100915.0,NSE_EQ|INE825A01020
2025-07-08,508.0,539.9,491.25,500.75,9910800.0,NSE_EQ|INE825A01020
2025-07-09,500.3,507.0,485.45,503.8,832812.0,NSE_EQ|INE825A01020
2025-07-10,503.8,514.8,501.55,508.1,589255.0,NSE_EQ|INE825A01020
2025-07-11,507.0,509.95,495.35,497.6,184769.0,NSE_EQ|INE825A01020
2025-07-14,497.6,497.6,488.0,491.55,143800.0,NSE_EQ|INE825A01020
2025-07-15,491.55,504.7,490.5,501.15,176642.0,NSE_EQ|INE825A01020
2025-07-16,503.95,505.85,499.0,500.1,111271.0,NSE_EQ|INE825A01020
