date,open,high,low,close,volume,instrument_key
2025-03-18,2150.0,2186.75,2131.9,2178.8,648856.0,NSE_EQ|INE377N01017
2025-03-19,2192.9,2268.4,2184.0,2255.2,828453.0,NSE_EQ|INE377N01017
2025-03-20,2271.9,2303.65,2222.3,2253.4,754449.0,NSE_EQ|INE377N01017
2025-03-21,2254.55,2374.0,2233.0,2352.9,1349324.0,NSE_EQ|INE377N01017
2025-03-24,2395.0,2449.7,2382.65,2431.35,1068155.0,NSE_EQ|INE377N01017
2025-03-25,2450.55,2508.0,2392.6,2440.95,1444601.0,NSE_EQ|INE377N01017
2025-03-26,2454.75,2464.6,2392.5,2427.1,784170.0,NSE_EQ|INE377N01017
2025-03-27,2417.9,2450.0,2371.0,2435.85,1100047.0,NSE_EQ|INE377N01017
2025-03-28,2453.75,2469.0,2383.05,2404.65,849165.0,NSE_EQ|INE377N01017
2025-04-01,2380.0,2421.0,2368.05,2379.85,411853.0,NSE_EQ|INE377N01017
2025-04-02,2343.75,2343.75,2268.55,2280.2,1020321.0,NSE_EQ|INE377N01017
2025-04-03,2239.85,2264.3,2205.05,2233.05,1239194.0,NSE_EQ|INE377N01017
2025-04-04,2232.95,2232.95,2131.2,2160.95,942611.0,NSE_EQ|INE377N01017
2025-04-07,1869.95,2137.7,1863.0,2092.15,1530620.0,NSE_EQ|INE377N01017
2025-04-08,2151.2,2178.0,2100.2,2114.8,658407.0,NSE_EQ|INE377N01017
2025-04-09,2114.0,2161.85,2072.2,2149.4,633205.0,NSE_EQ|INE377N01017
2025-04-11,2240.0,2240.0,2150.0,2161.45,666422.0,NSE_EQ|INE377N01017
2025-04-15,2200.0,2223.9,2176.2,2218.5,617429.0,NSE_EQ|INE377N01017
2025-04-16,2218.0,2261.2,2200.6,2229.6,675975.0,NSE_EQ|INE377N01017
2025-04-17,2279.0,2377.1,2275.0,2323.0,2672712.0,NSE_EQ|INE377N01017
2025-04-21,2350.0,2466.0,2345.1,2444.2,2146286.0,NSE_EQ|INE377N01017
2025-04-22,2520.0,2649.0,2508.0,2615.9,6040348.0,NSE_EQ|INE377N01017
2025-04-23,2820.0,3116.3,2740.8,3007.7,21378307.0,NSE_EQ|INE377N01017
2025-04-24,2920.0,2956.0,2821.5,2839.9,6266062.0,NSE_EQ|INE377N01017
2025-04-25,2625.0,2775.0,2590.2,2676.5,9185483.0,NSE_EQ|INE377N01017
2025-04-28,2650.0,2746.9,2626.0,2700.2,2944259.0,NSE_EQ|INE377N01017
2025-04-29,2720.1,2762.3,2650.0,2669.0,1486006.0,NSE_EQ|INE377N01017
2025-04-30,2675.0,2698.2,2582.0,2604.5,1305607.0,NSE_EQ|INE377N01017
2025-05-02,2609.9,2640.0,2550.0,2565.5,809028.0,NSE_EQ|INE377N01017
2025-05-05,2591.0,2731.2,2569.3,2705.8,1959758.0,NSE_EQ|INE377N01017
2025-05-06,2723.9,2733.9,2567.5,2582.8,1442353.0,NSE_EQ|INE377N01017
2025-05-07,2556.2,2642.0,2530.3,2628.9,1474922.0,NSE_EQ|INE377N01017
2025-05-08,2623.9,2730.1,2580.1,2610.4,1819186.0,NSE_EQ|INE377N01017
2025-05-09,2541.0,2610.0,2540.3,2594.0,1101698.0,NSE_EQ|INE377N01017
2025-05-12,2700.0,2708.0,2661.0,2678.7,1317686.0,NSE_EQ|INE377N01017
2025-05-13,2688.1,2717.0,2665.2,2690.1,1201119.0,NSE_EQ|INE377N01017
2025-05-14,2711.0,2871.2,2706.9,2807.7,4139204.0,NSE_EQ|INE377N01017
2025-05-15,2818.0,2900.0,2766.6,2867.3,1817456.0,NSE_EQ|INE377N01017
2025-05-16,2900.0,2994.0,2890.1,2921.1,2472658.0,NSE_EQ|INE377N01017
2025-05-19,2940.4,3021.0,2850.0,2948.4,2722067.0,NSE_EQ|INE377N01017
2025-05-20,2981.0,3036.8,2885.0,2915.8,2293688.0,NSE_EQ|INE377N01017
2025-05-21,2914.0,2995.0,2866.3,2982.4,1242183.0,NSE_EQ|INE377N01017
2025-05-22,2977.8,3080.0,2960.0,2996.9,2290347.0,NSE_EQ|INE377N01017
2025-05-23,2875.0,2914.7,2664.0,2765.0,8918057.0,NSE_EQ|INE377N01017
2025-05-26,2775.0,2830.0,2745.8,2804.4,1493724.0,NSE_EQ|INE377N01017
2025-05-27,2812.9,2824.0,2775.3,2796.7,728967.0,NSE_EQ|INE377N01017
2025-05-28,2809.6,2835.0,2790.0,2797.1,710221.0,NSE_EQ|INE377N01017
2025-05-29,2817.0,3042.0,2804.3,3017.1,6599591.0,NSE_EQ|INE377N01017
2025-05-30,3029.9,3068.0,2952.2,2978.9,2495684.0,NSE_EQ|INE377N01017
2025-06-02,2984.9,2984.9,2912.0,2920.5,1039977.0,NSE_EQ|INE377N01017
2025-06-03,2931.0,2955.4,2878.9,2887.1,1242942.0,NSE_EQ|INE377N01017
2025-06-04,2895.5,2940.0,2865.3,2880.9,1046817.0,NSE_EQ|INE377N01017
2025-06-05,2889.7,2988.0,2836.2,2852.4,2059393.0,NSE_EQ|INE377N01017
2025-06-06,2873.3,2884.0,2812.4,2828.3,1045219.0,NSE_EQ|INE377N01017
2025-06-09,2843.5,2859.0,2791.0,2806.3,786534.0,NSE_EQ|INE377N01017
2025-06-10,2820.0,2885.0,2805.9,2837.9,1213522.0,NSE_EQ|INE377N01017
2025-06-11,2850.0,2956.8,2849.9,2884.0,2493358.0,NSE_EQ|INE377N01017
2025-06-12,2892.0,2923.8,2831.0,2839.8,1261487.0,NSE_EQ|INE377N01017
2025-06-13,2742.3,2839.9,2742.3,2824.7,935940.0,NSE_EQ|INE377N01017
2025-06-16,2829.9,2895.0,2757.3,2887.6,1093063.0,NSE_EQ|INE377N01017
2025-06-17,2889.1,2893.0,2781.2,2790.4,918393.0,NSE_EQ|INE377N01017
2025-06-18,2770.0,2781.6,2691.0,2698.8,1938858.0,NSE_EQ|INE377N01017
2025-06-19,2702.0,2764.0,2641.0,2671.2,1185215.0,NSE_EQ|INE377N01017
2025-06-20,2675.0,3025.3,2675.0,2989.0,13607575.0,NSE_EQ|INE377N01017
2025-06-23,2962.0,3008.0,2917.0,2928.6,2612392.0,NSE_EQ|INE377N01017
2025-06-24,2978.0,3048.0,2901.0,2971.2,3550433.0,NSE_EQ|INE377N01017
2025-06-25,3000.0,3095.0,2933.0,2942.1,4649713.0,NSE_EQ|INE377N01017
2025-06-26,2961.0,2968.4,2917.4,2946.8,1132088.0,NSE_EQ|INE377N01017
2025-06-27,2962.0,3010.6,2931.0,2947.5,1260205.0,NSE_EQ|INE377N01017
2025-06-30,2985.0,3154.0,2972.1,3139.4,9101072.0,NSE_EQ|INE377N01017
2025-07-01,3178.0,3197.0,3042.0,3063.1,3821264.0,NSE_EQ|INE377N01017
2025-07-02,3073.9,3107.9,2955.0,2965.7,2528018.0,NSE_EQ|INE377N01017
2025-07-03,2980.0,3015.0,2931.2,2992.9,1739049.0,NSE_EQ|INE377N01017
2025-07-04,2994.4,3021.0,2963.1,2978.1,939413.0,NSE_EQ|INE377N01017
2025-07-07,2978.0,3005.0,2905.0,2917.0,1284088.0,NSE_EQ|INE377N01017
2025-07-08,2920.0,3083.0,2917.0,3068.6,4077881.0,NSE_EQ|INE377N01017
2025-07-09,3057.0,3159.1,3046.0,3119.5,4125224.0,NSE_EQ|INE377N01017
2025-07-10,3130.0,3181.0,3125.0,3170.6,2486098.0,NSE_EQ|INE377N01017
2025-07-11,3175.6,3192.0,3070.1,3112.1,1504507.0,NSE_EQ|INE377N01017
2025-07-14,3114.8,3234.0,3078.5,3197.0,2412818.0,NSE_EQ|INE377N01017
2025-07-15,3200.0,3280.0,3190.9,3221.3,1901572.0,NSE_EQ|INE377N01017
2025-07-16,3224.0,3342.0,3207.3,3290.5,3272552.0,NSE_EQ|INE377N01017
2025-07-17,3289.0,3302.1,3198.1,3206.0,1582220.0,NSE_EQ|INE377N01017
2025-07-18,3206.0,3272.5,3107.1,3122.0,1743338.0,NSE_EQ|INE377N01017
2025-07-21,3159.0,3198.4,3054.8,3086.1,1712613.0,NSE_EQ|INE377N01017
2025-07-22,3096.2,3139.9,3086.1,3100.9,864520.0,NSE_EQ|INE377N01017
2025-07-23,3113.0,3196.9,3071.0,3188.9,1636851.0,NSE_EQ|INE377N01017
2025-07-24,3192.0,3266.3,3166.2,3242.5,1798963.0,NSE_EQ|INE377N01017
2025-07-25,3242.9,3285.0,3171.1,3198.2,1609208.0,NSE_EQ|INE377N01017
2025-07-28,3250.0,3250.8,3075.0,3111.8,1589412.0,NSE_EQ|INE377N01017
2025-07-29,3188.0,3291.0,3158.0,3172.6,9416768.0,NSE_EQ|INE377N01017
2025-07-30,3184.0,3242.4,3122.2,3143.5,2622145.0,NSE_EQ|INE377N01017
2025-07-31,3050.0,3099.8,2955.0,2992.4,3821179.0,NSE_EQ|INE377N01017
2025-08-01,3024.9,3163.9,3010.0,3104.0,3436467.0,NSE_EQ|INE377N01017
2025-08-04,3119.5,3138.0,3069.3,3088.6,1128593.0,NSE_EQ|INE377N01017
2025-08-05,3092.0,3136.8,3036.1,3056.1,1422446.0,NSE_EQ|INE377N01017
2025-08-06,3060.9,3247.3,3059.2,3218.4,5284056.0,NSE_EQ|INE377N01017
2025-08-07,3180.0,3206.7,3102.1,3162.9,2460163.0,NSE_EQ|INE377N01017
2025-08-08,3180.0,3190.0,3052.1,3061.0,1810562.0,NSE_EQ|INE377N01017
2025-08-11,3078.0,3126.0,3055.0,3112.1,1111429.0,NSE_EQ|INE377N01017
2025-08-12,3117.7,3190.9,3075.0,3084.8,1435395.0,NSE_EQ|INE377N01017
2025-08-13,3055.0,3065.6,2922.0,2941.9,3334479.0,NSE_EQ|INE377N01017
2025-08-14,2940.0,2964.0,2830.5,2882.8,2869701.0,NSE_EQ|INE377N01017
2025-08-18,2949.0,2995.5,2936.0,2984.9,1305932.0,NSE_EQ|INE377N01017
2025-08-19,3000.0,3085.0,3000.0,3037.5,2222232.0,NSE_EQ|INE377N01017
2025-08-20,3044.9,3168.0,3025.1,3151.5,1965520.0,NSE_EQ|INE377N01017
2025-08-21,3165.0,3299.0,3137.3,3223.4,3938312.0,NSE_EQ|INE377N01017
2025-08-22,3223.4,3237.4,3171.0,3188.6,1615030.0,NSE_EQ|INE377N01017
2025-08-25,3190.0,3194.6,3083.0,3151.1,2019481.0,NSE_EQ|INE377N01017
2025-08-26,3149.0,3329.8,3115.0,3265.3,14456797.0,NSE_EQ|INE377N01017
2025-08-28,3298.0,3447.7,3275.0,3417.3,7117799.0,NSE_EQ|INE377N01017
2025-08-29,3415.4,3496.8,3352.0,3402.0,4507176.0,NSE_EQ|INE377N01017
2025-09-01,3447.9,3447.9,3190.0,3200.5,3250018.0,NSE_EQ|INE377N01017
2025-09-02,3228.0,3269.4,3162.0,3199.1,2848237.0,NSE_EQ|INE377N01017
2025-09-03,3234.0,3248.4,3175.0,3224.0,1397892.0,NSE_EQ|INE377N01017
2025-09-04,3254.0,3265.0,3186.1,3201.1,1066022.0,NSE_EQ|INE377N01017
2025-09-05,3205.0,3239.0,3178.0,3219.5,665686.0,NSE_EQ|INE377N01017
2025-09-08,3228.0,3248.0,3171.0,3177.5,589478.0,NSE_EQ|INE377N01017
2025-09-09,3189.9,3265.0,3151.2,3259.1,1432163.0,NSE_EQ|INE377N01017
2025-09-10,3270.0,3503.5,3267.4,3477.8,5691315.0,NSE_EQ|INE377N01017
2025-09-11,3470.0,3777.0,3439.0,3739.8,12920562.0,NSE_EQ|INE377N01017
2025-09-12,3765.9,3865.0,3612.8,3634.2,6599893.0,NSE_EQ|INE377N01017
2025-09-15,3640.0,3728.0,3555.5,3581.1,3501031.0,NSE_EQ|INE377N01017
2025-09-16,3601.0,3625.0,3535.0,3579.0,2102638.0,NSE_EQ|INE377N01017
2025-09-17,3585.0,3618.9,3565.0,3603.9,1297506.0,NSE_EQ|INE377N01017
2025-09-18,3614.0,3645.0,3490.0,3500.4,2111552.0,NSE_EQ|INE377N01017
2025-09-19,3510.0,3544.9,3470.2,3526.3,1839809.0,NSE_EQ|INE377N01017
2025-09-22,3400.4,3508.0,3400.4,3454.4,1344861.0,NSE_EQ|INE377N01017
2025-09-23,3464.0,3520.0,3420.0,3435.1,1068121.0,NSE_EQ|INE377N01017
2025-09-24,3440.6,3579.0,3440.0,3489.9,3044929.0,NSE_EQ|INE377N01017
2025-09-25,3506.0,3509.6,3436.1,3445.1,938724.0,NSE_EQ|INE377N01017
2025-09-26,3375.0,3385.0,3182.0,3207.6,3603777.0,NSE_EQ|INE377N01017
2025-09-29,3225.0,3303.0,3142.7,3280.8,2635871.0,NSE_EQ|INE377N01017
2025-09-30,3259.0,3348.0,3195.0,3328.4,1674938.0,NSE_EQ|INE377N01017
2025-10-01,3344.0,3360.0,3298.0,3332.0,1166380.0,NSE_EQ|INE377N01017
2025-10-03,3364.0,3469.0,3359.0,3438.9,1685307.0,NSE_EQ|INE377N01017
2025-10-06,3440.0,3464.0,3402.0,3441.5,652906.0,NSE_EQ|INE377N01017
2025-10-07,3441.5,3451.5,3370.0,3402.8,563252.0,NSE_EQ|INE377N01017
2025-10-08,3400.0,3400.0,3313.0,3323.4,795141.0,NSE_EQ|INE377N01017
2025-10-09,3328.0,3356.4,3270.0,3344.7,861391.0,NSE_EQ|INE377N01017
2025-10-10,3350.0,3386.4,3318.0,3333.4,645784.0,NSE_EQ|INE377N01017
2025-10-13,3339.9,3426.3,3335.1,3404.6,1884188.0,NSE_EQ|INE377N01017
2025-10-14,3475.6,3572.8,3470.0,3484.5,2488309.0,NSE_EQ|INE377N01017
2025-10-15,3510.0,3609.0,3455.5,3518.4,3222210.0,NSE_EQ|INE377N01017
2025-10-16,3587.0,3639.0,3526.0,3627.4,2971557.0,NSE_EQ|INE377N01017
2025-10-17,3650.0,3718.8,3520.1,3535.3,5353015.0,NSE_EQ|INE377N01017
2025-10-20,3575.0,3583.4,3490.0,3506.6,998508.0,NSE_EQ|INE377N01017
2025-10-21,3516.0,3531.0,3505.0,3514.3,219764.0,NSE_EQ|INE377N01017
2025-10-23,3545.0,3623.0,3522.0,3567.5,1952927.0,NSE_EQ|INE377N01017
2025-10-24,3569.0,3610.0,3510.1,3529.5,937528.0,NSE_EQ|INE377N01017
2025-10-27,3550.0,3643.0,3537.0,3585.5,2405079.0,NSE_EQ|INE377N01017
2025-10-28,3589.8,3590.0,3480.0,3486.4,1236650.0,NSE_EQ|INE377N01017
2025-10-29,3489.9,3495.9,3441.1,3477.6,771254.0,NSE_EQ|INE377N01017
2025-10-30,3474.0,3515.0,3426.0,3432.2,733700.0,NSE_EQ|INE377N01017
2025-10-31,3440.0,3470.0,3418.2,3427.4,589179.0,NSE_EQ|INE377N01017
2025-11-03,3423.0,3475.1,3412.3,3430.0,531894.0,NSE_EQ|INE377N01017
2025-11-04,3421.0,3428.9,3363.1,3369.6,569192.0,NSE_EQ|INE377N01017
2025-11-06,3375.0,3412.8,3336.6,3369.0,715761.0,NSE_EQ|INE377N01017
2025-11-07,3350.0,3362.6,3261.9,3276.2,993437.0,NSE_EQ|INE377N01017
2025-11-10,3295.0,3360.0,3292.6,3315.1,794600.0,NSE_EQ|INE377N01017
2025-11-11,3322.0,3335.0,3285.0,3318.6,481411.0,NSE_EQ|INE377N01017
2025-11-12,3341.0,3387.0,3340.0,3357.1,687241.0,NSE_EQ|INE377N01017
