date,open,high,low,close,volume,instrument_key
2025-03-18,813.5,820.9,805.0,809.25,521456.0,NSE_EQ|INE191B01025
2025-03-19,816.25,837.2,807.7,809.8,1035900.0,NSE_EQ|INE191B01025
2025-03-20,814.4,888.9,808.25,872.1,4741228.0,NSE_EQ|INE191B01025
2025-03-21,875.55,892.9,873.8,879.4,1649729.0,NSE_EQ|INE191B01025
2025-03-24,884.95,900.0,863.25,868.2,858711.0,NSE_EQ|INE191B01025
2025-03-25,872.85,873.4,825.5,829.2,926768.0,NSE_EQ|INE191B01025
2025-03-26,828.1,848.25,812.2,826.9,628242.0,NSE_EQ|INE191B01025
2025-03-27,826.85,875.0,821.95,871.9,1673958.0,NSE_EQ|INE191B01025
2025-03-28,875.25,884.4,857.0,869.8,570447.0,NSE_EQ|INE191B01025
2025-04-01,861.0,864.4,841.45,848.2,533729.0,NSE_EQ|INE191B01025
2025-04-02,850.15,859.0,830.2,849.35,412488.0,NSE_EQ|INE191B01025
2025-04-03,844.5,865.0,834.95,858.6,435236.0,NSE_EQ|INE191B01025
2025-04-04,854.95,854.95,785.0,808.4,1148652.0,NSE_EQ|INE191B01025
2025-04-07,664.3,802.0,664.3,792.7,1136406.0,NSE_EQ|INE191B01025
2025-04-08,796.3,813.75,752.4,768.75,1550829.0,NSE_EQ|INE191B01025
2025-04-09,768.75,770.0,730.5,751.05,735780.0,NSE_EQ|INE191B01025
2025-04-11,769.95,773.0,750.6,758.5,648877.0,NSE_EQ|INE191B01025
2025-04-15,764.9,788.85,748.0,776.9,767718.0,NSE_EQ|INE191B01025
2025-04-16,778.8,799.0,773.75,797.2,437809.0,NSE_EQ|INE191B01025
2025-04-17,792.85,799.9,773.2,779.15,622497.0,NSE_EQ|INE191B01025
2025-04-21,779.9,792.0,777.0,786.75,286193.0,NSE_EQ|INE191B01025
2025-04-22,787.05,797.5,774.5,777.6,329025.0,NSE_EQ|INE191B01025
2025-04-23,780.0,790.0,760.85,768.9,554954.0,NSE_EQ|INE191B01025
2025-04-24,774.15,796.95,771.2,785.95,792061.0,NSE_EQ|INE191B01025
2025-04-25,789.5,793.0,746.25,756.8,635625.0,NSE_EQ|INE191B01025
2025-04-28,756.8,788.2,756.8,778.6,756049.0,NSE_EQ|INE191B01025
2025-04-29,778.0,784.0,764.0,770.45,314294.0,NSE_EQ|INE191B01025
2025-04-30,770.0,784.2,760.4,767.5,640239.0,NSE_EQ|INE191B01025
2025-05-02,774.85,779.35,752.4,764.2,304687.0,NSE_EQ|INE191B01025
2025-05-05,760.75,775.0,760.05,767.25,226509.0,NSE_EQ|INE191B01025
2025-05-06,767.6,769.6,750.05,758.5,339816.0,NSE_EQ|INE191B01025
2025-05-07,755.1,767.5,747.3,760.45,315106.0,NSE_EQ|INE191B01025
2025-05-08,766.0,770.85,740.0,748.9,244634.0,NSE_EQ|INE191B01025
2025-05-09,725.0,738.1,715.4,727.0,330068.0,NSE_EQ|INE191B01025
2025-05-12,751.0,765.0,748.7,760.3,445413.0,NSE_EQ|INE191B01025
