date,close,instrument_key
2025-03-18,261.25,NSE_EQ|INE075A01022
2025-03-19,265.7,NSE_EQ|INE075A01022
2025-03-20,268.0,NSE_EQ|INE075A01022
2025-03-21,264.3,NSE_EQ|INE075A01022
2025-03-24,269.4,NSE_EQ|INE075A01022
2025-03-25,271.0,NSE_EQ|INE075A01022
2025-03-26,267.4,NSE_EQ|INE075A01022
2025-03-27,272.2,NSE_EQ|INE075A01022
2025-03-28,262.25,NSE_EQ|INE075A01022
2025-04-01,262.6,NSE_EQ|INE075A01022
2025-04-02,263.6,NSE_EQ|INE075A01022
2025-04-03,256.35,NSE_EQ|INE075A01022
2025-04-04,246.3,NSE_EQ|INE075A01022
2025-04-07,242.9,NSE_EQ|INE075A01022
2025-04-08,247.25,NSE_EQ|INE075A01022
2025-04-09,236.65,NSE_EQ|INE075A01022
2025-04-11,239.75,NSE_EQ|INE075A01022
2025-04-15,244.0,NSE_EQ|INE075A01022
2025-04-16,247.65,NSE_EQ|INE075A01022
2025-04-17,236.9,NSE_EQ|INE075A01022
2025-04-21,238.45,NSE_EQ|INE075A01022
2025-04-22,234.15,NSE_EQ|INE075A01022
2025-04-23,243.6,NSE_EQ|INE075A01022
2025-04-24,242.75,NSE_EQ|INE075A01022
2025-04-25,240.9,NSE_EQ|INE075A01022
2025-04-28,240.5,NSE_EQ|INE075A01022
2025-04-29,241.4,NSE_EQ|INE075A01022
2025-04-30,241.5,NSE_EQ|INE075A01022
2025-05-02,242.87,NSE_EQ|INE075A01022
2025-05-05,243.57,NSE_EQ|INE075A01022
2025-05-06,241.19,NSE_EQ|INE075A01022
2025-05-07,244.04,NSE_EQ|INE075A01022
2025-05-08,241.57,NSE_EQ|INE075A01022
2025-05-09,242.01,NSE_EQ|INE075A01022
2025-05-12,257.28,NSE_EQ|INE075A01022
2025-05-13,251.57,NSE_EQ|INE075A01022
2025-05-14,252.94,NSE_EQ|INE075A01022
2025-05-15,256.57,NSE_EQ|INE075A01022
2025-05-16,254.31,NSE_EQ|INE075A01022
2025-05-19,251.75,NSE_EQ|INE075A01022
2025-05-20,249.71,NSE_EQ|INE075A01022
2025-05-21,250.92,NSE_EQ|INE075A01022
2025-05-22,245.94,NSE_EQ|INE075A01022
2025-05-23,247.36,NSE_EQ|INE075A01022
2025-05-26,250.24,NSE_EQ|INE075A01022
2025-05-27,248.25,NSE_EQ|INE075A01022
2025-05-28,247.43,NSE_EQ|INE075A01022
2025-05-29,250.14,NSE_EQ|INE075A01022
2025-05-30,249.67,NSE_EQ|INE075A01022
2025-06-02,247.68,NSE_EQ|INE075A01022
2025-06-03,246.22,NSE_EQ|INE075A01022
2025-06-04,246.86,NSE_EQ|INE075A01022
2025-06-05,247.94,NSE_EQ|INE075A01022
2025-06-06,248.59,NSE_EQ|INE075A01022
2025-06-09,251.29,NSE_EQ|INE075A01022
2025-06-10,254.87,NSE_EQ|INE075A01022
2025-06-11,258.92,NSE_EQ|INE075A01022
2025-06-12,259.61,NSE_EQ|INE075A01022
2025-06-13,260.21,NSE_EQ|INE075A01022
2025-06-16,262.89,NSE_EQ|INE075A01022
2025-06-17,262.91,NSE_EQ|INE075A01022
2025-06-18,261.59,NSE_EQ|INE075A01022
2025-06-19,265.58,NSE_EQ|INE075A01022
2025-06-20,266.54,NSE_EQ|INE075A01022
2025-06-23,263.24,NSE_EQ|INE075A01022
2025-06-24,264.97,NSE_EQ|INE075A01022
2025-06-25,269.41,NSE_EQ|INE075A01022
2025-06-26,268.52,NSE_EQ|INE075A01022
2025-06-27,265.05,NSE_EQ|INE075A01022
2025-06-30,265.98,NSE_EQ|INE075A01022
2025-07-01,264.55,NSE_EQ|INE075A01022
2025-07-02,267.0,NSE_EQ|INE075A01022
2025-07-03,267.05,NSE_EQ|INE075A01022
2025-07-04,270.05,NSE_EQ|INE075A01022
2025-07-07,267.75,NSE_EQ|INE075A01022
2025-07-08,269.65,NSE_EQ|INE075A01022
2025-07-09,267.8,NSE_EQ|INE075A01022
2025-07-10,265.05,NSE_EQ|INE075A01022
2025-07-11,258.3,NSE_EQ|INE075A01022
2025-07-14,254.25,NSE_EQ|INE075A01022
2025-07-15,257.4,NSE_EQ|INE075A01022
2025-07-16,262.8,NSE_EQ|INE075A01022
2025-07-17,260.6,NSE_EQ|INE075A01022
2025-07-18,266.95,NSE_EQ|INE075A01022
2025-07-21,260.35,NSE_EQ|INE075A01022
2025-07-22,259.7,NSE_EQ|INE075A01022
2025-07-23,261.4,NSE_EQ|INE075A01022
2025-07-24,261.85,NSE_EQ|INE075A01022
2025-07-25,259.2,NSE_EQ|INE075A01022
2025-07-28,250.05,NSE_EQ|INE075A01022
2025-07-29,251.8,NSE_EQ|INE075A01022
2025-07-30,250.2,NSE_EQ|INE075A01022
2025-07-31,248.3,NSE_EQ|INE075A01022
2025-08-01,242.75,NSE_EQ|INE075A01022
2025-08-04,246.05,NSE_EQ|INE075A01022
2025-08-05,245.91,NSE_EQ|INE075A01022
2025-08-06,239.96,NSE_EQ|INE075A01022
2025-08-07,242.32,NSE_EQ|INE075A01022
2025-08-08,239.05,NSE_EQ|INE075A01022
2025-08-11,241.62,NSE_EQ|INE075A01022
2025-08-12,241.72,NSE_EQ|INE075A01022
2025-08-13,241.65,NSE_EQ|INE075A01022
2025-08-14,246.81,NSE_EQ|INE075A01022
2025-08-18,245.21,NSE_EQ|INE075A01022
2025-08-19,246.96,NSE_EQ|INE075A01022
2025-08-20,250.84,NSE_EQ|INE075A01022
2025-08-21,249.91,NSE_EQ|INE075A01022
2025-08-22,248.64,NSE_EQ|INE075A01022
2025-08-25,253.84,NSE_EQ|INE075A01022
2025-08-26,252.03,NSE_EQ|INE075A01022
2025-08-28,250.65,NSE_EQ|INE075A01022
2025-08-29,249.41,NSE_EQ|INE075A01022
2025-09-01,250.36,NSE_EQ|INE075A01022
2025-09-02,250.93,NSE_EQ|INE075A01022
2025-09-03,249.56,NSE_EQ|INE075A01022
2025-09-04,244.97,NSE_EQ|INE075A01022
2025-09-05,243.67,NSE_EQ|INE075A01022
2025-09-08,242.52,NSE_EQ|INE075A01022
2025-09-09,249.15,NSE_EQ|INE075A01022
2025-09-10,255.75,NSE_EQ|INE075A01022
2025-09-11,253.91,NSE_EQ|INE075A01022
2025-09-12,251.94,NSE_EQ|INE075A01022
2025-09-15,251.28,NSE_EQ|INE075A01022
2025-09-16,254.01,NSE_EQ|INE075A01022
2025-09-17,254.15,NSE_EQ|INE075A01022
2025-09-18,256.93,NSE_EQ|INE075A01022
2025-09-19,255.88,NSE_EQ|INE075A01022
2025-09-22,250.33,NSE_EQ|INE075A01022
2025-09-23,249.63,NSE_EQ|INE075A01022
2025-09-24,244.59,NSE_EQ|INE075A01022
2025-09-25,242.0,NSE_EQ|INE075A01022
2025-09-26,235.75,NSE_EQ|INE075A01022
2025-09-29,239.64,NSE_EQ|INE075A01022
2025-09-30,239.37,NSE_EQ|INE075A01022
2025-10-01,241.07,NSE_EQ|INE075A01022
