date,open,high,low,close,volume,instrument_key
2025-03-18,1299.7,1354.25,1288.05,1354.25,225889.0,NSE_EQ|INE049B01025
2025-03-19,1378.0,1421.95,1377.95,1421.95,182363.0,NSE_EQ|INE049B01025
2025-03-20,1452.0,1493.0,1440.0,1470.25,1082371.0,NSE_EQ|INE049B01025
2025-03-21,1490.0,1528.95,1470.0,1518.8,670587.0,NSE_EQ|INE049B01025
2025-03-24,1534.0,1536.8,1470.05,1477.95,245038.0,NSE_EQ|INE049B01025
2025-03-25,1486.85,1486.9,1406.75,1426.6,271062.0,NSE_EQ|INE049B01025
2025-03-26,1425.8,1457.85,1408.6,1417.55,168184.0,NSE_EQ|INE049B01025
2025-03-27,1410.0,1434.9,1378.8,1409.2,695650.0,NSE_EQ|INE049B01025
2025-03-28,1430.0,1469.9,1406.0,1424.4,376528.0,NSE_EQ|INE049B01025
2025-04-01,1458.0,1475.75,1425.1,1447.9,615739.0,NSE_EQ|INE049B01025
2025-04-02,1461.75,1463.05,1420.1,1438.35,264857.0,NSE_EQ|INE049B01025
2025-04-03,1480.0,1510.25,1378.75,1418.7,1383153.0,NSE_EQ|INE049B01025
2025-04-04,1424.7,1427.95,1347.8,1347.8,590103.0,NSE_EQ|INE049B01025
2025-04-07,1213.05,1235.0,1213.05,1213.05,1183892.0,NSE_EQ|INE049B01025
2025-04-08,1238.85,1279.9,1182.0,1264.05,970506.0,NSE_EQ|INE049B01025
2025-04-09,1240.05,1246.95,1154.4,1200.2,858006.0,NSE_EQ|INE049B01025
2025-04-11,1250.0,1320.2,1221.8,1319.15,900477.0,NSE_EQ|INE049B01025
2025-04-15,1351.0,1410.0,1329.0,1402.3,485653.0,NSE_EQ|INE049B01025
2025-04-16,1409.6,1419.8,1362.3,1392.4,396722.0,NSE_EQ|INE049B01025
2025-04-17,1402.0,1426.0,1383.0,1413.8,309368.0,NSE_EQ|INE049B01025
2025-04-21,1440.0,1440.0,1385.2,1401.4,264599.0,NSE_EQ|INE049B01025
2025-04-22,1401.0,1428.0,1388.9,1411.1,194469.0,NSE_EQ|INE049B01025
2025-04-23,1419.0,1440.0,1382.6,1414.6,277351.0,NSE_EQ|INE049B01025
2025-04-24,1413.0,1529.4,1407.7,1465.2,1148781.0,NSE_EQ|INE049B01025
2025-04-25,1465.0,1472.5,1375.1,1397.6,530473.0,NSE_EQ|INE049B01025
2025-04-28,1404.9,1442.0,1385.0,1391.5,407399.0,NSE_EQ|INE049B01025
2025-04-29,1399.0,1427.0,1350.0,1363.7,288879.0,NSE_EQ|INE049B01025
2025-04-30,1321.4,1354.0,1282.2,1296.7,400049.0,NSE_EQ|INE049B01025
2025-05-02,1292.0,1333.0,1281.1,1310.1,286723.0,NSE_EQ|INE049B01025
2025-05-05,1307.0,1318.3,1290.1,1294.8,178747.0,NSE_EQ|INE049B01025
2025-05-06,1290.0,1298.8,1225.6,1230.7,446897.0,NSE_EQ|INE049B01025
2025-05-07,1206.0,1283.9,1206.0,1251.6,393368.0,NSE_EQ|INE049B01025
2025-05-08,1267.5,1289.8,1230.0,1235.2,284720.0,NSE_EQ|INE049B01025
2025-05-09,1200.1,1245.4,1194.1,1224.3,413596.0,NSE_EQ|INE049B01025
2025-05-12,1284.0,1304.8,1252.2,1270.0,494997.0,NSE_EQ|INE049B01025
