date,open,high,low,close,volume,instrument_key
2025-03-18,99.75,104.2,99.75,102.95,15353019.0,NSE_EQ|INE256A01028
2025-03-19,103.0,104.42,99.8,100.29,16531892.0,NSE_EQ|INE256A01028
2025-03-20,103.0,106.84,102.4,103.17,28096891.0,NSE_EQ|INE256A01028
2025-03-21,103.5,107.99,103.22,106.34,21328294.0,NSE_EQ|INE256A01028
2025-03-24,107.2,108.32,105.05,105.39,12007318.0,NSE_EQ|INE256A01028
2025-03-25,106.0,106.63,102.5,102.78,11609317.0,NSE_EQ|INE256A01028
2025-03-26,102.95,103.91,100.05,100.49,11145340.0,NSE_EQ|INE256A01028
2025-03-27,100.24,102.96,100.0,101.65,16357199.0,NSE_EQ|INE256A01028
2025-03-28,101.98,103.12,97.55,98.34,13242194.0,NSE_EQ|INE256A01028
2025-04-01,98.26,101.99,98.15,101.6,8847214.0,NSE_EQ|INE256A01028
2025-04-02,101.6,102.39,99.65,102.12,5899071.0,NSE_EQ|INE256A01028
2025-04-03,100.7,110.9,99.7,107.39,16326392.0,NSE_EQ|INE256A01028
2025-04-04,108.0,110.39,102.2,104.72,17150258.0,NSE_EQ|INE256A01028
2025-04-07,95.25,98.38,95.15,97.05,18208006.0,NSE_EQ|INE256A01028
2025-04-08,99.99,109.9,98.28,107.93,22942156.0,NSE_EQ|INE256A01028
2025-04-09,106.59,107.49,103.05,104.01,13592505.0,NSE_EQ|INE256A01028
2025-04-11,106.0,106.0,103.46,103.85,7450888.0,NSE_EQ|INE256A01028
2025-04-15,105.0,108.74,104.49,107.95,9064491.0,NSE_EQ|INE256A01028
2025-04-16,108.14,114.39,107.38,112.62,24822782.0,NSE_EQ|INE256A01028
2025-04-17,112.65,114.85,112.0,114.29,14946889.0,NSE_EQ|INE256A01028
2025-04-21,114.95,119.8,113.34,118.75,19011210.0,NSE_EQ|INE256A01028
2025-04-22,119.25,119.85,115.01,115.53,12658688.0,NSE_EQ|INE256A01028
2025-04-23,116.2,116.77,111.82,114.59,12122418.0,NSE_EQ|INE256A01028
2025-04-24,114.0,116.19,113.5,113.95,7331138.0,NSE_EQ|INE256A01028
2025-04-25,114.0,114.3,106.57,108.23,13925734.0,NSE_EQ|INE256A01028
2025-04-28,107.6,110.78,107.39,109.55,8458140.0,NSE_EQ|INE256A01028
2025-04-29,109.85,111.14,105.91,106.22,8234001.0,NSE_EQ|INE256A01028
2025-04-30,106.7,109.3,104.87,106.35,9536409.0,NSE_EQ|INE256A01028
2025-05-02,107.0,107.7,105.45,106.18,6355045.0,NSE_EQ|INE256A01028
2025-05-05,106.9,109.6,106.15,108.69,6240209.0,NSE_EQ|INE256A01028
2025-05-06,108.69,108.94,105.31,106.12,8108413.0,NSE_EQ|INE256A01028
2025-05-07,104.5,109.9,104.5,109.62,8938619.0,NSE_EQ|INE256A01028
2025-05-08,109.59,115.9,108.8,111.16,23759671.0,NSE_EQ|INE256A01028
