schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,expiry,chain_hash,source_age_seconds,source_is_stale,spot_chain,chain_data_age_seconds,chain_frozen,minutes_to_close,spot_high_1m,spot_low_1m,spot_samples_1m,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,nifty_year_high,nifty_year_low,india_vix,vix_day_open,vix_day_high,vix_day_low,vix_previous_close,current_atm,session_anchor_atm,scheduled_event_note,external_source,external_source_timestamp,external_age_seconds,external_is_stale,nifty_futures,futures_open_1m,futures_high_1m,futures_low_1m,futures_close_1m,futures_volume_1m,futures_vwap,true_futures_context_available
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,2026-09-01,10a1a2bfce9a5000,0.0,False,24158.7,0.0,False,256.8,24158.7,24158.7,1,24158.7,24122.6,24188.3,24106.55,24090.85,,,10.72,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111402_999,2026-08-28T11:14:02+05:30,2026-08-28T11:14:02+05:30,Asia/Kolkata,UPSTOX,2026-09-01,76f5fd8086db4722,0.0,False,24159.45,0.0,False,256.0,24159.55,24158.1,4,24159.45,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111503_000,2026-08-28T11:15:03+05:30,2026-08-28T11:15:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,a048ac41ae8f998e,0.0,False,24162.0,0.0,False,254.9,24164.7,24162.0,3,24162.5,24122.6,24188.3,24106.55,24090.85,,,10.76,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111603_000,2026-08-28T11:16:03+05:30,2026-08-28T11:16:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,ec64855ce354b445,0.0,False,24160.85,0.0,False,253.9,24162.3,24160.85,3,24160.65,24122.6,24188.3,24106.55,24090.85,,,10.77,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111703_000,2026-08-28T11:17:03+05:30,2026-08-28T11:17:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,4b6dc3c34a489656,0.0,False,24159.2,0.0,False,252.9,24159.25,24157.6,3,24159.2,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111803_000,2026-08-28T11:18:03+05:30,2026-08-28T11:18:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,be1300089da033df,0.0,False,24153.75,0.0,False,251.9,24156.1,24153.75,3,24153.3,24122.6,24188.3,24106.55,24090.85,,,10.75,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111903_000,2026-08-28T11:19:03+05:30,2026-08-28T11:19:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,f364bf9c1049d952,0.0,False,24149.45,0.0,False,250.9,24150.75,24148.9,3,24149.15,24122.6,24188.3,24106.55,24090.85,,,10.75,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_112003_000,2026-08-28T11:20:03+05:30,2026-08-28T11:20:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,09cec12173f3ba6d,0.0,False,24151.65,0.0,False,249.9,24151.65,24150.15,3,24151.65,24122.6,24188.3,24106.55,24090.85,,,10.76,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_112103_000,2026-08-28T11:21:03+05:30,2026-08-28T11:21:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,9d6b06bbaed98681,0.0,False,24147.0,0.0,False,248.9,24150.3,24147.0,3,24146.95,24122.6,24188.3,24106.55,24090.85,,,10.77,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_112203_000,2026-08-28T11:22:03+05:30,2026-08-28T11:22:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,65e97440bd66d06a,0.0,False,24144.45,0.0,False,247.9,24146.85,24144.25,3,24144.3,24122.6,24188.3,24106.55,24090.85,,,10.81,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_112303_000,2026-08-28T11:23:03+05:30,2026-08-28T11:23:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,a9e1aff96d152d3d,0.0,False,24143.85,0.0,False,246.9,24143.85,24141.8,3,24144.0,24122.6,24188.3,24106.55,24090.85,,,10.82,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_112403_001,2026-08-28T11:24:03+05:30,2026-08-28T11:24:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,032b64df9f132081,0.0,False,24140.6,0.0,False,245.9,24145.55,24140.6,3,24140.65,24122.6,24188.3,24106.55,24090.85,,,10.84,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
