schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,underlying,expiry,lot_size,chain_hash,source_age_seconds,source_is_stale,spot,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,india_vix,current_atm,session_anchor_atm,strike,strike_distance_from_spot,moneyness,interval_seconds,ce_interval_seconds,pe_interval_seconds,ce_identifier,ce_oi,ce_exchange_change_oi,ce_exchange_pchange_oi,ce_interval_oi_change,ce_volume_cumulative,ce_interval_volume,ce_volume_counter_reset,ce_ltp,ce_price_change,ce_price_pchange,ce_iv,ce_iv_valid,ce_bid,ce_bid_qty,ce_ask,ce_ask_qty,ce_total_buy_qty,ce_total_sell_qty,ce_mid,ce_spread,ce_spread_pct,ce_intrinsic,ce_extrinsic_ltp,pe_identifier,pe_oi,pe_exchange_change_oi,pe_exchange_pchange_oi,pe_interval_oi_change,pe_volume_cumulative,pe_interval_volume,pe_volume_counter_reset,pe_ltp,pe_price_change,pe_price_pchange,pe_iv,pe_iv_valid,pe_bid,pe_bid_qty,pe_ask,pe_ask_qty,pe_total_buy_qty,pe_total_sell_qty,pe_mid,pe_spread,pe_spread_pct,pe_intrinsic,pe_extrinsic_ltp,strike_oi_pcr,exchange_change_oi_ce_minus_pe
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,23550,-608.7,BELOW_SPOT,,,,NSE_FO|46967,250,-15,,0,39,0,False,684.0,34.7,5.3442,24.6,True,688.95,260,693.8,65,,,691.375,4.85,0.007,608.7,75.3,NSE_FO|46968,39276,29542,,0,121674,132,False,3.55,-0.2,-5.3333,12.94,True,3.5,9490,3.55,56810,,,3.525,0.05,0.0142,0.0,3.55,157.104,-29557
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,23600,-558.7,BELOW_SPOT,,,,NSE_FO|46969,593,-103,,0,521,0,False,639.45,47.35,7.997,24.14,True,640.3,65,642.85,65,,,641.575,2.55,0.004,558.7,80.75,NSE_FO|46970,77362,26002,,0,215430,12,False,3.85,-0.6,-13.4831,12.27,True,3.85,34060,3.9,68380,,,3.875,0.05,0.0129,0.0,3.85,130.4587,-26105
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,23650,-508.7,BELOW_SPOT,,,,NSE_FO|46971,317,11,,0,197,2,False,592.6,50.25,9.2652,23.25,True,591.35,65,593.7,65,,,592.525,2.35,0.004,508.7,83.9,NSE_FO|46972,38211,16126,,0,173699,73,False,4.3,-1.1,-20.3704,11.6,True,4.3,37375,4.35,28795,,,4.325,0.05,0.0116,0.0,4.3,120.5394,-16115
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,23700,-458.7,BELOW_SPOT,,,,NSE_FO|46973,2786,2,,0,1511,5,False,540.65,38.35,7.6349,21.5,True,541.85,130,543.4,195,,,542.625,1.55,0.0029,458.7,81.95,NSE_FO|46974,97662,19058,,0,301413,119,False,5.05,-1.7,-25.1852,11.05,True,5.05,25740,5.1,56420,,,5.075,0.05,0.0099,0.0,5.05,35.0546,-19056
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,23750,-408.7,BELOW_SPOT,,,,NSE_FO|46975,664,114,,0,1130,9,False,492.3,38.6,8.5078,20.4,True,493.05,195,494.1,65,,,493.575,1.05,0.0021,408.7,83.6,NSE_FO|46976,48257,17228,,0,253896,197,False,6.1,-2.5,-29.0698,10.5,True,6.1,11375,6.15,30615,,,6.125,0.05,0.0082,0.0,6.1,72.6762,-17114
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,23800,-358.7,BELOW_SPOT,,,,NSE_FO|46977,3114,204,,0,7651,2,False,444.75,42.35,10.5244,19.1,True,444.2,195,445.0,195,,,444.6,0.8,0.0018,358.7,86.05,NSE_FO|46978,131568,33959,,0,471347,83,False,7.45,-3.65,-32.8829,9.92,True,7.4,31005,7.45,7020,,,7.425,0.05,0.0067,0.0,7.45,42.2505,-33755
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,23850,-308.7,BELOW_SPOT,,,,NSE_FO|46979,1410,431,,0,4070,4,False,396.0,40.75,11.4708,17.96,True,396.55,260,397.75,390,,,397.15,1.2,0.003,308.7,87.3,NSE_FO|46980,52839,24055,,0,287151,354,False,9.45,-4.85,-33.9161,9.43,True,9.45,8190,9.5,16120,,,9.475,0.05,0.0053,0.0,9.45,37.4745,-23624
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,23900,-258.7,BELOW_SPOT,,,,NSE_FO|46981,5051,1451,,0,25154,26,False,350.0,36.25,11.5538,16.89,True,349.95,390,350.8,195,,,350.375,0.85,0.0024,258.7,91.3,NSE_FO|46982,113813,45830,,0,570305,573,False,12.45,-6.8,-35.3247,9.02,True,12.45,325,12.5,18395,,,12.475,0.05,0.004,0.0,12.45,22.5328,-44379
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,23950,-208.7,BELOW_SPOT,,,,NSE_FO|46983,3744,1569,,0,24567,2,False,305.0,35.75,13.2776,15.79,True,304.0,195,304.85,195,,,304.425,0.85,0.0028,208.7,96.3,NSE_FO|46984,63355,31537,,0,418430,201,False,16.7,-8.85,-34.638,8.62,True,16.8,325,16.85,5525,,,16.825,0.05,0.003,0.0,16.7,16.9217,-29968
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,10a1a2bfce9a5000,0.0,False,24158.7,24158.7,24122.6,24188.3,24106.55,24090.85,10.72,24150,24150,24000,-158.7,BELOW_SPOT,,,,NSE_FO|46985,32885,6828,,0,235176,214,False,260.65,32.9,14.4457,14.85,True,260.55,585,260.95,1300,,,260.75,0.4,0.0015,158.7,101.95,NSE_FO|46986,205114,95796,,0,1253318,1389,False,22.8,-12.3,-35.0427,8.23,True,22.8,18070,22.9,10660,,,22.85,0.1,0.0044,0.0,22.8,6.2373,-88968
