schema_version,capture_timestamp,spot,india_vix,nifty_index_last,index_day_high,index_day_low
2.1.0,2026-08-28T11:13:20+05:30,24159.55,10.73,24159.55,24188.3,24106.55
2.1.0,2026-08-28T11:13:39+05:30,24158.1,10.72,24158.1,24188.3,24106.55
2.1.0,2026-08-28T11:14:20+05:30,24162.1,10.74,24162.1,24188.3,24106.55
2.1.0,2026-08-28T11:14:40+05:30,24164.7,10.73,24164.7,24188.3,24106.55
2.1.0,2026-08-28T11:15:20+05:30,24162.3,10.78,24162.3,24188.3,24106.55
2.1.0,2026-08-28T11:15:40+05:30,24161.65,10.78,24161.65,24188.3,24106.55
2.1.0,2026-08-28T11:16:20+05:30,24159.25,10.75,24159.25,24188.3,24106.55
2.1.0,2026-08-28T11:16:40+05:30,24157.6,10.75,24157.6,24188.3,24106.55
2.1.0,2026-08-28T11:17:20+05:30,24156.1,10.73,24156.1,24188.3,24106.55
2.1.0,2026-08-28T11:17:39+05:30,24154.3,10.74,24154.3,24188.3,24106.55
2.1.0,2026-08-28T11:18:20+05:30,24150.75,10.74,24150.75,24188.3,24106.55
2.1.0,2026-08-28T11:18:40+05:30,24148.9,10.75,24148.9,24188.3,24106.55
2.1.0,2026-08-28T11:19:20+05:30,24151.45,10.75,24151.45,24188.3,24106.55
2.1.0,2026-08-28T11:19:40+05:30,24150.15,10.76,24150.15,24188.3,24106.55
2.1.0,2026-08-28T11:20:19+05:30,24150.3,10.76,24150.3,24188.3,24106.55
2.1.0,2026-08-28T11:20:40+05:30,24149.05,10.77,24149.05,24188.3,24106.55
2.1.0,2026-08-28T11:21:20+05:30,24146.85,10.81,24146.85,24188.3,24106.55
2.1.0,2026-08-28T11:21:40+05:30,24144.25,10.81,24144.25,24188.3,24106.55
2.1.0,2026-08-28T11:22:20+05:30,24141.8,10.82,24141.8,24188.3,24106.55
2.1.0,2026-08-28T11:22:40+05:30,24142.5,10.84,24142.5,24188.3,24106.55
2.1.0,2026-08-28T11:23:19+05:30,24145.55,10.82,24145.55,24188.3,24106.55
2.1.0,2026-08-28T11:23:40+05:30,24143.7,10.83,24143.7,24188.3,24106.55
2.1.0,2026-08-28T11:24:20+05:30,24140.4,10.84,24140.4,24188.3,24106.55
2.1.0,2026-08-28T11:24:40+05:30,24139.0,10.82,24139.0,24188.3,24106.55
2.1.0,2026-08-28T11:25:20+05:30,24137.7,10.87,24137.7,24188.3,24106.55
2.1.0,2026-08-28T11:25:40+05:30,24137.55,10.87,24137.55,24188.3,24106.55
2.1.0,2026-08-28T11:26:20+05:30,24137.05,10.87,24137.05,24188.3,24106.55
2.1.0,2026-08-28T11:26:40+05:30,24134.05,10.85,24134.05,24188.3,24106.55
2.1.0,2026-08-28T11:27:19+05:30,24131.55,10.83,24131.55,24188.3,24106.55
2.1.0,2026-08-28T11:27:40+05:30,24131.35,10.87,24131.35,24188.3,24106.55
2.1.0,2026-08-28T11:28:19+05:30,24127.65,10.85,24127.65,24188.3,24106.55
2.1.0,2026-08-28T11:28:40+05:30,24127.9,10.85,24127.9,24188.3,24106.55
2.1.0,2026-08-28T11:29:20+05:30,24122.85,10.86,24122.85,24188.3,24106.55
2.1.0,2026-08-28T11:29:40+05:30,24120.6,10.84,24120.6,24188.3,24106.55
2.1.0,2026-08-28T11:30:20+05:30,24118.95,10.87,24118.95,24188.3,24106.55
2.1.0,2026-08-28T11:30:40+05:30,24120.0,10.87,24120.0,24188.3,24106.55
2.1.0,2026-08-28T11:31:20+05:30,24118.25,10.86,24118.25,24188.3,24106.55
2.1.0,2026-08-28T11:31:40+05:30,24117.75,10.86,24117.75,24188.3,24106.55
2.1.0,2026-08-28T11:32:20+05:30,24122.35,10.85,24122.35,24188.3,24106.55
2.1.0,2026-08-28T11:32:40+05:30,24116.6,10.87,24116.6,24188.3,24106.55
2.1.0,2026-08-28T11:33:20+05:30,24116.3,10.87,24116.3,24188.3,24106.55
2.1.0,2026-08-28T11:33:40+05:30,24115.1,10.87,24115.1,24188.3,24106.55
2.1.0,2026-08-28T11:34:20+05:30,24105.75,11.0,24105.75,24188.3,24102.85
2.1.0,2026-08-28T11:34:40+05:30,24106.35,10.95,24106.35,24188.3,24102.85
2.1.0,2026-08-28T11:35:20+05:30,24105.75,10.89,24105.75,24188.3,24102.85
2.1.0,2026-08-28T11:35:40+05:30,24102.95,10.93,24102.95,24188.3,24102.3
2.1.0,2026-08-28T11:36:19+05:30,24093.65,10.94,24093.65,24188.3,24092.85
2.1.0,2026-08-28T11:36:40+05:30,24094.45,10.96,24094.45,24188.3,24092.85
2.1.0,2026-08-28T11:37:20+05:30,24097.2,10.9,24097.2,24188.3,24092.85
2.1.0,2026-08-28T11:37:40+05:30,24094.45,10.93,24094.45,24188.3,24092.85
2.1.0,2026-08-28T11:38:19+05:30,24103.65,10.91,24103.65,24188.3,24092.85
2.1.0,2026-08-28T11:38:39+05:30,24101.95,10.93,24101.95,24188.3,24092.85
2.1.0,2026-08-28T11:39:20+05:30,24102.4,10.92,24102.4,24188.3,24092.85
2.1.0,2026-08-28T11:39:40+05:30,24102.85,10.92,24102.85,24188.3,24092.85
2.1.0,2026-08-28T11:40:20+05:30,24103.7,10.86,24103.7,24188.3,24092.85
2.1.0,2026-08-28T11:40:40+05:30,24103.25,10.84,24103.25,24188.3,24092.85
2.1.0,2026-08-28T11:41:20+05:30,24105.8,10.87,24105.8,24188.3,24092.85
2.1.0,2026-08-28T11:41:40+05:30,24105.95,10.83,24105.95,24188.3,24092.85
