schema_version,snapshot_id,capture_timestamp,source_timestamp,expiry,spot,current_atm,session_anchor_atm,range_low,range_high,rows_captured,source_is_stale,nifty_futures,futures_vwap,india_vix,range_ce_oi,range_pe_oi,range_oi_pcr,range_ce_exchange_change_oi,range_pe_exchange_change_oi,range_exchange_change_oi_pcr,range_ce_interval_oi_change,range_pe_interval_oi_change,range_ce_interval_volume,range_pe_interval_volume,max_ce_oi_strike,max_ce_oi,max_pe_oi_strike,max_pe_oi,max_ce_interval_add_strike,max_ce_interval_add,max_pe_interval_add_strike,max_pe_interval_add,atm_ce_ltp,atm_pe_ltp,atm_straddle_ltp,atm_ce_bid,atm_ce_ask,atm_pe_bid,atm_pe_ask,atm_straddle_bid,atm_straddle_ask,atm_straddle_mid,atm_ce_iv,atm_pe_iv,atm_quotes_executable,true_futures_context_available,trade_ready_data,quality_notes
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,2026-09-01,24158.0,24150,24150,23550,24750,25,False,,,10.74,2039824.0,2143741.0,1.0509,473430.0,1102354.0,2.3284,,,,,24300,253083.0,24200,293362.0,,,,,148.6,56.1,204.7,148.4,148.75,55.95,56.1,204.35,204.85,204.6,12.54,7.02,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_104803_000,2026-08-28T10:48:03+05:30,2026-08-28T10:48:03+05:30,2026-09-01,24157.55,24150,24150,23550,24750,25,False,,,10.74,2039824.0,2143741.0,1.0509,473430.0,1102354.0,2.3284,0.0,0.0,8684.0,7600.0,24300,253083.0,24200,293362.0,,,,,148.1,55.9,204.0,148.1,148.3,55.95,56.05,204.05,204.35,204.2,12.62,6.97,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_104903_000,2026-08-28T10:49:03+05:30,2026-08-28T10:49:03+05:30,2026-09-01,24157.6,24150,24150,23550,24750,25,False,,,10.74,2046475.0,2140948.0,1.0462,480081.0,1099561.0,2.2904,6651.0,-2793.0,60596.0,60836.0,24300,253733.0,24200,291919.0,24400,1141.0,23600,658.0,148.55,55.6,204.15,148.05,148.4,55.5,55.65,203.55,204.05,203.8,12.6,6.93,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_105003_000,2026-08-28T10:50:03+05:30,2026-08-28T10:50:03+05:30,2026-09-01,24164.1,24150,24150,23550,24750,25,False,,,10.73,2053790.0,2146458.0,1.0451,487396.0,1105071.0,2.2673,7315.0,5510.0,77714.0,97129.0,24300,254533.0,24200,293660.0,24200,1876.0,24200,1741.0,151.75,53.45,205.2,151.45,151.8,53.3,53.45,204.75,205.25,205.0,12.6,6.97,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_105103_001,2026-08-28T10:51:03+05:30,2026-08-28T10:51:03+05:30,2026-09-01,24168.0,24150,24150,23550,24750,25,False,,,10.73,2055066.0,2143769.0,1.0432,488672.0,1102382.0,2.2559,1276.0,-2689.0,89170.0,79847.0,24300,255158.0,24200,291187.0,24150,1465.0,24100,670.0,154.0,52.3,206.3,154.05,154.35,52.15,52.3,206.2,206.65,206.425,12.65,7.02,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_105120_196,2026-08-28T10:51:20+05:30,2026-08-28T10:51:20+05:30,2026-09-01,24169.95,24150,24150,23550,24750,25,False,,,10.74,2055066.0,2143769.0,1.0432,488672.0,1102382.0,2.2559,0.0,0.0,33725.0,40926.0,24300,255158.0,24200,291187.0,,,,,156.15,51.0,207.15,156.4,156.8,50.8,50.9,207.2,207.7,207.45,12.76,6.94,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_105203_001,2026-08-28T10:52:03+05:30,2026-08-28T10:52:03+05:30,2026-09-01,24165.65,24150,24150,23550,24750,25,False,,,10.71,2051434.0,2139843.0,1.0431,485040.0,1098456.0,2.2647,-3632.0,-3926.0,67642.0,61040.0,24300,254467.0,24200,289980.0,24550,541.0,24050,1499.0,152.3,53.4,205.7,152.15,152.55,53.45,53.6,205.6,206.15,205.875,12.53,7.1,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_105303_001,2026-08-28T10:53:03+05:30,2026-08-28T10:53:03+05:30,2026-09-01,24163.75,24150,24150,23550,24750,25,False,,,10.71,2056417.0,2151291.0,1.0461,490023.0,1109904.0,2.265,4983.0,11448.0,37027.0,44904.0,24300,255215.0,24200,292074.0,24250,1424.0,24100,3368.0,153.0,53.15,206.15,153.0,153.35,53.0,53.15,206.0,206.5,206.25,12.78,6.91,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_105403_001,2026-08-28T10:54:03+05:30,2026-08-28T10:54:03+05:30,2026-09-01,24159.5,24150,24150,23550,24750,25,False,,,10.74,2058880.0,2156104.0,1.0472,492486.0,1114717.0,2.2634,2463.0,4813.0,51611.0,55117.0,24300,255400.0,24200,292727.0,24200,1091.0,24150,1508.0,150.25,54.6,204.85,150.3,150.6,54.3,54.4,204.6,205.0,204.8,12.58,6.96,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,2026-09-01,24155.7,24150,24150,23550,24750,25,False,,,10.74,2057281.0,2156020.0,1.048,490887.0,1114633.0,2.2707,-1599.0,-84.0,64815.0,73021.0,24300,255219.0,24200,293904.0,24350,303.0,24150,1259.0,146.3,56.8,203.1,145.95,146.3,56.7,56.9,202.65,203.2,202.925,12.44,6.97,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_105603_001,2026-08-28T10:56:03+05:30,2026-08-28T10:56:03+05:30,2026-09-01,24151.2,24150,24150,23550,24750,25,False,,,10.74,2058431.0,2155802.0,1.0473,492037.0,1114415.0,2.2649,1150.0,-218.0,76753.0,122045.0,24300,257656.0,24200,294227.0,24300,2437.0,24150,1005.0,145.1,58.2,203.3,144.8,145.15,58.05,58.25,202.85,203.4,203.125,12.68,6.87,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
