Symbol,Close,R21,R63,R126,R252,RAM21,RAM63,RAM126,RAM252,Rank21,Rank63,Rank126,Rank252,MR21,MR63,MR126,MR252,POS_COUNT,FINAL_SCREEN_RANK,ELIGIBLE,INELIGIBLE_REASON,MISSING_DAYS,FIRST_DATE,LAST_DATE,N_ROWS,SUSPECT_CORP_ACTION,instrument_key,Vol21,TS21,TS21_POS,B21,Vol63,TS63,TS63_POS,B63,Vol126,TS126,TS126_POS,B126,Vol252,TS252,TS252_POS,B252,MARKET_OUTPERFORMER,STRONG_TREND,STRONG_XS_MOMENTUM,VERY_STRONG_MOMENTUM,CORE_QUALIFIER,FINAL_QUALIFIER,pct_MR252,pct_MR126,pct_RAM252,PROVISIONAL
360ONE,1073.10,-0.090978,-0.062877,0.049076,0.015136,-0.378839,-0.231040,0.166222,0.053584,9.56,39.50,42.20,56.76,-0.067646,-0.049757,-0.013334,0.026481,2.00,51.02,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE466L01038,0.240150,-0.090978,False,-0.023332,0.272146,-0.062877,False,-0.013120,0.295244,0.049076,True,0.062410,0.282469,0.015136,True,-0.011345,False,False,False,False,False,False,56.76,42.20,57.17,0.00
3MINDIA,34095.00,0.017609,0.029283,0.034122,0.100904,0.065138,0.113511,0.124785,0.322482,74.43,66.74,37.84,66.74,0.040941,0.042403,-0.028289,0.112249,4.00,55.22,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE470A01017,0.270338,0.017609,True,-0.023332,0.257974,0.029283,True,-0.013120,0.273446,0.034122,True,0.062410,0.312898,0.100904,True,-0.011345,False,True,False,False,False,False,66.74,37.84,66.94,0.00
ABB,7270.50,-0.021467,0.003104,0.169267,0.393323,-0.089902,0.011300,0.526439,1.311723,53.22,59.67,60.71,86.28,0.001865,0.016224,0.106856,0.404668,3.00,76.51,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE117A01022,0.238784,-0.021467,False,-0.023332,0.274717,0.003104,True,-0.013120,0.321531,0.169267,True,0.062410,0.299852,0.393323,True,-0.011345,True,True,False,False,False,False,86.28,60.71,88.57,0.00
ACC,1259.70,-0.022503,-0.062235,-0.082654,-0.316977,-0.127564,-0.306071,-0.320877,-1.412016,51.98,39.92,15.59,9.98,0.000829,-0.049115,-0.145064,-0.305632,0.00,10.56,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE012A01025,0.176408,-0.022503,False,-0.023332,0.203335,-0.062235,False,-0.013120,0.257587,-0.082654,False,0.062410,0.224485,-0.316977,False,-0.011345,False,False,False,False,False,False,9.98,15.59,1.66,0.00
ACMESOLAR,435.25,0.144190,0.289057,0.777329,0.390797,0.366510,0.836001,1.963057,1.030604,97.51,95.63,96.67,86.07,0.167522,0.302177,0.714918,0.402142,4.00,90.06,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE622W01025,0.393414,0.144190,True,-0.023332,0.345761,0.289057,True,-0.013120,0.395979,0.777329,True,0.062410,0.379192,0.390797,True,-0.011345,True,True,True,True,True,True,86.07,96.67,84.82,0.00
AIAENG,3973.30,-0.093868,-0.152272,0.083943,0.309117,-0.316564,-0.530769,0.268571,0.999509,7.90,12.06,47.19,81.50,-0.070535,-0.139152,0.021532,0.320462,2.00,68.27,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE212H01026,0.296520,-0.093868,False,-0.023332,0.286890,-0.152272,False,-0.013120,0.312553,0.083943,True,0.062410,0.309268,0.309117,True,-0.011345,True,False,False,False,False,False,81.50,47.19,83.99,0.00
APLAPOLLO,2270.10,0.069893,0.212919,0.198764,0.349884,0.210331,0.746173,0.620311,1.273602,91.06,92.31,65.90,84.20,0.093226,0.226039,0.136354,0.361229,4.00,77.55,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE702C01027,0.332303,0.069893,True,-0.023332,0.285349,0.212919,True,-0.013120,0.320427,0.198764,True,0.062410,0.274720,0.349884,True,-0.011345,True,True,False,False,False,False,84.20,65.90,87.53,0.00
AUBANK,1058.60,-0.015256,0.024733,0.195753,0.488994,-0.071780,0.095167,0.619588,1.660509,59.04,65.07,65.49,89.40,0.008076,0.037853,0.133342,0.500339,3.00,80.58,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE949L01017,0.212537,-0.015256,False,-0.023332,0.259887,0.024733,True,-0.013120,0.315941,0.195753,True,0.062410,0.294484,0.488994,True,-0.011345,True,True,False,False,False,False,89.40,65.49,93.14,0.00
AWL,186.98,-0.009220,0.014486,0.085200,-0.277512,-0.039378,0.064592,0.262872,-0.995699,61.75,62.58,48.02,14.97,0.014112,0.027606,0.022790,-0.266167,2.00,27.36,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE699H01024,0.234140,-0.009220,False,-0.023332,0.224276,0.014486,True,-0.013120,0.324113,0.085200,True,0.062410,0.278710,-0.277512,False,-0.011345,False,False,False,False,False,False,14.97,48.02,10.81,0.00
AADHARHFC,461.65,-0.026876,-0.103766,-0.035718,-0.086836,-0.113196,-0.392157,-0.119662,-0.322558,49.48,23.91,24.32,42.41,-0.003544,-0.090646,-0.098128,-0.075491,0.00,34.55,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE883F01010,0.237429,-0.026876,False,-0.023332,0.264604,-0.103766,False,-0.013120,0.298490,-0.035718,False,0.062410,0.269211,-0.086836,False,-0.011345,False,False,False,False,False,False,42.41,24.32,39.29,0.00
