time,spot,or_h,or_l,or_cond,day_h,day_l,loc,px,vol,pos,final,notes,adx,adx_m,dmu,conf,dte,choppy,fade_hi,fade_lo,fb_lo,fb_hi,action,strat,reason,in_trade
09:15:31,23512.45,,,,23592.85,23487.3,0.238,OBSERVING,STRONG_SELL_PREMIUM,RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:15:44,23505.9,,,,23592.85,23487.3,0.176,OBSERVING,STRONG_SELL_PREMIUM,RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:15:59,23490.75,,,,23592.85,23487.3,0.033,OBSERVING,STRONG_SELL_PREMIUM,RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:16:14,23503.55,,,,23592.85,23487.3,0.154,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:16:29,23506.6,,,,23592.85,23487.3,0.183,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:16:44,23511.1,,,,23592.85,23487.3,0.225,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:16:59,23511.2,,,,23592.85,23487.3,0.226,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:17:14,23517.0,,,,23592.85,23487.3,0.281,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:17:30,23519.1,,,,23592.85,23487.3,0.301,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:17:44,23522.95,,,,23592.85,23487.3,0.338,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
